matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6680238195,420,2,31,23,-2,1,1,2,-2,3,1,0,0,0,-1,2,1,0,0,0,-1,-5,0,0,-7,7,-5,0,1,1,-1,1,-1,2,-1
KR_6741151351,420,0,-48,0,0,2,1,3,0,2,2,1,1,2,-4,6,2,1,0,1,-1,-1,14,-5,-3,8,1,0,0,0,-1,0,-1,0,-1
KR_6715516117,420,0,-59,11,-3,-2,3,1,-1,4,3,3,1,4,-3,4,1,0,0,0,0,-5,-9,-3,-2,5,3,0,-1,0,-1,-1,-1,0,-1
KR_6699866582,420,-4,-64,-16,-11,2,2,4,-4,4,0,-4,4,0,-1,2,1,-4,4,0,0,-11,4,-3,-1,4,-1,0,-1,-1,-1,-1,-1,5,-1
KR_6758569373,420,-2,-37,-4,6,3,0,3,5,1,6,-1,2,1,-1,1,0,0,1,1,1,8,17,3,-4,1,-5,0,0,-1,0,0,1,1,-1
KR_6528028661,420,-7,-62,-16,-12,-4,6,2,-5,5,0,1,2,3,-4,4,0,0,1,1,0,-11,-20,2,-5,3,-5,0,-1,-1,1,-1,-1,6,-1
KR_6760652874,420,-1,-26,-13,-11,3,1,4,-5,5,0,0,5,5,-5,5,0,-4,5,1,-1,-10,-5,-2,-1,3,-1,0,-1,-1,-1,-1,-1,1,-1
KR_6616336168,420,1,-28,13,7,2,1,3,0,3,3,-1,3,2,2,3,5,4,0,4,0,10,-12,-1,-2,3,0,0,1,0,1,1,-1,0,-1
KR_6659149621,420,1,5,0,-12,-1,2,1,1,2,3,-1,5,4,-13,15,2,2,0,2,-3,-11,-3,-3,-1,4,-4,0,0,1,0,0,1,2,-1
KR_6759759999,420,-3,-86,11,-6,-7,8,1,-3,5,2,5,0,5,-1,2,1,0,1,1,0,-4,3,3,-6,3,-6,0,-3,-1,1,-1,-1,5,-1
KR_6663998898,420,-3,-76,16,-3,2,1,3,-3,4,1,1,5,6,-1,4,3,-2,2,0,1,-4,1,4,-5,1,-1,0,-1,1,-1,-1,1,1,-1
KR_6693103516,420,2,31,13,3,0,1,1,6,0,6,1,0,1,-4,8,4,0,0,0,0,-3,2,-2,0,2,4,0,0,1,0,0,1,3,-1
KR_6756181551,420,-7,-87,-4,-21,-5,6,1,-4,5,1,-6,8,2,-7,8,1,1,2,3,0,-9,6,0,-1,1,1,0,-2,0,0,-1,-1,0,-1
KR_6752609744,440,-3,-44,4,-6,-4,6,2,3,2,5,-5,5,0,2,1,3,-2,2,0,0,-2,322,1,-4,3,0,0,0,1,0,-1,1,3,-1
KR_6750686408,420,-1,-41,8,1,-1,4,3,-2,4,2,5,2,7,1,7,8,-2,2,0,0,-3,10,1,-5,4,-1,0,0,1,0,-1,1,1,-1
KR_6649338517,420,-1,15,16,-10,0,3,3,-5,5,0,-5,7,2,-2,3,1,2,0,2,0,-8,6,-4,0,4,0,0,-1,-1,1,-1,-1,1,-1
KR_6743142416,420,-1,-32,-20,-4,-7,7,0,-6,6,0,6,0,6,3,2,5,0,1,1,0,-7,3,0,-3,3,5,0,-1,-1,-1,-1,-1,3,-1
KR_6743630027,420,1,-43,0,-3,-3,6,3,0,3,3,-3,4,1,3,0,3,0,0,0,0,4,6,2,-4,2,-1,0,-1,-1,0,-1,-1,3,-1
KR_6649725510,420,-1,-99,-24,-8,0,0,0,1,1,2,-1,1,0,-3,7,4,-5,7,2,-1,-8,-8,3,-5,2,-3,0,-1,0,1,-1,-1,0,-1
KR_6695811736,420,-6,-56,-20,-14,-1,1,0,-1,3,2,-5,7,2,-5,5,0,-2,2,0,0,-15,-5,-1,-2,3,-3,0,-2,-1,-1,-1,-1,3,-1
KR_6470765825,420,6,28,9,7,5,0,5,2,2,4,3,0,3,-3,4,1,0,1,1,0,2,11,0,-5,5,-6,0,2,-1,1,1,1,1,-1
KR_6702933409,420,-2,-73,0,-8,-3,5,2,-2,4,2,-1,2,1,-1,4,3,-1,1,0,0,-5,1,1,-4,3,1,0,-1,-1,-1,-1,-1,3,-1
KR_6741625210,420,2,38,28,-3,2,2,4,-2,3,1,1,0,1,-1,3,2,-3,4,1,0,-2,-234,-7,0,7,-2,0,-1,-1,-1,-1,-1,4,-1
KR_6514546855,440,-2,-47,-8,-7,-2,5,3,1,1,2,3,1,4,-9,9,0,0,3,3,0,-5,-4,-4,-4,8,2,0,-2,-1,-1,-1,-1,3,-1
KR_6731263828,420,-7,-58,-35,-9,-2,2,0,-4,5,1,-2,3,1,1,1,2,-2,3,1,0,-4,4,1,-6,5,-3,0,-2,-1,-1,-1,-1,1,-1
KR_6695642254,420,-5,-153,0,-11,2,2,4,-2,3,1,-5,7,2,-6,9,3,0,1,1,-1,-3,-15,1,-3,2,0,0,-1,0,-1,-1,-1,0,-1
KR_6687092988,420,-1,27,9,1,-1,2,1,0,1,1,3,1,4,-1,3,2,0,1,1,0,-8,-13,1,-4,3,0,0,0,1,1,0,1,3,-1
KR_6482984437,420,1,29,-8,5,1,2,3,2,3,5,3,0,3,-1,4,3,0,0,0,0,8,4,-4,-3,7,-1,0,1,-1,1,1,1,2,-1
KR_6636388357,420,-8,-64,-28,-3,-3,4,1,4,0,4,-2,3,1,1,0,1,-3,3,0,1,2,84,-1,-1,2,1,0,0,1,0,-1,1,3,-1
KR_6751423878,420,1,43,1,8,-2,4,2,4,4,8,5,0,5,3,2,5,-2,3,1,1,9,8,3,-5,2,5,0,-1,1,-1,-1,1,4,-1
KR_6709640951,420,-1,22,-36,-1,0,1,1,0,1,1,-4,4,0,-1,2,1,4,0,4,0,-1,-15,-5,-3,8,10,0,-1,-1,-1,-1,1,2,-1
KR_6711490087,420,-4,-32,-4,-4,-1,2,1,-2,3,1,-2,2,0,0,1,1,1,0,1,0,-3,2,1,-5,4,-1,0,0,1,1,-1,1,2,-1
KR_6716229996,420,-2,-23,-11,-2,-1,1,0,1,0,1,0,2,2,-1,2,1,-1,1,0,0,-4,0,2,-5,3,-2,0,0,-1,0,1,-1,5,-1
KR_6701327322,420,2,-34,9,1,-3,3,0,-1,1,0,5,1,6,1,4,5,-1,1,0,0,1,-4,2,-5,3,2,0,-2,-1,-1,-1,-1,5,-1
KR_6747438661,420,1,64,-16,-3,2,0,2,0,3,3,1,4,5,-3,5,2,-3,3,0,0,-8,2,4,-10,6,-5,0,1,1,1,1,-1,4,-1
KR_6691037155,420,2,22,-28,2,-1,4,3,0,3,3,1,3,4,-2,2,0,4,0,4,0,7,4,-5,-1,6,4,0,0,-1,0,0,-1,6,-1
KR_6658461574,420,2,-54,-1,-3,-3,5,2,5,0,5,-2,3,1,-3,6,3,0,1,1,-2,-1,6,-1,-5,6,3,0,-1,1,-1,-1,-1,2,-1
KR_6690336436,420,5,-12,11,2,1,1,2,3,2,5,-2,3,1,-1,2,1,1,0,1,0,7,-6,-1,-2,3,3,0,0,0,-1,-1,1,0,-1
KR_6741475590,420,-2,-69,13,-3,1,2,3,1,1,2,2,2,4,-8,8,0,1,1,2,0,-1,-140,2,-7,5,-2,0,-1,1,1,-1,-1,2,-1
KR_6763094548,420,2,-18,-27,2,6,1,7,-1,3,2,1,2,3,-5,7,2,1,0,1,1,-7,-7,-4,-2,6,-1,0,0,-1,0,1,1,1,-1
KR_6743809900,420,-1,-44,19,-5,4,0,4,-1,6,5,1,1,2,-8,9,1,-1,1,0,0,-8,0,3,-5,2,0,0,0,-1,1,1,-1,4,-1
KR_6685882510,420,-4,-131,-51,-3,-2,2,0,-4,4,0,2,1,3,2,0,2,-1,2,1,0,-2,35,0,-3,3,-4,0,-3,-1,-1,-1,1,2,-1
KR_6764433012,420,-1,-79,-20,-11,-3,5,2,0,1,1,2,2,4,-10,11,1,0,0,0,0,-10,282,-1,-4,5,1,0,-1,-1,0,-1,-1,6,-1
KR_6761306278,420,-1,-42,0,-7,-4,4,0,-2,2,0,-1,4,3,1,1,2,-1,1,0,0,-5,-1,-2,-2,4,0,0,0,-1,1,-1,-1,1,-1
KR_6758777425,420,4,20,28,4,-2,2,0,3,0,3,5,0,5,-4,4,0,2,0,2,0,5,119,1,-4,3,6,0,0,1,1,0,-1,6,-1
KR_6756462050,420,1,-51,36,2,-1,1,0,2,2,4,2,1,3,0,1,1,-1,2,1,-1,-3,-9,0,-5,5,1,0,0,1,-1,0,-1,2,-1
KR_6756807010,440,-4,-70,-20,-2,-3,3,0,5,0,5,-4,5,1,-1,2,1,1,0,1,0,5,237,2,-4,2,1,0,0,0,1,0,-1,0,-1
KR_6649657163,420,-4,-15,-24,-8,-3,4,1,-8,8,0,1,0,1,-1,2,1,3,0,3,0,-7,-1,3,-7,4,-1,0,-2,-1,-1,-1,-1,1,-1
KR_6724103617,440,1,68,-3,5,2,1,3,2,0,2,-6,8,2,4,4,8,3,0,3,0,9,11,-2,-3,5,1,0,1,0,0,1,1,0,-1
KR_6360378818,440,-6,-118,-8,-12,-4,4,0,-3,3,0,0,2,2,-5,6,1,0,1,1,-1,-9,0,0,0,0,1,0,0,0,-1,0,-1,0,-1
KR_6681385984,420,0,-5,9,2,1,1,2,2,1,3,3,0,3,-6,7,1,2,0,2,0,0,-3,4,-6,2,0,0,0,1,-1,1,1,4,-1
KR_6660494533,420,-3,-74,-8,-8,3,0,3,-3,3,0,-2,4,2,-5,5,0,-1,1,0,0,-8,-15,-6,-2,8,-1,0,0,-1,1,0,-1,6,-1
KR_6758131124,420,-2,-34,-16,-5,-4,4,0,-1,1,0,3,3,6,-3,5,2,0,0,0,0,-9,-3,-5,-2,7,-1,0,-1,-1,-1,-1,1,5,-1
KR_6649692953,420,-1,-49,-9,4,4,1,5,2,3,5,-1,2,1,-1,1,0,0,1,1,0,1,-7,0,-2,2,2,0,1,-1,1,1,1,5,-1
KR_6677387567,420,-4,-67,4,-3,-1,2,1,2,1,3,-3,3,0,-5,7,2,4,1,5,0,-3,9,2,-8,6,-9,0,0,0,-1,0,1,0,-1
KR_6742576949,440,-6,-147,-17,-18,-7,7,0,-5,6,1,-10,12,2,-1,3,2,5,0,5,0,-1,4,0,-1,1,-2,0,-3,1,0,-1,1,2,-1
KR_6759120097,420,0,-1,-20,-1,1,0,1,2,3,5,1,0,1,-3,4,1,-2,2,0,1,-8,5,1,-3,2,-2,0,1,1,1,1,1,2,-1
KR_6662927411,420,3,41,-20,1,1,1,2,2,2,4,0,1,1,-3,3,0,1,1,2,0,-1,353,-2,-2,4,-28,0,0,1,-1,1,1,2,-1
KR_6698359110,440,-6,-116,5,-12,-4,5,1,-2,5,3,-4,5,1,2,1,3,-4,4,0,1,-7,5,-2,-1,3,-4,0,-2,-1,-1,-1,1,4,-1
KR_6640446565,420,-2,-13,-4,-3,-3,3,0,-5,6,1,2,0,2,3,2,5,0,0,0,0,0,-7,1,-6,5,0,0,0,1,1,1,-1,4,-1
KR_6761962267,420,-4,-119,-4,-9,-2,3,1,1,2,3,0,2,2,-6,7,1,-2,3,1,1,-9,-5,0,-5,5,-2,0,-2,1,-1,-1,1,5,-1
KR_6698442427,420,0,-25,-24,-4,2,2,4,2,2,4,-5,6,1,-3,6,3,0,1,1,-1,-8,-17,0,-7,7,6,0,1,-1,-1,1,-1,2,-1
KR_6673944920,420,-5,-90,-12,-14,-7,7,0,-2,5,3,0,3,3,0,1,1,-5,5,0,0,-12,24,3,-4,1,-3,0,-2,-1,1,-1,-1,5,-1
KR_6748482860,420,0,8,-5,0,-1,5,4,4,1,5,1,2,3,-3,5,2,-1,2,1,-2,-8,2,1,-6,5,-3,0,0,-1,-1,-1,-1,6,-1
