matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6762175317,420,-2,-7,48,-9,-1,2,1,-4,5,1,-6,7,1,0,1,1,2,1,3,0,-3,-8,1,-1,0,0,0,0,-1,-1,0,-1,3,-1
KR_6734045376,420,-6,-39,-25,-12,-5,5,0,-5,7,2,-3,7,4,3,1,4,-2,3,1,0,-8,-7,0,-4,4,1,0,-1,1,-1,-1,-1,6,-1
KR_6753652615,420,-8,-86,-44,-16,-1,1,0,-2,4,2,-6,7,1,-5,5,0,-2,2,0,0,-13,-5,-2,-3,5,-4,0,-3,-1,-1,-1,-1,1,-1
KR_6748003081,420,-1,-24,-16,3,0,2,2,-2,3,1,1,1,2,1,4,5,3,3,6,-1,7,-3,-5,-4,9,4,0,1,-1,1,1,-1,1,-1
KR_6752692309,420,-1,-24,33,-7,1,1,2,2,1,3,-4,6,2,-3,4,1,-3,3,0,0,-14,1,1,-6,5,-1,0,0,1,0,0,-1,2,-1
KR_6750312874,420,-1,-52,-15,-1,0,2,2,-2,2,0,-2,4,2,4,0,4,-1,1,0,0,5,-11,-3,-1,4,0,0,-1,-1,0,-1,-1,3,-1
KR_6629363219,420,1,-29,-28,1,2,1,3,-2,3,1,0,4,4,1,2,3,0,2,2,-1,2,-3,-5,-3,8,-3,0,-2,-1,-1,-1,-1,3,-1
KR_6730420384,440,0,-97,20,-4,0,1,1,3,0,3,-4,7,3,-3,3,0,0,0,0,0,-3,-2,1,-5,4,-1,0,0,-1,1,0,1,4,-1
KR_6760293708,420,2,-11,4,9,5,0,5,5,2,7,-1,4,3,1,2,3,-1,3,2,0,1,-5,1,-3,2,1,0,0,1,1,1,1,6,-1
KR_6761434250,420,-7,-158,-20,-17,-9,11,2,1,0,1,-2,5,3,-3,3,0,-4,4,0,0,-15,-5,-1,0,1,0,0,-2,-1,-1,-1,-1,1,-1
