matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6670850377,420,-1,22,-5,-1,1,0,1,1,1,2,-2,2,0,0,0,0,-1,1,0,0,-1,0,-1,-4,5,-2,0,0,1,-1,0,1,4,-1
KR_6762744310,420,3,12,22,0,2,0,2,7,1,8,-2,5,3,-3,4,1,-4,6,2,0,1,3,3,-3,0,-3,0,-1,1,-1,-1,-1,1,-1
KR_6645614199,420,-5,19,-25,-12,-1,1,0,-3,5,2,0,0,0,-7,7,0,-1,3,2,0,-12,-5,-1,-3,4,0,0,0,-1,1,0,-1,1,-1
KR_6761670750,420,-5,-23,-30,-14,-3,3,0,-4,6,2,-3,6,3,-3,4,1,-1,1,0,-1,-11,1,-1,-3,4,-5,0,0,-1,-1,-1,-1,4,-1
KR_6761645748,440,0,-29,-4,3,-3,4,1,3,0,3,1,0,1,0,2,2,2,1,3,0,5,3,2,-5,3,1,0,-1,1,0,-1,1,2,-1
KR_6752102790,420,-2,63,-12,-5,1,1,2,-2,4,2,-2,2,0,-3,8,5,1,0,1,0,-5,-10,-3,-4,7,-3,0,-1,1,-1,-1,1,1,-1
KR_6754308147,420,-4,-8,0,-4,-2,4,2,-4,6,2,1,0,1,2,2,4,-1,1,0,0,-3,-181,-3,-2,5,-1,0,-1,-1,-1,-1,-1,3,-1
KR_6360122688,420,-4,-62,-12,-7,-1,4,3,1,0,1,-6,8,2,0,1,1,-1,2,1,0,-1,0,0,0,0,-5,0,-1,1,1,-1,-1,6,-1
KR_6634667378,420,-3,5,-15,0,1,1,2,1,3,4,1,0,1,-5,7,2,2,3,5,2,1,-41,-1,0,1,22,0,-2,-1,1,-1,1,2,-1
KR_6760957380,440,-2,12,8,-11,1,2,3,-1,2,1,0,1,1,-6,7,1,-5,6,1,0,-7,-9,-2,-1,3,-1,0,-1,-1,0,-1,-1,6,-1
KR_6717721699,420,4,10,14,5,0,2,2,6,2,8,0,3,3,-1,3,2,0,1,1,0,-3,-39,-2,-2,4,20,0,1,-1,1,1,1,2,-1
KR_6750746649,420,-1,-9,-16,-4,0,3,3,0,2,2,3,2,5,-7,10,3,0,0,0,0,0,-5,-1,-1,2,12,0,-1,0,1,-1,-1,0,-1
KR_6625414197,420,-4,-99,12,-12,-1,3,2,0,2,2,-10,12,2,-4,5,1,3,0,3,-1,-9,-3,0,-4,4,-4,0,0,-1,0,-1,-1,2,-1
KR_6743118177,420,2,65,22,-3,2,1,3,3,0,3,-5,6,1,0,2,2,-3,3,0,0,1,-315,2,-3,1,-2,0,1,1,1,1,-1,1,-1
KR_6759246035,420,0,-34,-4,-4,-1,2,1,-6,7,1,2,2,4,1,4,5,0,2,2,0,0,-7,-3,-1,4,-1,0,-2,0,-1,-1,-1,0,-1
KR_6229808563,420,-3,-22,-24,-3,5,1,6,-6,11,5,3,1,4,-6,6,0,1,0,1,2,0,3,0,-4,4,-1,0,0,0,1,1,-1,0,-1
KR_6733764292,440,-1,-89,0,1,-1,2,1,-1,2,1,-1,1,0,6,0,6,-2,2,0,0,3,-17,0,-2,2,2,0,0,-1,1,1,-1,5,-1
KR_6655042656,420,-2,-72,0,0,1,0,1,3,3,6,-1,1,0,0,2,2,-3,3,0,0,-6,-37,0,-3,3,23,0,0,-1,-1,-1,1,4,-1
KR_6753904172,420,-2,-100,8,-1,-1,1,0,0,1,1,-1,2,1,0,3,3,1,0,1,1,1,-4,-2,0,2,0,0,-1,-1,1,-1,1,5,-1
