matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6742321943,420,-1,-24,-12,-6,-3,3,0,-2,4,2,-2,4,2,0,1,1,1,3,4,0,-4,-40,-1,-3,4,0,0,0,-1,0,0,-1,5,-1
KR_6749108542,420,-4,-62,-32,-2,-3,5,2,3,0,3,-1,3,2,-1,2,1,0,3,3,0,1,-4,-1,-4,5,-1,0,-1,-1,1,-1,-1,5,-1
KR_6716590751,420,-3,-56,28,-4,-2,2,0,0,2,2,-6,7,1,4,0,4,0,1,1,0,3,8,5,-7,2,0,0,-2,1,-1,-1,-1,6,-1
KR_6623295702,420,0,27,1,6,-2,4,2,7,2,9,2,0,2,3,5,8,-4,6,2,0,6,6,-2,0,2,-4,0,1,-1,1,1,-1,4,-1
KR_6760111659,420,-6,-41,-47,-13,-3,5,2,1,1,2,1,2,3,-11,11,0,-1,1,0,0,-8,2,-1,-3,4,0,0,-1,-1,-1,-1,1,3,-1
KR_6763586613,420,-4,-30,-40,-4,-3,4,1,-1,2,1,5,0,5,-5,6,1,0,2,2,0,-6,1,-1,-1,2,-1,0,-2,0,-1,-1,1,0,-1
KR_6705174182,420,-2,-19,0,3,1,1,2,6,3,9,0,0,0,-4,4,0,0,0,0,0,-4,5,1,-1,0,0,0,0,0,1,0,1,0,-1
KR_6748575715,440,-1,-40,2,0,-3,5,2,-1,4,3,3,1,4,3,4,7,-2,4,2,0,-1,-7,0,-3,3,-3,0,0,-1,1,0,1,5,-1
KR_6655932648,420,-7,-134,-26,-11,0,4,4,1,2,3,-6,6,0,-5,7,2,-1,1,0,-2,-14,-6,-1,-2,3,1,0,-3,-1,-1,-1,-1,4,-1
KR_6682953019,420,8,36,63,5,1,0,1,3,2,5,1,0,1,-1,3,2,1,0,1,0,4,3,-2,-1,3,-1,0,0,0,0,-1,-1,0,-1
KR_6747840801,420,-3,-60,20,2,-2,3,1,-1,3,2,6,1,7,-3,3,0,2,0,2,1,2,-5,-4,-1,5,-6,0,1,-1,1,1,1,1,-1
KR_6728943579,440,-1,5,0,-2,0,4,4,-1,1,0,-1,1,0,2,3,5,-2,2,0,-1,-3,-4,-1,-2,3,-1,0,0,-1,-1,-1,-1,3,-1
KR_6729995964,420,1,-12,-7,6,-4,5,1,-2,4,2,7,1,8,2,3,5,3,1,4,0,7,-49,-1,-2,3,28,0,0,1,-1,1,1,1,-1
KR_6688671217,420,0,-48,-10,-1,1,0,1,-3,4,1,-2,2,0,2,6,8,1,0,1,0,-4,18,-2,-5,7,-1,0,-1,1,-1,-1,1,1,-1
KR_6678927276,420,-3,-15,-7,-8,0,2,2,-2,4,2,-2,5,3,-4,6,2,0,2,2,0,-13,-14,-4,-2,6,-1,0,0,-1,-1,0,1,2,-1
KR_6746131864,440,-2,41,2,-6,-3,6,3,0,1,1,-6,6,0,-1,3,2,4,0,4,-2,-23,-5,-1,0,1,0,0,1,0,0,1,-1,0,-1
KR_6710489510,420,-11,-129,-56,-24,-9,9,0,-2,2,0,-1,4,3,-6,6,0,-6,7,1,0,-15,3,-2,-2,4,-2,0,-2,-1,0,-1,-1,4,-1
KR_6764572079,440,-2,-11,4,-12,-1,2,1,-3,4,1,-1,1,0,1,0,1,-8,9,1,0,-15,-5,0,-4,4,-8,0,-1,-1,0,-1,-1,1,-1
KR_6760193394,420,-4,-91,-34,-1,-6,6,0,5,0,5,-1,5,4,0,1,1,1,1,2,0,3,-115,-3,-3,6,-2,0,-2,-1,-1,-1,-1,6,-1
KR_6762002980,420,-6,-32,-16,-18,1,0,1,-8,8,0,-5,5,0,-2,2,0,-4,6,2,0,-25,3,1,-3,2,-6,0,-1,0,-1,-1,-1,0,-1
KR_6737497095,420,-3,-36,4,-8,-4,4,0,1,1,2,-7,9,2,-1,2,1,3,1,4,1,-9,-39,-2,-5,7,3,0,-1,-1,1,-1,1,6,-1
KR_6762183193,440,-2,24,4,-12,-4,4,0,0,3,3,0,1,1,-4,8,4,-4,4,0,-2,-20,-2,-4,-2,6,1,0,-1,-1,-1,-1,-1,4,-1
KR_6749496523,420,-1,-21,0,-5,-5,5,0,5,0,5,-2,3,1,-4,4,0,1,0,1,0,-10,3,-1,-5,6,-6,0,0,1,0,-1,1,4,-1
KR_6761298972,420,-3,-70,-19,-6,-5,6,1,4,0,4,-4,6,2,-1,1,0,0,0,0,0,-2,2,-1,-2,3,-2,0,0,-1,0,0,-1,2,-1
KR_6759684034,440,-2,-87,9,-9,-7,8,1,-2,3,1,0,2,2,0,0,0,0,1,1,0,-6,64,-3,-3,6,-1,0,0,-1,1,-1,-1,3,-1
KR_6731466280,420,-2,-32,-3,0,-2,2,0,1,3,4,0,2,2,-1,1,0,2,0,2,0,6,-2,-2,-4,6,1,0,-1,1,0,-1,-1,3,-1
KR_6762288025,420,0,-2,-12,4,0,0,0,-1,4,3,-1,4,3,4,0,4,2,0,2,0,4,7,-2,-3,5,3,0,0,-1,-1,0,1,6,-1
KR_6689681750,420,-4,-21,8,-11,-1,1,0,-9,9,0,2,1,3,-1,5,4,-2,2,0,0,-12,-18,-8,-2,10,3,0,0,-1,-1,0,-1,5,-1
KR_6688112317,420,-1,-58,0,4,3,1,4,1,2,3,-3,3,0,3,4,7,0,2,2,0,2,-6,0,-7,7,28,0,-1,-1,1,-1,-1,3,-1
KR_6728672916,440,-2,-8,-4,-4,-3,4,1,-1,2,1,1,3,4,-1,1,0,0,0,0,0,-8,-16,-1,-4,5,-1,0,0,-1,0,0,1,1,-1
KR_6720437061,420,-1,-20,-60,0,-4,4,0,-3,3,0,6,0,6,-3,7,4,4,0,4,-1,-3,0,-1,-4,5,1,0,-1,-1,-1,-1,-1,6,-1
KR_6535398588,420,1,1,-5,2,1,2,3,0,2,2,-3,5,2,3,0,3,1,1,2,0,1,3,-2,-3,5,-5,0,0,1,-1,1,-1,1,-1
KR_6750817286,420,-1,30,-22,-4,-2,4,2,-1,3,2,4,1,5,-5,6,1,0,1,1,-1,-7,2,-1,-5,6,1,0,0,-1,-1,0,-1,3,-1
KR_6749042530,420,1,55,-4,-1,1,2,3,-5,6,1,2,1,3,3,1,4,-2,3,1,1,-6,-8,-3,-3,6,2,0,1,1,-1,-1,1,5,-1
KR_6738864131,420,-3,-14,-4,-6,2,3,5,-5,6,1,-4,5,1,-2,3,1,3,1,4,0,5,109,-2,-6,8,2,0,-2,-1,-1,-1,1,2,-1
KR_6750113136,420,-5,2,-13,-11,-2,4,2,-1,2,1,-1,1,0,-7,7,0,0,3,3,0,-9,3,-1,-1,2,-3,0,0,-1,1,0,-1,6,-1
KR_6733654544,420,-2,-37,1,-8,-1,3,2,-3,3,0,0,0,0,-2,3,1,-2,2,0,0,-12,6,-3,-3,6,-2,0,0,1,-1,0,-1,2,-1
KR_6760849097,420,0,41,-12,-5,7,1,8,1,1,2,-9,9,0,-4,4,0,0,1,1,0,-10,-8,-7,-1,8,2,0,0,-1,-1,1,-1,5,-1
KR_6598124395,420,3,72,20,6,9,0,9,-2,4,2,2,2,4,-5,5,0,2,1,3,2,-4,-110,3,-6,3,0,0,3,-1,1,1,1,1,-1
KR_6752035614,420,-5,-69,-4,-8,0,2,2,-4,6,2,1,3,4,-2,3,1,-3,3,0,0,-7,-10,0,-3,3,-2,0,-2,-1,-1,-1,1,4,-1
KR_6733762850,420,4,18,-4,5,-3,4,1,4,3,7,-1,1,0,2,1,3,3,0,3,0,12,-309,0,-3,3,3,0,0,-1,1,1,1,3,-1
KR_6647909781,420,-3,-43,-4,-2,1,2,3,-1,1,0,-4,5,1,0,2,2,2,0,2,0,2,-456,-1,-2,3,1,0,-2,-1,1,-1,-1,1,-1
KR_6758126695,420,-4,-54,-9,-6,-4,5,1,-1,2,1,0,2,2,0,2,2,-1,2,1,1,-4,-94,-2,-5,7,-2,0,0,-1,1,0,1,1,-1
KR_6718490334,420,3,50,15,7,2,0,2,2,2,4,0,1,1,0,3,3,3,1,4,0,-1,13,2,-6,4,3,0,1,-1,1,1,1,3,-1
KR_6764629523,420,-2,-56,16,-6,1,2,3,0,3,3,-1,1,0,-4,4,0,-2,3,1,0,-9,-1,3,-4,1,-4,0,-1,1,1,-1,1,6,-1
KR_6759144637,420,-5,-70,-25,-7,0,0,0,0,2,2,0,5,5,-7,9,2,0,0,0,0,-6,0,-3,-1,4,0,0,-2,-1,1,-1,-1,6,-1
KR_6743665484,420,-2,10,-44,-6,-2,3,1,-6,6,0,-2,3,1,3,1,4,1,0,1,0,-1,209,1,-3,2,-4,0,-1,-1,-1,-1,1,5,-1
KR_6760442158,420,0,16,-13,2,-2,2,0,4,1,5,-2,4,2,1,2,3,1,3,4,1,15,-19,0,-6,6,6,0,0,1,-1,0,1,5,-1
KR_6674578790,420,2,43,-16,-1,-2,3,1,-2,2,0,3,2,5,-1,3,2,1,0,1,0,-6,-232,-3,-3,6,7,0,1,-1,-1,1,1,1,-1
KR_6760436883,440,-2,-19,-50,0,1,1,2,1,3,4,-2,5,3,-1,5,4,1,1,2,-1,-3,133,2,-5,3,2,0,0,1,-1,-1,-1,4,-1
KR_6684683574,420,-2,-3,-8,-5,0,1,1,-1,2,1,0,1,1,-3,3,0,-1,1,0,0,-6,-27,1,-3,2,12,0,0,-1,1,0,1,2,-1
KR_6726272745,420,-3,-4,-15,-4,2,2,4,-2,3,1,-2,2,0,-1,3,2,-1,2,1,0,-4,2,-1,-1,2,1,0,0,-1,1,0,-1,1,-1
KR_6720788488,420,-1,34,8,-2,-1,3,2,1,1,2,-9,9,0,9,0,9,-2,2,0,0,-3,-19,0,-5,5,0,0,1,-1,-1,1,-1,4,-1
KR_6740936485,420,-3,-24,4,-14,1,1,2,-10,14,4,0,1,1,-1,2,1,-4,4,0,0,-18,-20,-2,-2,4,2,0,0,-1,1,1,-1,3,-1
KR_6720819713,440,-3,-93,-18,-1,-4,4,0,3,4,7,-3,6,3,-1,6,5,4,0,4,-1,8,-4,0,-4,4,-1,0,-1,1,0,1,-1,6,-1
KR_6755551178,420,-2,-31,4,0,0,3,3,2,1,3,-2,4,2,1,1,2,-1,1,0,0,-5,18,5,-8,3,-7,0,-1,1,-1,-1,-1,5,-1
KR_6595630785,420,-4,11,-59,-8,-2,4,2,-4,5,1,-3,4,1,3,1,4,-2,3,1,0,-1,-19,3,-6,3,5,0,-1,-1,-1,-1,1,6,-1
KR_6731429381,420,0,-42,24,-5,-5,5,0,1,3,4,5,1,6,-5,5,0,-1,1,0,0,-3,26,0,-4,4,-2,0,-1,-1,-1,-1,-1,2,-1
KR_6668741054,420,-5,-68,-5,-9,-2,6,4,-1,5,4,-1,2,1,-2,2,0,-3,5,2,0,-8,-8,-3,-5,8,-1,0,-2,-1,1,-1,1,2,-1
KR_6764432198,420,-2,32,-24,1,5,0,5,0,4,4,0,1,1,-2,2,0,-2,2,0,-1,-8,7,-2,-4,6,3,0,-1,-1,1,-1,-1,5,-1
KR_6763583835,420,-1,-24,-11,-5,2,0,2,-4,5,1,-3,6,3,-1,2,1,1,0,1,0,-12,-2,0,-3,3,-2,0,0,1,-1,0,-1,6,-1
KR_6738716217,420,-5,-82,-32,-7,-5,6,1,0,1,1,0,2,2,-3,3,0,1,0,1,1,-1,2,4,-8,4,-6,0,-2,-1,0,-1,1,6,-1
KR_6673830096,420,-1,-62,8,-4,-2,2,0,0,1,1,-1,3,2,0,5,5,-1,1,0,1,1,-99,0,-7,7,-4,0,-1,1,-1,-1,1,3,-1
KR_6608873731,420,1,-32,22,-2,-4,4,0,2,1,3,-2,3,1,0,0,0,2,0,2,0,0,0,2,-3,1,-3,0,0,1,-1,-1,-1,5,-1
KR_6751683130,420,1,0,-6,4,2,1,3,-2,3,1,6,0,6,-3,5,2,1,2,3,1,3,115,0,-4,4,-4,0,0,0,0,1,1,0,-1
KR_6756620431,440,-5,2,-16,-14,2,2,4,-5,9,4,-2,2,0,-2,2,0,-7,7,0,0,-14,-59,2,-3,1,21,0,1,1,-1,1,1,5,-1
KR_6713253051,420,-1,2,-12,-2,-6,6,0,2,2,4,3,4,7,2,3,5,-3,4,1,-2,-9,-11,-2,-1,3,-1,0,1,-1,0,1,-1,6,-1
KR_6750075268,420,0,-25,8,-1,5,0,5,-1,5,4,-5,6,1,0,3,3,0,2,2,0,-2,3,4,-7,3,-3,0,2,-1,1,1,1,3,-1
KR_6754315470,420,1,0,-7,1,-4,4,0,-6,8,2,2,2,4,3,0,3,6,0,6,0,5,-15,-7,0,7,2,0,1,-1,-1,1,-1,6,-1
KR_6681610084,440,-1,-79,-16,-1,-2,3,1,2,1,3,3,0,3,-3,7,4,-1,3,2,0,2,-43,0,-5,5,19,0,-1,1,-1,-1,-1,6,-1
KR_6762557260,420,-2,-83,-12,0,0,0,0,0,2,2,1,0,1,-1,4,3,0,1,1,0,6,64,0,-5,5,2,0,-1,1,-1,-1,1,2,-1
KR_6753682231,420,2,23,-4,0,-1,3,2,5,2,7,3,2,5,-6,8,2,-1,2,1,0,4,-2,1,-3,2,-1,0,-1,0,-1,-1,1,0,-1
KR_6762402135,420,-2,-62,8,-4,0,1,1,0,2,2,-4,4,0,1,0,1,-1,1,0,0,-8,9,-2,-2,4,0,0,0,-1,1,0,1,2,-1
KR_6732079175,420,-7,-142,-28,-9,-4,5,1,-2,3,1,-1,3,2,-1,4,3,-1,1,0,0,-4,17,3,-4,1,-1,0,-2,-1,0,-1,-1,3,-1
KR_6625987990,420,2,57,4,8,2,0,2,-1,5,4,5,1,6,2,2,4,0,1,1,0,0,46,2,-4,2,-16,0,1,0,1,1,1,0,-1
KR_6625388193,420,1,31,5,3,3,0,3,0,4,4,1,2,3,-1,4,3,0,0,0,0,3,17,3,-6,3,0,0,0,0,1,0,1,0,-1
KR_6743079582,420,-1,19,-17,-8,1,3,4,-5,7,2,-7,8,1,5,3,8,-2,4,2,-1,-9,-7,-2,-3,5,-3,0,-1,-1,-1,-1,-1,5,-1
KR_6616450589,420,-4,-75,-40,-2,-3,4,1,2,0,2,-3,5,2,2,0,2,0,1,1,0,3,26,1,-5,4,-2,0,0,-1,1,-1,-1,4,-1
KR_6753162657,420,-3,-36,-8,-5,0,1,1,0,4,4,0,2,2,-5,5,0,0,0,0,0,-8,-64,2,-6,4,-3,0,0,0,0,0,-1,0,-1
KR_6762238955,420,3,-26,-4,3,3,0,3,-2,4,2,2,0,2,-3,3,0,3,1,4,0,-2,345,-3,-3,6,3,0,0,-1,1,1,1,2,-1
KR_6760200221,420,2,7,-16,2,1,1,2,5,2,7,-1,2,1,0,2,2,-3,4,1,0,6,24,-3,-2,5,-2,0,0,1,-1,0,1,5,-1
KR_6760954639,420,-4,5,0,-7,-4,4,0,-1,1,0,-1,3,2,-1,5,4,0,2,2,-1,-2,14,-1,-5,6,-11,0,0,0,1,0,-1,0,-1
KR_6578608222,420,-3,0,-15,-2,-5,5,0,2,3,5,-2,2,0,1,0,1,2,0,2,0,9,19,4,-6,2,0,0,0,1,-1,0,-1,1,-1
