matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6731860093,420,-5,-23,-24,-13,-2,3,1,-7,8,1,-4,5,1,3,3,6,-3,3,0,0,-17,31,-5,-3,8,-2,0,-2,1,-1,-1,1,4,-1
KR_6749510736,420,-7,-100,4,-10,-4,4,0,-3,5,2,0,1,1,-3,5,2,0,0,0,0,-5,-52,-2,-6,8,3,0,0,-1,1,-1,-1,5,-1
KR_6744043796,420,0,-14,-7,0,0,1,1,1,6,7,0,2,2,-1,3,2,0,1,1,0,2,30,-3,-6,9,1,0,1,1,-1,-1,1,4,-1
KR_6746665728,420,-1,17,-11,5,0,1,1,-2,2,0,2,0,2,5,0,5,0,0,0,0,10,-8,-3,-7,10,7,0,0,-1,1,0,1,2,-1
KR_6728621329,420,-2,-25,39,-10,-4,5,1,-7,7,0,2,0,2,-3,3,0,2,1,3,0,-9,-28,0,-7,7,-4,0,0,-1,1,0,1,6,-1
KR_6724602802,420,-3,-5,-32,-3,-1,2,1,1,2,3,-5,6,1,2,8,10,0,1,1,0,-2,17,3,-10,7,-4,0,0,1,-1,-1,1,2,-1
KR_6730911180,420,-3,-14,-44,1,2,1,3,2,3,5,1,0,1,-3,4,1,-1,1,0,-1,-2,18,-2,-6,8,-2,0,-1,-1,-1,-1,-1,6,-1
KR_6749619406,420,-2,-16,3,-1,-3,5,2,-2,2,0,0,3,3,2,2,4,2,0,2,0,-7,2,4,-12,8,-4,0,0,-1,1,1,1,6,-1
KR_6742593130,420,-2,25,-15,-8,1,0,1,-10,10,0,-4,6,2,5,0,5,0,0,0,-1,-6,-24,-3,-5,8,1,0,-2,1,-1,-1,-1,6,-1
KR_6746741106,420,-2,2,0,-4,-5,6,1,0,1,1,-2,2,0,2,4,6,1,0,1,0,5,5,1,-10,9,-1,0,0,-1,-1,-1,-1,5,-1
KR_6748776691,420,3,42,16,4,0,0,0,0,1,1,3,2,5,-1,1,0,2,2,4,0,8,1,-1,-5,6,-1,0,0,-1,-1,1,1,2,-1
KR_6743429262,420,1,17,-42,4,5,1,6,0,5,5,-2,3,1,0,2,2,1,0,1,-1,-2,-7,0,-8,8,3,0,-1,-1,-1,-1,-1,3,-1
KR_6749732045,420,-4,45,-31,-9,-3,4,1,-6,8,2,-3,4,1,4,0,4,-1,1,0,0,-7,-32,-1,-8,9,0,0,-1,1,-1,-1,-1,6,-1
KR_6729007301,420,-8,-52,7,-12,0,2,2,-4,8,4,-4,4,0,-1,2,1,-3,3,0,0,-23,-37,-1,-9,10,-2,0,-3,-1,-1,-1,-1,2,-1
KR_6731793619,420,-1,-14,-11,-2,0,1,1,1,1,2,-1,3,2,-2,3,1,0,0,0,0,0,-4,0,-10,10,1,0,-2,-1,1,-1,1,2,-1
KR_6739593616,420,3,-7,-5,5,1,2,3,-2,6,4,1,1,2,3,0,3,2,1,3,0,9,-8,1,-6,5,2,0,0,-1,1,1,1,6,-1
KR_6736610437,420,-8,-50,-38,-20,2,0,2,-8,9,1,-1,1,0,-5,5,0,-8,9,1,0,-28,-16,6,-12,6,-7,0,-3,0,-1,-1,1,0,-1
KR_6738621010,420,-3,-68,32,-5,-2,2,0,-3,4,1,0,1,1,0,5,5,0,2,2,1,-6,-13,-4,-6,10,5,0,-1,-1,1,-1,1,6,-1
KR_6746694495,420,2,17,-30,10,-1,1,0,5,1,6,3,1,4,3,0,3,0,1,1,2,24,8,3,-10,7,4,0,0,1,-1,-1,1,3,-1
KR_6747343062,420,-3,-96,9,-1,0,2,2,2,0,2,1,3,4,-3,5,2,-1,1,0,0,-3,-48,0,-10,10,2,0,-2,-1,1,-1,1,5,-1
KR_6734563527,440,-3,-59,0,-3,-2,2,0,2,2,4,3,1,4,-5,6,1,-1,2,1,0,5,-5,1,-5,4,1,0,0,1,-1,0,-1,1,-1
KR_6747758205,420,-5,-91,8,-10,-4,4,0,-5,6,1,-2,2,0,0,2,2,1,1,2,0,-13,-9,-3,-7,10,0,0,-4,1,-1,-1,1,5,-1
KR_6752139822,420,-3,-28,-3,-3,0,1,1,2,2,4,-2,3,1,-3,3,0,0,0,0,0,-8,12,1,-9,8,-3,0,0,-1,1,0,-1,5,-1
KR_6740076427,420,0,41,28,0,2,0,2,1,3,4,2,2,4,-5,6,1,0,0,0,0,-12,3,-1,-8,9,3,0,0,1,1,1,1,4,-1
KR_6736918412,420,-5,-56,-21,-18,-2,2,0,-3,6,3,2,1,3,-9,12,3,-6,6,0,0,-11,-13,-1,-7,8,0,0,-3,-1,-1,-1,1,3,-1
