matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6760468396,420,0,22,4,2,4,0,4,3,0,3,-2,3,1,-3,3,0,0,0,0,0,1,-33,3,-5,2,-5,0,0,-1,1,0,1,4,-1
KR_6748600200,420,-2,-22,0,2,0,3,3,2,2,4,0,1,1,1,0,1,-1,1,0,0,16,5,0,-5,5,-10,0,0,-1,-1,0,-1,5,-1
KR_6753905934,420,-4,-46,-9,-7,-5,5,0,-1,2,1,0,1,1,-2,3,1,1,2,3,0,-7,-2,-1,-5,6,8,0,-3,1,-1,-1,-1,2,-1
KR_6769363410,420,-3,-5,5,-4,-6,6,0,1,1,2,-4,5,1,2,2,4,3,2,5,0,1,-1,-2,-5,7,7,0,0,1,1,0,-1,5,-1
KR_6671468088,420,-2,-12,-24,-7,0,1,1,-1,1,0,-3,3,0,-5,5,0,2,0,2,0,-7,36,1,-9,8,-7,0,1,-1,1,1,1,4,-1
KR_6777260164,420,-1,-31,-23,-4,-6,7,1,5,2,7,-5,5,0,-1,1,0,3,0,3,0,0,97,1,-6,5,1,0,1,-1,-1,1,-1,3,-1
KR_6772380551,420,-1,4,-12,-2,0,2,2,0,4,4,-1,2,1,0,3,3,-1,2,1,0,-6,-1,0,-10,10,0,0,1,-1,1,1,-1,5,-1
KR_6748083742,420,-2,-23,8,1,-3,5,2,4,0,4,5,0,5,-4,6,2,-1,1,0,0,5,20,6,-12,6,-4,0,0,1,1,0,1,6,-1
KR_6777743109,420,-2,-14,5,-10,-2,2,0,-3,5,2,-8,9,1,3,2,5,0,1,1,0,-8,-2,0,-7,7,3,0,-1,-1,-1,-1,-1,1,-1
KR_6758676261,420,0,12,17,-1,3,3,6,2,0,2,-1,5,4,-3,9,6,-2,2,0,-1,6,-24,-6,-4,10,6,0,2,-1,1,1,-1,2,-1
KR_6772557742,420,-1,-57,16,-4,-3,3,0,-1,2,1,1,3,4,-1,2,1,0,0,0,0,-8,2,1,-6,5,1,0,-1,-1,1,-1,-1,2,-1
KR_6741898964,420,0,11,12,-1,-2,2,0,1,4,5,2,1,3,-2,3,1,0,2,2,0,-6,-17,2,-6,4,3,0,0,1,-1,0,-1,5,-1
KR_6774260798,420,0,-41,-9,1,2,1,3,1,0,1,-1,1,0,-1,1,0,0,1,1,0,-3,0,1,-7,6,-3,0,0,-1,-1,0,1,4,-1
KR_6740581763,420,0,-60,20,-4,1,2,3,-1,4,3,-4,8,4,-1,2,1,1,0,1,0,-5,2,3,-7,4,-3,0,0,1,1,0,1,4,-1
KR_6765715219,420,-5,-60,11,-13,-2,3,1,-7,8,1,-1,4,3,-1,4,3,-2,2,0,1,-11,-8,-5,-5,10,-1,0,-2,1,-1,-1,1,4,-1
KR_6771815966,420,-1,-33,24,-3,2,1,3,-2,3,1,1,1,2,-5,7,2,1,0,1,0,-4,-8,-6,-6,12,-2,0,-1,1,-1,-1,-1,3,-1
KR_6774247594,420,-2,-18,-1,-3,3,1,4,1,2,3,-2,7,5,-4,5,1,-1,1,0,0,-2,19,-1,-6,7,-4,0,1,1,1,-1,1,1,-1
KR_6751036952,440,1,44,-30,0,7,1,8,1,1,2,-5,6,1,3,1,4,-6,7,1,1,-9,-1,0,-3,3,0,0,1,0,-1,1,1,0,-1
KR_6746856505,420,1,2,-1,-2,1,1,2,-3,6,3,2,1,3,-1,1,0,-1,2,1,0,0,-37,0,-5,5,-1,0,1,-1,1,1,-1,2,-1
KR_6736333092,420,-1,-63,-42,-4,-2,2,0,-2,3,1,-2,4,2,1,1,2,1,0,1,0,-5,1,-2,-6,8,1,0,-1,-1,-1,-1,1,4,-1
KR_6766094707,440,-2,-18,-20,-4,1,0,1,-1,2,1,0,3,3,-4,7,3,0,1,1,0,6,3,-2,-4,6,5,0,-1,-1,-1,-1,-1,2,-1
KR_6776079201,420,0,-24,-7,3,1,1,2,-3,4,1,6,1,7,0,2,2,-1,1,0,0,1,4,2,-7,5,-4,0,1,-1,-1,1,1,2,-1
