matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6690423531,420,2,70,7,6,0,3,3,4,1,5,5,7,12,-1,4,3,-2,2,0,0,7,-6,-2,-7,9,-4,0,1,1,1,-1,-1,4,-1
KR_6768882598,420,0,-5,-21,0,-2,2,0,-3,3,0,5,1,6,0,2,2,0,1,1,0,-4,-1,1,-4,3,-1,0,0,0,1,1,-1,0,-1
KR_6768051218,420,0,15,-4,2,0,0,0,0,3,3,0,2,2,2,0,2,0,1,1,0,4,37,-3,-2,5,-18,0,0,-1,1,0,-1,3,-1
KR_6750434504,420,-3,-79,5,-7,-5,6,1,-2,5,3,2,4,6,-1,4,3,-1,1,0,0,-1,8,9,-14,5,-1,0,-1,-1,-1,-1,1,1,-1
KR_6759472783,420,0,19,0,-6,-2,2,0,0,1,1,0,4,4,-3,4,1,-1,2,1,0,-4,-9,0,-7,7,-1,0,-1,-1,-1,-1,-1,2,-1
KR_6766631279,420,1,-33,5,-1,1,0,1,-3,6,3,1,0,1,0,2,2,0,0,0,0,4,0,-1,-4,5,5,0,0,1,-1,1,1,6,-1
KR_6762983429,440,0,-68,16,5,-2,4,2,2,0,2,0,1,1,7,0,7,-2,2,0,2,15,96,-1,-7,8,-3,0,0,1,1,1,1,4,-1
KR_6628032819,440,-6,-112,5,-24,-7,7,0,0,1,1,-5,6,1,-1,5,4,-11,11,0,-4,-33,32,-6,0,6,-23,0,-2,0,-1,-1,-1,0,-1
KR_6765602231,420,-1,-30,-7,-5,-1,1,0,2,4,6,-8,9,1,1,2,3,1,3,4,-1,5,-15,-3,-5,8,2,0,0,-1,-1,-1,-1,6,-1
KR_6762647029,420,1,0,24,2,-3,4,1,3,2,5,3,1,4,-3,7,4,2,1,3,0,6,26,-8,-1,9,6,0,1,-1,1,1,1,3,-1
KR_6732106928,420,-5,-10,-17,-6,3,3,6,-9,10,1,0,2,2,2,4,6,-2,2,0,0,-7,-10,-2,-4,6,2,0,-1,1,1,-1,1,4,-1
KR_6719857977,420,-2,2,20,-1,0,0,0,-1,2,1,-2,3,1,2,1,3,0,0,0,0,-3,118,-1,-5,6,0,0,0,-1,1,0,1,1,-1
KR_6681851805,420,-3,-67,38,-10,-3,3,0,3,0,3,-3,5,2,-5,7,2,-2,2,0,0,-9,14,1,-7,6,-5,0,-1,1,-1,-1,1,6,-1
KR_6724585119,420,1,46,-16,1,1,2,3,-1,2,1,-4,4,0,2,0,2,3,1,4,0,1,-2,1,-3,2,1,0,0,1,0,0,1,2,-1
KR_6768553542,420,-5,-52,-1,-8,0,1,1,-4,4,0,4,2,6,-8,8,0,0,3,3,0,-9,-2,6,-10,4,-3,0,-2,1,-1,-1,1,5,-1
KR_6637983881,420,-6,-115,-44,-13,-5,5,0,-2,4,2,0,4,4,-5,5,0,-1,1,0,-1,-9,6,-1,-4,5,-3,0,-3,-1,-1,-1,-1,3,-1
KR_6693042001,420,-4,-10,-12,-13,-4,4,0,-4,4,0,-1,1,0,-5,5,0,1,0,1,0,-15,-5,-6,-4,10,-6,0,1,-1,-1,1,-1,2,-1
KR_6725670352,440,0,-33,-32,6,-2,4,2,8,2,10,-1,1,0,-2,2,0,3,0,3,1,17,9,7,-9,2,-2,0,-1,1,-1,-1,1,1,-1
KR_6765828294,420,-8,-39,-24,-13,-5,6,1,-4,6,2,-3,5,2,-2,5,3,1,1,2,0,-5,-36,2,-5,3,11,0,-1,1,-1,-1,1,4,-1
KR_6760090936,420,-4,-37,-52,-7,1,2,3,-4,4,0,-1,1,0,-3,3,0,0,2,2,0,-8,-10,-1,-4,5,2,0,0,-1,-1,0,-1,6,-1
KR_6734130792,420,0,4,6,-6,2,1,3,-3,6,3,0,2,2,-4,6,2,-1,1,0,0,-8,-284,-3,-4,7,5,0,-1,1,1,-1,-1,6,-1
KR_6704339719,420,-1,20,0,3,-2,4,2,1,3,4,3,4,7,-2,7,5,3,0,3,1,3,-23,2,-6,4,0,0,0,1,1,1,1,3,-1
KR_6743721076,420,0,27,19,-5,-1,1,0,1,0,1,0,4,4,1,4,5,-6,7,1,0,-19,-51,-3,-4,7,4,0,0,-1,-1,-1,1,2,-1
KR_6726710495,440,-9,-63,-65,-15,-8,8,0,-12,12,0,0,1,1,1,2,3,4,0,4,-3,-18,-16,-2,-3,5,-2,0,-1,0,-1,-1,-1,0,-1
