matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6749090521,420,2,-45,13,4,4,1,5,1,2,3,2,2,4,-3,5,2,0,1,1,1,-7,13,0,-6,6,1,0,-1,1,1,-1,1,1,-1
KR_6767136193,420,-4,-71,-22,-12,1,1,2,-2,2,0,-4,7,3,-7,7,0,0,0,0,-1,-12,-10,5,-9,4,-2,0,-1,-1,0,-1,-1,1,-1
KR_6765422028,420,0,21,35,0,2,0,2,-4,6,2,0,2,2,-1,2,1,3,0,3,0,-5,87,-3,-2,5,-2,0,1,1,1,1,-1,1,-1
KR_6765847553,420,0,21,27,-4,-1,2,1,0,1,1,1,2,3,-6,11,5,2,1,3,1,-2,74,1,-7,6,8,0,3,-1,1,1,1,6,-1
KR_6723659478,420,0,20,-8,-1,0,0,0,0,1,1,1,0,1,-1,3,2,-1,4,3,0,-7,-138,-3,-6,9,3,0,0,1,-1,0,1,4,-1
KR_6760174323,420,-6,-60,-63,-13,-4,4,0,-5,6,1,-2,3,1,0,1,1,-2,3,1,0,-10,17,-2,-3,5,3,0,-2,-1,1,-1,1,3,-1
KR_6766157805,420,-1,1,-28,-11,0,1,1,-9,10,1,-3,4,1,2,3,5,-1,2,1,-1,-10,-1,2,-5,3,-3,0,-1,1,-1,-1,1,3,-1
KR_6746174381,420,-3,-81,-4,-5,-5,5,0,-1,3,2,2,1,3,1,0,1,-2,2,0,0,2,-10,-3,-2,5,6,0,-2,-1,-1,-1,1,5,-1
KR_6749090310,440,-1,-50,-10,-1,-2,3,1,1,2,3,-1,7,6,4,1,5,-3,4,1,0,7,-4,-3,-4,7,1,0,-1,-1,-1,-1,1,1,-1
KR_6744416145,420,0,16,8,-1,2,2,4,-1,2,1,3,0,3,-2,7,5,-3,3,0,0,-5,2,-2,-6,8,0,0,0,1,-1,1,-1,4,-1
KR_6767370908,420,-2,12,11,1,-5,5,0,4,2,6,1,2,3,1,1,2,0,1,1,0,13,5,3,-7,4,1,0,0,-1,1,0,-1,3,-1
KR_6756545550,420,-3,-29,8,-11,-3,3,0,-4,4,0,-1,3,2,0,3,3,-3,3,0,0,-21,0,0,-3,3,-3,0,-1,-1,1,1,-1,6,-1
KR_6767651826,420,0,-20,-34,-5,-4,4,0,4,1,5,-2,8,6,-6,7,1,3,1,4,0,-5,302,0,-5,5,-1,0,-1,-1,-1,-1,1,1,-1
KR_6768913985,420,-1,-63,-8,4,-1,1,0,3,1,4,1,0,1,2,1,3,-1,3,2,0,7,-115,1,-7,6,0,0,0,-1,-1,0,-1,4,-1
