matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6730710938,420,-2,-33,8,-5,0,1,1,-3,4,1,0,3,3,-2,2,0,0,1,1,0,-12,6,0,-6,6,-3,0,0,-1,-1,-1,1,4,-1
KR_6683981697,420,0,-12,16,-4,3,0,3,-1,4,3,-4,4,0,-2,3,1,0,0,0,0,-7,5,0,-4,4,-3,0,0,1,-1,0,1,3,-1
KR_6766548469,440,-3,-65,-4,-7,-1,3,2,-2,2,0,-1,3,2,3,1,4,-6,6,0,0,-7,-2,-1,-2,3,-1,0,-2,-1,-1,-1,-1,3,-1
KR_6731880744,420,1,37,-14,0,0,0,0,-3,6,3,0,2,2,3,0,3,0,1,1,0,0,3,2,-5,3,4,0,0,1,-1,0,1,3,-1
KR_6768370589,420,-4,11,12,-11,0,1,1,-3,3,0,-4,6,2,-3,3,0,-1,2,1,0,-14,2,-3,-6,9,-3,0,-1,-1,1,-1,-1,3,-1
KR_6680741395,420,-6,-69,-28,-13,-5,5,0,-4,4,0,-4,4,0,-1,3,2,1,1,2,0,-7,-182,3,-4,1,-1,0,-1,-1,-1,-1,-1,5,-1
KR_6683059674,420,-3,-59,-52,-5,-6,6,0,-2,5,3,1,2,3,3,0,3,-1,3,2,0,-6,-219,-1,-3,4,1,0,-1,1,-1,-1,1,6,-1
KR_6671770719,420,-5,-107,-11,-10,-4,4,0,-2,3,1,-3,4,1,2,0,2,-3,3,0,0,-15,-38,-3,-6,9,0,0,-1,-1,-1,-1,-1,4,-1
KR_6665364804,420,0,48,20,2,3,1,4,0,1,1,-4,5,1,2,2,4,1,0,1,0,0,8,8,-9,1,0,0,0,1,1,0,1,4,-1
KR_6718454776,420,1,18,-19,-1,-1,2,1,-1,3,2,4,0,4,-2,6,4,-1,2,1,0,-3,-6,-2,-4,6,-4,0,-1,-1,-1,-1,-1,6,-1
KR_6743732471,420,1,59,-8,-1,-4,5,1,2,1,3,2,1,3,-1,3,2,0,1,1,0,1,6,3,-7,4,4,0,-1,-1,-1,-1,1,1,-1
KR_6694339689,420,2,12,-10,8,-3,6,3,0,5,5,4,0,4,3,0,3,4,0,4,0,10,16,2,-6,4,-1,0,-1,1,-1,1,-1,1,-1
KR_6601316137,440,3,-5,-12,-2,0,1,1,-1,7,6,2,1,3,-2,4,2,-1,2,1,0,-2,18,-1,-3,4,-29,0,-1,-1,-1,-1,1,1,-1
