matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6762820767,440,2,13,15,4,-1,3,2,3,0,3,0,1,1,2,1,3,0,1,1,0,1,13,1,-7,6,0,0,-1,-1,1,-1,1,6,-1
KR_6476650038,420,1,15,-4,1,1,1,2,-3,4,1,2,0,2,0,0,0,1,0,1,0,-1,-3,2,-6,4,2,0,0,-1,-1,0,-1,5,-1
KR_6768372799,420,-1,-53,11,-1,-4,7,3,1,2,3,3,3,6,1,3,4,-2,2,0,0,-12,2,3,-11,8,1,0,-1,1,-1,-1,1,6,-1
KR_6762310870,420,-4,-4,-7,-15,-1,3,2,-1,4,3,-4,5,1,-9,10,1,0,1,1,0,-18,13,2,-4,2,-3,0,-1,-1,-1,-1,-1,1,-1
KR_6765937806,420,0,36,16,8,1,2,3,2,1,3,0,5,5,1,1,2,4,0,4,0,8,-11,4,-6,2,-7,0,0,1,-1,0,1,1,-1
KR_6747974964,420,1,34,28,0,3,1,4,1,1,2,-1,1,0,-4,4,0,1,1,2,0,-8,3,-1,-3,4,3,0,1,1,1,1,1,4,-1
KR_6723818934,420,-4,-83,-7,-7,-2,2,0,-1,4,3,1,4,5,-3,5,2,-2,2,0,-1,-14,-4,0,-5,5,1,0,0,-1,-1,-1,-1,6,-1
KR_6693223886,420,-7,-88,-8,-13,-1,4,3,5,2,7,-11,12,1,-1,1,0,-5,6,1,-1,-8,11,-4,-3,7,5,0,-2,-1,1,-1,-1,4,-1
KR_6769843074,420,1,-8,44,8,-4,4,0,5,1,6,3,3,6,4,1,5,0,3,3,1,21,0,0,-2,2,5,0,0,1,-1,1,1,6,-1
KR_6757219003,420,-4,-33,-4,-4,-2,2,0,-3,3,0,0,2,2,1,1,2,0,0,0,0,-5,-90,3,-7,4,-2,0,-2,-1,1,-1,1,6,-1
KR_6716569460,420,-4,-107,5,-5,-1,2,1,-3,4,1,2,0,2,-3,3,0,0,0,0,0,-6,12,3,-5,2,-5,0,-2,0,1,-1,-1,0,-1
KR_6695894581,420,-2,-22,30,-3,-3,3,0,-1,2,1,0,3,3,1,3,4,0,1,1,0,-6,10,2,-8,6,-8,0,1,1,-1,1,-1,3,-1
KR_6753616667,440,-2,5,22,-12,-1,3,2,-1,3,2,0,1,1,-6,6,0,-4,5,1,0,-12,-12,0,-4,4,-4,0,0,-1,-1,0,-1,5,-1
KR_6683812328,420,1,4,-4,5,2,2,4,4,3,7,0,1,1,-1,2,1,0,2,2,0,-1,-19,8,-9,1,16,0,1,-1,1,1,1,4,-1
KR_6746316707,420,-3,10,-12,-11,-1,3,2,-6,7,1,0,4,4,0,2,2,-4,6,2,0,-8,4,4,-7,3,0,0,-2,-1,-1,-1,1,1,-1
KR_6750331187,420,-1,54,23,2,-4,5,1,2,2,4,5,0,5,0,3,3,-1,2,1,0,-2,1,1,-5,4,1,0,1,1,1,1,1,3,-1
KR_6766490270,440,-4,-101,-14,-14,0,0,0,0,0,0,-5,5,0,-6,6,0,-3,3,0,0,-5,-2,2,-4,2,-1,-1,-4,0,-1,-1,-1,0,-1
KR_6747724632,420,2,-31,12,4,1,1,2,0,1,1,2,2,4,2,1,3,-1,1,0,0,7,3,2,-5,3,-3,0,0,1,1,-1,-1,2,-1
KR_6757997195,420,-4,-27,8,-6,0,0,0,-1,4,3,-1,2,1,-3,4,1,-1,1,0,0,-8,3,4,-7,3,-1,0,0,-1,1,0,-1,5,-1
KR_6650606063,420,-4,-12,-35,0,1,3,4,5,0,5,-8,9,1,0,1,1,2,0,2,1,0,7,5,-8,3,0,0,0,1,-1,-1,1,5,-1
KR_6715923017,420,-1,4,-19,0,0,1,1,2,0,2,1,2,3,-3,5,2,0,2,2,1,2,30,1,-8,7,3,0,0,1,-1,0,1,1,-1
KR_6525691454,420,-1,31,-7,-5,1,0,1,-2,5,3,-2,3,1,-1,3,2,-1,2,1,0,-13,-50,6,-10,4,-3,0,1,-1,0,1,-1,6,-1
KR_6701894298,420,-1,-12,12,-2,2,1,3,3,1,4,-1,6,5,-4,5,1,-2,2,0,0,-2,-6,-3,-4,7,-1,0,1,1,0,1,-1,1,-1
KR_6768649280,420,-1,-17,20,-9,-2,3,1,0,1,1,-6,7,1,0,5,5,-1,1,0,-2,-10,-2,2,-10,8,-1,0,-1,-1,1,-1,-1,6,-1
