matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6758225719,420,-3,-75,-4,-5,-1,4,3,-6,7,1,6,0,6,-3,5,2,-1,3,2,0,-6,2,-1,-7,8,-4,0,0,0,-1,-1,1,0,-1
KR_6625191930,420,-1,-20,5,-6,3,2,5,-2,5,3,-6,6,0,-1,2,1,0,0,0,0,-9,308,-2,-3,5,-1,0,-1,1,-1,-1,-1,1,-1
KR_6717958296,440,3,25,2,9,0,2,2,1,2,3,-2,4,2,9,2,11,1,0,1,0,13,301,-2,-4,6,-3,0,2,1,-1,1,1,5,-1
KR_6687978851,420,-6,-86,-40,-14,-2,2,0,-2,2,0,-9,9,0,-3,4,1,2,0,2,0,-8,36,0,-2,2,-19,0,-1,0,-1,-1,-1,0,-1
KR_6359794387,420,3,9,4,6,3,4,7,-3,5,2,3,1,4,1,3,4,2,1,3,0,12,0,0,0,0,-3,0,2,1,1,1,1,1,-1
KR_6733443249,420,-5,-99,4,-6,1,3,4,2,3,5,-3,3,0,-3,3,0,-3,3,0,-2,-6,-1,-2,-3,5,-4,0,-2,-1,-1,-1,-1,1,-1
KR_6758547509,420,2,-40,-5,6,0,2,2,1,2,3,-4,6,2,9,0,9,0,0,0,1,7,-11,2,-3,1,1,0,1,-1,-1,1,1,5,-1
KR_6692511705,420,0,52,26,-6,1,3,4,-6,9,3,0,2,2,-1,2,1,0,3,3,-1,-19,-229,-4,-2,6,-1,0,0,0,0,0,-1,0,-1
KR_6139634382,420,-3,-37,12,-10,0,2,2,-3,3,0,1,1,2,-6,6,0,-2,3,1,0,-15,54,3,-5,2,0,0,-2,-1,-1,-1,-1,1,-1
KR_6623452338,420,-2,29,-1,1,1,1,2,-2,6,4,1,5,6,0,2,2,1,0,1,0,-1,8,4,-7,3,-1,0,0,1,-1,0,1,5,-1
KR_6677828019,420,3,-22,24,6,-1,5,4,2,2,4,4,0,4,2,0,2,-1,2,1,-1,7,12,1,-4,3,-7,0,0,1,1,0,-1,4,-1
KR_6703336389,420,1,8,12,-5,-2,10,8,2,1,3,-1,4,3,-2,2,0,-2,2,0,0,-1,3,2,-3,1,-1,0,-1,-1,-1,-1,-1,6,-1
