matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6764778771,420,0,18,3,-2,2,1,3,-7,8,1,-1,3,2,4,1,5,0,0,0,0,-7,5,-2,-7,9,-1,0,0,-1,-1,1,1,1,-1
KR_6768501158,420,0,11,11,-3,0,1,1,-2,6,4,-3,3,0,2,1,3,0,0,0,0,-5,9,-1,-6,7,-3,0,1,-1,1,1,-1,3,-1
KR_6756466767,420,-5,-12,-24,-8,-2,3,1,-7,7,0,2,1,3,0,7,7,-1,1,0,0,-6,0,0,-7,7,-1,0,-1,-1,-1,-1,-1,2,-1
KR_6726413893,420,3,-49,35,3,2,0,2,2,5,7,-2,2,0,3,0,3,-2,2,0,0,5,0,1,-11,10,-4,0,0,-1,1,-1,-1,3,-1
KR_6760011410,420,0,-15,-13,-5,3,1,4,-8,8,0,0,4,4,-1,5,4,1,1,2,0,-15,-4,-1,-5,6,-3,0,0,1,-1,0,-1,6,-1
KR_6757629640,420,-1,27,-38,-2,0,2,2,-5,6,1,-1,3,2,4,0,4,0,0,0,0,3,9,-2,-3,5,4,0,-1,1,-1,-1,-1,6,-1
KR_6769718251,420,-1,-31,13,-2,-2,3,1,-2,4,2,3,0,3,-2,5,3,1,0,1,0,-4,-24,6,-10,4,1,0,0,-1,1,-1,1,5,-1
KR_6769239178,420,0,1,8,2,1,3,4,3,4,7,-2,2,0,-2,3,1,2,1,3,0,3,6,2,-7,5,-6,0,0,1,-1,-1,1,6,-1
KR_6766549402,420,-1,-17,1,1,2,2,4,2,2,4,3,4,7,-6,9,3,0,1,1,0,6,-2,1,-9,8,1,0,-2,1,1,-1,1,2,-1
KR_6721342559,420,-4,-21,-12,-8,-2,3,1,-2,4,2,-5,5,0,2,1,3,-1,1,0,0,-8,-44,-5,-4,9,4,0,-1,-1,-1,-1,-1,1,-1
KR_6768896410,420,-2,-7,4,-7,0,1,1,-3,7,4,-1,1,0,-4,6,2,1,1,2,-1,-12,-10,-3,-8,11,5,0,-2,1,-1,-1,-1,5,-1
KR_6760833975,420,1,64,-18,4,2,2,4,-2,3,1,2,0,2,2,1,3,0,0,0,0,4,-6,0,-6,6,3,0,1,-1,1,1,1,1,-1
KR_6753320242,420,0,-1,8,1,-1,4,3,3,2,5,-2,2,0,0,1,1,1,1,2,0,11,-1,1,-8,7,-13,0,-2,1,-1,-1,-1,2,-1
KR_6768528578,420,-1,-2,12,-2,-3,4,1,0,2,2,0,2,2,-1,5,4,2,0,2,1,-1,-4,3,-10,7,-2,0,0,1,1,-1,1,3,-1
KR_6767452522,420,0,-47,-24,0,0,1,1,-7,11,4,3,1,4,4,1,5,0,0,0,0,-1,34,4,-8,4,2,0,0,1,-1,0,-1,3,-1
KR_6752224667,420,1,9,-5,-7,-3,7,4,-5,6,1,3,0,3,-2,3,1,0,0,0,0,-6,61,1,-8,7,-6,0,-1,0,-1,-1,1,0,-1
KR_6754941196,420,-4,-50,7,-8,-2,3,1,-1,2,1,-3,3,0,0,1,1,-2,2,0,0,-13,-29,-1,-6,7,-1,0,0,1,1,0,-1,6,-1
KR_6767544081,420,1,-26,5,3,0,1,1,2,2,4,1,1,2,2,2,4,-2,2,0,0,7,34,-1,-7,8,-3,0,-1,-1,1,-1,-1,3,-1
KR_6745425183,420,-2,-80,4,-8,-4,5,1,-2,3,1,5,1,6,-2,6,4,-5,5,0,-1,-19,3,6,-14,8,-8,0,-3,-1,1,-1,-1,1,-1
KR_6737275438,420,0,-47,5,-2,1,1,2,1,2,3,1,2,3,0,3,3,-5,5,0,1,0,8,0,-8,8,-9,0,1,-1,1,-1,1,3,-1
KR_6766368334,420,-2,32,31,-8,-4,5,1,-7,7,0,3,1,4,-1,3,2,1,0,1,-1,-8,-7,1,-7,6,-2,0,2,1,-1,1,-1,4,-1
KR_6754174185,420,-1,-30,-23,5,2,0,2,-2,2,0,4,1,5,-1,4,3,2,0,2,0,7,9,1,-5,4,-3,0,0,1,0,1,-1,3,-1
KR_6735872674,420,-1,-1,17,-7,-5,7,2,1,4,5,-2,5,3,0,2,2,-1,1,0,0,-11,27,-3,-6,9,-3,0,-1,-1,-1,1,1,4,-1
KR_6748167867,420,-5,-78,-2,-18,-4,4,0,-1,3,2,-14,15,1,2,0,2,-1,1,0,1,-28,-44,-4,-5,9,-6,0,-2,-1,-1,-1,1,4,-1
KR_6755840007,420,1,8,4,-13,-3,4,1,-5,8,3,1,5,6,-4,6,2,-2,2,0,0,-13,-8,-3,-5,8,3,0,-1,-1,-1,-1,1,5,-1
KR_6760046460,420,-1,-24,-3,4,0,0,0,-1,3,2,-2,3,1,5,1,6,2,0,2,0,10,109,4,-9,5,4,0,0,-1,1,0,1,1,-1
KR_6736573030,420,1,1,-1,-5,1,0,1,-5,9,4,-1,4,3,-1,6,5,1,0,1,0,-12,-3,2,-8,6,1,0,1,-1,1,-1,1,4,-1
KR_6766981073,420,-4,-77,12,-10,-2,2,0,-5,6,1,1,1,2,-2,2,0,-2,2,0,0,-12,-13,0,-8,8,-2,0,-2,-1,-1,-1,-1,6,-1
KR_6768785774,420,1,79,-59,-9,-1,3,2,-7,7,0,-3,5,2,-1,3,2,3,0,3,-2,-17,3,-5,-5,10,-3,0,1,-1,-1,-1,-1,4,-1
KR_6769167435,420,-2,-44,-26,-9,-2,4,2,-1,3,2,-5,7,2,-2,5,3,1,0,1,-2,-20,-3,-5,-6,11,1,0,-1,-1,-1,-1,-1,5,-1
KR_6769013432,420,-3,3,-34,-3,-3,3,0,2,3,5,2,2,4,-4,6,2,0,0,0,1,1,16,2,-8,6,1,0,-1,1,-1,-1,1,1,-1
KR_6767308943,440,1,-46,5,-4,-2,3,1,2,0,2,-4,6,2,-4,4,0,4,2,6,0,-8,-33,4,-7,3,0,0,1,0,1,1,-1,0,-1
KR_6766579096,420,-1,-27,8,-2,-3,3,0,2,1,3,3,1,4,-3,6,3,-1,2,1,0,-3,1,-1,-7,8,-3,0,-1,1,1,-1,1,6,-1
KR_6749617813,420,-2,-40,-6,-7,-1,2,1,-3,4,1,-1,2,1,-3,5,2,1,1,2,0,-3,-42,1,-5,4,29,0,-1,1,-1,-1,1,3,-1
KR_6765105914,420,-3,-21,-11,-8,-2,3,1,0,2,2,-4,4,0,-3,5,2,1,1,2,0,-7,2,1,-6,5,-1,0,-3,1,-1,-1,-1,3,-1
KR_6742332077,420,-2,-35,-38,0,-2,3,1,4,0,4,2,1,3,-1,3,2,-3,3,0,0,0,-129,-2,-5,7,4,0,-1,1,-1,-1,-1,1,-1
KR_6758594016,420,-3,7,3,-4,1,2,3,-3,4,1,-3,4,1,2,1,3,-1,1,0,0,-10,-23,-1,-6,7,2,0,0,1,1,0,1,3,-1
KR_6756121794,420,0,49,-17,-3,1,1,2,-1,3,2,-4,5,1,1,2,3,0,1,1,0,-5,8,0,-6,6,-4,0,1,1,-1,1,1,2,-1
KR_6753515605,420,-1,51,-1,-3,-1,2,1,-1,5,4,0,1,1,0,3,3,-1,1,0,0,-6,5,-1,-8,9,-4,0,1,-1,1,1,1,5,-1
KR_6767614255,420,-3,-62,39,-17,-2,6,4,1,1,2,-8,9,1,-5,7,2,-3,3,0,0,-19,11,-7,-2,9,-4,0,-2,-1,-1,-1,-1,5,-1
KR_6757112888,420,-1,-14,29,-1,1,0,1,0,2,2,-3,5,2,0,4,4,1,1,2,0,-10,4,0,-7,7,-4,0,-1,1,1,-1,-1,5,-1
KR_6764480947,440,0,24,-26,0,-2,4,2,1,3,4,1,1,2,1,1,2,-1,2,1,0,-2,-10,4,-6,2,3,0,1,-1,1,1,1,2,-1
KR_6760079904,420,-1,19,11,-4,5,1,6,-3,5,2,1,3,4,-4,4,0,-3,7,4,0,-12,-17,-2,-4,6,-1,0,1,1,1,1,1,2,-1
