matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6715732240,420,0,-38,4,-1,-1,3,2,2,3,5,-4,5,1,1,0,1,1,0,1,0,-5,12,4,-10,6,-7,0,0,-1,1,0,1,1,-1
KR_6764403199,420,-1,-86,-4,-5,-2,3,1,-5,7,2,0,3,3,-1,4,3,3,1,4,0,-1,21,0,-7,7,2,0,0,1,-1,0,1,1,-1
KR_6697929588,420,-2,-33,1,-1,3,1,4,5,2,7,-3,6,3,-6,7,1,0,0,0,-2,-2,-3,-3,-1,4,-2,0,-1,1,1,-1,-1,6,-1
KR_6749421566,420,-6,-59,-24,-12,-1,2,1,-4,6,2,-1,1,0,-1,6,5,-5,5,0,0,-5,271,0,-5,5,-2,0,0,-1,-1,0,-1,1,-1
KR_6738944202,420,0,-15,-19,3,4,0,4,2,0,2,1,0,1,-4,5,1,0,1,1,0,3,-189,-1,-7,8,4,0,-1,1,1,-1,1,3,-1
KR_6762380879,440,-2,-79,-8,-4,1,2,3,-3,3,0,-1,3,2,0,0,0,-1,1,0,0,-1,-6,-1,-5,6,1,0,1,0,1,-1,-1,0,-1
KR_6690765357,440,-1,-42,13,3,-2,4,2,2,2,4,9,0,9,-6,6,0,0,0,0,0,8,270,-1,-5,6,3,0,0,1,-1,-1,-1,3,-1
KR_6734070695,420,-4,-129,-14,-9,1,0,1,1,1,2,-4,5,1,-6,9,3,-1,4,3,0,-12,21,3,-5,2,-2,0,-2,0,-1,-1,-1,0,-1
KR_6763869606,420,-1,14,-12,-1,1,0,1,3,2,5,-4,6,2,-3,3,0,2,0,2,0,-8,-11,5,-12,7,3,0,1,-1,1,1,1,5,-1
KR_6711763250,420,-2,-79,12,-2,-3,3,0,0,1,1,-4,4,0,3,1,4,2,0,2,2,2,34,3,-7,4,-5,0,-1,1,1,-1,1,1,-1
KR_6691166863,420,-2,-33,-12,-7,1,1,2,-4,8,4,2,1,3,-5,5,0,-1,1,0,0,-9,-1,5,-8,3,-4,0,-1,-1,1,1,-1,2,-1
KR_6763978824,420,-2,16,-12,-10,-3,3,0,-3,3,0,-4,6,2,2,1,3,-2,2,0,0,-7,3,2,-6,4,-2,0,0,-1,1,0,-1,6,-1
KR_6745586088,420,-4,-83,-72,4,1,1,2,4,0,4,-1,2,1,0,3,3,0,2,2,1,6,164,-1,-3,4,-5,0,0,1,-1,1,1,4,-1
KR_6764775962,420,-6,-95,-34,-12,-8,9,1,1,2,3,1,1,2,-4,4,0,-2,3,1,0,-5,-5,3,-5,2,2,0,-4,-1,-1,-1,-1,3,-1
