matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6765256623,440,-1,-106,-28,-2,0,1,1,2,1,3,-1,3,2,-3,4,1,0,1,1,0,5,-9,4,-8,4,1,0,-2,-1,-1,-1,-1,2,-1
KR_6757053354,420,2,37,-28,7,0,2,2,0,1,1,5,2,7,1,3,4,1,2,3,-1,9,3,6,-8,2,-3,0,1,-1,1,1,1,5,-1
KR_6670779549,420,1,48,-4,2,0,1,1,3,1,4,6,2,8,-8,9,1,1,1,2,0,1,26,3,-5,2,1,0,1,-1,-1,-1,-1,5,-1
KR_6745155509,420,-4,15,-5,-3,-2,3,1,-2,2,0,4,0,4,-1,5,4,-2,2,0,0,-4,50,-1,-3,4,-22,0,-2,1,-1,-1,1,1,-1
KR_6732061585,440,-7,-75,-37,-16,-2,2,0,-5,5,0,-6,6,0,-3,3,0,0,0,0,0,-11,-3,3,-4,1,-2,0,-2,-1,-1,-1,-1,6,-1
KR_6765341766,440,1,0,-12,0,2,1,3,-3,6,3,1,1,2,1,3,4,-1,3,2,0,-4,45,3,-6,3,-21,0,0,-1,1,1,-1,4,-1
KR_6693594661,420,-1,-2,-24,-3,-5,6,1,-4,7,3,1,2,3,1,0,1,4,0,4,0,-3,-6,-4,-3,7,0,0,-1,1,-1,-1,1,4,-1
KR_6731937519,420,-1,-37,16,2,-4,4,0,6,1,7,0,1,1,-1,1,0,1,3,4,0,7,6,1,-4,3,0,0,0,1,1,0,1,2,-1
KR_6728692264,420,-1,-3,-8,0,0,1,1,-1,4,3,1,4,5,1,2,3,-1,2,1,0,3,-44,1,-3,2,15,0,0,0,-1,-1,-1,0,-1
KR_6626117294,420,-2,-92,16,-1,0,1,1,2,1,3,-2,4,2,-1,7,6,0,1,1,0,2,3,-4,-5,9,3,0,0,-1,1,0,1,5,-1
KR_6578935677,420,-3,-24,2,-5,-1,1,0,-2,6,4,4,1,5,-3,6,3,-3,4,1,0,-5,47,5,-8,3,-36,0,1,-1,-1,1,1,1,-1
KR_6717287557,420,2,-34,16,8,-2,3,1,3,2,5,5,1,6,2,5,7,0,0,0,2,11,32,4,-8,4,-1,0,-1,-1,1,-1,1,5,-1
KR_6716317295,420,2,30,32,3,1,2,3,1,2,3,1,3,4,-1,5,4,1,1,2,2,0,5,-2,-4,6,1,0,2,1,1,1,1,5,-1
KR_6742250299,420,1,-87,-15,-1,-6,9,3,6,1,7,-2,2,0,1,1,2,0,2,2,-1,7,75,-5,-3,8,7,0,0,-1,-1,-1,-1,4,-1
KR_6758772674,420,0,9,2,-4,-3,5,2,-4,4,0,1,1,2,2,0,2,0,1,1,0,-1,125,0,-4,4,-7,0,-1,1,1,-1,-1,5,-1
KR_6753136653,420,2,29,-4,5,2,3,5,1,0,1,1,2,3,1,1,2,0,1,1,3,11,-5,0,-2,2,-1,0,0,-1,-1,0,1,5,-1
KR_6754282620,420,-3,3,-15,-10,-2,5,3,1,3,4,0,1,1,-9,10,1,0,1,1,0,-3,-285,3,-5,2,0,0,-3,0,-1,-1,1,0,-1
KR_6746173499,420,2,12,26,3,5,0,5,-1,2,1,2,0,2,-1,1,0,-2,2,0,0,-2,-25,1,-4,3,1,0,1,-1,1,1,1,5,-1
KR_6606047755,420,-2,0,0,-5,-3,4,1,0,2,2,-2,4,2,1,1,2,-1,1,0,1,-4,-5,-3,-3,6,-1,0,-1,1,1,1,1,4,-1
KR_6701928742,420,-3,-42,-13,1,-2,3,1,2,1,3,-2,2,0,1,2,3,2,0,2,0,2,2,-3,-3,6,-2,0,-1,-1,1,-1,-1,3,-1
KR_6751162854,420,1,-3,19,4,5,2,7,-1,2,1,1,1,2,-2,3,1,1,1,2,0,1,-4,-2,-3,5,2,0,1,1,1,1,-1,3,-1
KR_6694978812,420,-2,-3,-12,0,1,1,2,0,2,2,1,0,1,-4,6,2,2,1,3,0,-2,5,-3,-2,5,-2,0,-1,-1,0,-1,-1,1,-1
KR_6758023700,420,2,-3,8,2,1,2,3,2,1,3,1,3,4,-2,5,3,0,2,2,0,1,8,3,-4,1,-3,0,0,1,-1,0,1,4,-1
KR_6762306528,420,-2,-44,-39,-6,1,1,2,0,5,5,1,0,1,-7,7,0,-1,1,0,0,-9,8,-3,-2,5,-1,0,0,-1,1,0,-1,2,-1
KR_6206540485,420,-2,-37,-40,-7,-7,8,1,-4,4,0,1,1,2,-1,1,0,4,0,4,0,5,3,2,-6,4,-3,0,-1,1,-1,-1,-1,1,-1
KR_6759704519,420,0,-80,-1,1,-1,2,1,4,0,4,-3,3,0,0,2,2,1,3,4,0,2,54,0,-1,1,-1,0,0,0,0,0,-1,0,-1
KR_6765454690,420,-4,13,-19,-8,1,2,3,0,1,1,1,1,2,-8,14,6,-2,2,0,0,-9,-4,-1,-3,4,4,0,0,-1,1,-1,-1,6,-1
KR_6762732705,420,-1,-30,-4,-9,0,0,0,-3,4,1,-3,3,0,-2,2,0,-1,1,0,0,-10,6,-1,-3,4,0,0,-1,-1,-1,-1,-1,5,-1
KR_6744982125,420,-1,-53,11,-1,-1,1,0,3,2,5,-6,7,1,2,4,6,1,0,1,0,-3,16,0,-7,7,5,0,-1,0,-1,-1,-1,0,-1
KR_6755646170,420,0,-6,-7,3,5,0,5,0,5,5,2,3,5,-3,3,0,-1,2,1,0,-7,-1,-3,-4,7,3,0,-1,-1,-1,-1,-1,2,-1
KR_6715282320,420,-2,-51,-4,2,-2,3,1,0,3,3,-1,4,3,3,0,3,2,0,2,0,3,-32,4,-6,2,19,0,-1,1,-1,-1,1,2,-1
KR_6763959048,420,1,29,20,-2,1,2,3,1,1,2,-3,3,0,-1,1,0,0,1,1,-1,-1,0,-5,-3,8,2,0,0,-1,-1,0,-1,1,-1
