matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6613088742,420,-6,-46,-51,-16,-7,7,0,-2,6,4,-1,2,1,-3,5,2,-3,4,1,-2,-9,2,4,-7,3,-3,0,-1,-1,1,-1,-1,4,-1
KR_6639963111,420,1,-31,24,1,0,1,1,2,4,6,-1,3,2,2,1,3,-2,2,0,-1,9,-455,-3,-1,4,24,0,0,-1,1,0,-1,5,-1
KR_6750531722,440,-1,12,-16,-6,-3,4,1,2,1,3,1,3,4,-4,9,5,-2,4,2,0,9,-37,3,-5,2,19,0,-1,0,-1,-1,-1,0,-1
KR_6741358994,420,-4,-48,-61,-6,-5,5,0,-2,3,1,-1,3,2,0,5,5,2,0,2,-2,-3,-6,5,-8,3,-4,0,-1,-1,0,-1,-1,5,-1
KR_6765093170,420,-8,-108,-31,-16,-3,4,1,0,1,1,-2,5,3,-6,7,1,-5,6,1,-2,-14,-6,-1,-4,5,-3,0,-3,-1,1,-1,-1,5,-1
KR_6741736532,420,-2,-5,7,-8,-3,3,0,3,2,5,-4,4,0,-2,2,0,-2,2,0,0,-12,0,-7,-2,9,-4,0,1,-1,1,1,1,2,-1
KR_6655326410,420,0,21,-4,1,2,2,4,-2,3,1,1,0,1,-1,4,3,1,0,1,1,-1,-444,-4,-3,7,-4,0,0,1,-1,1,1,2,-1
KR_6756502897,420,-2,-34,4,-3,0,1,1,1,4,5,-5,8,3,0,3,3,1,0,1,0,-6,20,-2,-3,5,-1,0,-2,-1,1,-1,-1,6,-1
KR_6719888246,420,-4,-88,12,-10,-2,2,0,-3,5,2,-1,2,1,-5,9,4,1,0,1,0,-1,20,-1,-4,5,-17,0,-1,-1,-1,-1,1,5,-1
KR_6745336076,440,1,39,24,-4,-1,2,1,0,2,2,-1,1,0,3,0,3,-5,6,1,-1,-8,-8,-3,-1,4,2,0,0,-1,-1,0,-1,1,-1
KR_6645470392,420,-3,-11,-6,-10,-3,4,1,3,3,6,-8,9,1,-3,5,2,1,1,2,0,-10,65,0,-4,4,1,0,-1,-1,-1,-1,-1,5,-1
KR_6752004590,420,-1,4,8,-6,1,2,3,-2,4,2,2,2,4,-2,3,1,-5,5,0,0,-14,10,-5,-3,8,-2,0,0,-1,-1,-1,1,4,-1
KR_6753231525,440,-3,-12,0,2,2,1,3,5,2,7,-2,2,0,-2,5,3,-1,4,3,0,-1,-9,0,-2,2,-3,0,1,-1,1,1,1,2,-1
KR_6756111663,420,-1,-88,-62,-5,-1,2,1,-2,5,3,3,3,6,-4,4,0,-1,1,0,-1,-3,104,1,-2,1,1,0,-4,1,-1,-1,-1,6,-1
KR_6768198259,440,-4,-76,-36,-3,0,1,1,-1,2,1,-1,5,4,-2,3,1,1,0,1,0,-4,-16,1,-5,4,3,0,-1,-1,-1,-1,-1,5,-1
KR_6763696476,420,-1,-19,-17,-7,-2,2,0,-3,4,1,0,6,6,0,2,2,-2,3,1,0,2,10,0,-5,5,-4,0,0,-1,1,0,-1,2,-1
KR_6639133050,420,-6,-88,-35,-8,-3,5,2,0,3,3,-2,7,5,-3,3,0,0,0,0,0,-3,-4,-2,-1,3,0,0,-2,-1,-1,-1,1,6,-1
KR_6725003116,420,-9,-73,-43,-18,1,0,1,-7,8,1,-6,7,1,-4,7,3,-2,2,0,0,-14,45,3,-6,3,0,0,-3,-1,-1,-1,1,1,-1
KR_6728822645,420,1,35,-3,0,0,0,0,2,4,6,-3,5,2,-3,5,2,4,0,4,0,-8,10,7,-9,2,-1,0,1,1,1,1,1,3,-1
KR_6724204275,420,-1,20,-24,-2,2,0,2,1,1,2,-1,3,2,0,2,2,-4,5,1,0,5,69,2,-6,4,4,0,1,-1,1,1,1,4,-1
KR_6413056349,420,-4,-108,7,-8,-4,4,0,0,4,4,-5,5,0,1,1,2,0,1,1,0,1,-189,3,-5,2,-7,0,-1,-1,-1,-1,-1,6,-1
KR_6727609986,420,1,-22,0,0,1,0,1,4,0,4,-4,4,0,0,6,6,-1,1,0,0,3,-35,2,-3,1,0,0,-1,-1,-1,-1,-1,3,-1
KR_6743563052,420,-6,-69,-10,-12,-3,4,1,-5,5,0,-1,2,1,-1,1,0,-2,3,1,0,-5,53,-5,-3,8,3,0,0,-1,-1,-1,-1,5,-1
KR_6660052138,440,-4,-158,-1,-12,-6,7,1,-7,7,0,1,2,3,1,1,2,-1,3,2,-1,-9,-14,-1,-2,3,-5,0,-2,-1,-1,-1,-1,1,-1
KR_6764781399,420,-2,20,8,-8,-2,3,1,1,1,2,-1,1,0,-5,5,0,-1,3,2,0,-10,-22,2,-5,3,-3,0,0,-1,1,-1,-1,1,-1
KR_6652827448,420,-3,-55,-28,0,2,0,2,2,1,3,2,1,3,-5,5,0,-1,2,1,0,-2,1,2,-4,2,-1,0,-1,-1,-1,-1,-1,4,-1
KR_6745933340,420,0,-81,16,1,-2,3,1,-3,4,1,4,2,6,2,2,4,0,1,1,0,3,-80,0,-6,6,-1,0,0,-1,-1,0,1,2,-1
KR_6742622816,420,-2,-50,12,-5,-1,1,0,-8,11,3,7,1,8,-3,5,2,0,2,2,-1,-18,108,4,-6,2,-1,0,-2,1,-1,-1,-1,6,-1
KR_6640059041,420,1,17,24,-1,3,2,5,1,1,2,-1,3,2,-4,5,1,0,1,1,0,1,296,3,-8,5,1,0,0,-1,1,0,1,3,-1
KR_6739317362,420,0,8,28,-2,0,1,1,0,1,1,2,2,4,-5,6,1,1,0,1,0,1,36,-3,-1,4,-22,0,0,-1,0,1,-1,3,-1
KR_6738249691,420,-1,9,12,-2,1,1,2,-2,3,1,-3,6,3,2,1,3,0,1,1,0,0,-12,-3,-3,6,2,0,0,-1,1,0,-1,3,-1
KR_6619470700,420,0,1,17,5,2,0,2,2,0,2,5,0,5,-2,5,3,-2,2,0,-1,6,-41,-1,-4,5,12,0,0,0,1,0,-1,0,-1
KR_6764913136,440,0,-54,-24,2,-4,4,0,0,3,3,1,3,4,2,1,3,3,1,4,0,4,12,-3,-1,4,1,0,0,1,-1,-1,-1,3,-1
KR_6755031649,420,0,29,-4,3,4,2,6,-1,3,2,-2,4,2,0,2,2,2,0,2,0,-5,12,-4,0,4,3,0,1,1,-1,-1,-1,2,-1
KR_6738633805,440,-5,-62,5,-13,-2,4,2,-2,2,0,-3,4,1,-5,6,1,-1,2,1,0,-5,7,-4,0,4,-1,0,-2,-1,-1,-1,-1,3,-1
KR_6723745883,420,-3,-34,-4,-3,8,0,8,-1,3,2,-1,1,0,-11,11,0,2,0,2,-1,-11,5,2,-5,3,-7,0,0,-1,1,0,1,6,-1
KR_6749065916,420,-1,-66,0,-5,-1,3,2,-3,5,2,0,4,4,-2,5,3,1,0,1,-1,3,-1,1,-3,2,1,0,0,-1,0,0,-1,3,-1
KR_6682693054,420,-1,10,25,-7,-3,3,0,-2,3,1,-2,2,0,-1,2,1,1,0,1,0,-13,-11,3,-3,0,-1,0,-1,1,-1,-1,1,4,-1
