matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6734815438,420,-2,-11,26,-3,-1,1,0,0,1,1,0,0,0,-3,5,2,1,1,-2,0,7,-17,-1,-5,6,-2,0,0,0,1,0,-1,0,-1
KR_6738125322,420,-4,-79,-19,-7,-1,1,0,-3,3,0,-1,3,2,-5,5,0,3,1,-4,-1,10,-13,-1,-4,5,0,0,0,1,0,0,1,6,-1
KR_6739196072,420,-2,-38,-8,-3,0,1,1,-1,1,0,-2,4,2,-1,2,1,1,0,-1,0,2,3,1,-5,4,0,0,0,-1,1,0,-1,6,-1
KR_6739458405,420,0,-15,0,0,-1,2,1,-1,2,1,2,2,4,-1,2,1,1,0,-1,-1,2,29,-2,-6,8,-2,0,0,0,1,0,-1,0,-1
KR_6739521793,420,2,-20,-19,0,1,0,1,1,1,2,0,0,0,0,0,0,-2,2,0,0,2,16,0,-3,3,-3,0,0,-1,1,0,-1,1,-1
KR_6739605210,420,-2,-46,-7,-3,3,2,5,-1,1,0,-1,1,0,-2,5,3,-2,2,0,0,5,-11,-1,-4,5,3,0,0,0,0,0,-1,0,-1
KR_6739634429,420,-1,1,-8,-5,1,2,3,-1,4,3,0,1,1,-4,5,1,-1,1,0,0,8,-4,-2,-5,7,1,0,0,0,-1,0,-1,0,-1
KR_6739850476,420,1,51,-1,-3,-1,1,0,-2,2,0,0,0,0,1,0,1,-1,1,0,0,8,-31,-1,-2,3,-16,0,0,-1,-1,0,-1,5,-1
KR_6739893530,420,1,-2,12,6,-2,3,1,4,1,5,2,0,2,2,1,3,0,0,0,0,-12,4,1,-3,2,4,0,0,-1,1,0,1,3,-1
KR_6739970835,420,1,-22,21,1,0,0,0,3,0,3,-3,3,0,0,1,1,1,1,-2,0,-6,34,-1,-4,5,15,0,0,0,1,0,1,0,-1
KR_6740046198,420,0,-11,12,0,-3,3,0,0,1,1,2,0,2,2,0,2,-1,2,-1,0,-1,-2,2,-5,3,-4,0,0,-1,1,0,-1,4,-1
KR_6740492950,420,0,-32,12,4,-1,1,0,2,0,2,1,0,1,0,1,1,2,0,-2,0,-11,0,-3,-2,5,-1,0,0,1,-1,0,1,5,-1
KR_6740531586,420,-3,-28,-14,-3,-1,1,0,2,0,2,0,1,1,-3,3,0,-1,1,0,0,0,-5,-4,-1,5,-2,0,0,0,-1,0,-1,0,-1
KR_6740568307,420,-4,-43,1,-6,-2,2,0,-3,4,1,-1,2,1,0,2,2,0,1,-1,0,4,-2,3,-6,3,3,0,0,1,-1,0,1,2,-1
