matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6741690974,420,0,-29,-6,-5,-1,1,0,0,1,1,-1,1,0,-3,3,0,0,0,0,-1,-3,22,0,-6,6,1,0,0,-1,1,0,-1,6,-1
KR_6745383896,420,-1,-3,8,-2,0,0,0,-1,1,0,2,0,2,-4,4,0,1,0,1,0,-4,1,0,-6,6,-1,0,0,-1,-1,0,-1,5,-1
KR_6744402678,420,-2,-56,7,-5,-2,3,1,1,1,2,-1,1,0,-3,3,0,0,0,0,-1,-3,-3,-2,-3,5,-3,0,0,0,-1,0,-1,0,-1
KR_6742865044,420,1,23,3,6,-2,2,0,3,2,5,2,1,3,2,2,4,1,0,1,0,6,-6,1,-3,2,-2,0,0,0,1,0,1,0,-1
KR_6749510736,420,0,-42,16,-5,-1,1,0,-2,3,1,1,0,1,-3,4,1,0,0,0,0,-6,-26,1,-4,3,2,0,0,0,0,0,-1,0,-1
KR_6742894663,420,-3,-87,-11,-3,0,0,0,1,0,1,-2,2,0,-1,2,1,-1,1,0,0,-4,-21,-2,-3,5,-4,0,0,-1,-1,0,1,4,-1
KR_6745807260,420,-2,21,-9,-9,-2,2,0,-2,3,1,-1,2,1,-4,5,1,0,0,0,0,-14,-1,0,-1,1,-2,0,0,-1,0,0,-1,3,-1
KR_6747143521,420,-1,-6,8,-4,-1,1,0,0,1,1,0,1,1,-1,2,1,-2,2,0,0,-6,0,0,-4,4,3,0,0,0,-1,0,-1,0,-1
KR_6750146695,420,-1,7,4,-3,0,1,1,0,0,0,-1,1,0,-2,2,0,0,0,0,0,-4,0,0,-4,4,-4,0,0,-1,1,0,-1,6,-1
KR_6747854444,420,-1,13,-8,-2,0,0,0,-1,2,1,-1,3,2,0,1,1,0,0,0,1,3,-1,1,-5,4,2,0,0,0,-1,0,1,0,-1
KR_6743731586,420,-3,-30,-3,-5,-2,2,0,1,2,3,1,1,2,-3,5,2,-2,2,0,0,-5,-5,-2,-2,4,1,0,0,0,0,0,-1,0,-1
KR_6724056578,420,2,19,24,-2,0,0,0,0,1,1,-1,2,1,0,2,2,-1,1,0,0,-5,-9,-2,-1,3,0,0,0,-1,-1,0,-1,1,-1
KR_6746347403,420,1,4,-5,-2,-3,3,0,-1,3,2,0,1,1,1,1,2,1,0,1,-1,-3,6,-3,-2,5,1,0,0,0,-1,0,-1,0,-1
KR_6745654138,420,2,-19,19,3,1,1,2,-2,2,0,3,0,3,0,0,0,1,0,1,0,-1,28,-3,-3,6,2,0,0,1,-1,0,1,1,-1
KR_6748994323,420,0,20,0,-5,-2,2,0,0,1,1,1,0,1,-2,3,1,-2,2,0,0,-11,1,1,-3,2,4,0,0,0,0,0,-1,0,-1
KR_6745746610,420,1,25,21,6,0,0,0,4,0,4,-1,2,1,3,1,4,0,0,0,2,7,23,3,-6,3,1,0,0,-1,-1,0,1,6,-1
KR_6751313208,420,1,22,-2,2,5,0,5,2,2,4,-1,4,3,-2,2,0,-2,2,0,0,-8,-6,1,-7,6,-2,0,0,1,1,0,1,4,-1
KR_6733672536,420,1,-9,0,-1,-1,1,0,-1,2,1,-1,2,1,1,0,1,1,0,1,0,-1,4,-2,-2,4,-1,0,0,0,-1,0,-1,0,-1
KR_6721383144,420,-1,-46,1,2,-2,2,0,1,1,2,0,1,1,2,3,5,1,1,2,0,-1,11,1,-4,3,-3,0,-1,1,-1,-1,1,1,-1
KR_6746174406,420,0,-29,-23,-4,-1,1,0,-1,2,1,-2,2,0,0,1,1,0,0,0,0,-4,-17,2,-5,3,-1,0,0,1,-1,0,-1,5,-1
KR_6749057371,420,-3,-42,-13,-9,0,0,0,-1,4,3,-6,6,0,0,1,1,-2,2,0,0,-3,-243,-1,-4,5,3,0,0,0,0,0,-1,0,-1
KR_6743320915,420,-1,-35,4,-2,-2,2,0,0,0,0,-1,2,1,0,1,1,1,0,1,0,0,-3,-1,-4,5,3,0,0,1,0,0,-1,5,-1
KR_6746674524,420,1,-36,17,-3,0,1,1,-1,3,2,1,2,3,-2,2,0,-1,3,2,0,-7,5,1,-6,5,-4,0,0,0,0,0,1,0,-1
KR_6752239867,420,-3,-57,10,-3,0,2,2,-2,2,0,-1,2,1,0,1,1,0,0,0,0,-4,-26,1,-5,4,4,0,0,0,-1,0,1,0,-1
KR_6745430692,420,2,35,0,4,2,0,2,0,1,1,1,0,1,0,0,0,1,0,1,0,0,2,1,-3,2,0,0,0,0,1,0,1,0,-1
KR_6728179769,420,-2,-18,-5,1,1,1,2,-1,1,0,0,1,1,0,0,0,1,0,1,0,1,3,-2,-4,6,-2,0,0,0,-1,0,1,0,-1
KR_6749236375,420,-5,-26,-14,-14,-1,1,0,-3,3,0,-2,2,0,-6,6,0,-2,2,0,-1,-16,-6,-2,-1,3,-2,0,0,0,-1,0,-1,0,-1
KR_6750141546,420,-2,-2,2,4,1,1,2,2,1,3,2,2,4,1,0,1,-2,3,1,0,3,-23,2,-9,7,-1,0,0,-1,1,0,1,6,-1
KR_6733025305,420,0,37,-4,-1,-2,3,1,-1,2,1,1,0,1,3,0,3,-2,2,0,0,1,-5,-1,-2,3,3,0,0,0,-1,0,1,0,-1
KR_6745936449,420,0,27,-4,0,-1,1,0,0,1,1,-2,2,0,3,1,4,0,0,0,0,3,-2,0,-3,3,1,0,0,1,-1,0,1,1,-1
KR_6741970266,420,-3,-8,7,-4,-2,2,0,2,1,3,-1,2,1,-2,2,0,-1,1,0,0,1,15,-2,-2,4,0,0,0,-1,0,0,-1,6,-1
KR_6744302020,420,2,-22,10,-1,0,0,0,0,1,1,1,3,4,-2,3,1,0,0,0,0,-3,0,2,-3,1,4,0,0,0,1,0,-1,0,-1
KR_6748367863,420,-2,-41,-1,-4,-1,1,0,-2,2,0,-2,3,1,1,3,4,0,0,0,-1,-5,5,0,-4,4,-2,0,0,0,-1,0,-1,0,-1
KR_6747087854,420,1,12,-1,0,-1,1,0,-1,2,1,2,0,2,1,0,1,-1,1,0,0,1,-6,0,-2,2,-1,0,0,-1,1,0,1,2,-1
KR_6737939142,420,2,43,-20,0,0,0,0,0,2,2,0,1,1,-2,3,1,2,0,2,1,1,2,1,-3,2,3,0,0,0,-1,0,1,0,-1
KR_6746493505,420,-3,-50,-16,-2,0,1,1,-1,1,0,-1,2,1,-2,2,0,2,1,3,0,0,-2,0,-4,4,-2,0,0,-1,1,0,-1,4,-1
KR_6745005806,420,0,19,3,0,1,0,1,-3,4,1,-1,1,0,4,1,5,-1,1,0,1,2,22,0,-4,4,-12,0,0,1,-1,0,1,5,-1
KR_6747498156,420,1,-10,0,-1,0,2,2,-1,1,0,3,1,4,0,2,2,-3,3,0,0,4,-1,0,-4,4,-3,0,0,0,-1,0,-1,0,-1
KR_6746028154,420,-1,-38,-6,0,0,1,1,2,1,3,1,1,2,-3,5,2,0,0,0,0,2,-4,2,-5,3,5,0,0,0,1,0,1,0,-1
KR_6734952891,420,-1,-20,20,-7,-1,1,0,-2,3,1,-2,2,0,-2,4,2,0,1,1,0,-6,1,-5,-2,7,4,0,0,0,-1,0,-1,0,-1
KR_6745441748,420,0,-18,12,-2,0,1,1,1,1,2,-1,2,1,0,0,0,-2,2,0,0,1,7,1,-4,3,-3,0,0,0,-1,0,-1,0,-1
KR_6716736257,420,-1,7,-6,-4,-3,3,0,1,1,2,-1,1,0,-2,2,0,1,0,1,0,-1,2,1,-4,3,-1,0,0,0,-1,0,-1,0,-1
KR_6714070228,420,-3,9,-24,1,0,0,0,0,2,2,-1,2,1,3,0,3,-1,1,0,0,4,14,1,-4,3,0,0,0,0,-1,0,-1,0,-1
KR_6750157544,420,-1,-10,4,-1,4,0,4,1,1,2,-2,2,0,-3,4,1,-1,1,0,-1,-2,10,0,-4,4,3,0,0,0,0,0,1,0,-1
KR_6745079547,420,2,46,3,-2,-1,1,0,0,1,1,1,4,5,-3,3,0,1,0,1,1,0,0,2,-4,2,0,0,0,0,1,0,1,0,-1
KR_6750756172,420,0,-16,-5,0,-1,1,0,0,0,0,4,0,4,-3,4,1,0,1,1,0,6,-8,0,-4,4,5,0,0,0,1,0,-1,0,-1
KR_6747548332,420,-2,7,-11,-7,-1,1,0,-1,1,0,0,1,1,-3,3,0,-2,2,0,0,-12,3,3,-6,3,-4,0,0,-1,1,0,-1,4,-1
KR_6747516064,420,1,-7,-4,-5,1,1,2,-1,1,0,-4,4,0,-1,1,0,0,0,0,-1,-10,9,-1,-4,5,1,0,0,0,0,0,-1,0,-1
KR_6746770038,420,2,17,20,-2,1,1,2,-2,3,1,1,0,1,-2,2,0,0,0,0,0,-5,-5,-3,-2,5,-1,0,0,-1,1,0,-1,5,-1
KR_6744866121,420,-1,21,-4,-7,0,0,0,-6,7,1,0,1,1,1,2,3,-2,2,0,0,-13,-3,0,-2,2,-2,0,0,0,1,0,1,0,-1
KR_6752956378,420,-4,-62,4,-6,1,1,2,-1,2,1,-5,5,0,-1,3,2,0,2,2,0,-8,-2,-1,-2,3,-1,0,0,1,1,0,1,4,-1
KR_6744602984,420,-2,-23,0,-6,-2,2,0,-1,3,2,1,2,3,-4,4,0,0,0,0,0,-6,24,2,-6,4,-8,0,0,0,0,0,-1,0,-1
KR_6742580203,440,-1,-15,0,-1,0,3,3,1,1,2,1,0,1,-1,1,0,-2,4,2,0,1,4,1,-4,3,-1,0,0,-1,0,0,-1,5,-1
KR_6745462576,420,1,17,-1,0,0,2,2,-2,3,1,3,0,3,-1,1,0,0,0,0,0,-1,-2,0,-2,2,-1,0,0,-1,-1,0,1,6,-1
KR_6753340870,420,-1,6,-2,-4,-2,3,1,2,1,3,-1,1,0,-3,4,1,0,1,1,0,-3,15,1,-4,3,0,0,0,0,-1,0,1,0,-1
KR_6750593152,420,-5,-4,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-1,-3,4,3,0,0,1,-1,0,0,3,-1
KR_6749397908,420,-2,36,-8,1,0,2,2,-5,5,0,3,0,3,4,2,6,-1,1,0,0,-2,-2,1,-5,4,0,0,0,-1,0,0,1,5,-1
KR_6747082746,420,0,-35,-9,2,0,1,1,3,0,3,0,1,1,-3,3,0,2,1,3,0,5,9,-1,-5,6,2,0,0,0,1,0,1,0,-1
KR_6745378686,420,-2,-17,-5,-3,-1,1,0,-2,4,2,1,0,1,-2,3,1,1,0,1,0,0,-10,-3,-7,10,3,0,0,-1,0,0,-1,6,-1
KR_6738734309,420,-1,-20,5,-7,-1,2,1,-3,4,1,-4,5,1,1,1,2,0,0,0,0,-4,0,0,-3,3,-4,0,0,0,0,0,-1,0,-1
KR_6735326635,420,-1,-16,-14,-4,-3,3,0,0,1,1,1,0,1,-2,4,2,0,1,1,-1,0,-3,3,-5,2,1,0,0,-1,-1,0,-1,5,-1
KR_6722630093,420,0,-40,-21,-4,0,0,0,0,4,4,1,1,2,-5,5,0,0,0,0,0,2,-16,0,-2,2,3,0,0,-1,-1,0,-1,3,-1
KR_6721366705,420,-2,-51,-17,-3,0,1,1,-1,2,1,1,1,2,-4,6,2,1,0,1,0,-10,-3,-4,-2,6,1,0,0,0,-1,0,-1,0,-1
KR_6738127009,420,-5,-45,7,-11,-2,2,0,-1,3,2,-2,3,1,-6,6,0,0,0,0,0,-17,-6,-2,-3,5,-2,0,0,0,-1,0,-1,0,-1
KR_6733157096,420,-5,-43,-13,-9,1,0,1,-4,4,0,-2,2,0,-5,8,3,1,1,2,-1,-9,-5,-1,-2,3,-1,0,0,0,0,0,-1,0,-1
KR_6750321779,420,-3,-3,-17,-5,-2,2,0,-2,3,1,1,0,1,0,2,2,-2,2,0,0,-7,1,-3,-2,5,-3,0,0,-1,-1,0,-1,4,-1
