queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
440,KR_6791165373,1,-1,1,1,1,0,0,0,0,3,3,3,1,1,1,6,4,3,0,1,2,0,2,3,3,2,1,3,3,3,2,3,16,36,0,1,9,10,29,0,10,10,7,8,9,8,10,7,7,9,8,110,1,13,87,104,94,1,4,83,87,0,64,0,0,0,0,68,0,0,0,6424,4258,4707,4114,6738,5755,4726,3149,3940,4617,6,1,0,0,1,0,19,32
420,KR_6787427297,-1,1,-1,0,5,0,0,0,0,4,4,2,3,3,1,0,1,4,1,2,2,0,2,4,1,3,2,2,4,0,1,0,9,5,4,4,0,2,26,22,16,10,8,10,8,7,9,8,9,8,7,102,7,99,89,15,95,6,74,96,11,0,80,0,0,0,0,76,0,0,0,4638,5315,5155,4054,2505,4333,5381,4304,4978,4368,3,4,0,0,0,0,22,25
420,KR_6701720656,1,1,1,-1,4,1,1,1,1,5,6,2,8,3,1,0,4,0,2,2,0,4,1,1,2,0,1,3,4,3,3,0,6,0,60,60,6,10,0,0,18,9,8,10,7,6,11,8,9,7,7,80,10,102,60,7,115,1,96,93,4,0,66,0,0,0,0,72,0,0,0,4298,6367,5038,4365,3424,6908,3929,5125,4496,3434,6,9,0,0,0,1,23,26
420,KR_6776919443,1,0,1,0,0,0,0,0,0,4,4,3,1,2,3,1,1,1,3,4,0,1,2,1,3,2,3,3,1,2,1,0,9,0,0,4,0,19,0,5,31,10,7,10,8,8,9,8,10,8,7,110,5,101,84,36,80,6,104,104,20,0,44,0,0,0,0,60,0,0,0,5069,4109,4654,4871,4002,3872,4420,5091,5547,3493,5,7,0,0,0,0,22,24
420,KR_6782388514,-1,0,0,0,0,0,0,0,0,7,4,1,3,9,0,0,2,5,1,4,1,3,3,1,2,4,2,5,6,0,0,12,3,5,0,0,3,18,8,25,36,10,8,11,7,7,10,8,9,8,7,83,6,98,88,8,66,12,107,101,8,0,69,4,0,0,0,60,0,0,0,4136,4888,7511,3761,3079,3892,5900,4758,5462,4053,7,7,0,0,0,0,25,22
420,KR_6790309629,1,1,1,0,4,0,0,0,0,5,5,2,4,1,1,2,0,4,0,2,2,2,2,0,3,1,2,1,2,4,1,0,10,9,8,26,16,2,0,17,11,10,8,10,7,7,10,8,10,8,8,102,3,109,93,16,97,4,109,87,17,0,78,0,0,0,0,66,4,0,0,4741,6008,4792,4286,3518,4041,5316,4023,4764,3526,4,4,0,0,0,0,15,14
420,KR_6774719538,-1,-1,-1,0,6,0,0,0,0,4,5,0,3,1,0,0,0,4,2,1,0,2,1,2,0,2,0,1,1,1,1,0,0,0,1,2,27,16,3,0,15,9,8,10,7,7,10,8,10,8,7,80,13,91,99,3,78,10,95,104,19,0,72,0,0,4,0,72,0,0,0,3475,4949,4425,3989,3135,3950,5941,4556,4384,3075,9,23,0,0,0,0,59,46
420,KR_6748257205,1,1,1,1,6,3,3,3,3,5,6,2,6,2,6,4,1,2,2,2,0,1,2,2,2,0,5,2,5,4,4,32,28,41,44,58,27,9,21,12,12,10,8,10,9,7,8,8,10,7,7,83,6,104,105,14,55,6,113,68,8,0,58,4,4,0,0,76,4,0,0,5638,6544,5945,7059,4378,3644,4971,5057,4026,2743,9,1,0,0,2,0,25,38
420,KR_6791464264,1,1,1,0,2,2,2,0,0,6,4,1,6,4,2,3,1,4,2,1,2,2,3,2,1,3,3,4,5,1,3,9,28,23,31,46,3,4,7,19,7,10,9,9,8,6,10,8,9,8,8,107,7,70,100,15,91,3,80,111,20,0,80,0,0,0,0,64,0,0,0,4612,6861,5093,5193,3928,4214,5305,4796,4885,3570,4,5,0,0,0,0,23,18
420,KR_6700353771,-1,1,-1,0,5,0,0,0,0,2,3,0,2,1,4,0,2,2,0,0,0,4,0,0,0,0,1,1,1,2,2,3,7,7,0,17,6,9,0,0,0,9,8,10,8,7,10,8,10,7,6,75,13,123,107,21,95,1,112,98,6,0,72,0,0,0,0,68,0,4,0,3659,4773,5034,5532,3350,5347,4725,4195,4008,2681,9,5,0,0,0,0,19,19
