queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6741690974,1,1,-1,0,6,1,1,0,0,9,8,1,2,1,3,0,2,2,0,0,1,3,1,1,0,0,2,0,2,3,0,2,0,9,0,25,5,3,1,0,1,9,8,10,8,7,10,9,9,8,7,95,4,105,116,31,104,14,95,92,15,0,79,0,0,0,0,75,0,0,0,4412,4374,4988,5213,3147,5183,5504,3882,3874,3470,12,12,0,0,0,0,34,65
420,KR_6745383896,1,1,1,1,5,0,0,0,0,10,8,0,2,0,5,0,0,0,3,4,1,0,3,2,1,2,0,2,1,2,2,0,10,5,2,33,0,11,6,6,6,10,8,9,9,7,9,8,10,8,7,100,9,111,124,7,104,5,103,111,24,0,72,0,0,0,0,84,0,0,0,3842,5050,4700,7353,3957,4179,4439,6099,5854,3365,15,13,0,0,1,0,35,46
420,KR_6744402678,1,1,1,1,3,1,1,0,0,8,4,4,1,1,3,0,2,2,2,0,0,2,0,3,0,1,4,0,1,2,2,0,0,0,9,35,0,5,6,0,4,10,8,9,9,7,9,9,10,8,6,111,11,107,141,24,87,7,91,113,20,0,64,0,0,0,0,83,0,3,0,5927,4791,4637,6617,3328,5349,5054,4764,4256,2775,13,5,0,0,1,0,35,25
420,KR_6742865044,-1,1,-1,-1,4,0,0,0,0,3,6,3,2,4,4,1,1,5,3,4,1,1,2,2,4,5,3,3,2,4,2,0,20,5,8,26,18,23,23,21,33,11,9,10,8,7,9,8,10,7,7,108,7,91,74,20,81,21,98,93,18,0,83,0,0,0,0,60,0,0,0,5542,5641,5407,5312,3776,4201,7260,5598,5972,3847,7,2,0,0,0,2,37,26
420,KR_6749510736,1,1,-1,1,5,0,0,0,0,5,5,2,3,0,4,0,0,2,1,1,0,0,0,3,0,1,2,2,1,1,3,0,0,11,9,42,0,6,6,0,6,11,8,10,8,7,10,9,10,7,7,123,6,108,131,18,108,10,105,76,24,0,76,0,0,0,0,84,0,0,0,5095,4906,4336,7015,3563,4185,4829,4612,4017,2716,7,7,0,0,0,0,62,21
420,KR_6742894663,-1,1,1,1,4,0,0,0,0,5,4,3,0,3,5,2,0,1,0,1,2,0,0,1,1,2,2,2,3,3,3,2,32,0,10,21,9,0,0,5,8,11,9,10,9,6,9,7,9,8,7,139,3,106,126,17,72,14,86,103,2,0,79,0,0,0,0,64,0,4,0,6809,4973,5420,6610,3764,3404,4163,3669,4657,3922,7,3,0,0,0,0,44,16
420,KR_6745807260,1,1,1,0,3,0,0,0,0,3,2,2,3,3,6,2,0,5,2,1,1,2,1,0,1,5,2,3,2,4,5,6,17,27,21,42,7,8,5,6,10,9,9,10,9,7,9,8,10,8,7,93,6,93,92,4,81,0,112,107,4,0,90,0,0,0,0,73,0,0,0,4682,5786,6330,6201,4061,4052,6761,5278,4801,3618,5,5,0,0,0,0,25,26
420,KR_6747143521,1,1,1,1,5,0,0,0,0,6,5,2,4,3,3,2,1,2,2,2,0,1,0,3,1,2,4,2,2,2,4,15,7,8,21,21,0,8,3,11,18,11,9,9,8,7,9,8,9,8,7,102,14,105,106,20,94,3,98,90,21,0,84,0,0,0,0,80,0,0,0,5424,6371,5792,5940,4379,4197,4895,4799,4909,3148,5,9,0,0,1,0,33,32
420,KR_6750146695,1,1,-1,1,6,0,0,0,0,8,4,2,1,2,4,0,3,0,0,0,0,3,0,0,0,0,1,3,0,3,2,0,16,1,0,19,0,0,0,0,0,10,8,10,9,7,10,7,10,8,6,73,3,127,125,19,84,4,131,106,18,0,68,0,4,0,0,66,4,0,0,4120,4377,5105,6624,3362,4861,3509,4702,4283,2723,8,3,0,0,0,0,30,23
420,KR_6747854444,-1,1,1,0,2,0,0,1,1,9,7,0,2,3,2,0,1,2,2,1,0,1,1,1,1,2,0,3,1,3,0,11,6,0,0,13,0,17,12,5,29,9,8,9,9,6,10,8,9,8,7,99,7,106,125,19,114,9,113,100,39,0,82,2,0,0,0,76,0,0,0,4299,4989,5169,5225,2845,4482,4902,4877,4528,3318,8,14,0,0,0,0,34,24
420,KR_6743731586,1,1,-1,0,6,0,0,0,0,5,5,2,3,2,6,4,0,6,2,2,0,3,0,2,2,3,2,2,3,5,5,5,22,22,29,36,14,17,11,3,30,9,9,9,9,7,10,8,9,7,7,87,16,97,116,18,93,15,88,86,14,0,79,0,0,0,0,68,0,0,0,4532,5708,5053,6824,4661,4301,6663,4707,4678,2966,5,6,0,0,0,0,24,22
420,KR_6724056578,1,1,1,0,1,0,0,0,0,5,2,0,4,2,4,2,2,1,1,3,0,2,0,3,2,0,0,2,3,5,2,0,30,18,20,29,0,10,7,0,24,9,8,9,8,7,11,9,9,6,7,95,3,66,96,4,119,0,103,60,21,0,64,0,0,0,0,96,0,0,0,3835,5558,4032,6276,4110,5484,4670,4726,4193,3195,5,4,0,0,0,0,31,19
