queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6675216804,-1,1,1,1,1,0,0,1,1,1,5,8,1,0,2,1,0,3,2,3,1,1,2,3,1,2,5,2,2,1,2,0,0,14,0,14,9,24,3,13,14,11,8,10,8,7,9,8,10,7,7,121,3,60,112,5,81,5,94,97,23,7,78,0,0,0,0,48,0,0,0,8292,4509,4170,5271,3533,3859,4866,4575,5384,3330,3,3,0,0,1,0,37,34
420,KR_6762031129,1,-1,-1,-1,3,0,0,0,0,5,6,6,3,1,3,0,1,3,0,1,1,2,1,1,0,2,4,4,1,2,2,10,21,18,14,17,8,0,3,0,12,11,10,9,9,7,10,8,10,9,8,98,10,73,115,23,84,6,120,120,12,0,95,0,0,0,0,57,0,0,0,6153,6006,4581,5797,3055,4409,5070,5675,4887,4013,5,5,0,0,0,1,19,18
420,KR_6752644385,1,1,-1,1,1,0,0,0,0,6,3,4,3,2,8,1,0,1,5,2,0,2,3,2,1,0,4,2,4,4,4,9,14,10,0,48,10,16,2,0,0,11,9,10,9,9,10,8,10,8,7,82,7,68,103,24,88,6,85,78,21,0,84,0,0,0,0,72,0,0,0,5352,5913,4293,7386,4723,4419,5077,6199,5032,3324,2,5,0,0,1,0,35,21
420,KR_6778223245,1,1,1,0,4,2,2,0,0,3,2,0,4,2,7,2,3,2,0,8,2,6,1,2,4,2,3,2,2,2,6,11,24,27,30,43,27,30,4,0,4,9,9,10,8,8,9,8,10,11,7,57,13,100,103,25,95,2,104,105,15,0,76,0,0,0,0,72,0,0,0,3429,6303,5204,6909,4715,5862,4949,4356,6714,4064,3,3,0,0,0,0,31,21
420,KR_6643175836,1,1,-1,0,4,0,0,0,0,5,2,3,0,0,10,1,0,0,4,2,0,1,1,2,1,1,1,1,1,4,7,0,34,5,4,41,2,3,0,0,15,11,8,10,9,8,10,8,11,7,6,109,4,85,120,10,114,2,95,63,10,0,60,0,0,0,0,64,0,0,0,5026,4245,4098,7601,4557,4872,4230,5564,3978,3255,11,6,0,0,0,0,23,43
420,KR_6792640970,-1,-1,1,0,2,0,0,0,0,6,1,3,1,3,1,0,2,0,0,1,3,2,0,0,2,2,3,2,1,2,0,8,26,0,1,10,0,0,0,10,10,10,8,10,8,7,9,8,10,8,8,83,2,71,95,8,75,2,94,93,31,0,68,0,0,0,0,72,0,0,0,4867,4891,4432,4436,2963,4427,3672,3984,4524,4204,5,6,0,0,0,0,26,21
420,KR_6691951736,-1,-1,1,0,3,0,0,1,1,3,1,2,0,2,3,0,0,1,3,2,4,2,4,1,1,2,2,2,2,0,1,0,3,0,0,7,10,14,0,11,12,10,8,10,9,7,10,7,10,9,6,80,0,99,112,20,86,2,92,105,10,0,64,0,0,0,0,44,0,0,0,4397,3992,5222,5905,3158,4232,3706,5170,5311,4175,1,2,0,0,0,0,28,12
420,KR_6785305655,-1,1,0,0,3,0,0,0,0,1,2,1,7,1,0,0,0,1,1,5,2,1,1,2,2,3,2,2,1,1,3,0,0,2,10,12,6,17,0,10,33,11,9,10,8,7,10,8,10,8,7,113,1,81,108,4,98,1,94,105,3,0,80,0,0,0,0,60,0,0,0,4785,6807,4278,4618,2934,4130,4366,4259,6162,4498,3,3,0,0,0,0,21,34
420,KR_6623806282,1,1,0,1,6,0,0,0,0,4,4,1,4,3,0,1,0,1,2,1,0,0,2,0,1,1,2,3,1,2,1,10,0,10,5,0,0,0,0,2,4,11,8,11,8,8,10,7,10,8,7,113,2,120,75,9,89,0,69,98,6,0,70,0,0,0,0,49,0,0,0,5317,5209,7236,3790,3468,4032,3619,4367,4448,2970,3,24,0,0,1,0,48,22
420,KR_6749383068,-1,1,1,0,3,0,0,0,0,8,3,4,0,2,2,0,1,3,1,3,2,3,3,1,0,4,3,1,2,1,1,0,8,0,0,4,1,12,25,12,18,11,8,10,8,7,11,8,9,8,7,100,1,93,94,8,108,2,78,108,19,0,64,0,0,0,0,76,0,0,0,5385,4388,4719,4889,3239,4931,5158,4472,5560,3764,5,7,0,0,0,0,40,32
420,KR_6625409525,1,1,1,0,5,0,0,0,0,2,4,1,7,5,7,1,0,2,0,4,0,2,1,1,1,2,3,5,3,5,5,10,41,3,19,48,6,8,2,0,11,10,8,11,9,7,8,9,10,8,8,108,3,104,96,8,46,7,83,86,8,0,60,0,0,0,0,88,0,0,0,5626,6680,6254,6605,4313,3201,5538,3948,5940,3189,7,5,0,0,0,0,22,26
420,KR_6787513806,1,0,1,0,0,0,0,0,0,4,5,2,2,2,2,0,1,2,0,0,1,1,0,0,0,3,1,5,0,1,1,0,18,0,0,13,0,0,6,11,11,10,9,10,8,7,10,7,10,8,7,108,6,108,76,15,87,3,102,109,22,0,78,0,0,0,0,64,0,0,0,5175,5819,5157,4209,3642,4191,4238,4240,4384,3366,8,8,0,0,0,0,28,28
420,KR_6759832104,-1,0,1,0,0,0,0,1,1,5,3,3,5,3,1,0,2,1,2,1,0,0,2,3,0,1,4,4,1,1,2,8,15,15,10,30,0,10,7,8,2,10,8,10,7,7,9,7,10,8,7,85,13,100,58,2,80,6,102,113,5,0,68,0,0,0,0,68,0,0,0,5328,6184,5446,3664,3000,4553,4588,5321,5102,2942,4,3,0,0,0,0,19,16
420,KR_6792796493,1,1,0,0,6,0,0,0,0,4,3,2,7,6,4,1,7,5,1,2,1,7,4,2,1,2,2,4,6,6,2,8,14,11,37,32,13,2,21,2,24,8,8,9,8,7,10,7,9,7,7,58,7,87,78,25,70,9,71,66,2,0,68,0,0,0,0,48,0,0,0,4046,6227,5982,5572,3919,6762,5444,4908,4174,3821,3,4,0,0,0,0,28,17
420,KR_6776465637,1,0,0,0,0,0,0,0,0,7,1,2,4,0,2,0,0,2,1,0,0,1,2,1,0,0,2,3,1,1,1,0,0,10,0,5,0,0,0,0,0,11,8,9,8,7,10,7,10,7,8,91,2,92,102,3,95,13,77,91,9,0,60,0,0,0,0,40,0,0,0,4580,4942,4066,4761,2940,4048,4160,3990,3970,3095,3,6,0,0,0,0,23,23
420,KR_6748341965,1,-1,1,0,4,0,0,0,0,2,0,1,3,1,4,1,0,2,2,3,2,3,0,1,1,4,3,2,2,1,2,2,0,11,0,12,9,8,4,14,27,8,8,10,11,7,9,8,10,8,8,88,2,104,124,7,84,8,84,95,20,0,84,0,0,0,0,60,0,0,0,4485,5450,5065,6242,4312,3824,4415,4602,5341,4118,1,0,0,0,0,0,42,22
420,KR_6682711320,-1,-1,-1,1,6,0,0,1,1,1,8,2,2,5,1,0,5,3,1,4,3,5,4,2,1,4,3,2,3,2,0,12,0,0,0,7,7,34,8,11,23,10,8,10,8,7,10,9,9,8,8,96,2,98,106,12,79,3,47,97,23,0,76,0,0,0,0,60,0,0,0,6306,5025,6461,4892,3670,5967,6024,4019,5771,4341,6,7,0,0,0,0,26,27
440,KR_6769835184,1,0,1,1,0,1,1,0,0,2,3,4,5,3,3,0,2,2,2,1,1,3,1,1,2,1,2,3,4,3,3,14,28,10,32,53,8,1,0,12,12,10,8,10,8,8,10,8,9,9,8,92,5,113,77,28,98,0,72,109,21,0,60,0,0,0,0,80,0,0,0,5334,5892,6474,5583,4614,5180,5356,4397,5078,3498,4,5,0,0,2,0,53,20
420,KR_6747702309,1,-1,1,-1,3,1,1,0,0,3,3,3,9,6,0,0,2,1,0,3,1,2,1,0,2,2,6,3,7,1,1,33,13,26,1,0,10,0,0,7,5,10,9,11,7,8,9,7,9,8,8,98,7,97,65,13,67,9,62,102,3,4,75,0,0,4,0,64,0,0,0,6113,6904,6603,3587,2782,4649,4087,3361,5404,4493,3,1,0,0,1,1,23,24
420,KR_6742699983,1,0,0,0,0,1,1,0,0,4,4,5,5,3,2,0,4,7,4,1,1,3,4,7,2,1,4,8,1,1,1,0,37,24,20,38,1,31,43,12,24,10,8,9,8,7,9,8,10,8,7,93,9,82,91,20,79,3,67,97,19,0,64,0,0,0,0,56,0,0,0,5912,5891,5638,5028,3269,5588,6504,6955,4641,3886,5,7,0,0,0,0,26,36
420,KR_6654259095,1,1,1,1,6,2,2,2,2,2,0,5,0,5,3,1,4,4,4,1,0,3,2,4,1,3,4,3,3,1,3,10,46,3,26,28,0,0,13,26,29,10,8,10,8,7,10,8,10,8,6,82,2,101,94,5,48,9,105,85,4,0,68,0,0,0,0,60,4,0,0,7044,5058,6088,5361,4027,4153,5314,5550,4658,2738,3,13,0,0,1,0,66,29
