queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6777016577,1,-1,1,1,6,0,0,0,0,4,3,2,4,3,2,1,1,2,3,1,1,1,2,2,2,1,3,3,4,1,1,17,10,0,12,2,3,10,0,11,13,11,9,11,8,7,10,9,10,9,8,120,5,115,100,30,99,5,94,131,5,0,79,0,0,0,0,75,0,0,0,6707,5967,5436,5083,3578,4370,5281,4980,5373,3874,3,9,0,0,1,0,24,30
440,KR_6791497577,1,-1,0,0,4,0,0,0,0,8,5,0,3,2,0,4,2,1,0,2,1,2,0,2,2,0,2,2,4,1,0,15,8,0,18,19,0,16,0,18,18,8,8,10,7,10,10,7,9,8,7,92,5,115,6,92,78,3,100,95,3,0,67,0,0,0,0,48,0,0,4,3948,4948,5258,3293,5617,4223,3739,3950,4819,3660,3,10,0,0,0,0,42,24
420,KR_6746901298,1,1,1,-1,2,0,0,0,0,6,3,3,0,3,0,1,1,2,2,0,1,3,1,1,0,1,3,0,2,1,1,0,7,0,6,5,10,0,6,0,0,10,9,10,9,8,10,8,11,8,6,111,9,102,137,7,115,10,126,105,17,0,74,0,0,0,0,80,0,0,0,5925,4952,5453,5495,3494,5022,5025,5983,4269,3025,4,8,0,0,0,1,38,20
420,KR_6767689470,-1,1,-1,1,5,0,0,1,1,7,7,4,0,0,3,2,3,0,0,1,3,3,0,0,1,3,3,2,0,1,3,0,6,0,7,12,0,14,0,10,6,10,9,10,8,6,8,8,10,8,7,107,14,110,99,17,55,3,113,99,2,0,84,0,0,0,0,59,0,0,0,6535,4729,4203,5212,3803,4536,4377,4373,4468,4216,7,4,0,0,1,0,38,48
420,KR_6689715247,1,-1,-1,0,6,0,0,0,0,5,8,0,0,1,2,2,3,3,2,1,2,3,4,2,0,2,0,0,1,2,2,0,7,0,17,17,19,24,8,10,17,10,7,9,9,7,10,8,10,9,7,103,1,95,130,28,102,4,93,125,24,3,56,0,0,0,0,72,0,0,0,4336,3441,4874,5682,3908,5563,6037,5083,5192,3905,16,7,0,0,0,0,26,37
420,KR_6710204166,-1,1,-1,1,1,0,0,0,0,10,2,3,4,0,6,1,1,2,2,1,0,1,2,2,1,1,3,2,1,4,4,10,20,2,23,28,0,12,19,0,10,11,8,10,9,7,9,9,10,7,7,123,3,121,118,17,79,7,129,90,8,4,56,0,0,0,4,82,0,0,0,7204,5545,4830,7317,3724,4010,5584,5757,4658,3134,4,9,0,0,1,0,29,24
420,KR_6740637710,1,1,-1,1,1,0,0,0,0,8,6,3,4,3,0,2,1,3,1,3,0,2,2,1,2,2,2,3,4,3,1,0,24,7,19,5,11,0,5,0,18,10,8,11,8,8,10,8,10,8,8,107,8,123,124,14,97,9,107,110,27,0,68,0,0,0,0,71,0,0,0,5694,6159,6315,5564,4931,4869,5541,4599,5718,3599,12,9,0,0,1,0,30,52
420,KR_6794183009,-1,0,1,0,0,0,0,0,0,3,8,3,2,5,1,4,3,3,2,4,0,4,2,4,2,0,2,5,3,1,4,2,27,6,8,14,10,1,10,0,18,10,8,10,8,8,10,7,10,8,7,72,1,94,107,7,87,18,98,101,16,0,71,0,0,4,0,53,0,0,0,4883,5375,5744,4929,5017,5203,4905,5130,5432,3206,10,3,0,0,0,0,23,22
420,KR_6789010661,1,-1,1,0,6,1,1,0,0,8,8,1,7,3,4,1,1,2,2,0,1,2,2,1,1,0,2,3,5,6,0,0,10,20,23,47,18,19,0,5,5,10,10,10,9,8,11,8,9,7,9,88,13,113,103,28,117,10,104,8,124,0,80,0,0,0,0,80,0,0,0,4012,7058,5948,5425,4083,5013,5039,5191,3277,5087,10,14,0,0,0,0,67,254
420,KR_6732745113,1,1,1,1,5,0,0,0,0,9,12,1,4,1,5,1,3,3,0,6,0,3,2,0,3,4,3,1,2,2,4,2,23,8,22,50,0,22,9,28,70,10,9,11,9,7,10,8,10,8,7,99,16,105,97,4,87,14,88,91,18,0,88,0,0,0,0,66,0,0,0,4918,7627,4689,7551,4327,5421,5126,3994,6873,3889,8,10,0,0,2,0,31,26
