queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6748405067,1,1,1,-1,3,1,1,0,0,4,4,3,3,1,2,1,0,3,8,1,1,1,1,5,1,5,3,1,5,1,0,0,0,19,0,0,0,11,0,18,13,11,10,10,10,7,10,9,11,8,9,106,21,89,92,7,98,15,123,120,31,0,80,0,0,0,0,64,0,0,0,5556,5499,5185,4662,3315,4602,5587,7289,5214,4025,3,11,0,0,0,0,44,153
420,KR_6556359195,1,1,-1,1,5,1,1,0,0,4,7,8,4,2,5,1,0,2,3,7,3,2,0,3,4,6,8,4,1,4,4,10,20,15,0,21,19,7,8,10,54,11,10,10,9,7,8,8,11,9,8,126,23,96,98,10,64,8,120,99,16,0,96,0,0,0,4,64,0,0,0,8106,6840,4975,6211,4416,3900,5625,5846,6929,5241,4,13,0,0,1,0,278,19
440,KR_6755170308,1,-1,0,0,3,0,0,0,0,5,7,3,7,3,3,1,3,3,1,3,2,0,5,2,3,2,4,5,4,1,3,20,33,13,0,27,6,28,26,28,54,10,9,9,9,7,10,8,9,9,7,86,7,83,108,3,93,2,92,112,17,0,63,0,0,0,0,64,0,0,0,5020,7030,5709,5405,4233,4999,5456,4730,5740,4044,8,5,0,0,0,0,31,32
420,KR_6691320322,1,1,1,1,5,0,0,0,0,4,1,4,3,2,0,0,3,0,2,1,0,3,1,2,0,0,4,1,2,1,1,9,0,2,6,12,0,0,0,0,12,12,9,10,9,8,11,8,10,9,7,110,5,115,112,2,109,10,96,123,16,0,81,0,0,2,0,68,0,0,0,5693,5526,5963,4699,3561,5373,3979,4729,5252,3013,1,1,0,0,1,0,58,17
420,KR_6773682102,-1,-1,-1,-1,2,0,0,0,0,6,3,1,1,3,3,4,4,0,4,2,0,3,2,1,2,2,1,2,0,4,5,0,40,5,23,44,6,0,0,9,23,9,8,11,9,8,11,8,11,9,7,68,3,139,93,25,113,5,113,93,6,0,72,0,0,0,0,68,0,0,0,3804,5022,5860,5281,4680,6380,4072,6539,5586,4044,4,5,0,0,0,1,27,26
420,KR_6791721782,-1,0,-1,-1,0,0,0,0,0,5,3,6,2,3,2,0,2,4,2,3,5,1,4,3,4,4,6,1,1,3,2,0,31,22,0,36,0,7,24,33,22,13,8,8,10,8,10,9,11,9,9,124,3,87,106,10,98,2,139,124,9,0,60,0,0,0,0,92,0,4,0,7367,5286,5324,5033,3865,4837,6307,6585,7272,5835,3,9,0,0,1,1,31,23
420,KR_6660123364,1,-1,1,0,2,0,0,0,0,3,8,1,3,2,6,1,1,5,2,4,0,2,1,1,4,4,1,1,2,4,5,5,26,8,3,48,14,0,12,23,39,10,9,10,8,8,11,9,10,8,8,63,19,103,99,18,114,6,104,93,15,0,60,0,0,0,0,88,0,0,0,3997,6309,5291,6366,4434,5237,6620,5272,5865,3554,9,4,0,0,0,0,24,31
420,KR_6785639354,1,1,-1,1,2,0,0,0,0,3,3,3,2,2,8,1,0,4,5,2,0,2,4,1,1,3,2,6,2,3,3,0,23,4,7,39,26,19,5,0,9,11,8,11,9,9,11,9,11,8,7,93,0,124,124,18,115,15,99,104,5,0,72,0,0,0,0,60,0,0,0,5104,4866,5923,7991,4267,4958,6561,6376,5591,3186,2,4,0,0,1,0,38,24
420,KR_6791419864,1,1,1,-1,3,0,0,0,0,2,2,1,4,3,2,0,1,4,4,1,2,3,0,4,4,1,2,2,3,2,4,6,20,0,3,19,18,0,0,3,7,10,10,11,8,8,11,9,11,8,8,95,18,102,104,8,86,6,121,93,22,0,79,0,0,0,0,77,0,0,0,5009,6633,5624,5080,4328,4735,5571,6130,4813,4583,1,4,0,0,0,0,37,362
420,KR_6675485652,1,1,-1,-1,1,0,0,0,0,2,5,2,1,0,0,0,3,2,5,0,3,5,1,3,3,1,0,0,2,1,0,4,7,7,4,4,13,19,6,11,4,10,8,9,8,7,10,9,10,9,8,95,15,104,110,11,98,3,82,118,28,0,70,0,0,0,0,86,0,0,0,5033,4495,4856,4594,3245,5639,5804,6806,5217,4301,4,6,0,0,0,0,23,24
440,KR_6737839382,-1,1,-1,1,6,0,0,1,1,4,5,2,2,9,1,1,1,2,2,2,1,3,0,2,2,1,1,1,4,5,4,16,24,12,68,5,11,40,22,11,9,11,9,9,9,10,10,11,8,8,6,124,10,129,24,110,123,114,94,7,11,4,84,0,0,0,0,0,0,71,0,5907,5448,9142,5255,4845,4980,5581,5102,5454,3208,7,2,0,0,1,0,33,18
440,KR_6488544425,-1,-1,-1,-1,4,1,1,5,5,11,7,5,4,4,5,4,3,9,3,3,2,8,4,3,3,3,5,4,3,5,6,22,40,22,35,41,88,52,55,44,33,10,9,10,8,8,11,9,10,9,6,47,4,83,92,31,101,19,94,118,15,0,71,0,0,0,0,60,0,0,0,5363,6070,5533,6398,5286,7565,8715,5771,6977,3845,5,8,0,0,0,3,28,24
420,KR_6779334174,1,-1,1,1,6,1,1,1,1,6,8,0,4,1,2,3,0,0,2,1,2,0,1,2,1,1,2,0,0,4,4,11,19,3,26,32,0,23,0,16,10,10,9,10,8,8,10,9,11,8,7,96,7,103,97,20,119,16,121,95,26,0,88,0,0,0,4,84,0,0,0,5144,6288,4622,5382,5064,4787,5081,5438,5123,3924,10,8,0,0,1,0,150,30
420,KR_6545136958,-1,-1,1,-1,3,0,0,0,0,6,4,8,0,2,1,0,0,8,1,3,0,2,2,3,2,3,1,3,4,1,2,4,14,36,0,15,11,0,22,16,14,10,8,9,8,7,10,8,10,9,8,67,12,79,109,2,126,8,104,111,7,0,60,0,0,0,4,62,0,0,0,7039,4294,5082,4938,3089,5992,6571,5311,5755,3393,3,8,0,0,0,0,36,21
420,KR_6792089680,-1,0,1,1,0,0,0,1,1,1,3,7,0,5,3,1,1,2,4,4,0,2,2,2,1,4,6,3,3,1,3,7,32,25,14,20,21,29,11,5,40,11,8,10,8,8,10,8,9,9,8,111,7,91,88,5,102,21,85,94,19,0,72,0,0,0,0,56,0,0,0,7314,4743,6564,5353,3967,5503,4967,5349,5741,3403,3,3,0,0,1,0,24,16
420,KR_6788144136,1,1,-1,1,3,0,0,0,0,2,1,4,4,3,3,3,3,0,0,4,0,3,0,0,1,3,4,4,3,3,3,9,43,20,20,21,0,0,0,0,32,11,8,10,9,8,10,8,10,8,8,90,3,111,30,68,81,0,99,88,29,0,66,0,0,0,0,96,0,0,0,6335,5729,6060,5846,5347,5139,4525,4225,5160,3767,3,1,0,0,0,0,26,31
420,KR_6794909951,1,1,1,1,4,1,1,0,0,9,4,3,3,1,5,2,0,2,1,0,1,0,0,2,1,1,3,1,2,5,3,5,8,1,11,22,0,9,0,18,9,11,9,11,9,8,10,9,10,8,6,110,10,133,121,6,110,13,103,83,11,0,79,0,0,0,0,80,0,0,0,6186,5649,5771,7084,4954,4449,5242,4625,3951,3656,4,5,0,0,1,0,35,39
420,KR_6791364781,1,1,1,1,1,1,1,0,0,7,7,5,4,4,5,7,0,0,0,1,2,0,0,0,3,0,5,6,1,9,4,17,24,0,57,34,0,4,0,11,0,11,9,11,9,9,9,8,10,8,7,119,14,120,92,31,82,8,90,79,19,4,88,4,8,0,0,64,0,0,0,7719,6693,6833,6833,6140,3997,3903,3990,4188,4304,8,7,0,0,3,0,29,141
420,KR_6421477288,1,1,1,1,6,0,0,0,0,4,3,4,4,6,2,1,3,1,1,2,2,4,1,0,2,2,5,1,7,2,2,15,8,12,20,16,11,22,0,4,6,10,9,11,9,8,10,10,10,8,8,86,13,93,112,14,96,7,75,88,39,0,87,0,0,4,0,88,0,0,0,6572,6438,5959,5921,4300,5343,5401,4638,4472,4023,4,2,0,0,1,0,30,20
420,KR_6786497439,1,1,-1,1,4,0,0,0,0,5,4,2,4,0,4,2,6,0,4,1,3,4,2,4,1,3,2,3,0,5,2,0,2,0,27,29,10,20,2,11,11,10,9,9,9,8,11,7,11,8,8,89,13,93,88,12,114,6,98,72,3,0,85,0,0,4,0,0,0,0,51,5251,5807,4081,6046,5096,7330,3041,5597,4091,4974,6,6,0,0,1,1,27,25
