queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6790213174,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,4,5,4,3,5,4,5,3,3,20,0,24,25,0,21,0,29,21,1,0,32,0,0,0,0,28,0,0,0,1629,1613,1368,1785,1408,1331,1520,1466,1347,1087,3,0,0,0,0,0,40,10
420,KR_6747251823,-1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0,2,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,5,4,4,4,3,5,3,5,4,3,25,0,21,26,0,34,0,19,32,8,0,24,0,0,0,0,20,0,0,0,1431,2077,1418,1766,1208,1518,1798,1665,1901,1273,0,0,0,0,0,0,6,6
440,KR_6776134083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,3,5,3,5,4,4,14,0,17,26,4,34,0,27,33,0,0,28,0,0,0,0,24,0,0,0,1112,1543,1224,1452,1003,1515,1414,1452,1626,1211,0,0,0,0,0,0,5,6
440,KR_6693583553,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,2,1,0,0,2,1,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,0,0,4,4,5,4,4,5,3,4,4,4,23,0,20,39,6,29,0,11,31,6,0,28,0,0,0,0,16,0,0,0,1287,1996,1407,2119,1160,1501,1990,1450,1515,1119,0,0,0,0,0,0,4,2
420,KR_6774991110,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,5,4,5,3,3,5,3,5,4,3,26,1,29,14,6,20,2,25,28,2,0,26,1,0,0,0,20,0,0,0,1438,1753,2216,1186,1260,1285,1352,1364,1804,1409,0,0,0,0,0,0,4,9
420,KR_6505078150,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,2,0,0,0,0,1,5,4,5,3,3,5,4,5,4,4,39,0,28,21,4,16,0,28,27,8,0,28,0,0,0,0,32,0,0,0,1981,1533,1478,1884,1330,1592,1628,1765,1831,1322,0,10,0,0,0,0,21,3
420,KR_6612840944,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,4,5,4,3,4,5,5,3,4,22,0,30,16,5,0,24,25,23,4,0,28,0,0,0,24,0,0,0,0,1380,1480,1542,1670,1310,1457,1364,1417,1308,1003,0,0,0,0,0,0,2,5
420,KR_6697852848,-1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,5,4,4,5,4,5,4,4,23,5,21,34,6,25,1,30,21,0,0,20,0,0,0,0,24,0,0,0,1688,1679,1298,1585,1138,1788,1444,1835,1322,1066,0,1,0,0,0,0,7,3
420,KR_6752166562,-1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,2,1,2,1,1,0,1,5,4,5,3,3,5,4,5,3,4,31,0,32,16,6,24,0,34,31,0,0,28,0,0,0,0,24,0,0,0,1814,2028,1490,1404,1523,1495,1822,1574,1953,1211,0,0,0,0,0,0,5,38
420,KR_6788497781,-1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,0,1,0,1,2,0,0,0,0,0,0,1,2,0,2,0,1,0,5,3,4,3,4,5,3,5,3,3,28,0,19,17,5,27,0,31,18,1,0,16,0,0,0,0,16,0,0,0,1734,1608,1273,1597,1522,1435,1614,1501,1327,1920,0,3,0,0,0,0,14,3
420,KR_6391972618,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,4,4,5,3,5,4,4,19,0,26,30,0,18,1,27,27,0,0,24,0,0,0,0,16,0,0,0,1601,1387,1335,1522,1196,1256,1687,1713,1418,1046,0,0,0,0,0,0,6,6
420,KR_6613761389,-1,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,5,4,5,4,3,5,4,5,4,4,28,0,28,25,6,25,0,16,31,6,0,24,0,0,0,0,20,0,0,0,1897,2198,1431,1721,1202,1424,1728,1343,1936,1277,0,0,0,0,0,0,6,5
420,KR_6503971315,1,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,0,5,5,5,3,4,4,4,5,3,3,24,3,26,19,0,19,0,31,23,1,0,28,0,0,0,0,28,0,0,0,2069,2377,1389,1217,1296,1298,1509,1452,1463,1308,0,0,0,0,0,0,5,6
440,KR_6742024568,1,0,0,0,0,1,1,0,0,1,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,3,1,0,0,0,0,0,4,5,3,4,4,5,4,4,4,3,16,32,0,23,1,25,0,11,24,5,0,0,20,0,0,0,31,0,0,0,1217,2243,1422,1909,2283,1368,1583,1123,1467,1073,0,0,0,0,0,0,3,6
440,KR_6756220809,-1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,4,3,5,4,4,5,3,5,4,4,18,4,23,6,30,26,0,30,17,2,0,21,0,0,0,0,16,0,0,0,1566,1545,1626,1242,1894,1357,1253,1501,1601,1305,0,0,0,0,0,0,7,6
420,KR_6630973310,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,5,3,5,3,3,5,4,5,3,3,31,0,24,22,7,24,0,28,22,2,0,16,0,0,0,0,24,0,0,0,1529,1698,1371,1529,1140,1447,1482,1417,1319,1228,0,0,0,0,0,0,5,6
420,KR_6789719807,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,5,3,5,3,3,5,4,5,4,4,17,2,11,12,3,32,0,30,26,1,0,12,0,0,0,0,32,0,0,0,1651,1720,1556,1112,1128,1863,1620,1526,1420,1248,0,0,0,0,0,0,3,3
