queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6789293420,1,0,0,0,0,2,2,0,0,3,3,1,0,1,0,3,0,0,1,3,3,1,1,0,2,4,2,2,0,1,0,4,8,4,12,4,0,17,0,4,7,7,5,7,5,4,7,5,7,6,5,51,0,73,43,0,50,1,51,71,9,0,40,0,0,0,0,40,0,0,0,2732,2528,3431,2441,2699,2241,2986,2758,3837,2806,2,3,0,0,0,0,14,13
420,KR_6789396666,1,0,0,0,0,1,1,0,0,2,2,3,3,2,2,1,1,2,0,1,2,1,1,0,2,2,3,2,2,1,3,4,4,8,0,7,0,0,3,7,1,8,6,7,5,5,7,5,6,5,5,61,1,67,49,6,49,6,46,44,8,0,52,0,0,0,0,24,0,0,0,3621,3887,3499,2876,2490,2501,3084,2297,2875,2628,2,1,0,0,0,0,69,13
440,KR_6778783745,1,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,0,0,0,2,1,0,0,0,1,2,0,3,1,2,2,0,1,1,0,10,0,0,0,2,6,7,6,7,6,5,7,6,5,6,5,51,0,50,55,5,47,27,0,49,4,0,56,0,0,0,0,0,44,0,0,2298,3294,3316,3330,1971,2262,1778,2299,3100,2774,1,0,0,0,0,0,12,10
420,KR_6788770960,1,0,0,0,0,1,1,0,0,5,1,0,3,1,2,2,2,0,0,1,1,1,1,1,1,0,2,1,1,1,3,4,0,0,7,7,0,0,2,0,4,7,5,7,6,6,7,5,7,6,5,50,3,62,65,1,50,0,54,56,13,0,36,0,0,0,0,40,0,0,0,2374,3317,2800,3487,2832,3079,2231,2467,2674,2117,3,3,0,0,0,0,19,11
420,KR_6787021502,1,0,0,0,0,1,1,0,0,4,1,2,1,1,3,0,1,0,1,1,1,1,0,1,0,2,2,1,1,2,1,0,6,4,0,4,0,0,0,4,0,7,6,7,6,5,7,4,6,5,5,66,3,55,58,13,39,1,27,52,5,0,50,0,0,0,0,24,0,0,0,3521,3056,2827,3436,1887,2586,1855,2077,2778,2139,3,1,0,0,0,0,27,7
420,KR_6780768082,1,0,0,0,0,0,0,0,0,5,2,0,1,0,1,0,1,1,1,0,2,1,1,0,1,2,1,0,0,1,0,4,0,0,0,4,0,6,0,12,6,6,5,7,6,5,7,6,7,5,5,39,2,66,59,12,54,6,57,55,4,0,39,0,0,0,0,52,0,0,0,2220,2705,2589,2719,1782,2883,3058,2758,2974,2813,3,2,0,0,0,0,16,14
420,KR_6787090196,-1,-1,0,0,4,0,0,0,0,2,2,0,2,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,2,1,0,1,0,6,7,4,0,0,3,0,7,5,7,6,5,6,5,7,5,6,39,6,66,60,12,42,0,42,43,11,0,40,0,0,0,0,32,0,0,0,2091,3231,2584,3026,2004,2570,2430,2116,2301,2294,1,2,0,0,0,0,14,16
420,KR_6789173718,-1,1,0,0,5,0,0,0,0,1,1,1,1,1,0,3,1,2,0,0,1,2,1,0,1,0,1,0,2,2,1,0,2,4,5,0,2,0,0,0,0,7,5,7,5,6,7,6,7,5,5,43,0,51,53,20,61,1,64,54,0,0,40,0,0,0,0,47,0,0,0,2395,2637,2758,2820,2781,3264,2989,2633,2499,2094,2,0,0,0,0,0,14,9
420,KR_6779391427,1,0,0,0,0,0,0,0,0,2,1,0,0,2,4,1,2,0,1,0,0,2,0,1,0,0,0,1,1,2,3,0,5,0,0,15,0,0,0,0,0,7,5,7,5,6,7,5,7,5,5,56,0,56,65,2,56,0,55,58,13,0,32,0,0,0,0,38,0,0,0,2398,2253,3360,3833,2754,2883,2175,2818,2510,1761,2,2,0,0,0,0,12,8
420,KR_6783913341,1,0,0,0,0,1,1,0,0,2,0,2,4,1,3,0,0,1,2,0,0,1,0,1,0,1,2,4,1,1,2,4,5,7,1,10,0,2,0,1,2,7,6,7,6,5,6,5,7,5,4,22,4,50,68,10,36,13,44,49,7,0,56,0,0,0,0,24,0,0,0,2526,4014,2748,3621,2005,2070,2644,2742,2262,1671,1,0,0,0,0,0,12,11
420,KR_6778129684,1,1,0,0,1,4,4,3,3,3,1,3,1,2,2,0,2,1,0,1,0,1,0,1,1,1,2,1,2,1,2,10,16,8,7,19,8,4,4,4,12,6,6,7,6,5,7,5,7,5,5,35,0,47,66,12,63,1,54,50,3,0,48,0,0,0,0,44,0,0,0,3180,2826,2917,3560,2030,3390,2675,2380,2626,1700,2,3,0,0,0,0,14,15
420,KR_6787710776,-1,0,0,0,0,0,0,0,0,4,3,1,0,2,1,1,0,1,1,0,2,0,1,1,1,1,1,1,1,2,0,0,7,0,4,3,0,4,4,8,4,7,5,6,6,5,7,5,7,5,5,56,6,49,56,12,63,0,63,57,11,0,32,0,0,0,0,40,0,0,0,2715,2484,2806,2876,2081,2542,2709,3037,2781,2317,7,6,0,0,0,0,18,30
420,KR_6786481997,1,0,0,0,0,3,3,2,2,3,3,0,2,2,2,0,0,3,2,1,0,1,0,2,2,1,0,2,2,1,1,0,6,4,8,16,3,0,4,6,6,7,6,6,5,5,7,6,7,5,5,64,4,44,51,5,45,4,48,66,16,0,48,0,0,0,0,48,0,0,0,2541,3393,2828,3136,2054,2354,3364,3045,3086,1934,2,3,0,0,0,0,12,17
420,KR_6790058233,-1,0,0,0,0,0,0,0,0,3,4,2,2,1,3,0,0,2,0,1,1,1,0,1,1,1,2,2,1,2,1,4,7,7,3,7,4,3,2,0,3,7,6,7,5,6,7,5,7,5,5,59,0,52,49,17,46,3,44,47,5,0,48,0,0,0,0,32,0,0,0,3138,3480,3320,3207,2049,2367,2851,2322,2521,2295,3,4,0,0,0,0,82,10
420,KR_6784522368,1,0,0,0,0,0,0,0,0,4,3,1,2,4,1,2,2,0,2,0,0,1,1,2,0,0,2,2,3,1,2,3,10,9,7,12,0,2,0,0,2,7,5,6,6,4,7,4,7,6,3,51,0,46,71,0,48,1,48,43,0,0,38,0,0,0,0,23,0,0,4,2997,3187,3921,3245,3132,2976,1977,2991,2031,1512,1,1,0,0,0,0,19,9
420,KR_6789886311,-1,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,1,3,0,0,0,1,1,2,2,1,1,0,0,0,0,3,0,4,0,4,0,0,5,8,5,7,5,4,6,5,7,6,5,53,3,66,44,11,49,5,65,65,11,0,44,0,0,0,0,36,0,0,0,3119,3030,2695,2179,1768,2257,2486,2873,3591,1999,0,2,0,0,0,0,10,12
420,KR_6768261925,-1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,6,6,6,5,7,5,6,6,5,50,4,36,74,11,59,3,56,70,11,0,48,0,0,0,0,28,0,0,0,2330,2447,2502,2801,1686,2556,2426,2342,2685,1700,1,2,0,0,0,0,12,14
420,KR_6790641912,1,0,0,0,0,0,0,0,0,2,2,0,1,1,1,1,2,1,0,2,0,2,1,0,1,1,1,1,1,0,1,0,4,2,0,4,0,8,2,0,4,7,6,7,6,5,8,5,7,6,5,67,0,53,66,12,61,0,54,64,4,0,52,0,0,0,0,36,0,0,0,2487,3050,2785,2987,2169,3089,2732,2531,3100,1770,1,3,0,0,0,0,11,15
420,KR_6788339189,1,1,0,0,4,0,0,0,0,3,3,0,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,2,3,0,0,0,6,2,0,7,0,0,0,0,4,6,6,7,6,5,7,5,7,6,5,45,3,58,65,13,55,1,62,60,5,0,56,0,0,0,0,28,0,0,0,2167,3034,3222,2898,2299,2351,2000,2741,2533,2031,6,2,0,0,0,0,13,33
420,KR_6784120437,1,0,0,0,0,0,0,0,0,3,2,1,0,4,3,0,1,0,1,0,1,1,2,0,0,0,0,2,4,1,1,0,16,8,4,15,2,8,0,4,4,6,5,8,6,5,7,5,5,5,5,40,0,62,66,13,51,5,18,58,10,0,48,0,0,0,0,27,0,0,0,2371,2668,4035,3723,2126,2708,2273,1961,2399,1976,3,2,0,0,0,0,12,9
