queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6798737285,1,-1,0,0,3,0,0,0,0,1,2,3,3,1,0,0,0,1,0,2,0,0,1,0,1,1,2,1,3,0,1,1,5,5,0,4,0,1,0,1,4,9,6,8,6,6,7,6,7,6,5,79,5,68,63,0,45,3,61,59,2,0,44,0,0,0,0,48,0,4,0,4090,3636,3654,2730,2006,2318,3011,2691,3652,2004,1,11,0,0,0,0,26,11
420,KR_6796824903,-1,1,0,0,1,0,0,0,0,5,4,0,6,1,2,0,2,0,2,0,0,2,1,1,0,0,1,4,2,1,1,5,5,5,0,6,0,0,0,0,0,7,6,8,5,6,7,5,8,6,4,52,0,69,64,14,55,4,54,53,10,0,47,0,0,0,0,36,0,0,0,2635,4352,3240,3438,2393,3237,2313,3530,2532,1733,1,5,0,0,0,0,15,11
440,KR_6694369523,1,0,0,0,0,0,0,0,0,3,3,2,2,1,0,2,1,0,1,2,1,1,0,1,1,2,2,2,3,0,0,0,4,2,7,0,0,8,5,0,1,7,6,6,6,7,7,6,6,6,6,55,7,13,60,54,49,16,34,68,8,0,44,0,0,0,0,0,0,0,44,3315,3355,2783,2880,3115,2741,2213,2575,3516,3135,1,4,0,0,0,0,12,14
420,KR_6795182412,-1,-1,0,0,2,0,0,0,0,2,5,2,2,1,2,0,1,1,1,2,0,1,2,0,1,1,2,1,1,3,0,0,6,0,5,5,0,5,0,10,15,7,6,8,6,6,8,5,7,6,6,47,3,74,67,5,51,0,61,51,1,0,36,0,0,0,0,48,0,0,0,3240,3290,3316,3563,1942,2918,2926,2914,3173,1987,5,3,0,0,0,0,166,14
420,KR_6726002029,-1,0,0,0,0,0,0,0,0,3,3,0,2,3,2,2,0,1,0,0,0,0,0,1,0,0,1,2,2,2,2,5,4,0,9,17,0,0,5,0,0,8,6,7,7,6,7,5,7,6,6,72,6,69,66,15,61,1,57,45,9,0,40,0,0,0,0,32,0,0,0,3024,3191,4105,3758,3262,2543,2643,2728,2463,2189,6,0,0,0,0,0,13,26
420,KR_6789810180,-1,1,0,0,1,0,0,0,0,2,2,0,1,1,1,0,0,1,5,3,0,0,1,4,2,2,0,1,1,1,0,0,1,0,0,1,4,15,0,1,12,8,6,7,6,6,8,5,8,5,5,56,3,62,66,3,64,10,48,52,13,0,48,0,0,0,0,24,0,0,0,2684,3054,3583,3399,2106,2902,2876,3900,3713,2344,2,0,0,0,0,0,22,17
440,KR_6724718080,-1,0,0,0,0,0,0,0,0,2,1,2,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,3,0,2,0,2,2,8,4,5,2,2,0,6,8,6,8,6,5,5,7,6,7,51,74,2,61,5,5,3,53,52,57,0,0,44,0,0,0,40,0,0,0,3161,2862,3044,2702,2739,2111,2598,3008,2953,2910,0,0,0,0,0,0,13,13
440,KR_6789677679,1,0,0,0,0,0,0,0,0,2,3,2,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,2,9,1,5,14,5,0,0,0,0,0,6,6,7,6,8,8,6,8,6,5,12,1,50,69,74,61,66,65,0,1,0,48,0,0,0,0,0,0,52,0,2732,3599,2445,3531,3095,2906,3016,2631,2588,1885,4,1,0,0,0,0,12,15
420,KR_6794971900,1,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,1,5,0,0,0,3,0,1,1,1,2,1,1,1,1,0,0,5,0,4,0,0,0,0,0,7,6,8,6,5,7,8,6,6,5,48,1,66,64,2,49,43,0,74,1,0,48,0,0,0,0,0,51,0,0,2784,2971,3851,3469,2176,2775,4058,2642,2912,1748,0,0,0,0,0,0,30,17
420,KR_6666963060,1,0,0,0,0,1,1,0,0,2,1,1,1,2,4,0,3,1,0,4,0,2,3,0,1,2,1,2,1,1,3,0,9,5,0,13,5,0,0,0,4,6,6,8,6,5,8,5,8,7,5,24,0,66,58,10,61,0,68,73,3,0,48,0,0,0,0,44,0,0,0,2428,3242,3389,3797,2280,3861,2769,2692,4271,2431,0,2,0,0,0,0,11,14
