queueId,matchId,Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,dragonType,WIN_invadeKill,LOSE_invadeDeath,LOSE_invadeKill,WIN_invadeDeath,WIN_controlWARDPlaced,LOSE_controlWARDPlaced,WIN_Kill_top,WIN_Kill_jgl,WIN_Kill_mid,WIN_Kill_ad,WIN_Kill_sup,LOSE_Kill_top,LOSE_Kill_jgl,LOSE_Kill_mid,LOSE_Kill_ad,LOSE_Kill_sup,WIN_Death_top,WIN_Death_jgl,WIN_Death_mid,WIN_Death_ad,WIN_Death_sup,LOSE_Death_top,LOSE_Death_jgl,LOSE_Death_mid,LOSE_Death_ad,LOSE_Death_sup,WIN_Asisst_top,WIN_Asisst_jgl,WIN_Asisst_mid,WIN_Asisst_ad,WIN_Asisst_sup,LOSE_Asisst_top,LOSE_Asisst_jgl,LOSE_Asisst_mid,LOSE_Asisst_ad,LOSE_Asisst_sup,WIN_LV_top,WIN_LV_jgl,WIN_LV_mid,WIN_LV_ad,WIN_LV_sup,LOSE_LV_top,LOSE_LV_jgl,LOSE_LV_mid,LOSE_LV_ad,LOSE_LV_sup,WIN_CS_top,WIN_CS_jgl,WIN_CS_mid,WIN_CS_ad,WIN_CS_sup,LOSE_CS_top,LOSE_CS_jgl,LOSE_CS_mid,LOSE_CS_ad,LOSE_CS_sup,WIN_jglCS_top,WIN_jglCS_jgl,WIN_jglCS_mid,WIN_jglCS_ad,WIN_jglCS_sup,LOSE_jglCS_top,LOSE_jglCS_jgl,LOSE_jglCS_mid,LOSE_jglCS_ad,LOSE_jglCS_sup,WIN_GOLD_top,WIN_GOLD_jgl,WIN_GOLD_mid,WIN_GOLD_ad,WIN_GOLD_sup,LOSE_GOLD_top,LOSE_GOLD_jgl,LOSE_GOLD_mid,LOSE_GOLD_ad,LOSE_GOLD_sup,WIN_WARDkill,LOSE_WARDkill,WIN_Inhibitor,LOSE_Inhibitor,WIN_TOWERkill,LOSE_TOWERkill,WIN_WARDplaced,LOSE_WARDplaced
420,KR_6744753626,1,1,0,0,2,1,1,0,0,4,2,1,0,1,3,2,2,0,0,1,0,1,0,1,1,0,1,1,0,2,3,5,5,8,9,14,0,1,1,0,5,7,6,7,6,6,8,5,7,5,5,52,2,63,66,15,64,1,64,64,12,0,56,0,0,0,0,40,0,0,0,2878,2700,3157,4568,2875,3449,2500,3232,3092,2099,3,0,0,0,0,0,18,16
420,KR_6794528155,1,1,0,0,1,1,1,0,0,4,2,2,1,1,1,1,1,2,1,0,0,1,1,1,0,1,2,1,1,2,0,10,14,5,5,0,5,3,5,1,1,8,6,7,6,6,7,5,7,6,6,68,3,79,66,0,29,1,60,70,14,0,54,0,0,0,0,26,0,0,0,3820,3670,3351,2995,2503,2435,2996,3166,2880,1960,6,0,0,0,0,0,15,43
440,KR_6567182253,-1,0,0,0,0,0,0,1,1,2,4,1,4,0,2,0,2,4,1,2,0,3,3,1,2,0,2,2,0,1,2,8,8,2,4,12,15,2,5,9,14,7,6,7,6,6,7,6,7,6,6,36,8,56,52,13,51,2,54,73,12,0,32,0,0,0,0,40,0,0,0,2780,3786,2688,3426,2096,3716,3827,3081,4052,2279,2,2,0,0,0,0,11,28
420,KR_6729608468,1,0,0,0,0,0,0,0,0,4,3,3,1,1,1,0,3,1,0,1,0,3,1,0,0,1,3,2,0,1,0,2,7,0,0,5,0,2,0,0,10,8,6,7,6,5,7,6,8,6,5,52,2,61,56,5,38,4,62,68,10,0,45,0,0,0,0,52,0,0,0,3679,3272,3090,2818,2093,3028,3175,2676,3388,2151,2,0,0,0,0,0,21,16
420,KR_6794548038,-1,1,0,0,6,0,0,0,0,1,0,3,2,1,2,0,0,1,0,1,0,0,1,0,0,1,2,1,2,2,1,0,2,5,0,11,0,1,0,5,5,8,5,8,5,5,8,5,8,6,6,63,1,64,45,14,64,2,58,54,18,0,40,0,0,0,0,39,0,0,0,3608,3061,3288,2942,2686,2657,2959,2607,3115,1980,1,0,0,0,0,0,13,12
420,KR_6746822416,1,0,1,0,0,0,0,0,0,2,1,4,2,2,1,0,0,0,1,0,2,0,0,1,0,2,4,1,3,1,0,10,25,7,0,4,0,9,0,9,0,7,6,7,6,5,6,6,7,5,6,46,2,40,67,3,43,3,43,51,4,0,36,0,0,0,0,48,0,0,0,3913,3710,3206,3071,2315,2231,2803,2749,2617,2487,0,3,0,0,0,0,14,9
420,KR_6783711206,1,1,0,0,6,0,0,0,0,1,1,0,2,2,1,0,0,1,0,2,0,0,0,1,0,2,0,2,1,1,1,5,9,7,0,0,0,0,0,0,7,7,7,7,6,6,7,5,7,6,6,65,0,51,63,6,48,0,59,68,2,0,59,0,0,0,0,30,1,0,0,2835,4093,3479,2868,2128,2501,2446,2616,3307,2172,0,1,0,0,0,0,13,12
420,KR_6773843941,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,8,6,8,6,6,8,6,8,6,5,63,6,74,55,17,68,0,59,63,8,0,48,0,0,0,0,44,0,0,0,2691,2648,2898,2912,1923,3363,2468,2857,3103,2164,2,4,0,0,0,0,14,12
420,KR_6788767456,1,0,0,0,0,0,0,0,0,3,0,0,3,1,1,0,0,1,1,2,0,0,0,1,2,1,1,2,1,0,1,5,0,3,0,5,0,8,0,5,13,8,6,8,5,6,8,5,8,6,5,69,1,72,66,16,67,1,63,58,4,0,52,0,0,0,0,40,0,0,0,2905,3586,3346,3232,2160,2999,2982,2932,3467,2260,1,1,0,0,0,0,12,10
420,KR_6791160108,1,0,0,0,0,0,0,0,0,1,3,0,5,0,1,4,1,0,2,2,0,2,1,1,0,1,2,4,0,2,2,5,6,7,10,3,0,1,0,0,3,7,6,8,6,6,7,5,8,5,6,60,3,62,68,14,50,2,55,44,3,0,40,0,0,0,0,36,0,0,0,2816,3959,3083,3685,3360,2648,2457,3220,3504,2209,4,2,0,0,0,0,11,13
