Rank,Model,"accuracy
score","F1
score","roc_auc
score"
IRON,CatBoost,73.86%,74.42%,73.85%
,ExtraTree,73.70%,74.43%,73.67%
,LightGBM,72.96%,73.65%,72.95%
,RandomForest,74.84%,75.46%,74.82%
BRONZE,CatBoost,73.37%,73.23%,73.37%
,ExtraTree,72.92%,72.69%,72.92%
,LightGBM,71.64%,71.18%,71.63%
,RandomForest,72.98%,72.63%,72.98%
SILVER,CatBoost,73.46%,73.04%,73.46%
,ExtraTree,73.34%,72.65%,73.35%
,LightGBM,72.56%,71.90%,72.57%
,RandomForest,73.58%,73.13%,73.58%
GOLD,CatBoost,73.97%,73.36%,73.98%
,ExtraTree,74.16%,73.65%,74.18%
,LightGBM,74.22%,73.31%,74.25%
,RandomForest,75.19%,74.40%,75.22%
PLATINUM,CatBoost,76.07%,76.39%,76.08%
,ExtraTree,75.98%,76.35%,75.99%
,LightGBM,75.50%,75.75%,75.51%
,RandomForest,76.16%,76.42%,76.17%
EMERALD,CatBoost,75.71%,75.70%,75.74%
,ExtraTree,75.27%,74.93%,75.32%
,LightGBM,75.05%,74.99%,75.08%
,RandomForest,75.49%,75.30%,75.53%
DIAMOND,CatBoost,76.88%,77.31%,76.88%
,ExtraTree,77.13%,77.58%,77.13%
,LightGBM,77.01%,77.46%,77.00%
,RandomForest,76.40%,76.97%,76.39%
MASTER,CatBoost,75.41%,75.96%,75.40%
,ExtraTree,75.50%,75.82%,75.50%
,LightGBM,76.24%,76.82%,76.22%
,RandomForest,75.67%,76.24%,75.66%
GRANDMASTER,CatBoost,80.01%,79.97%,80.02%
,ExtraTree,79.47%,79.47%,79.48%
,LightGBM,79.60%,79.57%,79.60%
,RandomForest,79.80%,79.88%,79.80%
CHALLENGER,CatBoost,78.71%,78.96%,78.71%
,ExtraTree,78.97%,78.95%,78.98%
,LightGBM,79.28%,79.64%,79.27%
,RandomForest,79.15%,79.46%,79.14%
