Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,62.81,62.32,62.82,1206,725,674,1157
5,LightGBM,62.87,62.8,62.87,1186,699,698,1179
5,CatBoost,63.8,64.04,63.8,1187,675,687,1213
5,ExtraTree,63.42,63.38,63.42,1195,695,681,1191
6,RandomForest,66.43,66.98,66.44,1218,601,662,1281
6,LightGBM,64.7,65.05,64.7,1198,654,674,1236
6,CatBoost,65.44,65.9,65.44,1206,656,644,1256
6,ExtraTree,65.63,65.12,65.62,1262,642,651,1207
7,RandomForest,65.71,65.0,65.69,1274,637,653,1198
7,LightGBM,65.55,66.0,65.55,1208,670,626,1258
7,CatBoost,66.48,66.91,66.48,1226,644,617,1275
7,ExtraTree,64.83,64.46,64.83,1239,672,651,1200
8,RandomForest,68.29,68.2,68.29,1290,597,596,1279
8,LightGBM,67.22,67.3,67.23,1260,598,635,1269
8,CatBoost,67.92,67.98,67.92,1274,613,594,1281
8,ExtraTree,67.7,67.31,67.7,1296,595,620,1251
9,RandomForest,70.26,70.4,70.26,1312,546,573,1331
9,LightGBM,69.43,69.41,69.43,1307,581,569,1305
9,CatBoost,70.41,70.89,70.42,1294,535,578,1355
9,ExtraTree,70.95,70.88,70.95,1339,566,527,1330
10,RandomForest,70.92,70.98,70.92,1330,552,542,1338
10,LightGBM,69.09,69.58,69.08,1269,609,554,1330
10,CatBoost,70.65,71.28,70.64,1288,553,551,1370
10,ExtraTree,70.92,71.3,70.92,1309,539,555,1359
11,RandomForest,72.36,71.92,72.35,1390,503,537,1332
11,LightGBM,71.88,71.98,71.88,1345,537,521,1359
11,CatBoost,72.09,72.0,72.09,1362,535,515,1350
11,ExtraTree,73.26,73.33,73.26,1373,491,515,1383
12,RandomForest,73.42,73.57,73.42,1370,499,501,1392
12,LightGBM,70.81,71.04,70.81,1317,560,538,1347
12,CatBoost,72.51,72.31,72.53,1378,481,553,1350
12,ExtraTree,72.49,72.12,72.48,1388,506,529,1339
13,RandomForest,73.26,73.04,73.26,1393,500,506,1363
13,LightGBM,72.97,72.76,72.96,1387,507,510,1358
13,CatBoost,74.22,74.04,74.21,1409,481,489,1383
13,ExtraTree,73.07,73.26,73.1,1361,547,466,1388
14,RandomForest,73.79,73.69,73.79,1395,481,505,1381
14,LightGBM,73.87,73.48,73.86,1417,480,503,1362
14,CatBoost,74.22,74.06,74.22,1407,500,470,1385
14,ExtraTree,74.56,74.54,74.56,1404,475,482,1401
15,RandomForest,74.48,74.72,74.48,1383,482,478,1419
15,LightGBM,74.14,74.39,74.14,1376,469,504,1413
15,CatBoost,73.87,73.86,73.88,1390,516,467,1389
15,ExtraTree,75.52,75.86,75.52,1394,456,465,1447
