Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,66.46,66.51,66.46,1100,576,537,1105
5,LightGBM,64.71,64.76,64.73,1071,617,554,1076
5,CatBoost,65.64,65.62,65.64,1090,564,576,1088
5,ExtraTree,65.1,63.72,65.06,1143,537,621,1017
6,RandomForest,65.88,66.21,65.89,1077,553,579,1109
6,LightGBM,66.79,66.79,66.79,1108,557,545,1108
6,CatBoost,67.57,67.57,67.59,1121,513,563,1121
6,ExtraTree,67.33,67.27,67.33,1120,532,552,1114
7,RandomForest,68.99,69.05,68.99,1140,509,519,1147
7,LightGBM,68.63,69.21,68.62,1106,522,518,1169
7,CatBoost,68.05,67.98,68.11,1132,575,484,1124
7,ExtraTree,69.05,68.47,69.04,1175,499,527,1114
8,RandomForest,69.71,69.15,69.7,1186,494,510,1125
8,LightGBM,69.17,68.77,69.17,1168,486,536,1125
8,CatBoost,70.92,70.7,70.92,1188,464,500,1163
8,ExtraTree,70.05,69.97,70.05,1165,511,482,1157
9,RandomForest,71.81,71.36,71.81,1217,472,463,1165
9,LightGBM,71.09,71.04,71.1,1182,496,463,1176
9,CatBoost,71.42,71.74,71.42,1166,491,457,1203
9,ExtraTree,71.39,70.84,71.38,1215,452,497,1153
10,RandomForest,73.04,72.81,73.04,1225,443,451,1197
10,LightGBM,72.68,72.6,72.69,1210,475,431,1200
10,CatBoost,72.68,72.24,72.67,1231,443,463,1179
10,ExtraTree,71.56,71.47,71.58,1192,440,503,1181
11,RandomForest,74.5,75.12,74.48,1195,433,413,1277
11,LightGBM,73.42,73.34,73.42,1223,437,445,1213
11,CatBoost,72.85,72.98,72.85,1200,444,457,1217
11,ExtraTree,73.78,74.01,73.78,1209,446,424,1239
12,RandomForest,75.93,76.21,75.92,1240,398,401,1280
12,LightGBM,74.9,75.39,74.89,1210,430,403,1276
12,CatBoost,73.97,73.64,73.96,1248,420,444,1207
12,ExtraTree,75.38,75.16,75.38,1266,410,407,1236
13,RandomForest,75.35,75.36,75.36,1250,401,417,1251
13,LightGBM,76.68,76.66,76.7,1274,362,412,1271
13,CatBoost,75.6,75.88,75.59,1235,407,403,1274
13,ExtraTree,75.56,75.48,75.57,1260,418,393,1248
14,RandomForest,76.77,77.17,76.78,1245,371,400,1303
14,LightGBM,77.22,77.82,77.2,1237,382,374,1326
14,CatBoost,76.56,76.57,76.56,1270,384,394,1271
14,ExtraTree,78.7,78.72,78.7,1304,349,358,1308
15,RandomForest,78.43,78.1,78.43,1327,342,374,1277
15,LightGBM,77.59,77.37,77.59,1304,381,363,1272
15,CatBoost,78.55,78.66,78.55,1296,353,359,1312
15,ExtraTree,77.65,78.09,77.64,1256,372,370,1322
