Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,64.22,64.31,64.23,1426,823,772,1437
5,LightGBM,64.4,64.88,64.39,1405,799,788,1466
5,CatBoost,63.46,63.65,63.49,1403,866,763,1426
5,ExtraTree,62.74,62.58,62.77,1408,874,787,1389
6,RandomForest,66.33,66.64,66.34,1458,790,711,1499
6,LightGBM,65.88,65.86,65.9,1470,797,724,1467
6,CatBoost,66.49,67.19,66.47,1434,745,749,1530
6,ExtraTree,65.16,65.42,65.16,1436,793,760,1469
7,RandomForest,67.38,68.13,67.37,1450,751,703,1554
7,LightGBM,66.4,66.43,66.42,1478,787,711,1482
7,CatBoost,68.21,68.29,68.21,1515,708,709,1526
7,ExtraTree,68.64,68.97,68.64,1506,706,692,1554
8,RandomForest,68.73,68.6,68.75,1541,729,665,1523
8,LightGBM,68.73,69.15,68.72,1502,698,696,1562
8,CatBoost,69.02,69.53,69.01,1501,700,681,1576
8,ExtraTree,69.49,70.11,69.49,1503,727,633,1595
9,RandomForest,71.04,71.71,71.03,1531,637,654,1636
9,LightGBM,69.92,69.75,69.93,1571,692,649,1546
9,CatBoost,69.78,69.76,69.79,1557,687,660,1554
9,ExtraTree,69.56,69.53,69.56,1553,661,696,1548
10,RandomForest,72.36,71.9,72.36,1650,629,603,1576
10,LightGBM,69.54,69.54,69.55,1550,703,655,1550
10,CatBoost,70.3,70.35,70.31,1563,632,692,1571
10,ExtraTree,71.44,70.93,71.43,1632,622,651,1553
11,RandomForest,71.92,72.0,71.92,1596,609,643,1610
11,LightGBM,72.95,73.01,72.95,1621,599,607,1631
11,CatBoost,72.18,72.47,72.18,1586,643,597,1632
11,ExtraTree,71.94,71.81,71.95,1614,656,595,1593
12,RandomForest,74.45,73.89,74.47,1707,603,536,1612
12,LightGBM,72.25,72.22,72.25,1613,607,630,1608
12,CatBoost,74.05,73.88,74.05,1665,582,575,1636
12,ExtraTree,72.79,72.97,72.83,1608,561,652,1637
13,RandomForest,74.79,74.94,74.79,1653,564,560,1681
13,LightGBM,73.67,73.47,73.67,1658,561,613,1626
13,CatBoost,74.65,74.28,74.65,1696,575,555,1632
13,ExtraTree,73.33,72.96,73.34,1665,616,573,1604
14,RandomForest,76.42,76.5,76.43,1696,504,547,1711
14,LightGBM,75.06,75.01,75.06,1677,548,564,1669
14,CatBoost,75.41,75.34,75.42,1688,522,574,1674
14,ExtraTree,74.81,75.13,74.81,1639,560,563,1696
15,RandomForest,76.67,76.49,76.68,1726,493,547,1692
15,LightGBM,77.32,77.44,77.34,1712,548,463,1735
15,CatBoost,76.11,75.9,76.11,1716,509,556,1677
15,ExtraTree,75.93,75.93,75.95,1693,501,572,1692
