Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,64.05,64.22,64.06,1474,812,855,1496
5,LightGBM,62.56,61.95,62.55,1488,854,882,1413
5,CatBoost,62.52,62.09,62.51,1476,865,873,1423
5,ExtraTree,62.95,63.15,62.95,1447,868,850,1472
6,RandomForest,65.47,64.85,65.46,1559,799,802,1477
6,LightGBM,64.76,65.25,64.76,1469,801,833,1534
6,CatBoost,66.36,66.68,66.35,1516,794,766,1561
6,ExtraTree,65.39,64.98,65.38,1543,781,824,1489
7,RandomForest,66.51,66.36,66.51,1552,797,756,1532
7,LightGBM,65.06,65.21,65.06,1499,809,811,1518
7,CatBoost,67.09,66.65,67.09,1586,747,779,1525
7,ExtraTree,67.57,68.65,67.54,1486,738,766,1647
8,RandomForest,67.26,67.48,67.26,1543,736,782,1575
8,LightGBM,67.28,67.41,67.28,1550,780,737,1569
8,CatBoost,67.3,67.63,67.3,1536,751,765,1584
8,ExtraTree,68.03,67.8,68.04,1594,763,719,1560
9,RandomForest,68.45,68.6,68.45,1576,726,737,1598
9,LightGBM,68.92,68.95,68.95,1596,679,762,1600
9,CatBoost,69.89,69.7,69.89,1635,682,714,1606
9,ExtraTree,68.41,68.2,68.41,1601,721,744,1571
10,RandomForest,70.41,70.7,70.41,1610,696,676,1655
10,LightGBM,70.67,70.66,70.68,1639,707,653,1638
10,CatBoost,69.4,69.88,69.39,1572,715,704,1646
10,ExtraTree,70.61,69.85,70.58,1695,666,697,1579
11,RandomForest,71.04,71.32,71.04,1624,659,684,1670
11,LightGBM,71.47,71.79,71.47,1631,659,664,1683
11,CatBoost,71.04,71.17,71.04,1636,696,647,1658
11,ExtraTree,72.61,72.77,72.62,1670,616,654,1697
12,RandomForest,73.19,72.76,73.2,1734,647,596,1660
12,LightGBM,73.22,73.53,73.21,1670,626,616,1725
12,CatBoost,73.91,73.91,73.91,1713,591,619,1714
12,ExtraTree,72.12,72.06,72.12,1677,649,644,1667
13,RandomForest,74.6,74.51,74.6,1737,593,585,1722
13,LightGBM,74.29,74.34,74.29,1718,593,599,1727
13,CatBoost,74.73,74.78,74.73,1727,566,606,1738
13,ExtraTree,73.6,73.3,73.64,1733,658,566,1680
14,RandomForest,76.9,77.16,76.9,1757,556,515,1809
14,LightGBM,75.37,75.22,75.37,1762,576,566,1733
14,CatBoost,74.94,74.62,74.94,1767,555,607,1708
14,ExtraTree,75.37,75.73,75.37,1713,570,572,1782
15,RandomForest,75.7,75.93,75.69,1732,575,552,1778
15,LightGBM,75.8,75.41,75.8,1795,558,564,1720
15,CatBoost,77.46,77.72,77.46,1769,516,529,1823
15,ExtraTree,76.17,75.83,76.16,1799,536,569,1733
