Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,61.82,61.31,61.82,1263,756,771,1210
5,LightGBM,61.92,62.26,61.92,1221,761,762,1256
5,CatBoost,62.52,62.18,62.53,1269,729,770,1232
5,ExtraTree,62.12,61.89,62.13,1255,734,781,1230
6,RandomForest,64.95,64.65,64.97,1316,738,664,1282
6,LightGBM,63.98,63.89,63.98,1284,729,712,1275
6,CatBoost,65.15,65.1,65.15,1306,684,710,1300
6,ExtraTree,63.2,63.18,63.27,1265,667,805,1263
7,RandomForest,66.42,66.48,66.43,1325,649,694,1332
7,LightGBM,64.95,64.74,64.95,1311,684,718,1287
7,CatBoost,66.05,65.62,66.05,1346,690,668,1296
7,ExtraTree,65.77,66.52,65.76,1271,674,695,1360
8,RandomForest,67.97,68.21,67.98,1345,659,622,1374
8,LightGBM,68.12,67.94,68.13,1374,644,631,1351
8,CatBoost,67.1,67.63,67.1,1309,647,669,1375
8,ExtraTree,67.97,68.27,67.97,1341,637,644,1378
9,RandomForest,69.27,69.84,69.26,1348,629,600,1423
9,LightGBM,69.32,69.09,69.33,1402,627,600,1371
9,CatBoost,68.25,68.14,68.25,1372,618,652,1358
9,ExtraTree,68.27,68.16,68.27,1373,632,637,1358
10,RandomForest,70.85,70.86,70.85,1416,585,581,1418
10,LightGBM,70.25,70.37,70.25,1397,594,596,1413
10,CatBoost,69.8,70.0,69.8,1383,607,601,1409
10,ExtraTree,70.08,70.39,70.09,1380,641,556,1423
11,RandomForest,70.85,70.64,70.87,1431,615,551,1403
11,LightGBM,70.08,70.16,70.07,1396,603,594,1407
11,CatBoost,71.62,71.43,71.67,1446,617,518,1419
11,ExtraTree,70.58,70.7,70.57,1403,589,588,1420
12,RandomForest,73.1,72.76,73.11,1487,563,513,1437
12,LightGBM,74.75,74.44,74.75,1519,508,502,1471
12,CatBoost,72.2,72.05,72.21,1455,579,533,1433
12,ExtraTree,71.9,71.31,71.89,1479,550,574,1397
13,RandomForest,74.02,74.42,74.02,1450,533,506,1511
13,LightGBM,73.98,74.09,73.97,1471,526,515,1488
13,CatBoost,74.2,73.79,74.19,1515,514,518,1453
13,ExtraTree,74.62,74.58,74.64,1496,530,485,1489
14,RandomForest,74.78,74.69,74.78,1502,490,519,1489
14,LightGBM,74.88,74.87,74.88,1498,511,494,1497
14,CatBoost,75.88,75.44,75.86,1553,466,499,1482
14,ExtraTree,75.32,75.34,75.33,1505,484,503,1508
15,RandomForest,76.28,76.36,76.29,1518,508,441,1533
15,LightGBM,76.62,76.6,76.64,1535,496,439,1530
15,CatBoost,75.72,75.61,75.73,1524,465,506,1505
15,ExtraTree,76.28,76.84,76.26,1477,500,449,1574
