Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,64.33,64.81,64.32,1452,841,805,1516
5,LightGBM,64.28,64.34,64.28,1479,836,812,1487
5,CatBoost,64.0,63.55,64.04,1505,766,895,1448
5,ExtraTree,64.2,65.4,64.18,1401,893,759,1561
6,RandomForest,65.96,65.6,65.96,1546,755,816,1498
6,LightGBM,67.3,67.33,67.31,1551,739,770,1555
6,CatBoost,65.27,65.28,65.33,1505,728,875,1507
6,ExtraTree,66.2,65.74,66.2,1558,798,762,1497
7,RandomForest,67.34,67.82,67.33,1519,744,763,1588
7,LightGBM,67.19,66.73,67.18,1582,745,769,1518
7,CatBoost,68.03,68.4,68.04,1543,718,757,1596
7,ExtraTree,68.18,68.39,68.18,1558,741,727,1588
8,RandomForest,70.9,71.0,70.9,1627,684,658,1643
8,LightGBM,69.75,69.17,69.77,1652,729,666,1565
8,CatBoost,69.82,69.58,69.82,1628,682,710,1592
8,ExtraTree,69.64,69.96,69.64,1582,704,696,1630
9,RandomForest,71.17,71.22,71.17,1637,668,662,1646
9,LightGBM,70.37,70.2,70.38,1636,646,721,1610
9,CatBoost,72.1,72.3,72.13,1646,693,594,1680
9,ExtraTree,70.8,71.0,70.8,1617,699,648,1649
10,RandomForest,72.65,72.54,72.65,1686,631,631,1667
10,LightGBM,71.44,71.36,71.44,1655,663,655,1642
10,CatBoost,72.65,72.15,72.65,1718,601,661,1635
10,ExtraTree,72.33,72.78,72.32,1631,645,632,1707
11,RandomForest,72.62,72.64,72.62,1675,627,637,1678
11,LightGBM,74.16,74.57,74.15,1675,618,575,1749
11,CatBoost,73.34,73.12,73.34,1712,598,633,1674
11,ExtraTree,73.55,73.69,73.56,1686,588,633,1710
12,RandomForest,74.42,73.97,74.43,1758,618,563,1678
12,LightGBM,75.66,75.91,75.65,1722,575,549,1771
12,CatBoost,74.72,74.37,74.73,1757,546,621,1693
12,ExtraTree,75.11,74.48,75.09,1791,555,594,1677
13,RandomForest,77.04,76.51,77.04,1830,549,511,1726
13,LightGBM,76.15,76.38,76.18,1735,608,493,1780
13,CatBoost,75.48,75.24,75.48,1764,571,561,1720
13,ExtraTree,76.08,76.2,76.08,1745,565,539,1767
14,RandomForest,76.79,76.62,76.79,1789,548,524,1757
14,LightGBM,76.61,76.55,76.62,1775,512,568,1763
14,CatBoost,77.44,77.6,77.44,1771,513,529,1805
14,ExtraTree,75.92,75.84,75.92,1761,539,573,1745
15,RandomForest,78.54,78.55,78.56,1811,454,537,1815
15,LightGBM,79.06,79.17,79.06,1812,479,488,1838
15,CatBoost,78.08,78.19,78.08,1791,507,505,1814
15,ExtraTree,77.45,77.1,77.45,1824,497,544,1752
