Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,62.51,62.68,62.52,899,530,556,912
5,LightGBM,62.27,61.96,62.27,914,557,536,890
5,CatBoost,63.17,62.12,63.2,955,569,498,875
5,ExtraTree,63.76,63.05,63.74,951,521,529,896
6,RandomForest,64.27,64.54,64.27,920,515,520,942
6,LightGBM,65.0,65.65,64.99,914,495,519,969
6,CatBoost,65.62,65.44,65.7,958,548,448,943
6,ExtraTree,64.27,63.92,64.27,945,504,531,917
7,RandomForest,68.42,68.02,68.42,1009,470,445,973
7,LightGBM,67.17,66.85,67.18,987,452,499,959
7,CatBoost,65.03,64.77,65.04,953,521,492,931
7,ExtraTree,68.07,68.03,68.11,988,429,496,984
8,RandomForest,68.69,68.39,68.85,1009,520,387,981
8,LightGBM,68.8,68.46,68.81,1012,426,478,981
8,CatBoost,69.62,70.01,69.63,990,430,450,1027
8,ExtraTree,69.24,68.66,69.24,1030,423,468,976
9,RandomForest,70.9,71.08,70.9,1018,425,418,1036
9,LightGBM,69.59,68.99,69.58,1036,429,452,980
9,CatBoost,69.8,69.39,69.83,1030,465,410,992
9,ExtraTree,70.56,70.96,70.56,1002,414,439,1042
10,RandomForest,71.73,71.9,71.73,1030,418,401,1048
10,LightGBM,71.28,71.72,71.27,1010,430,402,1055
10,CatBoost,70.73,70.72,70.75,1025,448,400,1024
10,ExtraTree,71.42,71.57,71.42,1027,424,404,1042
11,RandomForest,73.46,74.03,73.48,1032,361,408,1096
11,LightGBM,71.73,71.98,71.74,1026,432,387,1052
11,CatBoost,71.87,72.0,71.91,1034,445,370,1048
11,ExtraTree,70.83,70.97,70.85,1019,403,442,1033
12,RandomForest,72.66,72.78,72.67,1046,416,376,1059
12,LightGBM,73.94,73.92,73.94,1072,368,387,1070
12,CatBoost,73.25,72.93,73.29,1078,344,431,1044
12,ExtraTree,73.66,73.72,73.66,1064,390,373,1070
13,RandomForest,73.94,74.88,73.91,1017,375,380,1125
13,LightGBM,73.39,72.49,73.35,1110,367,404,1016
13,CatBoost,74.94,74.77,74.94,1095,364,362,1076
13,ExtraTree,73.73,73.7,73.73,1070,380,381,1066
14,RandomForest,74.11,73.46,74.1,1109,352,398,1038
14,LightGBM,75.77,75.45,75.77,1116,328,374,1079
14,CatBoost,74.87,74.58,74.87,1101,366,362,1068
14,ExtraTree,74.49,75.09,74.49,1044,360,379,1114
15,RandomForest,75.8,75.63,75.8,1108,353,348,1088
15,LightGBM,73.94,73.54,73.93,1093,363,392,1049
15,CatBoost,74.7,74.72,74.7,1081,355,378,1083
15,ExtraTree,73.84,73.64,73.85,1080,400,358,1059
