Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,63.43,63.25,63.46,1134,689,609,1117
5,LightGBM,63.79,63.61,63.8,1141,657,628,1123
5,CatBoost,64.36,65.06,64.37,1106,681,584,1178
5,ExtraTree,62.86,62.71,62.86,1123,656,662,1108
6,RandomForest,64.98,64.86,64.99,1159,648,595,1147
6,LightGBM,64.86,64.8,64.88,1154,594,653,1148
6,CatBoost,67.06,67.41,67.07,1171,565,604,1209
6,ExtraTree,66.16,66.01,66.16,1182,583,618,1166
7,RandomForest,66.47,66.87,66.47,1158,590,600,1201
7,LightGBM,67.12,67.19,67.12,1187,566,601,1195
7,CatBoost,67.62,67.5,67.62,1207,576,573,1193
7,ExtraTree,66.69,66.01,66.7,1219,611,571,1148
8,RandomForest,67.71,67.75,67.71,1199,572,574,1204
8,LightGBM,68.7,69.01,68.7,1201,545,566,1237
8,CatBoost,67.96,68.67,67.94,1166,584,553,1246
8,ExtraTree,67.74,67.13,67.72,1235,565,580,1169
9,RandomForest,70.75,71.01,70.76,1240,506,532,1271
9,LightGBM,69.94,70.19,69.93,1226,533,534,1256
9,CatBoost,70.92,71.09,70.96,1248,475,557,1269
9,ExtraTree,69.94,69.76,69.94,1251,546,521,1231
10,RandomForest,70.25,69.88,70.24,1268,510,546,1225
10,LightGBM,70.13,70.44,70.13,1226,522,538,1263
10,CatBoost,71.63,71.88,71.64,1255,478,529,1287
10,ExtraTree,71.6,71.59,71.6,1271,511,497,1270
11,RandomForest,72.53,72.17,72.55,1310,514,461,1264
11,LightGBM,71.54,70.66,71.52,1323,505,505,1216
11,CatBoost,73.51,73.27,73.52,1321,484,456,1288
11,ExtraTree,72.5,72.16,72.51,1308,510,466,1265
12,RandomForest,75.6,75.62,75.6,1340,423,443,1343
12,LightGBM,74.39,74.2,74.39,1333,443,466,1307
12,CatBoost,73.77,73.81,73.77,1306,463,468,1312
12,ExtraTree,73.65,73.86,73.66,1293,489,446,1321
13,RandomForest,74.5,74.66,74.52,1311,489,416,1333
13,LightGBM,75.71,75.47,75.71,1361,421,441,1326
13,CatBoost,76.13,76.03,76.14,1359,440,407,1343
13,ExtraTree,75.09,74.93,75.1,1344,453,431,1321
14,RandomForest,76.61,76.82,76.62,1344,441,389,1375
14,LightGBM,75.49,76.09,75.48,1295,427,443,1384
14,CatBoost,74.58,75.04,74.57,1291,456,446,1356
14,ExtraTree,76.61,76.53,76.62,1366,429,401,1353
15,RandomForest,78.25,78.48,78.24,1369,394,378,1408
15,LightGBM,77.06,77.34,77.07,1346,435,379,1389
15,CatBoost,78.44,78.35,78.44,1400,382,383,1384
15,ExtraTree,77.51,77.32,77.51,1391,395,403,1360
