Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,62.16,62.08,62.16,1417,857,862,1407
5,LightGBM,63.04,63.22,63.05,1421,867,812,1443
5,CatBoost,62.58,62.72,62.58,1413,850,850,1430
5,ExtraTree,62.67,62.39,62.68,1440,881,815,1407
6,RandomForest,65.09,64.55,65.08,1513,793,793,1444
6,LightGBM,64.76,65.46,64.75,1425,786,815,1517
6,CatBoost,65.46,65.7,65.47,1471,769,800,1503
6,ExtraTree,64.76,65.1,64.76,1449,801,800,1493
7,RandomForest,66.43,66.61,66.43,1497,781,744,1521
7,LightGBM,67.64,67.72,67.64,1531,727,743,1542
7,CatBoost,66.3,66.48,66.31,1494,745,786,1518
7,ExtraTree,67.25,67.5,67.27,1510,789,699,1545
8,RandomForest,68.94,68.4,68.94,1605,674,737,1527
8,LightGBM,67.49,66.74,67.47,1584,740,737,1482
8,CatBoost,67.73,67.6,67.75,1548,694,772,1529
8,ExtraTree,67.49,67.84,67.49,1508,758,719,1558
9,RandomForest,69.93,70.14,69.96,1573,731,635,1604
9,LightGBM,69.32,69.75,69.31,1542,706,688,1607
9,CatBoost,68.92,68.69,68.92,1582,689,723,1549
9,ExtraTree,69.43,69.33,69.44,1584,724,665,1570
10,RandomForest,70.42,70.92,70.41,1560,676,668,1639
10,LightGBM,70.0,70.26,70.0,1570,665,698,1610
10,CatBoost,70.26,70.26,70.29,1596,717,634,1596
10,ExtraTree,69.93,69.82,69.93,1597,688,678,1580
11,RandomForest,71.03,71.33,71.03,1590,648,668,1637
11,LightGBM,70.81,70.72,70.81,1616,648,678,1601
11,CatBoost,71.45,71.17,71.47,1645,684,613,1601
11,ExtraTree,71.89,71.82,71.89,1639,642,635,1627
12,RandomForest,72.93,72.93,72.93,1656,613,617,1657
12,LightGBM,72.82,73.03,72.82,1636,652,583,1672
12,CatBoost,72.2,72.22,72.2,1638,626,637,1642
12,ExtraTree,72.42,72.59,72.43,1631,657,596,1659
13,RandomForest,73.45,73.13,73.45,1696,615,591,1641
13,LightGBM,73.04,72.94,73.04,1667,622,603,1651
13,CatBoost,74.69,74.81,74.69,1685,570,580,1708
13,ExtraTree,73.59,74.03,73.58,1633,605,595,1710
14,RandomForest,75.41,75.05,75.41,1746,530,587,1680
14,LightGBM,74.66,74.54,74.67,1707,595,556,1685
14,CatBoost,74.71,74.4,74.71,1724,580,569,1670
14,ExtraTree,74.55,74.53,74.56,1696,593,563,1691
15,RandomForest,76.07,75.75,76.07,1758,546,541,1698
15,LightGBM,76.8,76.96,76.8,1729,534,520,1760
15,CatBoost,76.6,76.41,76.63,1758,482,581,1722
15,ExtraTree,76.98,77.09,76.98,1737,536,510,1760
