Minute,Model,accuracy_score,F1_score,ROC_AUC,TN,FP,FN,TP
5,RandomForest,63.7,63.75,63.7,1271,743,709,1277
5,LightGBM,65.85,66.17,65.85,1298,690,676,1336
5,CatBoost,63.78,64.05,63.78,1260,707,742,1291
5,ExtraTree,63.52,63.04,63.55,1297,682,777,1244
6,RandomForest,65.53,65.5,65.55,1312,728,651,1309
6,LightGBM,64.55,64.69,64.56,1283,692,726,1299
6,CatBoost,66.92,67.64,66.91,1294,658,665,1383
6,ExtraTree,64.45,64.15,64.46,1306,739,683,1272
7,RandomForest,66.5,66.62,66.5,1323,655,685,1337
7,LightGBM,66.4,66.2,66.4,1340,660,684,1316
7,CatBoost,67.18,67.2,67.19,1342,629,684,1345
7,ExtraTree,68.18,67.63,68.18,1397,658,615,1330
8,RandomForest,67.73,67.47,67.72,1370,635,656,1339
8,LightGBM,67.73,67.99,67.73,1338,674,617,1371
8,CatBoost,68.88,68.69,68.88,1389,636,609,1366
8,ExtraTree,67.4,67.64,67.4,1333,658,646,1363
9,RandomForest,69.77,69.57,69.78,1409,578,631,1382
9,LightGBM,68.08,68.32,68.07,1346,642,635,1377
9,CatBoost,70.6,70.57,70.6,1414,575,601,1410
9,ExtraTree,70.28,70.33,70.27,1402,594,595,1409
10,RandomForest,70.7,70.87,70.7,1402,581,591,1426
10,LightGBM,71.88,71.92,71.88,1434,569,556,1441
10,CatBoost,72.15,71.9,72.16,1461,530,584,1425
10,ExtraTree,71.05,71.25,71.05,1407,594,564,1435
11,RandomForest,71.55,71.16,71.55,1458,540,598,1404
11,LightGBM,71.78,71.87,71.78,1429,552,577,1442
11,CatBoost,71.75,71.33,71.75,1464,578,552,1406
11,ExtraTree,72.15,72.33,72.15,1430,557,557,1456
12,RandomForest,73.05,73.02,73.05,1463,539,539,1459
12,LightGBM,72.75,72.67,72.76,1461,518,572,1449
12,CatBoost,73.25,73.25,73.25,1465,540,530,1465
12,ExtraTree,73.02,73.14,73.03,1452,558,521,1469
13,RandomForest,74.82,75.02,74.82,1481,519,488,1512
13,LightGBM,74.55,74.59,74.58,1488,553,465,1494
13,CatBoost,74.8,75.34,74.8,1452,494,514,1540
13,ExtraTree,73.32,73.21,73.33,1475,539,528,1458
14,RandomForest,75.48,75.32,75.5,1522,521,460,1497
14,LightGBM,74.82,74.96,74.83,1486,499,508,1507
14,CatBoost,76.12,75.89,76.13,1542,496,459,1503
14,ExtraTree,75.42,75.46,75.46,1506,535,448,1511
15,RandomForest,76.65,76.93,76.66,1509,449,485,1557
15,LightGBM,75.48,75.49,75.49,1508,518,463,1511
15,CatBoost,75.72,75.65,75.73,1521,472,499,1508
15,ExtraTree,75.58,75.58,75.59,1511,458,519,1512
