MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6675216804,38,31,35,33,25,26,38,50,38,28,34
KR_6762031129,33,28,36,32,36,31,16,54,33,51,25
KR_6752644385,39,29,33,44,26,38,42,41,48,36,33
KR_6778223245,36,32,25,33,30,32,43,34,23,50,40
KR_6643175836,33,23,27,34,35,39,38,36,28,59,34
KR_6675216804,38,31,35,33,25,26,38,50,38,28,34
KR_6762031129,33,28,36,32,36,31,16,54,33,51,25
KR_6752644385,39,29,33,44,26,38,42,41,48,36,33
KR_6778223245,36,32,25,33,30,32,43,34,23,50,40
KR_6643175836,33,23,27,34,35,39,38,36,28,59,34
KR_6792640970,34,17,37,19,33,30,34,39,10,41,31
KR_6691951736,28,24,20,41,38,33,29,27,38,33,23
KR_6785305655,33,28,20,23,21,57,49,22,36,56,34
KR_6623806282,38,23,27,30,33,40,32,33,34,40,22
KR_6749383068,36,21,29,48,22,49,41,29,41,30,45
KR_6625409525,32,14,46,25,40,32,44,43,30,34,44
KR_6787513806,25,35,28,37,29,35,27,21,58,36,58
KR_6759832104,37,29,41,30,33,22,22,34,16,44,40
KR_6792796493,46,31,26,45,23,36,38,40,29,42,30
KR_6776465637,24,23,28,26,19,27,26,21,38,25,33
KR_6748341965,31,36,36,33,26,32,31,22,46,37,39
KR_6682711320,35,30,39,24,46,22,29,40,34,41,69
KR_6769835184,34,25,31,36,41,29,34,41,33,56,38
KR_6747702309,25,29,33,35,23,27,46,25,37,42,39
KR_6742699983,36,23,34,29,30,33,35,45,48,37,38
KR_6654259095,31,47,34,45,32,26,43,47,35,42,37
KR_6792342713,41,27,30,31,24,36,29,28,46,29,37
KR_6788737784,25,32,26,29,40,36,48,37,27,45,33
KR_6725667355,26,30,28,30,28,39,34,24,39,44,17
KR_6771411930,23,37,28,35,29,14,40,49,30,26,48
KR_6746820347,33,29,37,28,15,31,34,29,30,27,23
KR_6710837335,49,33,52,41,29,46,27,48,54,44,44
KR_6636219581,34,31,32,30,32,43,36,34,43,38,53
KR_6788510744,29,21,48,27,32,29,37,50,29,40,30
KR_6654975881,41,32,35,39,30,32,27,43,29,40,22
KR_6788451126,34,31,32,35,33,43,27,29,39,29,24
KR_6777877588,42,24,43,23,49,46,25,32,29,40,55
KR_6738387574,33,38,34,41,37,45,36,38,21,39,46
KR_6716706558,27,43,33,19,35,33,42,21,34,34,42
KR_6791387430,38,36,23,43,26,28,38,30,28,50,26
KR_6414089343,50,23,35,25,64,40,29,30,27,34,43
KR_6746804031,53,59,58,45,101,43,95,79,47,102,37
KR_6646351190,76,31,50,68,57,70,40,42,54,29,46
KR_6762587581,42,35,30,29,37,40,29,26,38,38,20
KR_6733762850,96,39,30,76,54,68,78,100,39,54,33
KR_6663567705,33,27,20,48,30,20,48,31,38,53,35
KR_6603667704,32,35,22,36,31,33,26,26,42,33,38
KR_6729995964,24,35,57,37,50,41,33,58,37,42,38
KR_6644210861,41,16,20,34,30,23,35,40,43,22,21
KR_6774502906,24,29,44,44,32,37,27,30,40,28,51
KR_6716622492,49,28,37,38,29,46,29,35,37,44,26
KR_6728909929,27,44,36,45,22,47,28,49,40,39,27
KR_6779699397,36,25,48,22,38,23,45,37,26,37,28
KR_6767334656,25,25,47,35,19,50,42,29,49,29,45
KR_6713798510,35,22,44,27,34,29,43,45,42,23,30
KR_6793168810,21,34,31,22,33,19,47,26,31,30,34
KR_6731109499,42,28,32,37,30,35,38,27,28,30,33
KR_6781784193,40,50,47,37,37,52,34,53,49,58,38
KR_6716495107,45,30,41,28,38,34,31,39,54,49,27
KR_6782824906,32,28,40,20,44,47,44,39,37,35,40
KR_6713796628,32,41,26,40,38,46,42,33,29,38,62
KR_6783849347,31,33,21,35,20,39,26,40,29,46,19
KR_6654606495,37,29,22,35,40,35,32,38,55,22,40
KR_6705618129,34,35,35,31,36,25,35,41,33,58,27
KR_6788486722,38,27,26,47,35,29,44,38,46,44,35
KR_6782117738,37,24,34,33,16,31,31,36,45,35,35
KR_6793858644,31,35,23,27,33,31,34,22,39,36,41
KR_6717489560,46,28,31,29,42,30,38,44,57,28,21
KR_6711902727,39,38,29,10,29,33,30,39,27,36,35
KR_6774557564,25,17,31,23,18,52,32,26,35,34,29
KR_6781457739,36,33,27,27,51,51,43,17,31,45,34
KR_6619234934,32,32,31,40,22,29,30,35,29,60,28
KR_6786293006,32,15,42,37,19,33,40,27,36,30,36
KR_6784983622,21,32,24,25,25,48,22,37,32,33,44
KR_6790817451,40,55,27,32,39,32,43,31,56,27,37
KR_6792752623,32,18,34,22,27,26,37,32,40,40,21
KR_5822554086,40,23,38,42,32,29,43,42,39,37,32
KR_6780513355,27,24,27,35,38,23,40,25,25,24,46
KR_6720373934,23,27,36,19,33,42,43,14,32,51,30
KR_6792589838,27,26,37,43,33,22,26,32,36,32,36
KR_6590861387,63,63,42,74,35,57,29,32,71,30,34
KR_6708394973,43,34,30,38,47,47,34,47,29,56,54
KR_6793366358,70,53,44,58,43,30,44,58,24,29,56
KR_6787688673,31,45,39,59,32,54,38,39,49,33,41
KR_6791529476,33,23,38,30,22,27,38,41,43,25,34
KR_6652657178,32,34,29,36,49,23,39,42,29,23,37
KR_6668608843,31,33,34,33,54,34,36,41,28,38,68
KR_6714668987,30,21,36,35,38,31,53,37,27,38,34
KR_6793934194,32,28,33,26,30,28,35,38,32,53,50
KR_6759660593,42,23,30,37,31,28,37,29,36,40,21
KR_6774650029,41,30,38,30,38,38,39,40,42,42,37
KR_6781222291,35,37,38,42,30,35,33,51,29,51,30
KR_6655792182,33,22,33,33,32,14,32,48,22,33,23
KR_6773402536,39,27,33,32,37,46,49,51,30,56,42
KR_6568053595,24,38,35,29,47,26,37,44,28,38,45
KR_6783009517,24,30,30,29,44,24,21,36,49,16,32
KR_6284139529,42,33,29,34,48,45,58,64,34,50,43
KR_6787419625,31,33,30,25,22,31,39,24,47,25,31
KR_6633477414,43,36,34,33,36,38,47,33,35,50,24
KR_6771586530,38,27,27,39,36,27,24,44,30,46,35
KR_6786150856,35,23,27,42,25,37,29,46,25,47,32
KR_6793806911,31,26,19,52,31,17,44,40,37,36,29
KR_6691966258,34,39,29,22,48,38,33,36,26,47,41
KR_6793751287,35,26,43,29,33,26,40,28,32,33,37
KR_6685885343,32,33,29,38,34,32,35,28,35,39,30
KR_6622387311,39,28,37,30,28,32,33,43,29,31,52
KR_6784767878,48,26,48,30,31,28,33,31,33,44,35
KR_6792430987,30,42,32,40,24,39,37,37,31,44,30
KR_6642277564,53,48,41,34,31,33,79,41,35,42,42
KR_6782083851,25,28,34,27,41,37,31,38,39,20,22
KR_6781679936,31,22,25,33,37,33,31,38,48,29,34
KR_6779455596,38,27,45,22,35,46,24,32,39,40,31
KR_6716851489,17,48,36,20,33,33,37,21,40,47,34
KR_6513771521,28,32,28,43,26,38,44,25,38,44,33
KR_6770008774,48,28,43,41,54,58,50,39,41,32,29
KR_6650284602,48,31,33,48,35,25,46,50,52,51,32
KR_6769529910,39,35,40,34,36,49,38,43,34,32,25
KR_6792759444,32,25,38,36,29,26,61,26,29,33,39
KR_6777916397,28,28,24,37,23,28,34,27,43,30,41
KR_6783423382,36,32,46,38,57,16,36,18,38,41,44
KR_6784033431,28,41,27,31,33,38,31,30,45,40,30
KR_6699085267,33,35,20,24,29,28,28,41,39,28,37
KR_6599687547,41,29,40,36,34,49,45,41,54,25,45
KR_6719169076,36,29,32,45,47,25,41,37,47,33,32
KR_6757027923,24,36,36,48,27,46,30,41,24,43,37
KR_6733202337,29,30,30,41,30,38,31,39,40,21,42
KR_6684309857,28,39,42,52,33,26,49,39,33,40,33
KR_6732355492,35,43,43,36,27,38,41,28,43,50,35
KR_6749495723,37,39,40,37,36,34,34,37,41,30,52
KR_6689056981,45,29,31,32,39,33,26,28,50,43,32
KR_6644409993,42,42,27,26,30,28,44,43,26,47,32
KR_6604714997,31,34,33,23,29,50,44,22,38,34,34
KR_6792762255,41,23,50,38,36,29,33,39,28,42,32
KR_6775853745,25,41,36,20,54,30,32,42,49,44,34
KR_6776533383,42,26,27,42,39,29,43,40,35,42,38
KR_6734077803,35,29,27,35,54,25,38,47,36,52,25
KR_6273617073,28,29,33,34,33,29,24,41,43,37,26
KR_6725209801,27,28,41,32,37,33,41,42,45,38,25
KR_6733907615,36,30,36,33,39,31,45,50,28,45,38
KR_6777472390,30,26,42,37,33,30,32,30,27,27,35
KR_6783211078,33,40,41,25,18,38,33,37,27,28,54
KR_6773201490,41,32,34,29,44,38,25,29,42,36,40
KR_6619426763,34,22,31,42,31,35,26,31,23,31,47
KR_6622132176,32,26,39,46,38,34,29,45,30,40,41
KR_6780622151,34,44,40,36,21,35,29,40,40,37,32
KR_6656620953,38,50,33,58,42,51,47,39,36,44,39
KR_6778145330,48,27,41,20,34,32,50,36,32,44,36
KR_6782302055,43,30,24,28,35,20,35,31,29,32,33
KR_6740317644,43,26,32,34,38,40,43,35,28,33,26
KR_6765658266,28,29,25,40,42,30,31,30,37,34,41
KR_6793235051,36,26,42,30,21,27,45,28,34,59,19
KR_6765949950,30,24,26,29,44,31,40,41,44,23,37
KR_6778715033,42,31,47,38,27,44,46,49,31,53,19
KR_6678927276,32,40,24,32,48,40,28,32,39,36,32
KR_6629796407,28,37,38,33,32,29,41,39,46,26,29
KR_6507218420,29,37,34,18,25,29,42,32,35,27,38
KR_6744680073,49,27,38,26,38,45,27,35,39,29,40
KR_6767788970,52,39,28,39,35,15,38,31,24,24,23
KR_6792654095,42,35,32,31,23,44,31,36,24,33,36
KR_6785238534,34,48,27,51,29,31,70,30,64,45,42
KR_6606804878,38,40,27,26,33,38,29,40,33,33,32
KR_6678331933,35,39,48,29,38,28,40,48,59,44,29
KR_6786359273,56,63,66,54,40,74,44,76,82,61,49
KR_6723909395,28,38,46,35,36,32,43,58,31,39,41
KR_6792010696,29,41,28,30,35,34,25,35,24,22,44
KR_6764475332,37,30,25,28,32,18,32,39,41,24,23
KR_6632195522,40,26,25,28,37,22,33,36,51,26,25
KR_6631150228,39,40,33,46,33,43,46,35,45,39,41
KR_6746793225,27,19,40,35,34,28,35,45,28,22,24
KR_6788552828,44,26,36,36,33,30,37,48,34,18,36
KR_6781237780,37,29,21,32,45,31,32,36,28,24,51
KR_6738413918,33,39,25,29,32,33,40,44,24,45,40
KR_6624696014,28,39,50,50,36,40,38,51,41,36,42
KR_6697329723,29,34,25,36,50,33,32,46,39,32,32
KR_6646149484,97,34,45,25,56,44,57,38,40,75,49
KR_6760069926,29,19,44,20,31,20,39,25,25,47,39
KR_6644486223,41,25,29,34,34,29,20,47,35,43,33
KR_6741284946,37,22,34,39,28,36,41,41,37,37,41
KR_6775458191,26,34,36,39,29,38,43,29,46,50,25
KR_6772606664,29,28,49,27,49,32,20,39,32,32,31
KR_6792986041,39,28,18,27,27,27,41,35,38,25,37
KR_6728843162,37,16,39,38,20,33,46,28,29,32,36
KR_6784381124,43,43,38,37,37,42,35,43,27,37,33
KR_6789577804,39,27,35,26,36,42,29,31,33,33,35
KR_6498889146,58,30,87,33,67,63,38,46,66,45,54
KR_6783458874,43,40,34,30,37,44,29,46,36,12,38
KR_6730928837,26,37,26,24,28,31,46,35,32,24,28
KR_6651294096,30,13,45,32,28,26,32,44,25,23,37
KR_6788260951,33,19,23,25,27,35,37,27,40,26,28
KR_6757822441,69,27,64,48,26,63,44,53,62,66,37
KR_6671924909,38,26,34,40,19,42,46,39,31,60,40
KR_6789045124,35,27,31,55,23,29,36,26,30,46,28
KR_6791938695,26,34,38,35,35,48,34,33,37,37,38
KR_6786997175,40,53,52,33,42,46,43,33,28,51,27
KR_6704307119,31,31,34,16,35,25,37,38,31,28,36
KR_6695767993,77,43,57,71,59,51,45,88,45,54,37
KR_6614732736,41,36,23,34,29,26,40,29,25,46,32
KR_6792679836,35,26,25,36,31,32,35,15,44,33,25
KR_6716566642,48,28,23,37,49,36,30,31,37,20,46
KR_6754477750,43,28,31,28,29,25,52,40,32,34,22
KR_6751938190,37,41,29,44,46,35,28,17,36,42,18
KR_6728699685,30,33,38,20,23,33,35,33,34,31,45
KR_6790569254,41,39,30,29,34,38,30,62,27,40,23
KR_6759354001,41,30,29,36,36,21,46,35,45,24,43
KR_6693999572,34,35,32,28,26,41,29,34,38,35,44
KR_6738716217,44,34,29,23,24,27,46,23,45,37,30
KR_6788143446,27,24,24,27,37,27,22,35,34,62,21
KR_6786800495,29,17,27,42,28,39,22,35,55,32,32
KR_6786296591,40,26,29,29,37,26,39,43,31,36,24
KR_6699883457,32,70,31,67,53,72,51,48,51,76,61
KR_6686588418,26,27,24,17,23,43,19,25,30,52,26
KR_5887280750,23,48,41,45,35,36,46,40,43,47,45
KR_6782486390,44,20,37,49,33,39,31,46,21,40,36
KR_6789346283,25,25,18,38,34,32,34,38,29,33,37
KR_6753178384,32,34,29,38,28,31,18,23,39,28,27
KR_6531505082,35,27,39,20,37,41,32,59,34,54,34
KR_6679265673,27,32,34,50,19,28,39,27,39,33,49
KR_6791209189,54,14,39,36,33,29,54,40,41,28,37
KR_6779855436,38,34,24,18,19,35,42,30,47,27,28
KR_6791986235,35,39,36,31,46,28,33,39,37,37,28
KR_6711230975,33,36,25,39,22,34,33,54,23,29,32
KR_6792929973,33,25,37,19,31,26,37,42,21,42,26
KR_6675617323,29,40,47,27,26,42,49,38,30,43,41
KR_6717140722,31,25,29,30,33,35,44,41,25,29,27
KR_6789600761,26,29,29,32,31,21,32,43,39,32,32
KR_6741867543,29,27,41,29,37,28,40,31,38,46,37
KR_6765356344,40,39,34,24,23,49,40,47,27,35,32
KR_6753592743,33,17,42,37,39,33,26,29,32,21,28
KR_6793418365,31,25,22,35,20,24,48,23,47,31,32
KR_6685756260,36,44,32,18,40,41,46,23,45,44,49
KR_6786363677,43,28,41,33,38,41,36,56,36,41,41
KR_6726363564,29,44,20,35,39,41,41,36,31,40,41
KR_6701296312,38,33,23,35,29,41,27,34,33,38,37
KR_6793238538,50,28,27,34,35,32,36,32,24,31,55
KR_6740089982,39,23,39,37,38,33,59,39,34,53,33
KR_6685521348,33,24,34,36,35,43,40,32,45,33,34
KR_6756132275,35,20,21,42,25,24,28,34,30,55,28
KR_6793157677,29,28,32,27,38,25,46,25,49,28,26
KR_6716441536,28,31,33,44,32,28,33,31,19,28,36
KR_6785288357,36,11,25,21,35,31,46,46,45,32,57
KR_6785487086,49,37,46,44,47,37,47,38,57,45,41
KR_6529738749,25,26,45,28,28,33,32,35,47,38,36
KR_6775417330,41,43,54,49,50,34,56,37,66,59,47
KR_6604153916,34,31,43,29,33,22,33,35,29,40,27
KR_6732330780,50,23,67,51,76,34,33,64,31,78,48
KR_6687978985,28,29,25,29,31,44,28,24,32,45,22
KR_6784388380,41,33,30,41,37,32,31,59,27,36,48
KR_6793803274,33,31,21,42,33,31,53,23,21,32,37
KR_6693080052,35,38,40,34,45,31,52,44,33,46,37
KR_6789790559,26,42,27,41,30,22,33,44,38,48,16
KR_6772187110,23,41,33,19,38,26,39,23,41,31,37
