MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6791197494,37,32,40,38,46,43,48,52,41,40,44
KR_6779094788,35,49,34,29,32,38,47,42,38,63,42
KR_6788158537,48,33,52,38,37,35,41,46,47,56,44
KR_6778876276,37,55,42,35,45,46,46,46,67,53,29
KR_6782732955,37,31,46,48,33,31,51,52,37,48,41
KR_6766677178,50,44,37,34,56,33,33,52,40,37,49
KR_6768530493,43,45,42,27,36,53,42,40,40,50,46
KR_6790302789,45,37,42,29,29,52,37,30,34,33,27
KR_6785297282,41,37,32,38,38,29,45,43,35,53,55
KR_6784980435,26,33,41,31,45,45,32,43,37,36,34
KR_6769534743,41,38,39,28,31,43,26,37,43,46,41
KR_6787578329,34,29,30,27,33,44,45,55,41,39,45
KR_6789297250,38,39,17,45,43,32,34,37,44,43,33
KR_6782006273,33,46,36,27,38,37,45,38,29,58,36
KR_6779033009,30,37,40,43,32,40,51,47,43,33,41
KR_6763198553,37,32,40,34,30,46,48,38,45,42,36
KR_6781934645,29,39,29,104,34,53,49,48,62,51,48
KR_6789659442,64,30,34,49,32,55,34,41,39,40,39
KR_6783943697,41,25,36,54,29,44,36,52,27,44,37
KR_6780612023,39,36,34,47,31,34,44,30,39,20,28
KR_6790921214,48,44,45,35,38,28,36,42,35,51,55
KR_6786120186,48,43,26,37,34,36,44,28,37,52,27
KR_6785692814,36,40,39,28,49,23,26,58,42,62,37
KR_6769441380,39,38,26,38,40,44,40,52,38,56,39
KR_6792634067,37,35,32,21,33,31,43,19,43,42,29
KR_6775930586,50,29,29,37,31,47,49,29,52,43,37
KR_6779642318,37,31,30,50,36,46,33,53,42,32,55
KR_6785328119,49,31,41,24,44,42,50,45,56,52,41
KR_6774332428,41,44,27,33,24,40,39,46,36,55,38
KR_6766042684,45,30,26,48,24,59,34,53,70,32,44
KR_6788453422,45,20,43,23,30,53,32,37,50,49,39
KR_6769340047,54,33,35,53,31,26,45,37,44,39,42
KR_6788995726,34,26,28,27,44,34,38,38,47,37,40
KR_6766739232,38,27,31,31,46,38,75,44,41,51,30
KR_6769582892,33,27,39,33,23,32,38,32,18,31,51
KR_6775977384,35,41,41,47,34,29,39,48,50,33,55
KR_6789163551,76,52,29,57,65,49,54,35,70,64,80
KR_6787116649,39,40,34,38,25,38,34,56,53,36,32
KR_6779672676,36,35,41,16,38,17,50,43,41,29,59
KR_6783560943,36,30,34,33,32,39,30,40,30,43,36
KR_6784751911,45,30,36,40,42,34,53,19,40,40,62
KR_6785721138,37,42,26,35,50,38,40,34,48,48,30
KR_6792996669,42,40,38,38,46,30,47,31,61,42,50
KR_6785615813,38,35,48,30,46,31,47,49,60,39,31
KR_6766168580,47,34,24,54,20,39,33,39,53,50,41
KR_6785805062,47,43,37,37,46,45,59,50,43,53,52
KR_6787174336,38,36,43,39,32,39,43,49,37,58,40
KR_6781142656,35,53,44,51,29,55,51,43,61,44,43
KR_6786123869,42,33,50,40,31,47,44,38,38,43,36
KR_6790262101,34,39,31,37,37,26,26,30,44,37,40
KR_6788347552,51,42,56,44,50,39,71,64,56,53,40
KR_6792255396,35,34,33,37,45,18,50,39,44,36,57
KR_6768664044,41,42,31,44,35,49,55,42,36,42,33
KR_6787058966,39,38,37,34,33,36,35,43,44,34,32
KR_6785722120,41,36,37,43,32,26,36,30,43,52,36
KR_6786995417,34,41,42,19,50,36,57,29,48,43,44
KR_6789388325,46,26,24,34,23,36,52,32,46,42,64
KR_6777864132,57,20,33,61,41,33,63,51,62,52,52
KR_6778525013,40,38,26,33,39,36,48,43,50,46,40
KR_6763138599,52,40,42,46,37,32,41,40,31,29,35
KR_6779147865,44,39,32,41,26,37,46,22,63,35,43
KR_6783225909,79,93,36,37,70,80,51,54,57,55,53
KR_6792746089,39,39,35,51,42,28,40,31,53,36,30
KR_6757150934,42,30,33,52,22,47,37,47,30,39,49
KR_6761080523,31,50,29,37,27,46,40,48,32,37,41
KR_6766126817,36,49,23,54,33,25,39,55,42,39,32
KR_6789891803,43,25,42,40,31,53,18,48,41,54,35
KR_6791487822,44,25,33,35,41,30,39,39,50,37,36
KR_6775595170,73,72,34,53,64,49,66,88,72,57,70
KR_6788888493,44,36,24,29,37,43,41,48,42,44,40
KR_6790317755,38,38,38,31,37,45,41,35,59,42,33
KR_6792615997,38,29,28,50,39,21,58,35,40,29,38
KR_6768196041,42,31,43,46,40,43,57,43,53,52,32
KR_6778456774,34,40,28,27,44,18,59,29,31,42,45
KR_6779648431,41,37,37,48,30,42,38,34,55,30,46
KR_6790530465,40,45,32,42,49,39,51,42,48,52,55
KR_6793346037,38,24,32,28,29,21,38,47,38,28,34
KR_6789835879,37,38,31,30,44,31,64,66,36,37,39
KR_6788848855,28,29,29,31,39,37,53,37,44,33,22
KR_6777909141,42,24,37,37,33,33,47,53,44,45,48
KR_6776037772,30,35,18,56,39,22,55,38,31,32,61
KR_6766828538,21,44,45,31,30,39,37,46,51,34,53
KR_6781069081,43,36,32,28,37,28,46,31,48,43,21
KR_6789141381,27,33,29,32,41,47,48,48,29,61,37
KR_6780556829,26,33,31,31,41,31,49,55,55,60,45
KR_6788167804,38,35,33,49,43,49,48,35,64,36,50
KR_6788515113,44,26,37,35,39,40,49,37,41,33,43
KR_6793180430,43,53,29,62,34,35,34,57,34,69,43
KR_6775069809,41,36,32,43,39,34,35,52,40,44,43
KR_6777589184,36,41,23,38,33,30,46,36,46,40,39
KR_6785760052,34,45,38,33,38,33,26,33,59,32,45
KR_6769787107,34,35,46,32,43,44,36,64,37,37,51
KR_6767208872,52,33,34,25,49,38,33,54,29,45,44
KR_6791457726,43,39,26,39,34,44,54,36,38,46,42
KR_6790470809,43,31,24,32,40,35,35,57,40,48,44
KR_6775036676,34,43,35,49,41,44,60,41,39,53,38
KR_6785748788,41,37,21,37,39,30,58,32,45,37,37
KR_6781491222,31,42,37,27,40,48,38,53,61,35,38
KR_6791667045,43,29,26,24,35,41,40,43,37,41,29
KR_6768680363,38,40,26,37,27,51,28,38,48,46,56
KR_6780742913,43,32,36,42,39,43,35,29,46,64,41
KR_6777736620,38,47,37,43,27,43,40,38,43,36,42
KR_6780691682,36,39,32,42,36,41,43,31,52,41,62
KR_6768374510,41,33,36,33,32,34,54,36,29,39,41
KR_6791450318,44,33,41,59,31,36,42,33,37,40,51
KR_6778649510,40,24,50,25,36,49,30,24,53,36,34
KR_6790839279,37,22,40,31,45,40,36,42,44,47,49
KR_6787409501,26,27,47,27,46,37,42,27,67,41,43
KR_6779515814,50,50,16,46,29,27,56,39,46,50,52
KR_6791033279,32,43,31,35,41,44,24,45,29,43,36
KR_6789122500,35,48,25,27,48,29,44,55,36,33,44
KR_6793298952,28,44,53,34,39,38,34,35,30,62,39
KR_6791285615,36,34,44,33,41,46,30,44,35,47,47
KR_6790761741,31,34,52,29,39,28,39,46,42,32,39
KR_6790180236,53,42,44,39,38,49,42,39,46,46,50
KR_6786210778,47,45,23,43,39,41,44,46,44,49,59
KR_6768498970,30,24,41,44,41,42,42,42,30,43,34
KR_6777194477,51,28,40,50,43,26,43,48,37,29,44
KR_6786515109,36,46,28,34,24,54,32,27,38,34,25
KR_6788398353,49,24,43,35,30,49,43,50,47,27,31
KR_6792823731,43,40,40,38,40,33,60,36,52,56,35
KR_6788764931,33,48,27,44,35,41,45,37,39,50,31
KR_6785416095,30,33,50,35,26,60,32,34,47,39,46
KR_6770778083,53,37,50,39,40,38,49,34,32,55,31
KR_6779861075,32,32,42,28,42,53,38,45,39,41,28
KR_6784807471,33,27,35,35,32,33,51,34,31,47,54
KR_6791889204,46,29,24,39,44,43,43,37,46,40,45
KR_6786423765,46,43,33,38,33,38,33,33,55,31,37
KR_6775103946,57,39,37,44,26,35,29,53,40,45,67
KR_6787156062,44,38,40,45,29,49,58,64,51,70,35
KR_6787872855,40,42,39,44,32,35,31,49,31,38,44
KR_6776939977,44,46,40,63,39,21,44,48,53,47,45
KR_6766951530,28,48,24,43,37,33,43,45,55,42,34
KR_6766627892,36,39,32,32,41,41,39,46,42,41,45
KR_6784437203,44,44,39,39,21,43,36,41,56,41,40
KR_6776255255,55,29,27,24,48,42,27,57,41,32,34
KR_6792167115,40,33,33,36,45,44,46,61,34,28,53
KR_6793049999,43,41,29,32,43,18,42,44,33,38,42
KR_6780327437,31,39,27,35,42,56,47,43,50,48,49
KR_6790119224,32,43,44,46,57,29,44,28,45,27,53
KR_6780025921,55,20,33,50,42,34,42,28,45,53,54
KR_6790296941,39,43,35,28,22,57,54,48,56,33,55
KR_6776605637,58,36,47,32,30,40,31,63,44,39,31
KR_6780791630,34,60,27,33,48,38,26,51,38,45,32
KR_6791416118,30,48,28,33,33,39,28,35,45,29,35
KR_6770325627,28,32,50,29,41,43,42,27,49,34,48
KR_6785647052,38,34,43,29,43,38,42,43,49,43,45
KR_6781924800,28,40,36,33,24,39,32,51,48,43,36
KR_6786404137,36,41,39,41,48,52,56,51,52,45,41
KR_6788989135,41,41,36,40,27,34,44,35,39,56,38
KR_6782570745,40,40,28,26,40,44,41,24,42,58,34
KR_6786946019,49,31,35,29,28,48,32,40,33,44,43
KR_6775050366,44,42,40,41,39,25,45,29,48,24,49
KR_6789927298,54,39,37,28,44,21,44,44,50,55,37
KR_6789705688,38,45,40,39,34,26,25,54,48,45,28
KR_6785124194,30,50,24,23,39,38,37,38,37,92,42
KR_6767328281,31,45,42,32,37,30,32,36,41,28,41
KR_6766621278,36,29,35,43,40,30,39,55,40,31,48
KR_6778596005,45,37,22,37,44,28,33,49,50,34,38
KR_6777561988,43,32,31,64,23,31,34,42,38,34,45
KR_6773406222,38,29,44,33,45,25,49,37,33,43,55
KR_6789876397,35,37,40,29,35,21,38,25,35,43,38
KR_6775976545,39,51,36,30,29,23,51,38,33,33,31
KR_6781719417,25,26,40,39,44,23,30,39,66,44,52
KR_6789625563,40,39,36,44,35,24,39,36,42,51,43
KR_6789760903,42,33,33,39,35,33,51,54,41,40,31
KR_6787182796,43,36,24,37,33,22,40,31,59,32,45
KR_6789450499,31,30,37,26,31,36,37,33,55,31,46
KR_6775377590,44,39,59,46,40,34,51,32,73,35,45
KR_6791965163,42,33,24,31,40,25,34,58,38,30,42
KR_6766192503,49,33,38,28,29,37,40,32,43,35,48
KR_6789864770,35,34,48,38,41,32,64,28,37,48,57
KR_6784532079,29,54,30,24,35,37,30,47,40,42,41
KR_6779600306,46,36,24,33,33,28,43,37,55,31,42
KR_6786531283,30,33,22,33,29,37,39,38,35,49,44
KR_6793739784,47,26,38,26,43,48,49,34,30,43,61
KR_6767354859,41,37,25,49,36,34,66,47,44,23,45
KR_6788901086,33,33,45,42,32,33,52,63,76,45,50
KR_6779635016,27,43,20,33,46,26,34,28,41,38,49
KR_6786221957,44,28,35,36,39,36,35,48,39,49,53
KR_6765290998,36,38,27,35,54,27,39,50,45,60,60
KR_6779756855,56,26,29,44,42,41,30,45,35,61,50
KR_6781091921,47,27,30,23,49,22,43,27,52,25,42
KR_6790306178,49,42,45,34,23,55,27,30,63,41,37
KR_6790924457,46,34,26,35,45,22,44,53,37,49,52
KR_6784525111,32,32,41,42,30,41,42,39,51,41,44
KR_6782228126,42,46,21,43,36,44,31,40,49,40,49
KR_6784502253,37,55,14,30,24,26,52,51,34,54,49
KR_6785657658,38,41,45,37,34,50,36,44,66,46,41
KR_6778168622,34,38,49,41,33,42,30,58,48,58,32
KR_6792303830,42,29,42,36,49,31,36,30,50,55,35
KR_6784600513,41,23,31,33,39,38,34,51,49,50,29
KR_6778705291,46,29,38,31,44,23,48,44,47,34,31
KR_6792466895,45,38,29,40,33,38,39,43,51,51,50
KR_6789803882,37,35,39,36,35,31,48,40,39,51,55
KR_6791852389,31,44,37,33,37,41,53,33,40,52,33
KR_6788377573,55,27,32,26,35,36,31,39,48,42,44
KR_6787100417,37,43,39,51,54,59,38,55,44,45,59
KR_6776628190,31,29,32,35,46,28,25,35,54,32,27
KR_6792567752,42,36,50,49,57,55,58,38,50,31,53
KR_6785333185,28,37,42,28,40,44,35,24,37,53,46
KR_6788074209,62,35,34,37,35,58,31,61,58,45,39
KR_6789477655,44,30,53,26,31,38,41,30,34,41,60
KR_6779937106,52,29,31,20,27,35,44,38,39,40,47
KR_6787032587,29,37,44,52,37,62,45,38,33,50,42
KR_6791805606,47,26,49,39,39,27,56,31,53,44,29
KR_6792132664,41,41,15,54,38,19,32,48,37,27,52
KR_6790178450,32,31,25,32,45,30,51,55,37,44,51
KR_6787452502,29,25,47,39,35,45,28,54,25,41,30
KR_6791009848,48,34,44,44,41,33,38,47,44,42,54
KR_6756895525,50,42,35,40,67,31,50,41,63,43,72
KR_6790099570,35,35,38,28,24,32,43,36,62,38,40
KR_6788836842,32,51,35,30,43,20,40,31,66,47,39
KR_6790510064,49,17,26,47,36,36,25,27,41,42,36
KR_6779248385,46,32,43,40,34,22,29,53,48,48,38
KR_6777629023,43,43,42,35,48,34,41,40,58,42,53
KR_6787687203,33,39,28,39,32,26,36,41,41,23,51
KR_6780565240,38,36,39,37,46,20,37,41,37,44,35
KR_6790774437,32,63,39,33,42,53,52,45,57,54,38
KR_6791238460,35,50,32,48,56,34,39,57,41,31,40
KR_6784844248,45,34,27,28,47,33,31,34,41,41,39
KR_6785859718,35,45,34,43,36,27,36,43,47,37,43
KR_6790497008,19,33,37,43,26,45,42,33,30,40,31
KR_6775040197,40,21,25,44,37,48,36,28,42,49,44
KR_6772041994,25,29,34,38,28,26,35,46,32,49,35
KR_6787736507,40,52,35,42,52,30,58,27,48,36,35
KR_6789294288,37,37,24,24,35,32,52,27,50,30,50
KR_6784529645,39,24,29,21,37,67,41,38,54,36,35
KR_6769671298,54,42,24,40,51,36,50,34,62,38,50
KR_6779584439,42,45,44,46,55,39,48,25,58,46,30
KR_6790758418,46,37,31,53,16,51,55,38,51,41,50
KR_6788702519,39,40,37,39,47,50,30,51,48,45,50
KR_6786793499,45,30,31,38,33,47,44,41,50,38,46
KR_6779692344,32,33,34,51,27,37,40,63,34,42,38
KR_6777735950,48,37,41,41,36,36,48,41,53,21,42
KR_6788495843,36,39,51,30,41,55,44,43,42,47,44
KR_6787594348,47,42,52,40,38,49,40,41,79,39,44
KR_6786379846,30,53,29,49,37,28,36,69,38,53,48
KR_6788690345,34,55,29,50,43,41,46,32,41,51,54
KR_6771731007,42,35,46,27,49,41,50,47,55,45,60
