MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6777016577,28,40,28,26,25,45,32,29,43,46,37
KR_6791497577,38,37,37,40,25,25,42,32,33,42,27
KR_6746901298,37,24,52,35,38,34,36,26,38,31,21
KR_6767689470,43,38,28,33,40,30,44,31,50,30,39
KR_6689715247,31,29,29,51,37,31,50,35,64,34,23
KR_6710204166,33,46,44,26,21,41,50,40,38,33,43
KR_6740637710,37,39,46,36,54,34,44,54,28,42,34
KR_6794183009,31,40,29,30,14,42,42,42,31,24,38
KR_6789010661,57,34,64,63,34,79,53,76,86,48,83
KR_6732745113,44,36,35,26,32,49,42,41,43,50,36
KR_6790486201,28,39,30,30,41,35,31,43,29,40,42
KR_6786822055,38,43,26,32,36,37,32,36,26,50,34
KR_6779062353,39,46,21,33,31,27,34,70,40,40,34
KR_6787175327,31,40,18,34,45,31,32,44,50,30,36
KR_6792017920,40,36,25,52,27,34,45,35,44,34,57
KR_6789822246,32,47,47,22,48,31,51,40,43,50,19
KR_6792000769,38,32,37,35,46,27,49,42,46,49,47
KR_6791871247,28,51,28,33,45,33,31,26,40,47,30
KR_6766645175,39,30,37,29,54,26,48,42,31,40,36
KR_6793489924,33,37,46,27,32,33,37,34,31,55,35
KR_6728381885,50,41,33,36,48,40,41,42,30,30,49
KR_6790897296,35,40,40,33,34,41,20,43,40,31,38
KR_6790567620,37,25,41,27,40,52,37,29,44,44,36
KR_6785656053,37,37,27,28,28,48,42,38,37,39,23
KR_6793456467,49,38,53,36,42,35,40,73,42,50,51
KR_6740975770,37,45,38,31,38,40,54,22,53,33,43
KR_6764436520,29,50,33,37,51,44,52,53,47,37,44
KR_6790317067,28,27,32,27,40,38,35,42,49,31,35
KR_6763460164,47,28,37,41,41,22,34,26,40,52,16
KR_6786907348,44,21,53,29,20,39,39,47,34,25,53
KR_6793651847,41,23,27,37,45,46,32,48,49,44,41
KR_6790483508,42,34,37,24,30,49,45,50,50,41,36
KR_6794187435,46,34,37,35,36,38,56,27,40,44,40
KR_6741889674,35,26,23,43,28,29,56,39,40,46,39
KR_6758815082,41,37,28,31,31,37,43,55,39,48,29
KR_6764462827,40,20,35,43,38,42,30,39,37,42,45
KR_6772758054,37,27,28,29,33,24,40,30,43,38,40
KR_6732668580,41,30,48,27,39,44,29,46,45,27,47
KR_6746705388,49,23,34,33,31,28,22,35,32,38,38
KR_6780510071,32,33,35,21,23,52,30,44,46,34,30
KR_6792595657,39,32,45,52,38,24,37,49,46,41,45
KR_6735756201,28,43,39,38,44,54,33,41,51,28,29
KR_6790438734,22,45,24,46,42,55,43,45,38,38,22
KR_6792232217,37,26,27,31,37,32,59,45,30,34,38
KR_6793867446,40,34,57,31,38,28,43,41,49,39,54
KR_6708999418,37,35,42,37,41,48,33,61,50,42,54
KR_6788496375,49,27,34,50,39,31,43,34,27,46,45
KR_6790647634,25,33,31,42,39,43,41,35,50,37,39
KR_6736358120,34,37,40,34,38,18,42,46,34,34,29
KR_6752237552,41,46,32,37,34,37,47,46,37,33,47
KR_6705949901,34,37,21,36,28,39,33,42,33,55,30
KR_6723183635,34,33,37,25,50,18,53,38,32,46,32
KR_6760605815,29,32,39,40,39,34,49,33,38,62,40
KR_6788656761,34,30,31,30,33,47,30,29,29,26,38
KR_6793096979,27,43,31,41,34,28,50,29,48,45,41
KR_6776532725,50,38,41,31,41,36,52,27,46,33,26
KR_6763600457,38,44,30,33,26,38,45,31,44,42,32
KR_6786002338,39,31,35,43,31,24,35,26,34,51,31
KR_6788852806,45,32,30,32,45,26,43,28,42,39,35
KR_6778629783,47,52,49,41,38,24,37,56,53,39,51
KR_6772770954,33,35,47,33,23,31,42,27,48,38,31
KR_6789143476,27,43,36,25,37,30,48,44,19,36,37
KR_6703054265,35,35,30,21,46,29,38,36,31,41,28
KR_6742912596,68,39,39,51,32,40,44,30,48,29,19
KR_6793375273,32,34,32,27,41,36,52,28,37,45,41
KR_6783376564,39,23,29,26,28,17,53,47,30,43,40
KR_6793664425,43,38,53,24,37,42,35,38,41,48,39
KR_6794630306,28,43,29,30,46,33,33,29,47,46,46
KR_6785903810,33,27,53,25,33,37,38,22,49,11,49
KR_6780764758,40,43,25,31,25,32,42,37,40,36,57
KR_6791493092,49,29,75,59,53,72,36,84,69,55,46
KR_6747929662,33,49,32,24,39,48,38,28,41,27,24
KR_6785886805,41,27,30,51,26,21,39,57,49,37,31
KR_6772795775,33,26,43,25,35,28,44,28,31,37,34
KR_6792456096,59,20,23,28,43,47,19,48,19,24,36
KR_6794132098,37,57,41,58,45,49,53,53,56,48,40
KR_6761216452,38,34,47,49,38,47,32,38,69,40,51
KR_6778093356,29,33,39,26,39,34,22,28,51,40,36
KR_6794107998,35,45,15,46,32,28,45,49,42,25,33
KR_6790684575,36,31,37,35,32,41,70,26,45,55,31
KR_6788916265,36,34,36,40,25,33,45,38,28,42,29
KR_6793223354,40,20,33,58,37,27,36,41,42,42,35
KR_6721253486,44,29,53,47,33,42,34,51,49,40,36
KR_6737051989,37,38,33,29,38,28,34,49,33,42,36
KR_6774981497,80,45,31,76,35,64,80,66,56,55,38
KR_6790848904,41,46,36,41,35,51,56,32,37,44,29
KR_6736954840,36,49,40,36,48,30,52,32,51,29,28
KR_6745131716,37,26,50,31,41,30,49,37,58,40,42
KR_6701404028,45,39,33,25,51,31,40,45,35,42,43
KR_6749011365,23,33,35,34,25,17,31,44,49,38,30
KR_6700577444,38,44,35,23,32,47,27,30,42,40,40
KR_6794293157,30,41,30,22,25,68,38,36,35,42,25
KR_6740828910,40,32,44,34,27,36,32,50,45,59,25
KR_6791328716,41,32,50,38,39,46,52,39,57,55,56
KR_6788700526,46,36,33,32,29,34,33,49,44,52,28
KR_6790742889,31,46,33,34,32,42,30,38,26,43,43
KR_6746077234,28,29,50,43,24,46,41,44,34,38,25
KR_6756525232,36,35,49,41,30,44,42,58,29,59,39
KR_6752084672,26,41,39,41,39,42,26,55,48,38,30
KR_6790623160,30,39,18,25,39,34,34,24,62,31,37
KR_6784175689,33,28,41,30,34,37,32,34,32,47,55
KR_6790146890,45,20,42,48,35,33,42,30,44,43,26
KR_6763613849,48,36,37,19,32,40,35,35,48,29,40
KR_6763368710,48,28,28,25,36,40,22,40,29,36,41
KR_6794431122,31,21,21,43,32,38,30,37,43,48,37
KR_6783684946,24,30,32,36,28,34,30,35,51,29,47
KR_6746680754,23,37,38,29,32,35,30,40,36,53,29
KR_6735225365,41,37,38,36,17,31,43,40,29,37,33
KR_6792400397,31,35,19,27,43,39,39,24,47,20,41
KR_6780680155,44,46,57,44,28,39,33,42,47,40,27
KR_6789968666,33,25,42,32,35,21,30,47,46,34,42
KR_6769899960,54,28,29,16,28,41,53,60,38,57,47
KR_6793358359,44,38,32,31,24,31,38,33,52,41,26
KR_6769789604,54,36,49,34,41,50,37,50,43,49,35
KR_6787867044,35,47,36,40,54,42,41,51,35,52,34
KR_6794617709,25,30,45,29,21,50,41,22,38,48,22
KR_6778870748,65,67,100,33,58,78,37,98,101,51,62
KR_6790224443,38,44,28,35,34,32,30,46,52,39,43
KR_6790918250,40,31,31,36,42,35,36,27,44,42,35
KR_6793521923,41,45,41,35,32,39,36,37,55,41,32
KR_6783047801,35,35,40,34,23,35,40,26,40,32,35
KR_6787186721,35,61,35,24,45,26,35,32,26,36,33
KR_6790104968,43,47,75,44,46,77,45,62,63,95,47
KR_6788770031,45,65,25,31,41,75,78,31,49,68,40
KR_6730196531,29,30,29,36,29,41,33,28,30,40,40
KR_6793524420,31,36,27,24,42,25,33,45,43,36,30
KR_6787464390,51,37,35,35,38,56,35,55,61,34,51
KR_6710048703,112,67,37,60,31,47,62,43,47,65,39
KR_6761913843,43,34,36,21,39,32,29,46,30,40,33
