MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6791165373,50,35,40,24,33,42,31,60,23,42,26
KR_6787427297,37,32,35,48,26,23,41,54,13,47,41
KR_6701720656,45,36,37,38,34,30,28,55,35,58,55
KR_6776919443,44,35,29,33,41,27,40,47,27,37,34
KR_6782388514,46,36,29,35,32,34,45,40,24,55,31
KR_6790309629,54,33,33,24,23,41,29,29,44,41,44
KR_6774719538,47,24,45,38,39,37,42,42,27,69,40
KR_6748257205,44,27,38,33,36,36,54,35,37,25,23
KR_6791464264,38,26,37,40,40,46,32,44,35,19,41
KR_6700353771,23,31,33,28,28,36,31,38,25,47,49
KR_6768785394,37,56,22,35,33,31,41,34,39,36,36
KR_6736395913,39,37,28,48,20,37,29,52,28,40,19
KR_6782754775,35,27,34,28,30,37,31,47,32,35,38
KR_6780432363,33,44,30,29,29,24,63,38,29,35,32
KR_6729675268,33,33,28,31,33,30,50,22,30,44,35
KR_6788549351,37,21,48,27,39,32,34,42,39,40,37
KR_6732538026,27,38,46,28,28,32,24,41,18,37,34
KR_6789052265,31,40,24,17,26,45,34,39,26,40,23
KR_6732231082,42,31,31,38,34,19,33,40,48,20,38
KR_6654989135,28,32,34,41,28,42,46,50,48,47,38
KR_6752347455,36,34,33,37,30,32,48,57,35,32,48
KR_6782610895,46,30,33,44,18,29,29,47,32,44,35
KR_6766783833,24,25,34,19,38,36,45,22,43,38,37
KR_6777214952,36,22,55,38,25,38,41,32,43,46,34
KR_6790653856,61,46,40,42,26,60,39,36,51,50,40
KR_6469512263,36,32,33,34,38,44,36,49,42,40,45
KR_6629814867,37,36,28,35,42,34,50,25,40,55,48
KR_6744960431,37,24,39,32,37,22,36,31,47,27,32
KR_6640967958,32,37,39,48,43,45,35,48,44,40,62
KR_6776548531,42,37,30,34,53,47,46,42,36,58,37
KR_6790811292,41,25,37,31,20,23,44,22,36,35,28
KR_6789893375,32,18,34,38,25,41,26,44,37,39,32
KR_6786313615,25,47,48,21,28,35,44,45,45,38,38
KR_6715207734,30,40,34,32,44,42,50,31,48,44,40
KR_6789460371,41,40,42,28,57,16,40,42,50,40,41
KR_6702322929,41,48,46,40,39,48,51,44,57,54,40
KR_6703800349,34,39,29,30,39,34,31,51,31,33,35
KR_6651346622,29,28,34,53,23,37,37,38,37,38,28
KR_6552116702,46,43,20,26,38,21,38,37,33,37,16
KR_6730512985,32,31,39,18,39,29,30,38,38,28,39
KR_6605980512,44,36,37,33,24,27,61,31,50,25,50
KR_6791452045,30,30,31,31,30,44,42,36,38,50,32
KR_6667784509,43,33,50,54,38,41,47,60,46,48,44
KR_6644718471,49,45,41,42,44,50,40,53,54,52,47
KR_6633976812,26,35,39,39,23,40,29,42,48,41,29
KR_6776305524,30,29,33,27,37,34,38,32,38,37,38
KR_6758009575,41,41,52,42,42,37,38,52,33,55,25
KR_6748458491,41,40,29,32,37,24,36,44,42,45,18
KR_6790622077,28,42,35,45,35,44,27,36,43,31,44
KR_6762752591,40,24,45,20,40,39,30,24,58,34,16
KR_6787762529,27,26,50,34,27,47,40,54,46,46,47
KR_6748387578,33,24,29,27,44,22,53,18,37,39,27
KR_6788968756,29,45,34,36,32,27,47,39,35,24,29
KR_6788489528,43,25,30,45,30,38,47,43,36,39,25
KR_6748219030,44,28,36,48,40,46,53,23,51,64,32
KR_6775978628,39,19,32,25,51,29,37,39,41,37,44
KR_6784704141,38,25,39,37,39,31,29,23,57,20,28
KR_6692408849,40,32,23,31,60,41,37,38,42,29,39
KR_6791208422,28,34,26,43,36,32,37,43,37,33,35
KR_6780565067,48,32,40,46,44,54,33,56,46,48,41
KR_6788547573,29,52,31,41,23,35,44,26,22,36,36
KR_6719461231,40,31,30,28,23,31,34,38,36,34,38
KR_6688046615,35,26,41,55,22,35,39,30,29,37,33
KR_6749845253,24,36,41,37,37,41,38,40,23,37,42
KR_6679141941,29,23,23,41,29,16,40,27,25,31,62
KR_6730370563,33,43,29,27,37,58,37,48,39,39,25
KR_6785173496,28,28,32,50,29,32,43,35,33,37,35
KR_6788274825,48,40,35,31,27,29,35,32,52,30,61
KR_6787038387,33,45,33,33,35,37,43,30,26,53,35
KR_6704995124,40,32,37,33,37,27,44,47,38,37,64
KR_6723966619,34,36,36,30,40,39,65,48,52,31,28
KR_6786938735,51,41,27,43,50,42,64,60,57,47,52
KR_6756164786,38,29,25,43,34,48,43,43,31,51,27
KR_6619780338,37,35,53,47,33,39,50,40,49,41,50
KR_6781191297,36,32,38,20,44,22,62,39,44,34,25
KR_6706733247,30,47,41,26,54,45,44,38,39,40,38
KR_6670724282,28,26,40,47,21,30,60,40,44,52,20
KR_6788785245,39,35,33,43,21,43,43,40,48,37,37
KR_6659081627,49,34,34,32,41,35,38,62,50,34,36
KR_6658424716,43,28,32,29,36,38,30,27,44,45,38
KR_6680353378,51,43,35,28,40,41,41,41,50,39,52
KR_6683013886,36,32,22,30,44,37,32,49,27,46,27
KR_6679874821,40,30,24,36,31,62,38,42,46,38,33
KR_6673628270,39,26,28,28,44,40,47,21,50,29,28
KR_6743502426,46,46,33,37,48,26,47,42,53,42,22
KR_6679970813,41,30,47,37,34,33,38,44,32,39,35
KR_6788205051,49,36,27,28,35,32,29,37,37,36,29
KR_6766095176,39,43,29,39,40,31,47,41,24,37,49
KR_6656432365,35,39,34,30,36,16,34,45,35,30,51
KR_6779039030,50,18,45,47,28,50,33,34,59,27,35
KR_6788496583,44,40,26,42,30,27,29,20,59,34,46
KR_6696195048,43,40,27,32,43,44,37,30,41,33,29
KR_6710649501,28,29,32,31,56,33,49,39,27,58,28
KR_6790145810,29,34,40,36,39,42,34,29,36,55,32
KR_6789912440,36,44,14,37,33,35,28,39,48,40,32
KR_6727045285,37,30,45,30,41,24,31,34,65,35,27
KR_6782160212,33,27,29,45,25,32,35,22,56,30,46
KR_6684292882,40,34,23,37,41,28,49,26,41,36,30
KR_6783720512,46,36,25,43,38,31,53,42,42,34,28
KR_6763922874,46,22,33,32,32,28,47,28,28,48,43
KR_6720651482,38,29,36,41,38,44,26,77,56,46,39
KR_6739484996,49,42,33,32,63,27,32,42,54,37,39
KR_6788123421,41,23,30,40,45,25,44,37,48,45,44
KR_6716668156,32,48,35,41,43,25,47,27,41,45,50
KR_6677019230,37,38,35,36,44,48,39,36,39,31,41
KR_6791501736,41,42,26,31,37,34,33,42,40,45,49
KR_6779926018,52,39,95,64,46,39,46,62,36,63,58
KR_6650150846,35,32,29,40,24,49,44,46,46,43,23
KR_6782058294,42,31,25,40,38,40,35,45,41,46,17
KR_6664037932,34,26,31,25,24,36,29,49,44,45,27
KR_6768939294,36,26,34,26,29,37,51,39,32,29,34
KR_6758137921,37,23,54,26,40,37,33,29,49,33,35
KR_6701787270,34,23,24,30,12,46,34,47,30,38,55
KR_6779055047,38,44,29,33,67,50,34,66,37,53,31
KR_6767794519,38,29,19,27,40,36,30,31,27,24,26
KR_6779219991,25,33,34,20,38,41,28,46,26,33,29
