MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6798737285,33,29,35,37,49,38,39,43,33,37,37
KR_6796824903,44,31,37,26,37,46,30,32,36,29,44
KR_6694369523,21,39,32,22,50,28,23,42,38,41,32
KR_6795182412,58,82,36,43,67,57,44,22,73,40,43
KR_6726002029,29,42,28,35,44,26,44,43,31,41,44
KR_6789810180,44,42,26,32,47,46,21,36,36,32,60
KR_6724718080,29,32,32,39,28,30,39,21,38,30,25
KR_6789677679,29,38,35,27,36,36,45,34,43,42,33
KR_6794971900,43,22,45,29,41,38,29,39,31,23,36
KR_6666963060,30,23,49,23,57,29,38,21,56,35,52
KR_6794954994,34,38,25,41,33,24,41,34,32,38,43
KR_6560410949,40,40,30,24,48,32,49,33,42,43,30
KR_6777501426,27,22,27,39,33,42,32,52,32,37,28
KR_6618500292,22,20,24,28,25,39,44,28,35,40,31
KR_6793251547,33,29,34,35,29,29,27,38,49,36,55
KR_6716485288,33,33,26,32,33,42,29,48,35,47,42
KR_6742411209,35,23,45,35,29,31,37,35,38,28,35
KR_6799634111,40,26,24,23,31,40,34,26,29,35,37
KR_6794948445,34,38,39,14,28,21,52,30,29,58,25
KR_6775807370,40,41,28,38,28,31,35,49,23,29,28
KR_6510271019,33,25,20,27,18,30,38,19,28,39,20
KR_6799378440,27,30,42,36,32,38,34,49,49,33,23
KR_6670971606,27,29,27,46,30,32,25,35,37,38,44
KR_6799997771,25,44,30,32,37,44,45,24,50,32,31
KR_6795898481,42,25,27,15,41,22,53,20,32,32,24
KR_6782617559,47,23,28,33,26,31,31,29,41,52,23
KR_6796127280,37,45,29,38,40,50,29,29,45,54,32
KR_6798941071,26,25,38,22,27,35,53,29,31,39,26
KR_6771452457,30,52,30,34,33,27,43,41,34,35,47
KR_6692028466,38,21,55,35,25,40,27,38,38,34,41
KR_6795812938,35,33,27,27,22,47,29,31,42,35,46
KR_6690632651,38,48,29,31,29,20,33,47,19,56,37
KR_6786971722,35,31,19,42,32,45,47,41,38,22,63
KR_6737276014,36,21,23,35,32,37,52,18,36,17,34
KR_6684850594,47,28,28,33,23,32,21,37,36,33,36
KR_6688419237,49,45,33,29,24,31,36,31,43,25,27
KR_6800054162,32,77,59,69,62,45,66,78,37,50,54
KR_6796513950,44,31,33,28,38,23,45,38,25,33,23
KR_6567638108,40,29,34,53,31,29,28,54,56,46,43
KR_6687470421,30,23,28,25,26,30,31,29,23,42,33
KR_6794972692,31,22,34,30,30,29,39,31,37,39,48
KR_6139989013,41,23,29,36,25,32,31,34,45,28,29
KR_6788796511,34,42,29,19,31,38,40,35,53,24,37
KR_6739908853,39,31,31,24,42,31,38,45,23,52,23
KR_6767271334,39,43,44,34,46,38,28,52,34,38,33
KR_6596617304,49,31,44,36,37,37,33,43,39,35,44
KR_6793624616,37,22,34,23,48,32,36,43,45,39,38
KR_6751411664,34,32,24,31,48,26,30,42,55,24,37
KR_6698622918,58,33,36,31,33,26,39,23,49,24,44
KR_6794156441,33,33,36,23,32,36,34,48,49,25,38
KR_6799917133,16,33,43,38,29,39,35,34,43,47,38
KR_6799405147,31,39,33,31,46,27,43,42,51,30,32
KR_6602332419,30,26,36,31,46,29,29,27,26,38,29
KR_6799662868,31,33,39,47,34,23,34,48,43,24,40
KR_6783014060,42,29,31,37,23,32,31,32,36,50,18
KR_6783109516,46,25,37,29,44,49,32,47,29,34,28
KR_6711034449,48,42,30,53,21,50,28,46,31,42,37
KR_6625121347,47,24,48,25,31,35,28,47,28,33,45
KR_6713026384,34,46,33,42,20,28,27,48,33,40,22
KR_6691294790,43,48,44,53,29,40,50,63,51,33,52
KR_6435564866,36,29,39,19,31,51,30,35,45,40,32
KR_6703558168,38,39,27,39,35,42,38,36,64,32,36
KR_6786689533,46,38,37,40,31,43,51,41,42,38,29
KR_6799742382,43,40,35,32,44,39,36,60,55,42,50
KR_6739450403,39,34,32,24,35,27,40,35,38,30,35
KR_6797139024,30,38,48,29,28,26,31,38,43,25,29
KR_6744204764,43,26,39,24,28,27,39,28,43,35,35
KR_6783962659,38,39,33,32,39,32,33,36,55,39,27
KR_6789201579,28,30,44,21,36,20,34,43,36,24,32
KR_6548926767,40,38,23,46,30,29,34,34,31,26,37
KR_6795259536,22,25,40,18,48,36,46,36,36,38,25
KR_6137333334,40,34,44,48,47,49,44,50,49,32,40
KR_6798489878,33,26,20,30,34,15,47,28,44,37,42
KR_6786447363,38,29,24,29,49,35,28,55,34,49,34
KR_6629190336,36,37,28,32,31,32,41,37,36,38,24
KR_6786155973,33,37,48,24,41,38,23,36,49,37,28
KR_6782917945,31,31,29,31,29,41,43,51,28,41,56
KR_6798229680,43,22,59,28,26,41,55,23,61,44,60
KR_6800644964,35,25,52,46,36,57,21,33,45,46,48
KR_6799816993,38,27,37,39,50,36,53,52,33,45,39
KR_6794661014,37,29,23,28,39,32,16,39,23,37,44
KR_6679151089,43,25,29,31,31,39,41,29,44,36,39
KR_6586288988,34,32,48,47,46,37,23,39,40,42,20
KR_6749564500,45,22,40,31,46,18,39,25,66,37,26
KR_6792104515,36,34,22,23,33,29,36,38,31,50,35
KR_6799398783,41,29,35,34,41,18,24,43,37,32,31
KR_6794617652,26,22,24,37,32,40,36,42,31,24,56
KR_6695294447,88,45,39,43,122,35,46,63,62,55,31
KR_6752329578,28,32,25,24,33,21,48,34,50,37,35
KR_6794456500,39,30,55,25,31,24,45,35,37,30,43
KR_6692948039,36,25,34,40,24,31,47,35,43,47,38
KR_6748086511,27,28,32,38,27,46,32,30,21,44,45
KR_6800587130,42,26,27,28,35,22,32,35,39,40,37
KR_6772937243,37,41,22,37,31,32,21,44,24,32,25
KR_6266221306,32,43,37,23,37,27,32,35,32,34,48
KR_6688145736,28,25,34,34,28,28,56,21,43,52,30
KR_6794849698,50,28,40,26,35,37,38,44,46,47,42
KR_6760650893,25,22,26,27,31,40,41,43,81,34,48
KR_6725372830,28,33,36,37,35,31,36,37,43,52,47
KR_6728086840,24,28,33,47,32,22,32,37,34,30,41
KR_6792043180,29,39,37,40,41,44,46,39,36,73,41
KR_6613156742,55,29,36,57,34,53,43,46,57,33,56
KR_6796389710,34,26,24,35,35,36,42,33,39,35,38
KR_6565825744,39,30,22,36,30,37,37,25,51,35,36
KR_6797518314,28,39,27,37,36,39,28,37,27,62,34
KR_6748447481,27,35,38,32,40,25,52,31,48,47,29
KR_6685420487,45,49,54,35,36,47,35,75,26,44,38
KR_6799153431,69,86,75,47,56,61,83,43,69,30,54
KR_6793493147,28,35,27,25,33,43,31,21,21,58,32
KR_6676956087,36,27,26,33,45,31,32,46,34,21,34
KR_6652369397,35,32,29,39,36,23,52,43,29,64,31
KR_6797899923,79,74,84,36,32,63,50,33,55,54,45
KR_6800488236,53,47,34,41,46,47,44,32,47,60,44
KR_6716026065,34,29,30,34,24,20,52,41,37,49,24
KR_6798959246,43,25,28,21,25,30,32,35,44,30,50
KR_6781409493,36,23,43,36,39,29,30,21,48,32,31
KR_6743540981,47,35,45,39,62,41,41,42,52,46,54
KR_6682765592,28,43,43,37,33,43,38,19,53,37,43
KR_6740474269,31,52,28,29,33,22,31,29,24,53,16
