MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6789171176,33,19,31,36,38,16,41,33,45,46,30
KR_6787377435,32,37,39,33,28,42,32,43,34,33,54
KR_6772936111,37,47,30,32,35,49,32,26,42,45,45
KR_6786462631,46,43,46,46,51,36,44,33,43,59,29
KR_6769134474,37,40,36,31,42,31,48,43,49,30,41
KR_6788154346,38,29,26,28,47,30,37,43,38,35,52
KR_6778264362,43,35,36,31,58,42,38,42,46,29,39
KR_6767063260,44,31,49,37,27,32,55,41,54,46,30
KR_6775199259,56,49,36,30,48,52,63,48,36,30,38
KR_6769187232,37,39,35,46,35,45,22,57,46,31,56
KR_6785762483,48,33,23,38,38,46,58,38,42,53,24
KR_6787743453,63,32,59,62,41,79,36,71,64,79,36
KR_6782605722,52,39,32,61,34,45,47,46,48,48,44
KR_6787695914,51,35,33,36,37,36,28,40,41,32,56
KR_6785299759,43,24,41,40,39,34,36,33,46,31,34
KR_6788484136,42,40,15,38,47,44,28,59,37,33,35
KR_6777324842,40,33,41,36,44,28,51,46,28,46,33
KR_6783788072,59,27,33,34,34,39,46,36,60,35,49
KR_6786413591,35,30,26,46,33,48,38,51,35,25,46
KR_6775254446,52,51,51,50,40,51,53,63,57,51,57
KR_6786250269,57,34,40,28,42,35,35,29,52,51,32
KR_6778273701,43,19,64,28,44,38,55,33,40,55,26
KR_6787667775,55,28,33,50,34,44,38,49,31,32,19
KR_6777430132,41,52,36,25,30,44,41,35,44,45,26
KR_6754322203,43,26,31,24,39,32,35,36,38,60,29
KR_6763755965,44,59,33,36,43,27,82,31,40,49,19
KR_6758791196,46,29,38,36,23,44,34,44,35,50,37
KR_6779194788,37,44,60,49,40,61,49,67,59,36,53
KR_6771482016,37,41,34,35,18,39,41,59,41,43,37
KR_6771544569,45,45,41,49,51,37,40,54,55,40,34
KR_6775282909,44,24,37,27,37,46,51,42,54,41,48
KR_6778976959,38,43,38,33,38,52,19,40,55,32,42
KR_6786489412,42,23,35,50,28,33,39,38,49,40,51
KR_6788095469,27,46,31,19,55,17,36,44,32,36,28
KR_6780212099,46,29,37,52,29,34,34,30,28,47,43
KR_6789565286,44,31,38,50,37,33,44,61,36,54,39
KR_6758313027,31,38,44,26,43,32,53,46,35,50,36
KR_6773815452,37,47,29,34,40,33,34,43,49,35,51
KR_6780076572,34,54,37,17,32,20,32,35,36,41,41
KR_6788808150,43,41,51,32,59,34,45,74,45,54,42
KR_6777559221,34,49,30,41,32,48,37,44,36,49,46
