MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6790213174,43,47,44,53,49,52,61,26,72,70,44
KR_6747251823,28,29,38,29,22,35,30,31,44,26,33
KR_6776134083,20,38,21,38,63,39,42,24,60,33,44
KR_6693583553,36,22,23,32,32,35,55,37,45,35,59
KR_6774991110,39,28,35,35,35,34,38,41,31,40,27
KR_6505078150,34,29,44,47,38,49,24,49,48,32,27
KR_6612840944,26,30,31,38,32,21,35,40,29,40,43
KR_6697852848,35,33,30,29,23,52,35,30,49,31,56
KR_6752166562,34,40,39,58,33,49,52,44,33,53,31
KR_6788497781,32,32,28,32,29,33,33,38,24,25,28
KR_6391972618,30,16,29,27,22,22,27,43,45,24,23
KR_6613761389,33,51,24,28,28,33,46,40,29,36,27
KR_6503971315,45,28,37,48,35,36,32,44,40,43,45
KR_6742024568,30,34,33,33,38,46,28,45,20,37,32
KR_6756220809,36,25,32,36,34,29,42,30,32,43,36
KR_6630973310,23,28,24,37,19,17,43,27,39,19,37
KR_6789719807,19,31,42,28,39,27,34,32,36,30,35
KR_6791789713,26,33,29,38,32,36,25,26,36,34,45
KR_6731311752,50,42,48,36,44,34,46,54,32,49,31
KR_6700283284,42,46,20,39,21,45,25,39,42,26,26
KR_6729209172,26,21,40,26,34,35,32,33,42,22,34
KR_6770063095,33,33,19,28,39,31,39,25,34,35,29
KR_6667863617,37,20,35,23,48,33,25,23,17,39,35
KR_6736589735,38,30,41,32,55,49,34,32,62,54,42
KR_6749690360,33,33,26,43,32,31,50,39,18,36,37
KR_6727983139,25,29,35,24,25,20,42,22,33,39,24
KR_6769258712,35,28,20,40,44,29,33,37,32,19,29
KR_6781098478,20,20,21,19,52,20,44,29,33,36,38
KR_6704135189,32,34,26,37,23,22,36,42,22,28,29
KR_6375165963,25,21,31,29,21,28,25,40,24,30,57
KR_6613868333,31,39,42,37,42,37,48,40,47,51,51
KR_6729996713,44,23,30,25,28,40,43,36,36,26,38
KR_6781170829,38,28,38,32,21,32,22,43,43,31,37
KR_6717550237,33,37,20,34,31,23,25,31,28,34,34
KR_6725591133,33,26,30,22,42,42,40,23,41,37,26
KR_6790613592,42,34,30,20,33,38,51,37,24,27,43
KR_6746065488,34,30,15,33,28,29,31,35,32,27,19
KR_6792049366,34,39,27,39,37,28,30,35,40,45,28
KR_6792220381,47,27,30,23,39,40,25,33,31,37,35
KR_6772459136,42,33,30,27,29,30,53,22,49,33,33
KR_6782012550,30,33,33,39,13,58,29,44,27,33,45
KR_6433014068,26,25,40,53,42,61,53,16,50,49,28
KR_6571131358,35,22,45,32,31,48,36,35,41,34,25
KR_6779377352,35,37,21,38,24,27,52,28,52,37,53
KR_6749200611,38,39,32,41,28,41,40,23,42,32,39
KR_6606587496,26,27,29,32,28,45,31,24,27,40,23
KR_6775642772,24,35,35,32,34,27,28,30,32,36,37
KR_6684168798,39,36,18,38,17,50,31,41,29,32,29
KR_6113309111,38,27,32,47,35,30,41,40,38,52,25
KR_6735554443,45,42,44,41,37,43,43,40,33,36,55
KR_6792210707,39,29,22,41,29,22,35,20,29,29,31
KR_6495387178,40,29,31,40,18,24,41,55,42,29,27
KR_6576733930,31,33,25,34,31,31,34,22,42,19,26
KR_6776313764,33,45,24,27,31,30,36,37,25,41,44
KR_6782471012,36,54,46,55,65,46,63,49,56,24,69
KR_6792672147,40,21,32,36,31,43,43,34,33,48,42
KR_6774817037,32,29,40,29,30,33,34,32,33,37,42
KR_6760687449,42,42,28,31,39,38,35,41,23,39,34
KR_6763081337,53,82,56,39,44,41,37,53,46,49,50
KR_6640621389,37,27,21,25,37,20,34,21,35,27,37
KR_6647531169,35,42,33,26,29,28,22,34,53,43,25
KR_6780770677,22,31,44,52,24,36,44,27,48,16,43
KR_6759793048,37,21,41,30,25,28,40,34,28,39,35
KR_6605087205,30,20,27,34,35,24,58,16,36,36,40
KR_6790910376,26,24,26,32,36,21,38,31,17,36,36
KR_6710771704,78,41,50,48,30,58,45,33,95,86,59
KR_6736349364,31,34,39,32,35,34,28,28,45,26,37
KR_6763789993,22,23,23,24,20,31,32,28,21,22,19
KR_6618160469,28,38,37,46,30,29,36,30,28,48,29
KR_6636858312,27,34,33,28,27,33,42,18,38,36,23
KR_6783593304,32,19,29,36,21,28,33,41,23,28,33
KR_6779803620,65,52,35,57,44,81,69,59,66,62,53
KR_6786273611,39,36,31,31,29,31,34,41,40,27,30
KR_6597252949,32,38,35,28,26,50,33,24,27,28,36
KR_6433407459,37,34,41,10,37,33,22,43,30,29,31
KR_6739626589,27,38,25,35,41,27,30,36,48,42,20
KR_6743018279,32,19,29,25,24,21,32,17,33,29,24
KR_6598723167,26,45,17,18,51,20,26,46,24,32,26
KR_6752852103,29,26,33,26,37,22,28,36,29,33,19
KR_6001518630,48,25,27,38,29,30,30,43,40,12,30
KR_6683010660,31,24,33,31,40,35,29,37,47,23,26
KR_5906402708,68,37,44,57,69,38,67,30,54,68,56
KR_6605862030,26,33,31,20,40,35,26,48,31,24,30
KR_6775357545,32,28,32,30,33,40,31,54,27,33,35
KR_6754774967,32,28,41,30,34,30,34,32,27,22,50
KR_6613361728,31,40,33,30,28,45,20,34,33,25,57
KR_6786407379,27,31,27,26,33,18,34,31,26,35,41
KR_6789330322,34,27,30,34,37,28,24,29,37,55,30
KR_5996612206,22,36,21,33,41,31,50,54,27,32,40
KR_6781328074,33,30,30,41,32,22,54,31,26,38,35
KR_6607409273,30,28,26,29,37,18,34,37,27,30,38
KR_6639226228,31,29,34,35,42,35,31,33,40,36,25
KR_6761418521,32,19,27,24,23,26,38,35,20,38,25
KR_6712866719,30,29,38,18,14,36,33,39,36,44,28
KR_6760989909,32,23,27,27,28,30,35,21,27,24,36
KR_6646001038,40,24,33,34,30,31,38,49,21,30,48
KR_6766104021,36,37,26,25,32,30,53,25,30,39,19
KR_6650378257,35,27,29,32,30,34,29,40,36,34,28
KR_6634187975,31,7,22,60,35,20,33,39,27,20,23
KR_6413788675,81,53,41,73,77,67,65,85,52,70,54
KR_6769390959,35,27,25,28,24,30,44,25,33,51,28
KR_6674358038,29,31,29,24,32,14,40,17,38,36,38
KR_6505833327,28,33,34,45,29,31,30,31,34,23,42
KR_6746882077,23,24,27,31,21,24,39,29,43,31,30
KR_6776348021,35,23,21,52,21,31,38,31,44,23,38
KR_6705064354,33,21,37,20,27,49,42,25,19,37,32
KR_6674273196,27,52,29,34,34,26,42,37,28,25,32
KR_6735267676,27,30,43,33,31,44,55,23,23,57,17
KR_6742689016,34,26,27,30,30,35,27,19,30,36,21
KR_6704160256,21,31,31,35,39,32,34,35,35,31,34
KR_6783323692,30,20,37,24,40,39,15,92,35,46,28
KR_6773911573,25,20,41,29,34,39,29,28,26,44,37
KR_6736528470,30,22,23,25,53,36,29,52,24,45,31
KR_6793452959,28,19,29,29,25,40,32,34,37,33,35
KR_6749710290,23,66,64,46,58,60,21,50,55,49,60
KR_6793699552,33,34,35,33,15,20,35,20,31,34,24
KR_6791884361,36,28,26,30,27,32,26,37,39,26,26
KR_6692170346,40,15,23,33,25,31,22,27,32,36,31
KR_6747299566,24,31,32,35,22,38,22,32,34,17,25
KR_6760334435,37,30,50,36,38,36,32,37,44,42,25
KR_6781032926,41,25,42,27,28,33,37,28,43,29,25
KR_6663291487,30,31,47,29,14,58,27,37,43,32,50
KR_6788493820,52,39,38,35,43,30,37,37,58,19,39
KR_6710414765,49,29,27,40,38,23,39,27,44,23,35
