MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6789293420,40,55,41,41,34,49,36,47,46,49,39
KR_6789396666,42,57,36,41,48,40,63,45,56,60,36
KR_6778783745,26,29,31,36,32,23,53,25,42,27,46
KR_6788770960,41,34,32,48,32,31,29,32,41,57,35
KR_6787021502,43,34,40,26,42,29,30,36,44,49,48
KR_6780768082,39,42,31,52,33,27,38,39,58,41,32
KR_6787090196,36,42,33,41,37,36,32,22,37,48,44
KR_6789173718,38,37,23,36,35,42,29,50,27,43,46
KR_6779391427,27,49,26,32,48,37,41,34,38,38,35
KR_6783913341,39,25,28,37,32,59,21,33,38,24,46
KR_6778129684,40,30,29,27,49,25,28,37,38,38,39
KR_6787710776,36,45,39,30,44,41,52,48,47,42,74
KR_6786481997,37,32,33,43,29,35,31,27,53,22,31
KR_6790058233,35,68,47,40,50,39,48,47,37,109,90
KR_6784522368,50,34,48,50,43,39,52,28,43,38,35
KR_6789886311,31,30,34,27,42,49,35,44,40,44,40
KR_6768261925,31,28,27,37,29,42,28,48,48,36,41
KR_6790641912,39,32,34,34,25,40,29,32,28,52,21
KR_6788339189,34,41,30,53,34,26,48,40,57,37,35
KR_6784120437,39,29,39,23,29,34,34,38,43,57,37
KR_6786155496,44,42,26,27,49,35,36,39,42,44,44
KR_6787646107,29,29,33,37,24,38,37,22,48,24,23
KR_6789120262,51,32,49,37,61,42,45,56,40,33,58
KR_6788237731,39,30,28,35,37,32,35,29,37,39,49
KR_6789952121,44,46,32,31,32,53,48,43,45,48,42
KR_6786764876,39,44,54,41,36,48,38,59,54,60,42
KR_6777472317,32,60,31,43,38,51,44,46,41,38,37
KR_6779567131,33,32,52,28,40,35,29,34,37,43,36
KR_6720413857,34,39,33,54,48,35,40,61,42,43,33
KR_6782765809,39,51,26,33,34,22,33,27,46,47,48
KR_6784405507,26,30,26,31,32,41,30,36,47,31,29
KR_6786265676,28,39,50,31,33,54,39,36,42,31,34
KR_6774432105,40,43,42,33,36,40,38,52,31,50,35
KR_6790939721,44,24,32,29,30,43,32,26,64,36,21
KR_6789888642,40,34,44,46,32,34,51,53,60,35,42
KR_6788781469,30,35,27,37,37,40,42,41,38,50,35
KR_6768873971,49,44,33,41,31,40,24,65,46,53,43
KR_6780361980,39,34,29,22,40,44,35,50,28,50,26
KR_6782920627,26,26,60,43,58,60,48,47,45,72,89
KR_6790243620,45,23,41,35,51,27,27,42,33,48,39
KR_6756588389,37,29,26,37,38,37,23,55,49,39,33
KR_6775428048,22,38,35,43,22,36,42,47,36,52,19
KR_6785671133,34,28,40,40,35,33,47,46,25,51,45
KR_6786078652,39,32,41,49,31,27,38,42,31,41,48
KR_6788493360,42,30,32,39,45,38,53,32,51,38,30
KR_6778105872,53,38,38,42,46,41,31,51,43,42,37
KR_6778807657,35,36,25,30,59,34,46,38,51,43,43
KR_6771696839,47,31,43,39,28,60,40,46,50,32,55
KR_6783563757,47,38,35,37,29,26,33,46,36,29,32
KR_6789238258,40,36,28,29,37,27,28,51,28,40,43
KR_6778488440,37,38,31,46,30,24,40,42,30,38,36
KR_6788281722,53,32,24,32,40,35,23,26,27,42,26
KR_6754630562,31,27,41,48,35,44,42,30,59,39,34
KR_6788306038,44,62,37,24,48,52,55,31,42,50,35
KR_6776592889,45,37,37,49,27,48,46,30,30,50,38
KR_6789196423,34,35,32,30,45,30,37,34,35,55,28
KR_6790225476,32,33,26,16,34,39,41,51,30,47,41
KR_6787913910,34,39,42,48,34,44,48,57,35,64,41
KR_6791420887,38,32,41,45,25,35,47,43,36,46,57
KR_6778290101,32,57,12,25,30,46,21,23,34,47,36
KR_6785421864,24,34,26,34,26,27,39,49,30,42,39
KR_6790819885,34,36,30,38,32,23,62,36,44,40,46
KR_6788229654,47,28,44,27,39,39,48,39,38,40,44
KR_6791112589,48,39,27,45,37,26,38,37,47,36,29
KR_6790645211,34,31,33,42,38,51,31,45,26,45,38
KR_6779408485,40,33,35,23,37,43,34,30,47,45,43
KR_6788160918,42,27,28,21,36,47,50,24,26,42,23
KR_6790784520,45,27,33,32,46,23,50,35,48,38,36
KR_6785291126,39,28,25,35,41,43,44,58,23,47,52
KR_6790257087,37,34,36,33,23,42,41,68,49,23,25
KR_6785627426,46,42,22,51,38,41,63,46,40,52,33
KR_6782983308,40,26,35,44,34,39,32,52,33,43,52
KR_6773370451,44,56,54,50,34,51,35,78,46,66,62
KR_6780937510,32,36,39,37,38,29,44,46,39,49,36
KR_6779709449,38,36,31,25,35,30,46,53,22,24,31
KR_6791459115,44,26,25,34,47,38,34,35,38,26,79
KR_6786477484,50,34,35,28,33,23,40,38,50,41,40
KR_6790474942,37,52,19,32,35,21,46,55,37,30,28
KR_6790667005,35,27,42,40,35,43,48,41,42,30,51
KR_6786999436,40,33,29,23,40,33,35,39,34,50,45
KR_6785371283,38,18,46,27,34,34,30,29,47,23,30
KR_6786787460,37,35,38,22,42,38,32,53,37,35,38
KR_6787592922,41,30,28,33,41,42,43,34,26,48,28
KR_6780925866,41,25,37,35,52,45,21,48,46,31,29
KR_6789856269,47,21,49,29,33,41,37,32,38,37,39
KR_6786568519,42,41,38,42,34,54,53,41,41,54,41
KR_6782935960,47,31,46,26,36,44,44,30,62,28,39
KR_6781863803,42,38,27,25,37,45,55,40,52,41,56
KR_6784555917,39,24,33,27,40,26,49,36,43,34,49
KR_6711998136,35,23,36,33,42,35,51,40,44,36,41
KR_6785847568,38,21,39,26,35,33,41,32,32,43,21
KR_6786751905,42,42,41,46,42,36,46,53,50,32,34
KR_6786377876,31,52,18,35,36,59,38,49,48,53,44
KR_6788326386,36,43,31,46,31,27,48,49,42,54,19
KR_6790683655,29,34,43,29,31,41,33,38,36,55,37
KR_6786616173,37,37,27,24,45,37,35,25,46,50,25
KR_6786741069,33,23,18,40,31,28,19,47,46,31,45
KR_6789381825,122,80,59,66,52,41,65,75,111,44,74
KR_6788570087,24,31,44,23,52,29,23,27,31,42,30
KR_6789985982,44,33,41,41,44,38,32,42,54,43,41
KR_6787106350,48,39,27,20,48,22,35,28,33,41,37
KR_6790857029,42,40,22,50,40,30,25,41,44,29,37
KR_6790695707,33,37,45,37,36,32,51,38,47,46,37
KR_6783984768,44,34,59,36,35,51,32,52,46,48,40
