MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6744753626,27,43,47,26,28,37,44,41,28,32,45
KR_6794528155,45,25,55,29,39,33,44,51,44,35,45
KR_6567182253,49,53,38,31,48,43,34,34,51,39,32
KR_6729608468,57,30,32,41,34,42,40,31,40,38,64
KR_6794548038,30,32,23,37,39,30,22,35,29,34,29
KR_6746822416,24,34,34,22,28,32,31,44,52,41,34
KR_6783711206,21,31,27,35,40,30,34,42,42,51,48
KR_6773843941,30,33,23,31,45,30,26,31,19,58,27
KR_6788767456,42,38,31,21,23,34,28,39,39,40,43
KR_6791160108,27,33,32,42,28,43,56,30,53,37,29
KR_6731738753,38,31,29,44,38,38,38,28,37,60,36
KR_6794004357,36,26,44,21,23,31,44,36,38,32,38
KR_6691269386,33,28,28,34,27,29,40,33,37,47,49
KR_6792909269,31,21,32,31,36,28,42,25,28,25,45
KR_6787829438,30,32,32,23,42,32,47,45,16,51,30
KR_6794434285,45,47,28,40,33,59,25,31,39,32,55
KR_6772944265,40,35,31,21,42,42,43,28,26,29,51
KR_6714521264,43,23,25,38,38,35,36,23,49,43,29
KR_6685583481,45,28,28,34,35,20,48,35,48,39,37
KR_6783546237,24,34,47,24,52,36,50,27,44,28,45
KR_6791875795,34,30,30,32,44,27,52,49,30,31,28
KR_6714013908,36,36,36,38,29,37,28,41,31,31,34
KR_6787478461,52,35,44,52,71,54,20,85,30,71,34
KR_6793780586,33,38,20,46,38,37,38,33,43,37,26
KR_6713749177,43,31,29,22,43,41,33,44,42,50,34
KR_6786940586,36,26,42,16,50,36,33,28,52,37,27
KR_6773908699,38,26,42,36,32,37,24,29,42,29,33
KR_6724944113,26,36,25,32,38,29,23,45,40,27,30
KR_6789695628,44,34,25,27,37,47,31,36,39,40,31
KR_6755736651,25,31,32,37,27,29,52,25,36,33,29
KR_6778615502,45,25,44,50,37,23,34,50,27,33,47
KR_6790433967,30,29,27,28,25,30,28,34,33,40,37
KR_6577637427,33,30,27,26,41,36,40,39,34,20,34
KR_6789861485,45,35,32,50,42,36,40,44,40,44,32
KR_6640129477,23,18,34,29,31,30,31,31,39,24,44
KR_6776461337,37,37,42,29,55,41,43,48,40,26,44
KR_6793223383,45,25,40,37,32,30,31,41,38,41,31
KR_6756140179,35,41,37,39,33,34,41,49,30,38,39
KR_6793973240,29,19,35,42,43,19,27,32,37,49,42
KR_6789761693,36,16,17,52,20,39,30,32,30,40,31
KR_6794348426,41,36,22,50,24,50,31,22,40,36,61
KR_6794114593,32,39,26,35,24,42,43,25,41,41,37
KR_6765437275,33,28,30,28,25,23,29,38,25,34,42
KR_6755657969,40,29,24,49,36,42,35,29,41,42,44
KR_6766208230,44,43,35,44,42,41,42,54,37,78,38
KR_6509523290,43,31,29,44,40,34,41,40,48,48,37
KR_6780411675,31,32,42,41,27,28,43,45,23,46,22
KR_6792623655,37,25,41,34,44,38,45,41,36,34,26
KR_6686162130,39,49,42,48,60,48,48,52,82,48,66
KR_6785720902,39,42,25,29,44,37,45,27,26,50,50
KR_6792946528,33,35,37,46,46,35,47,35,32,37,48
KR_6793870185,48,36,60,52,26,70,62,91,22,60,40
KR_6785837968,31,29,48,34,34,30,63,25,57,33,44
KR_6789660216,23,31,42,29,33,19,40,27,37,34,34
KR_6785733324,44,20,33,33,27,43,34,40,47,37,28
KR_6730403687,43,31,26,25,38,34,38,37,30,62,30
KR_6784331435,83,43,105,72,63,96,73,41,74,51,57
KR_6774890893,46,41,23,32,40,36,27,37,35,45,36
KR_6726441551,33,32,31,24,39,30,27,37,36,36,25
KR_6391163897,42,36,33,44,33,44,42,35,36,29,43
KR_6790225520,36,30,30,29,35,22,47,18,31,29,47
KR_6783152413,42,30,27,27,27,38,25,42,34,48,26
KR_6679049709,39,16,38,31,39,31,37,77,26,31,27
KR_6788501355,33,40,37,42,26,31,39,43,37,38,36
KR_6748707573,48,31,38,35,26,40,35,27,50,28,34
KR_6794223552,32,36,35,31,44,33,32,42,38,40,46
