MatchId,5min,6min,7min,8min,9min,10min,11min,12min,13min,14min,15min
KR_6791322714,38,34,31,36,24,47,38,28,35,48,33
KR_6746888079,36,29,44,37,27,25,53,27,44,51,22
KR_6782393749,27,26,27,21,33,25,44,21,31,37,35
KR_6490075420,30,33,28,31,33,28,40,31,25,48,46
KR_6661258875,36,41,46,52,41,25,36,53,49,45,45
KR_6701358458,32,28,23,27,54,25,35,45,23,40,43
KR_6795683000,40,19,29,19,28,30,47,14,19,22,29
KR_6765160012,42,24,34,24,47,39,32,41,43,22,29
KR_6791204738,37,25,29,29,34,25,16,43,36,41,31
KR_6674287108,28,18,38,30,32,44,30,24,40,37,32
KR_6713174594,44,41,56,47,28,44,35,42,65,34,65
KR_6779968927,37,34,45,22,36,25,29,29,16,57,45
KR_6788417543,49,18,30,34,32,36,31,36,40,34,28
KR_6675610741,37,38,33,47,30,33,41,31,31,40,40
KR_6786832954,26,41,35,44,46,39,35,41,25,37,44
KR_6744519969,40,35,19,51,35,36,35,37,49,25,33
KR_6731520043,79,47,56,64,65,81,50,62,79,115,35
KR_6747340600,41,38,32,38,29,27,38,47,57,54,41
KR_6512897662,47,28,42,27,39,32,25,67,36,46,53
KR_6758466195,34,42,26,46,35,44,36,20,33,43,56
KR_6791697022,22,40,29,29,48,30,48,28,30,31,37
KR_6748349504,24,33,25,21,51,24,32,40,34,36,49
KR_6769690431,28,27,39,26,25,33,30,42,39,29,30
KR_6777606270,32,26,31,43,48,27,22,48,10,47,33
KR_6748849102,47,13,33,36,37,26,25,46,49,26,33
KR_6782547008,34,19,28,43,21,38,25,23,46,35,36
KR_6679855037,38,25,36,18,26,38,56,26,47,38,43
KR_6796662946,44,49,25,38,35,17,41,39,43,45,41
KR_6681203170,30,33,31,34,32,22,49,33,59,25,36
KR_6786987250,46,40,38,47,62,54,62,57,55,46,34
KR_6742781171,36,30,33,33,38,24,42,31,39,31,31
KR_6703759070,46,36,29,36,37,37,43,30,40,43,38
KR_6757012762,31,31,19,39,30,27,37,36,40,54,23
KR_6521734190,34,39,40,33,24,48,37,26,46,42,49
KR_6404824471,24,36,29,31,36,35,34,24,35,31,39
KR_6795027114,31,36,46,27,27,49,45,22,43,56,22
KR_6586711708,36,46,40,35,28,37,43,41,31,59,22
KR_6730131922,27,23,32,24,33,25,41,30,39,18,42
KR_6780048104,38,27,28,34,32,36,29,34,30,23,36
KR_6626045498,40,35,49,40,45,44,40,44,44,46,65
KR_6792566708,34,35,54,28,26,43,35,40,28,54,23
KR_6586552470,36,37,37,42,28,31,26,45,45,31,29
KR_6747397523,36,32,28,32,32,37,32,32,39,34,32
KR_6784282241,36,24,38,23,31,24,40,25,26,49,30
KR_6691107427,31,35,34,33,45,43,39,35,49,26,32
KR_6698883241,32,26,31,25,48,16,28,34,23,50,35
KR_6750149008,35,38,40,41,29,58,23,33,44,36,37
KR_6682568127,42,46,40,44,55,42,43,35,57,43,44
KR_6786887565,33,29,40,29,36,29,30,50,36,34,30
KR_6715094849,34,31,29,37,42,31,45,37,33,47,45
KR_6623746565,43,22,44,27,28,29,44,35,37,36,25
KR_6775634322,49,32,28,56,26,35,39,30,49,36,35
KR_6669389067,31,28,40,33,25,35,38,46,29,38,50
KR_6766225684,44,31,43,25,26,29,35,59,27,42,30
KR_6505292063,30,27,28,23,21,24,39,39,39,47,30
KR_6604805840,33,41,26,23,33,35,42,27,15,60,24
KR_6782540304,31,43,47,34,35,31,47,38,50,32,22
KR_6635508761,31,40,27,33,37,52,22,45,42,44,43
KR_6788316892,41,31,36,42,30,41,23,71,32,33,36
KR_6783173127,30,26,19,38,38,27,51,45,33,33,43
KR_6788046563,47,19,40,46,24,45,56,44,37,42,41
KR_6766450204,37,44,25,32,34,30,37,24,33,38,39
KR_6745293593,37,33,30,39,27,25,35,56,34,42,40
KR_6593961529,38,29,32,47,39,33,29,44,18,42,32
KR_6697158158,36,34,25,41,33,44,47,26,57,31,23
KR_6741790899,55,29,38,46,33,31,32,28,54,48,34
KR_6788970606,37,36,21,28,50,25,43,28,51,23,37
KR_6597218073,33,35,41,40,16,44,24,34,36,36,37
KR_6592860149,35,29,40,34,29,41,28,43,61,35,36
