Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
-1,0,0,0,2,-4,14,2,-17,-1,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,-14,24,4,23,-2,2,0,0,1,0,0,0,0,0,0
1,0,0,0,2,9,4,8,26,9,0,0,0,1,0,0,0,0,0,0
1,1,0,0,-1,-6,0,-1,32,4,1,0,0,1,0,0,0,1,0,0
1,0,-1,0,2,15,-8,2,22,-10,3,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-14,-4,1,7,7,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,31,8,-1,-15,11,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-2,20,-3,-26,-1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,37,19,6,13,15,-15,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-23,-12,-4,-32,2,-1,0,0,1,0,0,0,0,0,0
1,1,0,0,2,60,-12,10,40,1,1,0,0,1,0,0,0,0,1,0
1,0,0,0,0,-21,8,2,-6,1,-2,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,-51,4,5,31,4,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,38,20,4,17,6,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,2,14,16,4,6,2,-1,0,0,1,0,0,0,0,0,0
1,-1,1,0,2,11,16,-1,-16,15,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,3,58,6,-2,-20,4,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,1,11,-20,7,61,21,-3,0,0,1,0,0,0,0,0,0
1,-1,0,0,4,16,7,6,25,-1,1,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,29,8,2,22,-2,-2,0,0,1,0,0,0,0,0,0
1,1,0,0,-2,27,0,0,21,23,-8,0,0,1,0,0,0,0,0,1
1,-1,1,0,-1,16,-12,3,21,-1,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,-14,10,-5,-24,-11,0,0,0,1,0,0,0,0,0,0
1,1,0,0,2,8,8,5,12,4,-1,0,0,1,0,0,0,1,0,0
-1,0,0,0,-3,-20,4,-3,9,0,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-9,-1,-8,-27,8,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-2,0,1,-29,-55,1,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,14,16,5,12,28,-18,0,0,1,0,0,0,0,1,0
1,0,1,0,1,-15,16,4,36,-3,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,25,16,1,-1,-6,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,11,4,3,25,1,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,-2,-15,12,0,-16,-3,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,54,-24,4,20,-51,0,0,0,1,0,0,0,0,0,0
1,0,1,0,3,42,-9,8,15,-2,2,0,0,1,0,0,0,0,0,0
1,0,0,0,2,-11,29,8,36,2,-1,0,0,1,0,0,0,0,0,0
1,0,-1,1,-1,-12,0,1,-2,-11,0,0,1,1,0,0,0,0,0,0
-1,0,0,0,2,9,15,3,-1,-95,-2,0,0,1,0,0,0,0,0,0
1,1,0,0,0,22,9,5,60,144,-4,0,0,1,0,1,0,0,0,0
1,0,1,0,3,21,4,6,15,-1,0,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-1,-12,4,-3,-36,171,-3,0,0,1,0,0,1,0,0,0
1,0,0,0,1,-34,18,4,15,2,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-2,-5,-8,-2,-7,2,-1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,16,-1,-2,2,30,-12,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,-28,5,3,20,1,1,0,0,1,0,0,0,0,0,0
1,0,1,0,2,12,-2,12,29,-2,3,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-39,-8,2,19,-8,1,0,0,1,0,0,0,0,0,0
-1,1,0,0,4,60,20,4,25,-5,2,0,0,1,0,0,0,1,0,0
1,0,0,0,0,28,8,4,-6,1,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,34,-13,-5,-17,18,-12,0,0,1,0,0,0,0,0,0
1,0,0,0,5,49,-12,9,53,-2,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,0,7,-7,1,4,-3,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,43,-16,4,2,-2,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-53,-12,1,8,95,1,0,0,1,0,0,0,0,0,0
1,1,0,0,1,-1,19,4,34,18,-13,0,0,1,0,0,0,0,0,1
1,0,0,0,-2,-7,-3,-2,-8,27,-9,0,0,1,0,0,0,0,0,0
1,1,-1,0,0,22,-1,3,18,-27,10,0,0,1,0,0,1,0,0,0
1,0,0,0,1,11,-13,-3,21,-3,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,3,2,-1,-4,8,0,0,0,1,0,0,0,0,0,0
-1,-1,0,0,3,-4,9,-5,-23,-4,-1,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,44,-20,1,14,-15,0,0,0,1,0,0,0,0,0,0
1,1,0,0,1,18,4,3,7,3,0,0,0,1,0,0,0,0,0,1
-1,1,-1,0,0,-5,8,-3,-18,-3,-1,0,0,1,0,0,0,0,0,1
-1,1,1,0,2,-19,8,4,10,-8,-1,0,0,1,0,0,1,0,0,0
-1,0,0,0,-2,-9,0,-3,6,-3,1,0,0,1,0,0,0,0,0,0
-1,1,0,0,0,54,-16,3,-2,0,0,0,0,1,0,0,0,0,1,0
1,0,1,0,-1,12,0,0,0,26,1,0,0,1,0,0,0,0,0,0
1,-1,0,0,1,-9,8,6,31,-3,-4,0,0,1,0,0,0,0,0,0
-1,-1,1,0,0,12,-9,1,-4,-2,-1,0,0,1,0,0,0,0,0,0
