Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,-1,0,0,1,25,-4,1,-1,-11,4,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,3,12,-1,-27,-2,-2,0,0,1,0,0,0,0,1,0
1,0,1,0,0,-28,-13,7,60,-1,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,18,-16,0,-20,0,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-2,-24,15,-4,-49,2,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,1,19,16,1,4,-1,2,0,0,1,0,0,0,1,0,0
-1,-1,-1,0,-2,-27,-1,-6,-37,8,-11,0,0,1,0,0,0,0,0,0
1,0,1,0,2,41,-23,7,63,-8,6,0,0,1,0,0,0,0,0,0
1,1,0,0,-1,-20,16,8,57,7,-1,0,0,1,0,1,0,0,0,0
-1,1,-1,0,0,3,-4,0,5,0,4,0,0,1,0,0,0,0,1,0
1,1,0,0,0,24,-4,5,16,-24,0,0,0,1,0,0,0,1,0,0
1,-1,0,0,-2,26,-9,-2,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,27,0,4,12,-3,1,0,0,1,0,0,0,0,0,0
1,0,0,0,2,36,-11,3,16,-3,5,0,0,1,0,0,0,0,0,0
-1,-1,1,0,0,42,-1,2,-13,-3,1,0,0,1,0,0,0,0,0,0
1,1,0,0,-1,27,-10,1,11,-5,0,0,0,1,0,0,1,0,0,0
-1,1,0,0,1,-3,16,1,-16,-5,0,0,0,1,0,1,0,0,0,0
-1,0,0,0,1,-9,0,-2,-10,2,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-2,-30,0,-1,-28,-6,2,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,22,7,-1,-4,22,-4,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,15,0,-5,-10,-11,2,0,0,1,0,0,0,0,0,0
1,1,1,0,1,56,14,5,37,7,1,0,0,1,0,0,0,0,0,1
1,0,1,0,1,24,4,4,23,0,2,0,0,1,0,0,0,0,0,0
1,0,1,0,0,11,20,2,8,-1,1,0,0,1,0,0,0,0,0,0
-1,1,1,0,2,26,-12,9,10,-15,20,0,0,1,1,0,0,0,0,0
-1,1,1,0,-1,-10,23,2,12,4,-1,0,0,1,0,0,1,0,0,0
-1,-1,0,0,-1,-59,4,0,-2,65,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,-4,-4,0,7,6,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,1,8,-12,5,4,-81,-2,0,0,1,0,0,0,0,0,0
1,0,-1,0,0,-3,-8,-2,-6,5,-4,0,0,1,0,0,0,0,0,0
1,0,1,0,2,-5,23,4,12,-4,0,0,0,1,0,0,0,0,0,0
-1,1,-1,0,0,1,16,0,-1,7,1,0,0,1,0,0,0,0,1,0
-1,0,-1,0,-1,9,-11,-3,-3,-1,1,0,0,1,0,0,0,0,0,0
1,-1,1,0,4,27,7,4,2,4,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,0,30,12,-1,-20,-5,3,0,0,1,0,0,0,0,0,0
1,0,1,0,2,8,16,3,27,-69,1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,0,-7,7,-1,-13,-3,0,0,0,1,0,0,0,0,0,0
-1,1,0,0,0,7,-4,4,20,-1,-1,0,0,1,1,0,0,0,0,0
1,1,1,0,4,54,4,7,46,0,0,0,0,1,0,0,0,1,0,0
1,1,0,0,-1,-34,5,-1,-4,10,1,0,0,1,1,0,0,0,0,0
1,1,0,0,2,-37,24,7,57,1,-3,0,0,1,0,0,0,1,0,0
1,-1,1,0,1,20,-21,3,8,-2,-1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-4,-20,-20,-4,-4,-33,20,0,0,1,0,0,0,0,0,0
-1,-1,0,0,0,14,-7,-2,-26,90,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,-3,-31,-3,-4,-17,-6,1,0,0,1,0,0,0,0,0,0
1,1,0,0,3,26,4,11,37,4,-1,0,0,1,1,0,0,0,0,0
-1,0,0,0,0,-4,4,8,20,29,-2,0,0,1,0,0,0,0,0,0
1,0,-1,0,2,42,0,2,-4,-4,-2,0,0,1,0,0,0,0,0,0
1,0,1,0,1,-21,25,-3,-7,2,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,0,-4,2,5,34,2,-1,0,0,1,0,0,0,0,0,0
1,-1,1,0,1,27,14,-1,5,-6,13,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,-20,-8,1,-2,-2,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,7,-15,0,33,-3,1,0,0,1,0,0,0,0,0,0
-1,1,1,0,-1,-10,0,-7,-20,-20,0,0,0,1,0,0,0,1,0,0
1,0,0,0,1,18,-11,3,22,15,1,0,0,1,0,0,0,0,0,0
-1,1,-1,0,2,-33,0,0,0,9,-6,0,0,1,0,0,0,0,1,0
-1,0,0,0,2,20,0,-1,-5,4,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-21,4,3,4,4,-3,0,0,1,0,0,0,0,0,0
