Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,1,-1,0,0,29,6,5,20,-22,-1,0,0,1,0,0,0,0,0,1
1,1,1,0,1,3,-8,2,19,-1,1,0,0,1,0,0,0,0,1,0
1,0,1,0,2,56,-7,5,25,3,3,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,-23,-3,-6,-50,6,2,0,0,1,0,0,0,0,0,0
1,0,0,0,0,42,-16,5,28,26,-2,0,0,1,0,0,0,0,0,0
-1,1,1,0,3,87,11,3,21,21,4,0,0,1,0,0,0,1,0,0
1,1,0,0,2,-21,9,9,42,1,2,0,0,1,0,0,1,0,0,0
1,0,1,0,1,6,-8,4,13,0,-3,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,-7,-4,3,15,0,4,0,0,1,0,0,0,0,0,1
-1,0,1,0,1,-13,8,2,-21,1,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,3,30,3,5,20,5,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,-2,-19,-24,2,24,9,0,0,0,1,1,0,0,0,0,0
1,0,1,0,-1,-4,5,2,21,-6,-1,0,0,1,0,0,0,0,0,0
-1,-1,1,0,-2,19,-19,-3,12,-28,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-20,0,5,46,-1,-4,0,0,1,0,0,0,0,0,0
-1,1,1,0,-1,-25,-21,-6,-38,-23,-1,0,0,1,0,0,0,0,0,1
-1,-1,-1,0,-1,-22,2,-2,42,6,2,0,0,1,0,0,0,0,0,0
1,0,1,0,-1,9,0,1,1,-4,1,0,0,1,0,0,0,0,0,0
-1,-1,1,1,1,46,-1,-2,16,-11,3,0,1,1,0,0,0,0,0,0
1,-1,1,0,0,29,23,4,14,17,1,0,0,1,0,0,0,0,0,0
1,0,0,0,3,42,13,9,19,243,-3,0,0,1,0,0,0,0,0,0
1,-1,0,0,1,35,-4,2,14,3,-3,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,36,-17,3,33,-5,4,0,0,1,0,0,0,0,0,0
-1,0,1,0,3,57,-10,3,1,26,-4,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-2,-35,0,-4,0,-2,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,18,5,-1,-9,-3,2,0,0,1,0,0,0,0,0,0
1,0,1,0,5,26,14,14,59,6,2,0,0,1,0,0,0,0,0,0
-1,1,-1,0,2,2,-2,-4,-25,23,1,0,0,1,0,0,0,0,0,1
-1,0,1,0,0,-37,4,1,-18,5,-3,0,0,1,0,0,0,0,0,0
-1,-1,1,0,0,-27,4,0,-20,2,-1,0,0,1,0,0,0,0,0,0
1,1,0,0,3,8,-7,4,4,-15,0,0,0,1,0,0,0,0,0,1
1,0,-1,0,-2,22,-10,1,14,0,-4,0,0,1,0,0,0,0,0,0
1,0,1,0,2,41,1,4,22,-5,2,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-1,-12,1,0,0,6,1,0,0,1,0,1,0,0,0,0
-1,0,1,0,-2,-43,20,0,-4,-2,-3,0,0,1,0,0,0,0,0,0
1,1,-1,0,3,50,16,2,-10,2,2,0,0,1,0,0,0,1,0,0
-1,-1,1,0,0,-19,-3,0,-12,-22,12,0,0,1,0,0,0,0,0,0
1,0,1,0,-1,10,0,1,-3,1,3,0,0,1,0,0,0,0,0,0
-1,0,-1,0,1,38,6,0,-15,4,-5,0,0,1,0,0,0,0,0,0
1,0,1,0,1,20,-20,7,34,-1,-4,0,0,1,0,0,0,0,0,0
1,0,1,0,0,18,-12,2,0,-7,3,0,0,1,0,0,0,0,0,0
1,0,1,0,1,-7,6,4,16,-2,1,0,0,1,0,0,0,0,0,0
1,0,1,0,3,-9,24,-1,-13,-14,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,10,-4,1,9,-10,-3,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-2,-46,-3,2,-1,0,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,0,16,5,0,-9,8,-5,0,0,1,0,0,0,0,0,0
1,1,-1,0,2,-7,11,7,54,-3,4,0,0,1,0,0,0,1,0,0
1,0,0,0,-1,7,4,5,45,-9,-1,0,0,1,0,0,0,0,0,0
1,1,-1,0,-2,-17,-20,2,29,5,1,0,0,1,0,0,0,0,1,0
-1,0,-1,0,1,-21,4,7,50,3,2,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,4,62,-4,6,45,2,1,0,0,1,0,0,0,0,0,0
1,0,0,0,2,23,0,6,39,-24,8,0,0,1,0,0,0,0,0,0
1,1,0,0,1,15,0,1,-7,-4,1,0,0,1,0,0,0,0,1,0
-1,1,1,0,-1,-17,1,0,-6,2,1,0,0,1,0,0,0,0,0,1
-1,0,1,0,1,-6,2,4,10,-15,0,0,0,1,0,0,0,0,0,0
0,-1,1,0,5,4,3,0,0,6,-3,0,0,1,0,0,0,0,0,0
-1,1,0,0,2,-36,8,-1,0,2,0,0,0,1,0,0,0,0,1,0
-1,0,-1,0,0,35,9,-2,-21,-9,-2,0,0,1,0,0,0,0,0,0
1,1,0,0,2,17,5,3,0,10,-3,0,0,1,0,0,0,0,0,1
1,0,0,0,1,20,-5,7,36,0,4,0,0,1,0,0,0,0,0,0
1,1,1,0,1,16,14,4,5,3,-1,0,0,1,0,0,0,0,1,0
1,1,1,0,0,40,21,4,-20,16,-3,0,0,1,0,0,1,0,0,0
1,0,1,0,2,51,17,3,49,3,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,5,45,-7,11,41,6,2,0,0,1,0,0,0,0,0,0
1,0,0,0,5,43,13,9,38,5,1,0,0,1,0,0,0,0,0,0
1,1,1,0,3,3,17,5,41,-1,3,0,0,1,0,0,0,1,0,0
1,0,-1,0,0,37,-16,4,13,5,-3,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,45,-7,4,-13,7,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,-21,5,-1,-9,-19,6,0,0,1,0,0,0,0,0,0
1,-1,0,0,0,-5,8,1,42,-1,5,0,0,1,0,0,0,0,0,0
1,0,0,0,3,30,0,3,1,-28,12,0,0,1,0,0,0,0,0,0
-1,1,-1,0,1,-2,-14,1,-9,2,-3,0,0,1,0,1,0,0,0,0
-1,0,0,0,-1,-13,-17,-3,-8,1,1,0,0,1,0,0,0,0,0,0
1,-1,0,0,-1,-7,18,1,-2,-15,2,0,0,1,0,0,0,0,0,0
1,0,1,0,1,46,-18,5,15,3,3,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,4,-4,3,-10,-7,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,3,33,4,8,39,0,1,0,0,1,0,0,0,0,0,0
1,1,1,0,1,-15,-3,10,61,-4,5,0,0,1,0,0,1,0,0,0
1,1,1,0,1,-1,32,0,-23,2,1,0,0,1,0,0,0,0,1,0
-1,-1,1,0,1,34,2,-1,-5,5,-5,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,-3,5,1,-4,20,-5,0,0,1,0,0,0,0,0,0
1,1,-1,0,3,13,12,6,23,-1,4,0,0,1,0,0,1,0,0,0
1,-1,-1,0,-2,-19,-24,1,27,-17,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,0,13,2,0,-7,2,0,0,1,0,0,0,0,0,0
1,0,1,0,2,16,-20,7,49,1,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-15,-7,3,21,11,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,2,44,12,2,4,-14,5,0,0,1,0,0,0,0,0,0
1,0,1,1,1,17,0,10,69,6,0,0,1,1,0,0,0,0,0,0
-1,0,1,0,-1,-38,12,-1,-13,-8,2,0,0,1,0,0,0,0,0,0
-1,1,1,0,1,-5,11,2,13,0,-2,0,0,1,0,0,0,1,0,0
1,0,0,0,0,21,24,-1,5,0,-1,0,0,1,0,0,0,0,0,0
1,-1,1,0,4,30,23,9,27,3,0,0,0,1,0,0,0,0,0,0
1,0,-1,0,-1,-4,-21,4,22,-1,-3,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,53,-20,14,51,2,1,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,27,-23,4,29,-12,-6,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-1,27,-12,-1,-2,-20,6,0,0,1,1,0,0,0,0,0
1,0,1,0,3,-19,12,3,34,0,-3,0,0,1,0,0,0,0,0,0
-1,-1,1,0,2,29,-15,4,25,-6,-2,0,0,1,0,0,0,0,0,0
1,0,0,1,4,-16,0,15,66,3,1,0,1,1,0,0,0,0,0,0
1,1,-1,0,2,19,-6,4,-2,0,-1,0,0,1,0,0,0,0,1,0
-1,-1,1,0,0,-18,1,-3,-15,1,1,0,0,1,0,0,0,0,0,0
1,1,0,0,0,-2,0,-1,13,-7,4,0,0,1,0,0,0,1,0,0
1,0,1,0,1,29,-8,6,-2,0,-2,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-3,-10,4,-4,-7,2,2,0,0,1,0,0,1,0,0,0
-1,0,-1,0,-1,-54,-9,0,4,-2,-3,0,0,1,0,0,0,0,0,0
1,-1,0,0,1,64,-13,1,-17,-1,0,0,0,1,0,0,0,0,0,0
1,1,1,0,2,21,7,9,52,6,-3,0,0,1,0,0,0,0,0,1
-1,0,1,0,-1,4,-16,1,0,12,-3,0,0,1,0,0,0,0,0,0
-1,0,1,0,1,7,5,2,2,-17,-6,0,0,1,0,0,0,0,0,0
-1,-1,1,1,3,4,-6,3,17,-14,2,0,1,1,0,0,0,0,0,0
1,-1,0,0,-1,5,2,4,0,1,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,0,-26,7,3,18,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,0,-6,5,19,-86,0,0,0,1,0,0,0,0,0,0
1,1,1,0,-1,-5,4,8,56,5,-1,0,0,1,1,0,0,0,0,0
1,1,0,0,0,-1,-3,2,11,3,-1,0,0,1,0,0,1,0,0,0
1,0,1,0,1,-23,12,1,9,2,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-2,-14,-4,-3,-10,-17,0,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-1,-21,16,0,-23,3,-1,0,0,1,0,1,0,0,0,0
1,0,-1,0,2,34,8,0,6,0,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,3,42,3,5,39,2,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,1,17,-15,1,0,-24,5,0,0,1,0,0,0,0,0,0
1,1,0,0,0,17,19,3,14,2,-1,0,0,1,0,0,0,0,1,0
1,0,0,0,1,-18,-5,1,2,-4,0,0,0,1,0,0,0,0,0,0
1,0,0,0,2,-2,8,0,3,-2,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,2,-7,13,39,-2,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,2,-6,19,8,27,10,5,0,0,1,0,0,0,0,0,0
1,0,1,0,0,22,-16,6,13,5,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,2,3,6,25,-1,4,0,0,1,0,0,0,0,0,0
-1,-1,1,0,0,24,-12,1,-6,-21,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-28,-8,5,33,6,3,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,-1,-47,-5,-7,-34,26,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,4,37,1,11,27,1,4,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,-38,2,4,22,-10,0,0,0,1,0,0,0,0,0,0
-1,0,-1,0,2,-6,2,11,63,-30,1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-2,-45,-16,0,-3,2,-4,0,0,1,0,0,0,0,0,0
1,1,1,0,2,-9,30,1,-8,21,2,0,0,1,1,0,0,0,0,0
1,1,-1,1,1,-1,4,3,9,-17,-2,0,1,1,0,0,0,1,0,0
-1,0,1,0,0,15,4,2,42,-15,-3,0,0,1,0,0,0,0,0,0
1,-1,-1,0,0,35,-4,4,39,8,-2,0,0,1,0,0,0,0,0,0
1,1,-1,0,3,13,0,5,11,26,0,0,0,1,0,0,0,1,0,0
-1,0,1,0,4,-10,32,6,-2,-2,1,0,0,1,0,0,0,0,0,0
1,1,1,0,1,-6,15,5,38,10,0,0,0,1,0,0,1,0,0,0
-1,0,-1,0,-1,-54,-8,1,-7,-3,3,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-1,10,-6,2,0,-4,5,0,0,1,0,0,0,0,0,1
1,1,1,0,1,13,-8,5,29,5,-2,0,0,1,0,0,0,0,1,0
1,-1,1,0,0,16,0,1,-6,-2,3,0,0,1,0,0,0,0,0,0
-1,-1,1,0,2,-16,4,-5,-25,-2,-2,0,0,1,0,0,0,0,0,0
1,1,0,0,2,33,14,3,21,-22,5,0,0,1,0,0,0,1,0,0
1,1,-1,0,3,56,4,2,-4,-3,6,0,0,1,0,0,1,0,0,0
-1,1,-1,0,-2,-4,11,-4,-37,-2,2,0,0,1,0,0,0,0,0,1
1,1,1,0,3,44,8,7,37,28,-1,0,0,1,1,0,0,0,0,0
1,1,-1,0,0,-17,-2,6,-8,0,5,0,0,1,0,0,0,0,0,1
1,1,-1,0,0,32,-4,2,13,6,-3,0,0,1,0,0,0,0,0,1
1,0,1,0,1,-1,20,1,-11,2,-2,0,0,1,0,0,0,0,0,0
1,0,1,0,5,35,-4,9,24,7,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,14,1,1,3,-22,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,0,33,-21,-4,-9,-6,3,0,0,1,0,0,0,0,0,0
1,1,1,0,-1,-5,9,1,25,4,2,0,0,1,0,1,0,0,0,0
1,0,0,0,0,-17,-21,8,94,6,-3,0,0,1,0,0,0,0,0,0
-1,-1,0,0,2,-19,1,1,-4,0,-2,0,0,1,0,0,0,0,0,0
1,0,1,0,1,8,19,5,43,2,2,0,0,1,0,0,0,0,0,0
1,0,0,0,0,12,-12,6,18,1,-3,0,0,1,0,0,0,0,0,0
1,0,1,0,3,15,-22,12,83,-5,3,0,0,1,0,0,0,0,0,0
1,0,-1,0,0,-37,7,4,26,-3,1,0,0,1,0,0,0,0,0,0
1,0,-1,0,2,11,1,4,20,-9,2,0,0,1,0,0,0,0,0,0
1,-1,-1,0,-3,-1,-4,-1,-5,49,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,1,37,4,6,52,4,1,0,0,1,0,0,0,0,0,0
-1,-1,1,0,1,-30,6,-1,2,28,-1,0,0,1,0,0,0,0,0,0
1,1,0,0,0,-35,18,-4,-24,2,-1,0,0,1,0,0,1,0,0,0
-1,0,0,0,-1,6,-18,-7,-9,-3,2,0,0,1,0,0,0,0,0,0
1,1,0,0,1,39,0,0,-13,-3,-2,0,0,1,0,0,0,1,0,0
1,0,1,0,1,4,16,4,10,1,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,25,15,0,8,-5,1,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,0,-1,-2,-10,-30,-4,0,0,1,0,0,0,0,0,0
-1,1,1,0,3,-18,4,8,30,-1,0,0,0,1,0,0,0,1,0,0
-1,-1,1,0,3,22,-1,0,0,1,4,0,0,1,0,0,0,0,0,0
1,-1,0,0,2,-50,16,5,-7,19,-4,0,0,1,0,0,0,0,0,0
1,-1,-1,0,0,-2,-21,3,10,-6,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,51,0,4,4,-15,-3,0,0,1,0,0,0,0,0,0
1,0,-1,0,0,16,-11,6,38,-10,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,3,24,3,30,8,-3,0,0,1,0,0,0,0,0,0
1,1,1,0,2,17,20,-2,-7,-3,-2,0,0,1,0,0,0,0,1,0
1,0,1,0,3,39,8,7,26,-4,2,0,0,1,0,0,0,0,0,0
1,-1,-1,0,4,-5,28,4,26,22,1,0,0,1,0,0,0,0,0,0
1,1,-1,1,1,28,-32,5,38,4,0,0,1,1,0,1,0,0,0,0
-1,0,-1,0,0,18,-14,-3,-20,-27,-3,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-1,35,-5,-2,3,3,0,0,0,1,1,0,0,0,0,0
1,0,1,0,-2,-8,8,-1,-16,-5,4,0,0,1,0,0,0,0,0,0
1,0,1,0,2,29,8,9,61,3,-2,0,0,1,0,0,0,0,0,0
1,0,1,0,1,17,-1,4,29,5,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,30,-1,2,8,-9,-2,0,0,1,0,0,0,0,0,0
-1,0,1,0,2,52,8,3,-5,24,-1,0,0,1,0,0,0,0,0,0
-1,1,1,0,2,19,26,4,18,-1,-2,0,0,1,0,1,0,0,0,0
1,-1,1,0,0,-18,-4,2,19,6,-1,0,0,1,0,0,0,0,0,0
1,-1,1,0,4,34,8,12,56,-6,4,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,59,15,4,2,-70,1,0,0,1,0,0,0,0,0,1
1,1,0,0,2,61,16,8,23,-18,4,0,0,1,1,0,0,0,0,0
-1,1,-1,0,-1,19,-6,-2,-25,2,-1,0,0,1,0,0,0,1,0,0
-1,-1,1,0,0,1,4,-1,2,-10,1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,8,12,-1,-25,-4,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,42,0,-2,-24,1,-2,0,0,1,0,0,0,0,0,0
1,1,0,0,1,45,27,-1,-29,-1,-2,0,0,1,0,1,0,0,0,0
1,0,-1,0,-1,43,-7,2,55,3,-4,0,0,1,0,0,0,0,0,0
-1,1,-1,0,0,26,-9,5,31,3,-1,0,0,1,0,0,0,0,1,0
-1,-1,1,0,0,2,15,-4,9,-11,3,0,0,1,0,0,0,0,0,0
1,0,-1,0,1,3,-7,6,41,-1,-1,0,0,1,0,0,0,0,0,0
1,0,1,0,1,32,-8,3,31,-1,0,0,0,1,0,0,0,0,0,0
1,-1,-1,0,-3,16,-28,-2,-31,3,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,5,43,32,8,22,12,-1,0,0,1,1,0,0,0,0,0
-1,0,0,0,0,-8,-24,7,2,4,-3,0,0,1,0,0,0,0,0,0
-1,0,1,0,-1,30,-16,1,43,1,-2,0,0,1,0,0,0,0,0,0
1,0,1,0,3,-27,24,7,13,2,-1,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,-10,7,3,4,-22,2,0,0,1,0,0,0,0,1,0
-1,0,-1,0,1,43,-12,5,-7,-165,1,0,0,1,0,0,0,0,0,0
1,0,1,0,2,-8,10,6,43,20,-1,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,6,-1,4,42,-1,5,0,0,1,0,0,0,0,0,0
1,-1,1,0,-1,-6,10,2,10,3,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,2,6,9,4,21,3,-4,0,0,1,1,0,0,0,0,0
-1,-1,-1,0,0,-10,-16,-2,1,-1,0,0,0,1,0,0,0,0,0,0
-1,1,1,0,0,-8,9,5,12,19,0,0,0,1,0,0,0,1,0,0
-1,1,-1,0,2,-13,20,3,17,12,1,0,0,1,0,0,0,1,0,0
-1,0,-1,0,0,-44,3,-2,20,-21,-3,0,0,1,0,0,0,0,0,0
-1,-1,1,0,3,8,23,3,8,-7,4,0,0,1,0,0,0,0,0,0
1,1,1,0,0,22,10,3,17,0,1,0,0,1,0,0,1,0,0,0
-1,-1,-1,0,-1,-10,-17,2,13,-13,1,0,0,1,0,0,0,0,0,0
-1,0,1,1,2,23,6,3,6,0,4,0,1,1,0,0,0,0,0,0
1,0,-1,0,3,0,7,4,27,5,-4,0,0,1,0,0,0,0,0,0
-1,1,1,0,2,4,19,1,-12,3,2,0,0,1,0,0,0,0,1,0
1,0,0,0,3,25,0,5,42,47,0,0,0,1,0,0,0,0,0,0
1,0,1,0,2,42,-4,6,41,-27,4,0,0,1,0,0,0,0,0,0
1,1,-1,0,2,-16,-8,4,38,-19,3,0,0,1,1,0,0,0,0,0
1,1,1,0,2,-22,16,4,31,2,-2,0,0,1,0,0,0,0,0,1
1,-1,0,0,2,47,-12,3,16,4,0,0,0,1,0,0,0,0,0,0
-1,1,1,0,3,20,13,5,15,21,-10,0,0,1,0,0,0,1,0,0
1,1,-1,0,1,24,12,1,35,7,1,0,0,1,0,0,0,0,1,0
-1,0,0,0,2,63,4,1,8,6,4,0,0,1,0,0,0,0,0,0
1,1,1,1,0,19,6,-1,-17,-23,3,0,1,1,0,1,0,0,0,0
1,1,-1,1,2,-19,8,9,65,-16,-8,0,1,1,0,0,1,0,0,0
-1,1,-1,0,0,14,8,1,2,-2,3,0,0,1,0,0,0,0,1,0
-1,0,-1,0,-2,5,-8,-7,-58,1,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,1,46,-18,6,23,4,1,0,0,1,0,0,0,0,0,0
1,0,1,0,0,-20,16,6,37,-1,1,0,0,1,0,0,0,0,0,0
1,1,-1,0,0,37,-1,5,33,5,-4,0,0,1,0,0,0,0,1,0
-1,1,-1,0,1,12,8,5,24,-30,1,0,0,1,1,0,0,0,0,0
-1,0,1,0,4,44,7,11,29,-40,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,1,34,5,9,71,20,1,0,0,1,0,0,1,0,0,0
-1,1,0,0,1,-1,11,5,36,10,-4,0,0,1,0,0,0,1,0,0
1,1,1,0,2,40,9,9,66,9,-2,0,0,1,0,0,0,1,0,0
-1,0,-1,0,-1,2,-14,5,23,-2,-4,0,0,1,0,0,0,0,0,0
1,-1,1,0,-2,-3,-12,2,-4,-122,2,0,0,1,0,0,0,0,0,0
-1,0,0,0,3,3,-8,7,15,-16,1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-16,-12,9,37,6,-3,0,0,1,0,0,0,0,0,0
1,1,-1,-1,1,64,8,4,12,7,-3,0,-1,1,0,0,0,0,0,1
-1,1,1,0,2,-33,-8,4,17,17,7,0,0,1,0,0,0,1,0,0
1,1,-1,0,3,41,-9,7,32,1,-2,0,0,1,0,0,0,1,0,0
1,0,1,0,0,-10,8,-1,8,2,5,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,-10,12,0,9,-2,1,0,0,1,0,0,1,0,0,0
-1,0,0,0,-1,7,-8,-3,23,-7,3,0,0,1,0,0,0,0,0,0
-1,1,-1,0,3,27,41,-4,-13,-9,3,0,0,1,0,0,0,1,0,0
1,1,-1,0,-1,24,0,-1,12,-3,0,0,0,1,0,0,0,0,1,0
-1,0,-1,0,-2,10,-5,0,-1,0,3,0,0,1,0,0,0,0,0,0
-1,1,1,0,1,17,11,0,-8,-3,4,0,0,1,0,0,0,1,0,0
-1,0,1,0,2,-29,4,5,41,-6,3,0,0,1,0,0,0,0,0,0
1,1,-1,0,1,23,28,6,62,-8,0,0,0,1,0,0,0,0,1,0
-1,-1,0,0,-1,-21,-20,-4,-7,0,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,0,38,5,2,-10,-17,-2,0,0,1,1,0,0,0,0,0
1,-1,-1,0,-1,-15,4,2,0,-6,-5,0,0,1,0,0,0,0,0,0
-1,1,1,0,-1,26,-8,5,57,-1,-1,0,0,1,0,0,0,0,0,1
1,1,-1,0,3,25,16,1,-2,-4,-3,0,0,1,0,1,0,0,0,0
-1,-1,-1,0,3,59,-5,5,31,-20,21,0,0,1,0,0,0,0,0,0
-1,1,-1,0,-3,12,-7,3,15,3,1,0,0,1,0,0,0,0,1,0
-1,0,1,0,3,45,21,2,-12,12,-1,0,0,1,0,0,0,0,0,0
-1,-1,1,0,-1,-26,-8,-3,7,-2,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,2,52,-18,10,50,32,2,0,0,1,0,0,0,0,1,0
-1,1,0,0,1,2,-7,3,16,-8,-3,0,0,1,0,0,0,1,0,0
1,-1,-1,0,1,19,3,0,21,21,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,14,-8,4,17,1,5,0,0,1,0,0,0,0,0,0
-1,-1,1,0,2,41,8,-3,-2,-7,-2,0,0,1,0,0,0,0,0,0
1,1,-1,0,-1,-5,-3,-2,7,30,0,0,0,1,0,0,0,1,0,0
1,1,-1,0,1,21,-2,4,-1,-8,2,0,0,1,0,0,1,0,0,0
1,0,0,0,1,6,-3,2,-5,23,-1,0,0,1,0,0,0,0,0,0
1,0,-1,1,1,-6,-8,1,0,-15,-2,0,1,1,0,0,0,0,0,0
1,0,1,0,2,29,-11,2,54,7,1,0,0,1,0,0,0,0,0,0
1,-1,1,0,1,40,16,0,0,0,-3,0,0,1,0,0,0,0,0,0
-1,-1,-1,0,-2,-20,4,-2,-17,-2,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-12,-7,5,12,8,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,19,-4,3,2,-8,3,0,0,1,1,0,0,0,0,0
1,0,1,0,4,-6,-8,4,-5,4,3,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,22,-19,-4,-20,-19,1,0,0,1,0,0,0,0,0,0
1,0,0,0,3,33,7,11,54,-4,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,8,5,-3,-15,4,-2,0,0,1,1,0,0,0,0,0
-1,0,1,0,1,-25,4,6,29,-18,2,0,0,1,0,0,0,0,0,0
-1,0,1,0,3,17,-5,8,23,6,-1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,1,27,0,-1,-24,-1,3,0,0,1,0,0,0,0,0,0
-1,-1,0,0,2,-8,0,4,40,0,1,0,0,1,0,0,0,0,0,0
1,0,0,0,1,17,-5,2,-7,-16,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,41,3,2,22,-23,0,0,0,1,0,0,0,0,0,0
1,-1,0,1,1,54,-26,5,45,22,0,0,1,1,0,0,0,0,0,0
-1,1,0,0,0,4,4,6,53,0,-4,0,0,1,0,0,0,1,0,0
-1,1,0,0,-1,21,-8,-1,-7,3,3,0,0,1,0,0,0,1,0,0
-1,-1,1,1,2,-3,3,-2,-42,-2,-3,0,1,1,0,0,0,0,0,0
1,0,1,0,1,35,-8,-1,14,1,4,0,0,1,0,0,0,0,0,0
1,1,0,0,1,-5,15,7,59,2,0,0,0,1,0,0,0,1,0,0
-1,0,1,0,1,6,-12,-2,-18,8,-2,0,0,1,0,0,0,0,0,0
1,0,1,0,2,38,-9,1,13,14,0,0,0,1,0,0,0,0,0,0
