Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,0,0,0,2,15,12,4,18,89,6,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,-17,4,0,-17,-1,1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,-1,-8,0,2,11,-6,1,0,0,1,0,0,0,0,0,0
1,0,0,0,-3,-3,24,-5,17,-4,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,-4,3,3,-6,-4,-1,0,0,1,0,0,0,0,0,0
-1,-1,0,0,2,40,0,5,22,31,-18,0,0,1,0,0,0,0,0,0
1,1,0,0,0,45,12,-4,-20,11,0,0,0,1,0,0,0,0,1,0
-1,0,-1,0,-1,19,-16,-2,-12,3,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,-2,-7,0,-6,-5,-79,-1,0,0,1,0,0,0,0,0,0
-1,0,1,0,1,24,0,1,0,18,-5,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,-9,10,-3,-5,-4,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,3,26,15,6,-1,-2,-2,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,-27,-8,6,15,-5,0,0,0,1,0,0,0,0,0,0
1,-1,0,0,3,-8,7,11,53,-7,-3,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,6,16,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1,6,0,3,17,1,1,0,0,1,0,0,0,0,0,0
1,1,0,0,1,-73,-20,9,35,-1,1,0,0,1,0,0,1,0,0,0
-1,-1,0,0,-1,50,-13,-6,9,17,-1,0,0,1,0,0,0,0,0,0
1,1,1,0,2,17,4,6,32,-65,-2,0,0,1,0,0,0,1,0,0
-1,0,0,0,1,-16,8,2,18,-10,-1,0,0,1,0,0,0,0,0,0
1,-1,-1,0,0,-38,-24,1,18,-2,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,1,1,-8,2,13,5,1,0,0,1,0,0,0,0,0,0
-1,0,-1,0,-1,-7,-24,-5,-3,1,0,0,0,1,0,0,0,0,0,0
1,1,0,0,3,-5,32,5,4,-84,-1,0,0,1,0,0,0,1,0,0
