Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,1,0,0,2,3,16,6,40,4,3,0,0,1,0,1,0,0,0,0
1,1,0,0,2,52,32,3,24,-28,6,0,0,1,1,0,0,0,0,0
-1,-1,0,0,-3,-31,-20,-2,-12,-20,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-5,-7,2,3,6,2,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,-8,9,7,10,4,0,0,0,1,0,0,0,0,0,1
1,0,1,0,1,19,-11,6,35,5,-3,0,0,1,0,0,0,0,0,0
1,1,0,0,-1,4,30,2,18,1,-1,0,0,1,0,0,0,0,0,1
1,0,-1,0,-1,16,0,-2,-4,2,-1,0,0,1,0,0,0,0,0,0
1,1,0,0,2,27,20,2,-14,4,0,0,0,1,1,0,0,0,0,0
1,0,0,0,1,43,4,3,34,-1,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,3,12,-1,-3,-6,2,0,0,1,0,0,0,0,0,0
-1,-1,0,0,1,-20,10,-6,-37,-1,0,0,0,1,0,0,0,0,0,0
1,1,0,0,3,62,16,7,24,3,2,0,0,1,0,0,1,0,0,0
-1,1,-1,0,0,1,9,3,5,4,1,0,0,1,0,0,1,0,0,0
-1,-1,1,0,1,-1,-11,9,28,5,0,0,0,1,0,0,0,0,0,0
1,0,1,0,-1,0,0,0,5,0,-5,0,0,1,0,0,0,0,0,0
1,0,0,0,0,22,8,0,-6,12,0,0,0,1,0,0,0,0,0,0
-1,0,1,0,1,23,0,4,22,0,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,38,-18,2,10,-1,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,-65,12,0,-23,-15,0,0,0,1,0,0,0,0,0,0
