Diff_FirstBLOOD,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_LV,Diff_CS,Diff_jglCS,Diff_Kill,Diff_Asisst,Diff_WARDplaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,result,FirstDragon_AIR_DRAGON,FirstDragon_EARTH_DRAGON,FirstDragon_FIRE_DRAGON,FirstDragon_WATER_DRAGON,FirstDragon_HEXTECH_DRAGON,FirstDragon_CHEMTECH_DRAGON
1,0,-1,0,1,24,28,1,-18,161,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,0,-49,7,0,-9,3,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,3,2,8,3,2,23,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,17,4,1,34,-1,1,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,-42,-12,-2,7,2,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-2,-23,-12,-1,-3,-5,2,0,0,1,0,0,0,0,0,0
1,1,0,0,1,6,-4,4,-4,3,0,0,0,1,0,1,0,0,0,0
1,0,1,0,-1,21,-9,-1,9,-198,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,0,4,-4,-3,-12,-1,-2,0,0,1,0,0,0,0,0,0
-1,0,-1,0,0,10,0,0,-6,11,0,0,0,1,0,0,0,0,0,0
-1,0,0,0,2,-35,11,0,-81,1,-3,0,0,1,0,0,0,0,0,0
1,0,0,0,2,-23,8,2,16,74,4,0,0,1,0,0,0,0,0,0
-1,0,0,0,-1,-54,-8,0,-3,9,-4,0,0,1,0,0,0,0,0,0
-1,0,0,0,0,-18,16,4,-16,1,-1,0,0,1,0,0,0,0,0,0
1,1,-1,0,0,-18,-18,2,28,-6,2,0,0,1,0,0,1,0,0,0
1,1,1,0,2,17,3,1,-5,-5,0,0,0,1,0,0,0,1,0,0
1,0,1,1,5,78,8,11,34,-53,-4,0,1,1,0,0,0,0,0,0
1,1,0,0,3,23,8,7,16,4,1,0,0,1,0,0,0,0,0,1
1,0,0,0,1,-15,26,0,2,3,0,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,14,-25,1,47,-23,-1,0,0,1,0,0,0,0,0,0
1,0,0,0,-1,19,-8,3,2,8,0,0,0,1,0,0,0,0,0,0
1,1,0,0,0,-17,0,0,-17,4,-1,0,0,1,0,0,0,1,0,0
1,-1,1,0,3,79,0,5,10,1,3,0,0,1,0,0,0,0,0,0
-1,1,0,0,0,8,12,-1,-18,50,1,0,0,1,0,1,0,0,0,0
1,-1,0,0,2,15,0,3,13,6,-6,0,0,1,0,0,0,0,0,0
-1,1,0,0,1,17,12,1,0,250,0,0,0,1,0,1,0,0,0,0
1,-1,0,0,0,-3,-5,0,16,7,3,0,0,1,0,0,0,0,0,0
