matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6768755968,420,1,70,12,1,2,3,1,0,2,2,2,2,0,-4,0,4,1,3,2,0,-6,42,-8,9,1,-34,0,1,1,1,1,1,6,1
KR_6741544201,420,4,108,-12,8,3,4,1,-1,1,2,4,5,1,1,2,1,1,1,0,0,9,32,4,3,7,7,0,2,1,1,1,1,3,1
KR_6729016155,420,7,121,68,16,-2,3,5,8,9,1,4,5,1,2,2,0,4,6,2,1,17,149,1,3,4,-1,0,4,1,1,1,1,4,1
KR_6737134668,440,4,28,29,13,0,2,2,3,5,2,3,5,2,6,6,0,1,1,0,0,17,-9,6,2,8,-3,0,1,1,0,1,1,2,1
KR_6744536775,420,2,18,2,9,2,2,0,3,3,0,2,2,0,1,2,1,1,2,1,0,9,13,11,3,14,-3,0,1,1,1,1,1,3,1
KR_6742374938,420,3,25,-12,7,2,3,1,-2,0,2,1,4,3,6,7,1,0,0,0,0,9,-62,2,6,8,0,0,2,1,1,1,-1,3,1
KR_6773578802,420,0,4,29,0,-1,0,1,-2,1,3,2,3,1,3,6,3,-2,1,3,0,4,-155,4,3,7,-4,0,0,1,-1,0,1,3,1
KR_6777655621,420,2,7,9,6,2,6,4,2,5,3,0,2,2,-2,1,3,4,4,0,1,2,-5,0,7,7,5,0,3,-1,1,1,1,1,1
KR_6776869157,420,0,36,7,-6,-6,0,6,-5,1,6,2,3,1,0,1,1,3,3,0,0,0,-15,0,5,5,1,0,0,-1,1,1,-1,2,1
KR_6742365758,420,2,-29,-7,1,-1,2,3,-1,2,3,3,3,0,1,6,5,-1,1,2,0,9,5,-2,8,6,0,0,1,1,-1,1,-1,6,1
