matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6777109164,420,6,124,34,7,7,8,1,-1,1,2,4,4,0,-2,1,3,-1,0,1,0,-3,1,-1,10,9,5,0,1,1,1,1,1,3,1
KR_6777260164,420,1,31,23,4,6,7,1,-5,2,7,5,5,0,1,1,0,-3,0,3,0,0,-97,-1,6,5,-1,0,-1,1,1,-1,1,3,1
KR_6684456207,420,1,62,16,6,2,3,1,6,6,0,2,3,1,-3,0,3,-1,4,5,0,6,2,2,3,5,2,0,1,1,-1,1,1,2,1
KR_6718363220,420,1,42,5,8,-1,0,1,-1,1,2,6,7,1,3,3,0,1,4,3,0,14,11,0,4,4,6,0,0,1,-1,0,-1,5,1
KR_6769304724,420,0,-1,-25,-1,-2,0,2,-4,1,5,0,1,1,3,3,0,2,3,1,0,-1,-5,2,6,8,4,0,0,1,-1,1,1,2,1
KR_6759821468,420,6,37,18,12,7,7,0,4,4,0,0,2,2,1,4,3,0,0,0,0,9,9,9,4,13,-4,0,1,-1,1,1,1,2,1
KR_6773040100,420,0,10,41,0,-3,1,4,2,2,0,1,1,0,-1,1,2,1,3,2,0,-3,-12,-6,11,5,0,0,0,1,-1,0,1,4,1
KR_6775650347,420,7,70,41,12,-1,1,2,7,8,1,2,3,1,1,3,2,3,3,0,0,3,1,-4,8,4,2,0,1,1,1,1,1,4,1
KR_6775290402,440,-3,-51,-5,1,2,2,0,2,5,3,-1,0,1,-2,2,4,0,3,3,0,-1,-14,2,3,5,0,0,1,-1,1,1,1,4,1
KR_6768611353,420,0,10,1,2,-5,1,6,-2,2,4,4,6,2,2,5,3,3,4,1,0,10,-5,5,5,10,1,0,0,1,1,1,1,4,1
KR_6773578802,420,0,4,29,0,-1,0,1,-2,1,3,2,3,1,3,6,3,-2,1,3,0,4,-155,4,3,7,-4,0,0,1,-1,0,1,3,1
KR_6715734484,420,1,-5,-3,7,-1,0,1,6,8,2,0,3,3,2,4,2,0,1,1,0,8,5,2,7,9,2,0,0,-1,1,0,1,5,1
KR_6694163652,420,1,17,22,0,-4,1,5,-3,1,4,0,1,1,5,6,1,2,3,1,0,0,48,2,9,11,-5,0,0,1,1,1,-1,4,1
KR_6777733213,420,2,38,29,0,1,2,1,-1,2,3,1,3,2,-1,1,2,0,2,2,0,2,-49,0,8,8,17,0,0,1,1,1,1,3,1
KR_6765982425,420,-1,14,-12,-4,-6,0,6,2,3,1,-1,2,3,2,2,0,-1,0,1,0,1,-4,-5,10,5,7,0,0,1,-1,-1,1,4,1
KR_6771128610,420,2,13,7,3,0,3,3,-4,0,4,1,3,2,2,4,2,4,4,0,-1,-3,-3,-5,12,7,2,0,4,1,-1,1,-1,5,1
KR_6750174736,420,3,31,-9,6,-1,1,2,2,4,2,1,5,4,3,4,1,1,1,0,0,12,-7,1,5,6,6,0,0,-1,1,1,1,2,1
KR_6745999394,420,3,24,5,13,2,2,0,6,6,0,2,2,0,2,3,1,1,1,0,1,21,12,1,6,7,-4,0,1,1,1,1,1,1,1
KR_6769433281,420,4,-11,19,16,4,4,0,6,7,1,4,7,3,2,4,2,0,0,0,0,14,-3,1,7,8,-8,0,-1,1,-1,-1,1,1,1
KR_6740853092,420,3,41,40,5,1,3,2,7,8,1,-1,3,4,-3,3,6,1,2,1,1,7,-41,-5,10,5,6,0,0,-1,1,1,1,5,1
KR_6711607949,420,1,-5,-3,2,-1,1,2,0,7,7,1,2,1,4,8,4,-2,0,2,1,-3,-4,4,5,9,-2,0,-1,-1,-1,-1,1,5,1
KR_6726894674,440,0,42,4,2,1,1,0,2,3,1,-1,2,3,1,3,2,-1,1,2,0,2,-2,5,5,10,4,0,0,1,1,0,1,2,1
KR_6773131995,440,1,1,-40,5,2,2,0,-6,1,7,1,1,0,-1,1,2,9,10,1,0,6,-31,5,2,7,17,0,1,1,1,1,1,5,1
KR_6774656506,420,3,57,8,8,5,7,2,4,6,2,-4,1,5,1,3,2,2,2,0,0,3,2,5,4,9,-1,0,1,1,1,1,-1,1,1
KR_6714510043,420,-1,-24,-8,-5,-1,0,1,-2,2,4,1,3,2,-1,2,3,-2,1,3,0,-17,-8,1,7,8,-6,0,-1,1,-1,-1,-1,4,1
KR_6754622579,440,0,21,-12,1,5,5,0,3,6,3,-5,2,7,-1,1,2,-1,0,1,0,-4,-11,2,6,8,-3,0,0,1,-1,-1,-1,6,1
KR_6777336340,420,3,23,4,4,1,1,0,3,4,1,0,3,3,0,0,0,0,0,0,0,2,0,5,3,8,-4,0,1,1,1,1,1,6,1
