matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6721321230,420,1,12,-8,0,-1,1,2,2,3,1,-2,4,6,0,6,6,1,3,2,0,-3,-14,-8,9,1,3,0,0,1,-1,1,-1,5,1
KR_6767470085,420,0,-23,16,5,0,2,2,0,2,2,2,2,0,3,5,2,0,0,0,0,6,-6,-4,6,2,0,0,0,1,0,0,1,5,1
KR_6720994185,420,2,-5,21,3,-1,0,1,5,5,0,0,1,1,-2,0,2,1,1,0,0,1,4,0,4,4,-2,0,1,-1,1,1,1,4,1
KR_6690305376,420,4,39,31,1,-2,2,4,-3,0,3,8,8,0,0,2,2,-2,1,3,0,6,-2,7,5,12,1,0,0,-1,-1,-1,-1,4,1
KR_6767685143,420,2,45,-12,8,1,2,1,3,7,4,-2,3,5,6,8,2,0,4,4,-1,-2,10,-1,6,5,2,0,2,-1,1,1,-1,3,1
KR_6759883322,440,0,-17,-32,4,4,6,2,3,4,1,-2,1,3,-1,2,3,0,4,4,0,7,-12,-5,7,2,0,0,1,-1,-1,1,-1,5,1
KR_6718407588,440,0,-7,20,1,-5,1,6,2,6,4,4,4,0,0,1,1,0,0,0,-1,0,-35,0,7,7,11,0,-1,-1,1,-1,-1,3,1
KR_6758525148,420,4,46,4,8,-4,1,5,2,4,2,6,6,0,3,5,2,1,1,0,-1,13,33,-3,6,3,4,0,4,1,1,1,-1,3,1
KR_6700458363,420,6,30,55,17,-1,5,6,-1,0,1,6,6,0,13,13,0,0,1,1,1,28,5,0,6,6,0,0,3,1,1,1,1,5,1
KR_6742032649,440,0,-12,26,-1,-1,2,3,-1,3,4,4,5,1,-1,2,3,-2,0,2,0,-6,-214,3,6,9,2,0,0,1,1,1,1,6,1
KR_6672233349,440,-1,-26,-4,-7,-3,0,3,0,3,3,-2,2,4,-3,1,4,1,4,3,-2,-11,-125,-5,8,3,-2,0,-1,1,-1,-1,-1,3,1
KR_6751606846,420,4,63,-4,6,6,7,1,3,3,0,-1,2,3,-2,0,2,0,0,0,0,0,-4,1,4,5,-1,0,2,-1,1,1,-1,6,1
KR_6759488689,420,0,31,-4,0,1,1,0,-3,2,5,1,1,0,1,3,2,0,1,1,0,-3,-18,4,4,8,-2,0,0,-1,1,0,1,2,1
KR_6764553533,440,0,41,-12,1,-3,0,3,3,5,2,1,2,1,2,6,4,-2,0,2,0,2,3,-1,8,7,-1,0,0,1,-1,1,1,5,1
KR_6669580933,420,2,17,-10,7,2,2,0,3,4,1,3,3,0,-1,1,2,0,0,0,0,13,2,3,6,9,2,0,0,1,1,0,-1,2,1
KR_6710240722,420,-3,-28,-11,-5,1,2,1,0,4,4,0,2,2,-3,0,3,-3,0,3,0,-6,10,4,6,10,-12,0,-1,1,-1,-1,-1,5,1
KR_6764108806,420,1,-42,16,-3,-1,0,1,-1,4,5,2,3,1,-4,4,8,1,2,1,0,-3,-6,-2,10,8,2,0,0,1,-1,0,-1,2,1
KR_6618977646,420,-1,-15,18,3,-1,0,1,0,1,1,3,3,0,1,4,3,0,1,1,0,-1,-3,-2,5,3,4,0,0,1,1,0,-1,6,1
KR_6719363243,420,0,5,20,-3,2,3,1,-2,1,3,1,1,0,-3,2,5,-1,0,1,-1,-8,5,4,2,6,-6,0,1,1,1,1,-1,6,1
KR_6696370131,420,1,43,-8,-4,0,2,2,0,2,2,2,4,2,-5,2,7,-1,0,1,0,-4,0,1,3,4,0,0,2,-1,1,1,-1,6,1
KR_6692791022,420,-2,-24,0,4,1,4,3,1,2,1,2,2,0,-1,2,3,1,1,0,-1,4,36,0,7,7,0,0,0,1,1,1,-1,6,1
KR_6761592785,440,-3,-56,-5,-8,-5,1,6,-7,2,9,-2,0,2,6,7,1,0,3,3,0,-8,13,3,6,9,-2,0,-2,1,-1,-1,-1,6,1
KR_6765629536,420,0,23,7,7,2,2,0,4,5,1,-5,0,5,5,6,1,1,3,2,0,2,1,5,3,8,0,0,0,1,-1,1,1,4,1
KR_6752802417,420,4,17,-14,9,3,3,0,4,6,2,0,2,2,2,3,1,0,0,0,0,6,476,2,5,7,1,0,2,0,1,1,1,0,1
KR_6704461477,420,1,21,0,4,5,5,0,-3,2,5,2,2,0,0,1,1,0,1,1,0,0,8,1,4,5,0,0,1,-1,1,1,1,1,1
KR_6659833050,420,5,40,24,2,-1,3,4,1,3,2,3,5,2,0,4,4,-1,1,2,-2,0,2,-1,6,5,-3,0,2,1,-1,1,-1,6,1
KR_6690638120,420,0,37,-25,-6,-4,1,5,0,3,3,-2,0,2,1,4,3,-1,1,2,0,1,-5,0,6,6,3,0,0,-1,-1,-1,-1,5,1
KR_6762225507,420,0,5,30,1,1,2,1,-1,0,1,2,4,2,-3,2,5,2,3,1,0,0,0,-3,5,2,-2,0,1,0,1,1,-1,0,1
KR_6689093401,420,2,22,10,-2,-4,0,4,1,3,2,0,2,2,1,4,3,0,1,1,0,0,-21,-4,7,3,4,0,1,1,-1,-1,-1,1,1
KR_6739059912,420,0,35,-10,2,1,3,2,-1,3,4,2,3,1,1,1,0,-1,0,1,0,0,-3,5,4,9,6,0,0,-1,1,1,1,1,1
KR_6764542297,420,2,9,-28,10,3,3,0,5,6,1,-2,2,4,7,7,0,-3,0,3,0,16,6,1,6,7,-4,0,1,-1,1,1,-1,2,1
KR_6625328129,420,1,5,-9,-2,4,5,1,-3,0,3,-2,3,5,0,1,1,-1,1,2,0,-7,-24,8,1,9,-6,0,-1,-1,1,1,-1,3,1
KR_6753775015,420,2,13,13,3,-2,1,3,7,10,3,-3,1,4,0,3,3,1,3,2,1,18,4,0,5,5,-6,0,1,1,1,1,1,4,1
KR_6759631942,420,2,-11,20,1,0,2,2,2,4,2,-1,2,3,-2,2,4,2,2,0,0,-6,-5,-2,6,4,2,0,1,1,1,1,1,2,1
KR_6759070904,420,0,-21,12,1,-1,0,1,2,2,0,3,5,2,-1,1,2,-2,0,2,0,-2,111,-5,9,4,2,0,-1,1,1,-1,1,1,1
KR_6762358936,420,1,19,5,3,2,3,1,-4,0,4,5,6,1,0,1,1,0,1,1,0,-1,-3,-2,10,8,2,0,0,1,1,1,1,5,1
KR_6594680989,420,3,38,12,3,-4,0,4,4,6,2,-1,1,2,4,5,1,0,0,0,1,13,86,4,7,11,-14,0,1,-1,1,1,1,6,1
KR_6760889674,420,2,28,-15,1,1,1,0,0,2,2,0,2,2,2,7,5,-2,1,3,1,4,13,4,5,9,-3,0,1,-1,1,1,1,6,1
KR_6744705187,420,-2,-5,-9,-4,2,3,1,3,3,0,0,4,4,-7,0,7,-2,0,2,0,-7,-3,1,3,4,-1,0,-1,-1,-1,-1,-1,1,1
KR_6756831948,420,3,85,8,12,4,4,0,1,5,4,0,4,4,4,4,0,3,3,0,0,15,2,-1,7,6,4,0,3,1,1,1,1,6,1
KR_6650404639,420,8,4,29,14,-1,1,2,3,5,2,3,3,0,6,6,0,3,4,1,0,13,16,2,4,6,-1,0,0,1,1,1,1,3,1
KR_6761227347,420,2,28,0,2,0,0,0,0,2,2,0,2,2,0,3,3,2,2,0,0,-5,6,-6,12,6,0,0,0,1,1,0,1,3,1
KR_6749229190,420,4,-1,8,9,-1,1,2,1,4,3,3,3,0,3,5,2,3,3,0,-1,7,1,-2,6,4,2,0,0,1,-1,-1,-1,6,1
KR_6689391079,420,-1,-81,0,0,3,3,0,2,5,3,-2,2,4,-6,3,9,3,5,2,0,2,37,0,3,3,-3,0,-1,0,1,-1,1,0,1
KR_6693971836,420,2,-41,31,12,-1,1,2,6,7,1,5,6,1,4,5,1,-2,2,4,0,22,-5,2,4,6,0,0,1,1,1,1,-1,5,1
KR_6726392479,420,0,-20,-3,5,-3,1,4,0,7,7,3,5,2,4,5,1,1,1,0,1,14,-11,1,7,8,-5,0,-2,1,-1,-1,1,1,1
KR_6767746682,420,2,-17,20,1,0,3,3,3,5,2,-2,2,4,-2,0,2,2,2,0,0,9,-1,-1,4,3,-2,0,1,-1,1,1,1,3,1
KR_6724981646,420,1,15,8,3,0,1,1,4,6,2,0,2,2,-1,4,5,0,2,2,0,5,-4,-5,11,6,1,0,1,1,-1,1,-1,2,1
KR_6680782155,420,2,9,7,3,-1,0,1,1,2,1,3,4,1,0,0,0,0,0,0,0,4,4,-1,7,6,8,0,0,1,1,0,-1,4,1
KR_6674119229,420,3,52,-13,3,3,3,0,0,1,1,3,4,1,-2,1,3,-1,2,3,0,2,5,2,2,4,-2,0,-1,1,-1,1,1,3,1
KR_6762757724,420,3,20,4,5,4,5,1,-2,2,4,4,8,4,1,3,2,-2,0,2,1,1,5,-1,4,3,-1,0,1,1,-1,1,1,3,1
KR_6669193784,420,1,41,-8,5,2,2,0,0,5,5,-1,0,1,2,4,2,2,2,0,0,2,2,4,6,10,-4,0,-1,1,-1,-1,1,4,1
KR_6640567303,420,0,22,-7,0,-3,0,3,2,3,1,2,5,3,-1,2,3,0,1,1,0,-3,8,-2,6,4,-3,0,0,1,1,0,1,4,1
KR_6765241909,420,1,40,-16,3,1,1,0,2,2,0,1,1,0,-2,4,6,1,2,1,0,1,9,3,4,7,-2,0,0,-1,-1,-1,-1,1,1
KR_6759608285,420,1,8,-16,-2,-2,0,2,1,2,1,0,2,2,1,3,2,-2,3,5,1,1,-2,-2,6,4,1,0,0,-1,0,0,1,1,1
KR_6740604496,440,5,82,24,12,2,4,2,3,7,4,0,1,1,8,10,2,-1,1,2,0,17,306,2,3,5,7,0,1,1,1,1,1,3,1
KR_6685919990,420,-1,32,5,-2,4,6,2,-2,2,4,-4,1,5,0,3,3,0,0,0,-1,-7,0,-1,7,6,0,0,1,-1,1,1,-1,3,1
KR_6704643022,420,3,-8,-46,12,5,6,1,6,7,1,1,6,5,1,2,1,-1,2,3,2,15,-3,3,5,8,-4,0,1,-1,1,1,1,6,1
KR_6764379075,420,3,58,41,2,3,4,1,2,2,0,3,5,2,-9,1,10,3,3,0,0,-6,-3,6,2,8,-4,0,1,1,1,1,1,5,1
KR_6716791797,440,1,16,23,3,-1,1,2,-4,3,7,1,3,2,7,7,0,0,1,1,1,8,5,2,4,6,-1,0,0,1,-1,1,1,1,1
KR_6756102868,420,1,15,-5,8,-1,2,3,5,6,1,4,4,0,1,4,3,-1,1,2,0,13,-8,1,3,4,0,0,0,1,-1,-1,1,3,1
KR_6760587881,420,5,81,67,17,2,3,1,3,4,1,1,2,1,10,11,1,1,2,1,1,21,-4,-3,7,4,3,0,2,0,1,1,1,0,1
KR_6696511583,420,1,10,22,-3,3,4,1,-2,0,2,1,2,1,-3,2,5,-2,0,2,0,-10,-41,-2,8,6,-1,0,1,1,1,1,1,3,1
KR_6688409736,420,2,20,-5,2,3,3,0,1,3,2,-4,1,5,1,6,5,1,3,2,0,3,6,1,1,2,-4,0,1,1,-1,1,-1,3,1
KR_6647678969,440,1,52,-5,-1,2,2,0,1,3,2,-3,0,3,-4,0,4,3,4,1,0,-5,-7,-1,6,5,2,0,0,1,-1,0,1,5,1
KR_6747531927,420,1,-24,-14,11,0,0,0,4,7,3,0,2,2,5,7,2,2,2,0,2,23,4,3,4,7,-3,0,0,1,-1,0,1,3,1
KR_6693698232,420,2,-13,17,7,3,4,1,4,8,4,0,3,3,1,4,3,-1,0,1,0,10,-31,-5,8,3,3,0,1,1,-1,1,1,5,1
KR_6685757811,420,2,21,14,6,-1,3,4,3,4,1,1,2,1,3,3,0,0,0,0,0,10,-34,-2,5,3,6,0,0,1,1,1,-1,1,1
KR_6744227059,420,4,6,-15,4,1,1,0,-2,1,3,6,6,0,-2,2,4,1,1,0,0,8,-14,1,7,8,-7,0,0,-1,1,1,-1,6,1
KR_6741438006,420,4,13,-3,3,4,4,0,-2,5,7,-2,1,3,0,0,0,3,3,0,0,-1,0,-3,9,6,-3,0,0,1,-1,-1,1,3,1
KR_6689926076,420,2,39,-16,4,2,4,2,1,5,4,2,5,3,1,2,1,-2,1,3,1,14,-5,4,0,4,-3,0,1,1,-1,1,1,5,1
KR_6690645621,420,5,7,37,7,0,0,0,0,5,5,3,4,1,5,7,2,-1,2,3,0,2,16,3,5,8,-3,0,0,1,1,0,-1,6,1
KR_6761717604,420,3,5,-3,12,2,4,2,2,5,3,5,7,2,4,6,2,-1,2,3,1,18,6,2,2,4,5,0,0,-1,1,0,-1,5,1
KR_6689390658,420,5,25,23,15,1,3,2,2,2,0,6,6,0,6,6,0,0,2,2,-1,20,1,2,3,5,3,0,3,1,1,1,-1,3,1
KR_6741898903,420,2,5,8,1,4,4,0,1,4,3,-3,1,4,4,6,2,-5,0,5,0,4,5,6,4,10,0,0,1,1,-1,1,-1,5,1
KR_6763020025,420,3,67,-10,0,4,6,2,-9,1,10,0,1,1,3,3,0,2,3,1,0,-12,93,3,8,11,-8,0,0,1,-1,1,1,4,1
KR_6767216397,420,4,33,1,11,1,2,1,1,5,4,2,4,2,4,5,1,3,3,0,0,14,-1,3,4,7,-1,0,1,-1,1,1,1,4,1
KR_6680036770,420,4,-18,-10,9,4,4,0,4,5,1,1,2,1,1,3,2,-1,0,1,-1,6,-21,0,6,6,-4,0,0,-1,1,0,-1,1,1
KR_6601260934,420,-1,-12,20,-5,-1,1,2,1,6,5,-2,0,2,-3,0,3,0,0,0,-1,-5,-4,-4,6,2,-3,0,-1,-1,1,1,-1,3,1
KR_6719823606,420,0,-42,12,0,2,2,0,2,3,1,1,2,1,-4,1,5,-1,0,1,0,-2,3,1,3,4,0,0,-1,1,1,-1,1,3,1
KR_6680484136,420,3,19,14,7,7,7,0,-3,3,6,1,1,0,2,6,4,0,0,0,1,10,16,3,5,8,1,0,0,1,-1,1,1,5,1
KR_6735766824,440,4,19,55,16,0,1,1,-5,1,6,8,9,1,13,14,1,0,1,1,0,8,0,2,3,5,3,0,0,1,-1,1,1,4,1
KR_6733291522,420,1,98,-7,4,-3,1,4,-1,3,4,0,3,3,5,5,0,3,3,0,0,5,-13,3,3,6,0,0,0,1,1,0,-1,1,1
KR_6695182999,420,2,49,-19,7,2,3,1,1,3,2,2,8,6,0,5,5,2,2,0,-2,4,-1,5,3,8,2,0,1,1,1,1,-1,3,1
KR_6767784125,420,1,46,15,0,1,3,2,-2,2,4,2,3,1,-4,1,5,3,3,0,0,-6,-56,0,4,4,2,0,3,1,1,1,1,5,1
KR_6692767947,420,2,10,8,2,1,2,1,0,2,2,2,5,3,-3,3,6,2,2,0,-1,0,-34,-1,4,3,27,0,1,-1,0,1,-1,3,1
KR_6751007585,420,-1,-7,-13,-8,1,3,2,-3,5,8,-4,0,4,-2,1,3,0,0,0,-3,-16,30,2,5,7,-6,0,1,-1,1,1,-1,4,1
KR_6756734790,420,0,-16,-11,3,-3,1,4,2,7,5,-1,1,2,4,7,3,1,2,1,1,5,3,-1,8,7,-6,0,1,-1,1,1,-1,4,1
KR_6693749852,420,0,1,-7,2,0,3,3,5,5,0,-2,4,6,-1,0,1,0,0,0,0,3,-24,-3,9,6,3,0,0,-1,1,0,1,3,1
