matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6765397720,420,1,73,-2,-2,-3,0,3,3,6,3,2,4,2,-1,1,2,-3,1,4,0,-6,-294,-2,8,6,4,0,0,1,-1,1,-1,4,1
KR_6765481053,420,-2,7,20,0,0,2,2,4,5,1,0,2,2,-3,2,5,-1,1,2,0,-4,-8,-4,5,1,0,0,1,-1,1,1,1,3,1
KR_6767440464,420,5,31,21,11,1,1,0,0,2,2,6,10,4,2,3,1,2,4,2,0,21,64,-2,6,4,4,0,0,1,-1,0,1,3,1
KR_6718843725,420,-1,4,-15,3,-2,1,3,6,10,4,1,2,1,0,3,3,-2,3,5,0,-4,-1,-6,6,0,4,0,0,1,-1,-1,1,5,1
KR_6677804298,420,1,39,13,9,4,6,2,3,3,0,0,3,3,1,3,2,1,2,1,0,15,-5,1,5,6,4,0,1,1,1,1,-1,5,1
KR_6748756901,420,2,63,-18,5,7,7,0,-2,0,2,1,2,1,2,6,4,-3,1,4,1,-7,-7,3,7,10,1,0,1,1,0,1,1,3,1
KR_6764174357,420,-1,36,-20,7,-2,0,2,6,8,2,4,5,1,0,2,2,-1,0,1,0,10,-1,0,5,5,3,0,1,-1,1,1,1,3,1
KR_6763044715,420,-1,8,-55,3,-1,5,6,1,5,4,1,2,1,2,6,4,0,1,1,0,8,-1,2,2,4,2,0,0,1,-1,0,1,1,1
KR_6769376190,420,0,-5,-21,-3,-7,0,7,2,4,2,2,5,3,1,1,0,-1,1,2,0,13,33,-3,5,2,-2,0,-1,-1,-1,-1,-1,3,1
KR_6757077688,420,4,84,24,7,0,0,0,1,4,3,2,4,2,3,4,1,1,3,2,0,10,-3,0,5,5,6,0,3,1,1,1,1,3,1
KR_6764903393,420,5,14,-11,2,0,2,2,3,4,1,-4,3,7,3,4,1,0,0,0,0,9,132,-3,9,6,26,0,0,1,-1,1,1,2,1
KR_6744200839,420,-4,-58,-34,-5,-4,0,4,-2,2,4,-5,1,6,4,6,2,2,3,1,0,3,-4,1,8,9,-1,0,-2,-1,-1,-1,-1,3,1
KR_6766479034,420,1,-8,-9,6,1,3,2,8,11,3,-1,1,2,0,1,1,-2,0,2,0,9,-3,3,3,6,2,0,-1,-1,1,-1,1,1,1
KR_6765849500,420,-2,-37,-11,-4,-7,0,7,3,5,2,-2,2,4,0,4,4,2,4,2,0,-7,-7,0,6,6,-1,0,1,-1,1,-1,-1,4,1
KR_6639348517,420,1,20,10,9,3,4,1,-1,0,1,0,2,2,8,9,1,-1,1,2,1,11,6,2,9,11,4,0,1,1,0,1,1,4,1
KR_6746062569,420,3,34,-5,12,1,4,3,-1,1,2,1,3,2,4,7,3,7,7,0,1,15,8,1,5,6,-2,0,1,1,1,1,1,2,1
KR_6769187513,420,2,4,-12,14,1,4,3,2,3,1,6,8,2,3,7,4,2,2,0,1,15,-11,2,5,7,-4,0,1,1,-1,1,1,1,1
KR_6613732166,420,6,64,20,13,0,1,1,6,8,2,2,3,1,3,4,1,2,2,0,1,18,77,4,5,9,-3,0,1,1,1,1,1,2,1
KR_6691827741,420,2,-25,6,6,2,4,2,-3,1,4,1,2,1,5,7,2,1,1,0,-1,0,15,1,8,9,0,0,-1,1,-1,-1,-1,3,1
KR_6769974327,420,4,26,16,11,4,4,0,0,1,1,5,5,0,2,3,1,0,2,2,0,7,6,4,2,6,-4,0,-1,1,1,-1,1,3,1
KR_6736402129,420,3,11,19,3,3,4,1,-2,3,5,-2,1,3,4,5,1,0,0,0,0,-1,2,-2,8,6,4,0,1,1,1,1,-1,2,1
KR_6749289671,420,7,211,-11,13,4,5,1,6,6,0,-1,1,2,3,3,0,1,1,0,0,17,13,0,5,5,1,0,4,1,-1,1,1,3,1
KR_6768317297,420,1,2,8,6,2,2,0,8,9,1,2,3,1,-6,4,10,0,1,1,0,2,-282,-1,7,6,-2,0,0,1,1,1,-1,2,1
KR_6713923844,420,4,-24,-2,5,3,3,0,-2,1,3,0,2,2,3,5,2,1,2,1,0,6,2,0,5,5,5,0,-1,1,-1,-1,-1,5,1
KR_6719879822,420,-2,-5,-12,-7,-2,1,3,-3,2,5,-1,1,2,0,0,0,-1,0,1,0,-11,-17,-8,10,2,3,0,0,1,-1,0,-1,2,1
KR_6769991644,440,-1,-20,-16,3,0,1,1,3,6,3,3,3,0,-1,0,1,-2,2,4,0,-2,-50,0,8,8,32,0,-2,-1,1,-1,1,4,1
KR_6767747897,420,4,-4,8,5,1,3,2,2,5,3,2,5,3,0,4,4,0,1,1,0,12,11,1,2,3,-1,0,-1,1,1,-1,1,5,1
KR_6748327501,420,0,6,-16,3,1,2,1,-1,2,3,1,2,1,2,3,1,0,0,0,0,4,31,5,4,9,-1,0,-1,1,-1,-1,1,1,1
KR_6743759095,420,5,51,24,12,0,0,0,6,7,1,3,5,2,1,4,3,2,2,0,0,11,-114,0,4,4,0,0,2,1,1,1,-1,2,1
KR_6736733160,420,0,-28,-1,2,-1,1,2,4,5,1,2,3,1,-3,0,3,0,1,1,0,0,9,-1,6,5,-3,0,0,1,-1,0,-1,6,1
KR_6740342540,420,3,-2,22,2,1,2,1,4,4,0,1,2,1,-4,0,4,0,1,1,0,-5,97,-3,4,1,0,0,0,1,-1,0,-1,1,1
KR_6763708053,420,-1,-36,20,1,-3,0,3,2,6,4,-4,1,5,4,6,2,2,2,0,0,8,4,3,5,8,-6,0,0,1,1,1,-1,5,1
KR_6732910641,420,0,-53,20,-2,3,7,4,-4,1,5,1,3,2,-1,3,4,-1,1,2,0,-2,0,-3,8,5,2,0,0,1,1,-1,-1,3,1
KR_6762960857,440,3,11,13,7,0,2,2,6,6,0,1,2,1,-1,1,2,1,2,1,0,5,-27,4,5,9,-3,0,3,1,1,1,1,1,1
KR_6768847046,420,-2,-114,-12,0,1,3,2,3,8,5,0,3,3,-2,1,3,-2,2,4,1,-1,2,4,5,9,2,0,0,-1,1,0,1,1,1
KR_6770189924,420,1,31,0,6,1,2,1,8,9,1,0,3,3,0,3,3,-3,0,3,0,5,18,1,6,7,-2,0,0,-1,-1,1,-1,2,1
KR_6752090859,420,3,64,-8,4,3,5,2,-1,0,1,-1,1,2,1,2,1,2,2,0,0,8,-10,-4,9,5,1,0,1,1,-1,1,-1,4,1
KR_6767260407,420,2,-9,4,1,-1,1,2,5,7,2,0,2,2,-4,1,5,1,3,2,-1,3,-5,-5,6,1,2,0,2,1,1,1,-1,1,1
KR_6747665893,420,-2,27,2,-1,2,2,0,-2,3,5,0,4,4,-2,1,3,1,1,0,0,-1,-2,1,6,7,1,0,0,-1,1,0,-1,5,1
KR_6588045065,420,-2,42,-23,-4,-1,1,2,0,1,1,-1,1,2,-2,3,5,0,1,1,0,-3,64,1,4,5,-15,0,-1,-1,1,1,-1,3,1
KR_6754473642,420,2,-29,10,2,-1,1,2,4,4,0,0,1,1,-1,4,5,0,0,0,0,5,-40,-4,9,5,3,0,0,-1,1,0,-1,2,1
KR_6597946915,420,0,-6,0,0,0,4,4,3,3,0,2,5,3,-4,1,5,-1,0,1,0,0,216,0,6,6,-1,0,2,1,-1,-1,-1,2,1
KR_6768505256,420,1,38,-10,5,2,2,0,2,4,2,6,10,4,-6,0,6,1,3,2,0,-3,-29,-6,8,2,1,0,0,1,-1,0,1,5,1
KR_6745228185,420,3,3,26,11,0,3,3,1,4,3,7,8,1,2,3,1,1,1,0,0,13,127,7,1,8,-1,0,3,1,0,1,-1,5,1
KR_6642881812,420,2,12,27,9,4,5,1,2,4,2,6,7,1,-4,1,5,1,1,0,0,7,-10,0,6,6,-4,0,1,1,1,1,-1,2,1
KR_6768540073,420,2,34,1,2,-3,0,3,3,5,2,-1,4,5,-2,2,4,5,5,0,0,-1,-114,-1,5,4,3,0,0,-1,1,0,-1,1,1
KR_6713025173,420,3,19,16,6,0,4,4,1,2,1,0,6,6,5,6,1,0,0,0,1,9,4,0,6,6,6,0,1,1,1,1,1,6,1
KR_6720416154,420,0,63,-16,6,-2,2,4,2,4,2,-1,1,2,3,5,2,4,4,0,0,13,-2,2,4,6,3,0,2,1,-1,1,1,5,1
KR_6679777722,440,0,-18,20,4,-1,2,3,2,5,3,0,2,2,2,3,1,1,4,3,0,4,-3,2,3,5,0,0,-1,-1,-1,-1,1,6,1
KR_6764856651,420,2,79,9,-1,0,1,1,3,4,1,-1,3,4,2,2,0,-5,0,5,0,0,7,5,1,6,1,0,1,1,-1,1,-1,6,1
KR_6681637084,420,1,-4,0,0,1,1,0,3,3,0,1,3,2,-1,4,5,-4,2,6,0,2,4,6,4,10,-2,0,1,1,1,1,1,4,1
KR_6764095496,420,2,47,14,0,-2,2,4,-4,0,4,6,7,1,0,0,0,0,0,0,0,2,26,4,4,8,-2,0,0,1,-1,0,-1,1,1
KR_6706137514,420,1,59,0,2,4,4,0,3,5,2,0,0,0,-6,0,6,1,1,0,0,7,3,-1,5,4,4,0,0,-1,1,0,-1,6,1
KR_6766167358,420,0,-34,15,-2,5,8,3,1,2,1,-3,1,4,-3,0,3,-2,0,2,0,-2,-4,0,4,4,-5,0,0,1,1,1,-1,6,1
KR_6758809918,420,2,1,-17,6,1,1,0,-2,2,4,2,6,4,4,4,0,1,1,0,0,19,2,5,2,7,-1,0,0,1,-1,0,-1,4,1
KR_6765916181,440,2,-3,31,6,-2,1,3,0,3,3,-1,1,2,1,1,0,8,9,1,0,8,3,3,2,5,9,0,1,1,1,1,1,4,1
KR_6768614826,420,2,-15,-9,9,0,1,1,2,5,3,1,1,0,5,6,1,1,1,0,0,9,120,-1,5,4,1,0,1,1,1,1,1,4,1
KR_6754525079,420,-2,-48,-8,-8,2,4,2,-3,1,4,-1,1,2,-5,0,5,-1,1,2,0,-16,-4,-2,7,5,0,0,0,1,1,1,1,2,1
KR_6634786410,420,-1,-29,16,-11,-7,0,7,-2,0,2,0,3,3,-2,3,5,0,2,2,0,-8,26,-1,9,8,-6,0,0,1,0,-1,-1,2,1
KR_6744637773,420,1,14,0,7,0,3,3,6,6,0,-3,1,4,3,5,2,1,1,0,0,16,2,0,5,5,-5,0,3,1,1,1,1,1,1
KR_6763413230,440,-3,-33,-4,-8,-5,0,5,0,1,1,-3,0,3,5,6,1,-5,0,5,0,-1,1,0,4,4,-2,0,-1,1,-1,-1,-1,4,1
KR_6766467729,420,3,68,4,12,-2,2,4,6,9,3,5,5,0,3,5,2,0,0,0,-1,18,-2,7,3,10,1,0,1,1,1,1,-1,4,1
KR_6768349586,420,4,125,-9,13,0,0,0,5,5,0,1,1,0,9,9,0,-2,0,2,0,24,-37,5,5,10,25,0,1,1,-1,1,1,5,1
KR_6770427382,420,2,-24,9,5,4,5,1,0,3,3,4,6,2,-1,1,2,-2,0,2,0,5,0,4,4,8,-1,0,-2,1,1,-1,1,3,1
KR_6761447977,420,-3,7,12,-1,-2,2,4,-3,4,7,2,4,2,4,6,2,-2,0,2,0,5,53,8,3,11,-29,0,-1,1,-1,-1,1,3,1
KR_6716081442,420,4,69,5,3,1,2,1,2,5,3,-2,1,3,2,4,2,0,3,3,0,3,4,-1,4,3,2,0,1,1,0,1,1,1,1
KR_6665275429,420,2,70,24,0,3,3,0,-1,0,1,-2,2,4,1,6,5,-1,1,2,-2,-11,-6,-1,6,5,2,0,1,-1,1,1,-1,6,1
KR_6746732410,420,-2,-32,19,3,3,4,1,2,5,3,-2,5,7,2,3,1,-2,0,2,0,7,2,2,3,5,-2,0,0,1,1,1,-1,6,1
KR_6684112919,440,0,-14,-24,-3,-4,2,6,-1,0,1,0,1,1,4,5,1,-2,3,5,1,-1,4,4,4,8,1,0,-1,1,-1,-1,1,5,1
KR_6745210065,420,-1,-51,12,-6,-6,2,8,-4,1,5,3,3,0,2,4,2,-1,0,1,-1,-1,-6,-2,8,6,8,0,-2,1,-1,-1,-1,5,1
KR_6733102085,420,0,1,7,-8,-1,0,1,-3,1,4,-4,0,4,0,3,3,0,0,0,-1,-12,-1,1,7,8,1,0,0,1,1,0,-1,2,1
KR_6760126166,420,1,28,-3,-1,-3,3,6,-3,1,4,1,2,1,3,4,1,1,1,0,1,-2,-11,-3,10,7,3,0,1,1,-1,1,1,6,1
KR_6707056082,420,1,2,19,7,2,3,1,1,3,2,4,5,1,0,0,0,0,1,1,0,5,2,-1,5,4,2,0,0,1,1,0,1,6,1
KR_6655307584,420,1,22,15,11,0,2,2,5,9,4,0,3,3,4,4,0,2,4,2,0,8,2,0,8,8,4,0,1,1,1,1,1,6,1
KR_6621590384,420,3,-4,-25,5,2,2,0,0,2,2,-1,2,3,4,4,0,0,0,0,0,12,5,-3,10,7,4,0,-1,1,-1,-1,1,3,1
KR_6763487396,420,3,52,16,9,1,3,2,6,7,1,2,3,1,2,3,1,-2,0,2,0,3,24,0,7,7,2,0,1,-1,1,1,1,1,1
KR_6766384085,420,0,-32,7,1,-4,0,4,4,4,0,2,3,1,-1,1,2,0,0,0,0,4,1,0,5,5,-2,0,-1,1,-1,-1,1,4,1
KR_6628540422,420,0,-9,17,3,0,2,2,5,8,3,-3,0,3,0,0,0,1,2,1,-2,4,26,1,8,9,2,0,-1,1,-1,-1,-1,2,1
KR_6667071606,420,0,25,24,3,0,1,1,-1,2,3,-2,1,3,4,4,0,2,3,1,0,6,23,2,2,4,-1,0,2,-1,-1,1,-1,2,1
KR_6769441591,420,1,-10,-16,11,-2,1,3,0,2,2,7,8,1,6,6,0,0,1,1,1,10,2,2,5,7,0,0,0,1,1,1,1,6,1
KR_6767952493,440,0,-63,-12,3,-1,1,2,4,7,3,0,3,3,0,2,2,0,4,4,-1,10,-8,-2,4,2,-1,0,1,-1,0,1,-1,2,1
KR_6770278689,420,0,-19,23,1,3,4,1,-4,0,4,-2,1,3,6,7,1,-2,1,3,0,-3,-7,-3,9,6,-1,0,0,-1,1,0,1,5,1
KR_6722244658,420,4,-3,-4,9,0,0,0,5,6,1,0,1,1,4,8,4,0,0,0,1,12,-2,-4,8,4,4,0,0,1,1,0,1,5,1
KR_6763335201,420,5,121,32,6,-1,1,2,-1,1,2,0,4,4,8,9,1,0,2,2,0,5,-3,0,6,6,3,0,1,1,-1,1,1,1,1
KR_6758632931,420,-4,-27,-16,-9,-2,3,5,-1,2,3,2,3,1,-6,1,7,-2,0,2,0,-10,-4,1,4,5,1,0,-1,1,-1,-1,1,3,1
KR_6697392879,420,2,40,32,10,2,4,2,7,9,2,0,2,2,1,6,5,0,0,0,0,17,-3,-1,6,5,4,0,1,1,1,1,1,1,1
KR_6678453588,420,2,0,-11,0,0,1,1,2,2,0,-1,1,2,-2,1,3,1,1,0,0,1,2,-2,4,2,-2,0,0,1,1,1,-1,4,1
KR_6554717272,420,-2,45,13,-6,-1,1,2,3,6,3,-3,0,3,-1,1,2,-4,0,4,0,-7,-1,-8,11,3,4,0,0,-1,1,0,1,1,1
KR_6763847741,420,2,74,20,2,2,2,0,-1,2,3,-2,1,3,3,4,1,0,2,2,0,-2,141,-3,6,3,2,0,0,-1,1,0,1,4,1
KR_6762131414,420,-3,-22,36,-1,4,4,0,-1,1,2,-1,0,1,-1,3,4,-2,2,4,-1,-8,0,-3,7,4,-5,0,-1,1,1,1,-1,3,1
KR_6756484991,420,2,31,-20,6,0,0,0,7,9,2,-3,3,6,2,3,1,0,0,0,0,17,8,2,5,7,3,0,0,1,1,1,-1,5,1
KR_6746056249,420,-1,12,16,3,-1,0,1,0,2,2,3,4,1,1,2,1,0,0,0,0,0,116,1,5,6,3,0,0,1,1,0,-1,4,1
KR_6767899856,420,-2,-14,-3,-7,0,3,3,-1,1,2,-7,4,11,0,2,2,1,1,0,0,-12,-1,-2,7,5,3,0,-1,-1,-1,-1,-1,6,1
KR_6760532232,420,1,30,-24,1,-3,0,3,0,2,2,1,2,1,3,5,2,0,0,0,0,7,10,-3,8,5,6,0,0,1,-1,0,-1,1,1
KR_6665129540,420,0,19,-4,-2,2,5,3,-2,1,3,-2,1,3,0,1,1,0,0,0,0,-3,26,1,4,5,-4,0,0,-1,-1,0,-1,6,1
KR_6765982308,420,2,96,-40,9,0,1,1,4,10,6,1,1,0,2,5,3,2,3,1,0,6,3,1,8,9,-7,0,2,-1,1,1,1,5,1
KR_6768159419,420,1,14,0,4,-5,0,5,4,6,2,0,2,2,5,6,1,0,0,0,-1,5,0,0,5,5,-3,0,0,0,1,1,-1,0,1
KR_6739338290,440,-2,-63,-59,4,0,1,1,3,4,1,-5,0,5,4,7,3,2,6,4,2,5,0,3,5,8,0,0,-2,-1,1,-1,1,3,1
KR_6695316180,420,2,-70,18,4,4,6,2,1,2,1,0,2,2,-5,1,6,4,4,0,0,0,24,3,3,6,0,0,1,1,1,1,1,2,1
KR_6763402682,420,-2,48,-12,-4,0,2,2,-3,2,5,0,3,3,-2,0,2,1,1,0,0,-17,-6,-2,4,2,-1,0,0,1,1,-1,1,4,1
KR_6765793734,420,0,-26,-32,-1,-2,1,3,0,2,2,2,4,2,-2,6,8,1,2,1,0,3,6,0,5,5,-3,0,-3,1,-1,-1,-1,3,1
KR_6724205903,420,6,103,9,7,5,6,1,1,2,1,3,4,1,0,3,3,-2,0,2,0,7,2,3,4,7,5,0,2,1,-1,1,1,3,1
KR_6767381438,420,1,-2,0,3,1,4,3,0,1,1,6,6,0,-4,0,4,0,0,0,0,0,2,0,7,7,-3,0,0,-1,-1,0,1,3,1
KR_6643568391,420,0,17,-16,-3,0,4,4,-1,2,3,0,2,2,1,3,2,-3,2,5,0,-6,-1,-1,5,4,2,0,0,-1,1,-1,1,4,1
KR_6740231286,420,-2,-6,-8,1,-2,1,3,2,4,2,3,3,0,-1,0,1,-1,1,2,0,4,24,2,6,8,-4,0,1,1,1,1,1,6,1
KR_6752345126,420,2,-22,-25,3,0,0,0,6,8,2,-2,1,3,-2,2,4,1,1,0,-2,0,2,1,5,6,-3,0,0,-1,1,1,-1,2,1
KR_6768212763,420,1,11,11,3,-2,0,2,3,7,4,0,2,2,-2,1,3,4,4,0,0,7,-1,4,4,8,-4,0,1,1,1,1,1,5,1
KR_6758561561,420,-1,-50,-22,-5,-6,1,7,-3,2,5,3,4,1,-2,1,3,3,4,1,0,5,-13,-2,6,4,-3,0,-3,-1,1,-1,1,5,1
KR_6693974671,420,1,54,4,7,1,1,0,2,3,1,-3,1,4,5,8,3,2,2,0,1,10,36,1,4,5,0,0,3,1,1,1,1,3,1
KR_6757956940,440,1,20,-12,-1,2,3,1,-7,0,7,0,2,2,3,5,2,1,2,1,-1,-2,7,1,1,2,-3,0,0,1,-1,-1,-1,1,1
KR_6739107294,420,2,22,24,7,1,5,4,-3,3,6,4,4,0,4,5,1,1,1,0,2,16,7,2,5,7,-4,0,1,0,1,1,1,0,1
KR_6762195424,420,3,49,8,1,2,3,1,0,2,2,-2,1,3,0,1,1,1,1,0,1,1,12,2,2,4,-1,0,0,0,-1,0,1,0,1
KR_6769538052,420,1,-56,6,6,-1,0,1,4,5,1,1,3,2,2,5,3,0,1,1,0,10,-3,-1,6,5,0,0,-1,1,-1,-1,1,2,1
KR_6762850636,440,-1,-41,15,2,-1,0,1,1,4,3,1,3,2,-2,2,4,3,3,0,1,2,27,-2,7,5,2,0,-1,-1,-1,-1,1,3,1
KR_6741518947,420,3,54,7,9,8,8,0,1,2,1,2,3,1,-2,3,5,0,0,0,1,7,-121,-1,6,5,3,0,0,1,1,1,1,6,1
KR_6767998771,420,0,13,12,6,10,13,3,-1,3,4,0,4,4,-4,2,6,1,1,0,0,1,11,3,4,7,2,0,3,-1,1,1,-1,1,1
KR_6730143365,420,6,103,8,13,1,6,5,-2,3,5,1,2,1,2,3,1,11,12,1,0,12,29,-6,9,3,5,0,3,-1,1,1,1,2,1
KR_6762788684,440,2,91,25,-3,0,5,5,4,5,1,-4,0,4,0,0,0,-3,1,4,0,-16,1,-2,7,5,-3,0,2,1,1,1,-1,6,1
KR_6722262886,420,1,-31,4,-3,-3,0,3,1,5,4,-4,0,4,1,2,1,2,3,1,0,3,-36,-1,8,7,25,0,0,1,1,1,-1,5,1
KR_6646526639,420,6,106,-4,13,4,5,1,1,6,5,2,4,2,6,6,0,0,0,0,0,7,20,0,4,4,5,0,1,0,0,1,1,0,1
KR_6748067467,420,0,48,-27,-1,-3,1,4,4,7,3,-3,2,5,2,2,0,-1,0,1,-2,-1,2,-4,8,4,4,0,2,1,-1,1,-1,5,1
KR_6715043619,420,6,3,24,10,5,5,0,0,3,3,5,5,0,0,0,0,0,0,0,0,2,-32,2,3,5,12,0,2,-1,1,1,1,2,1
KR_6734125256,420,3,48,-1,8,0,4,4,1,2,1,6,6,0,1,2,1,0,0,0,0,8,-26,1,3,4,16,0,0,-1,-1,1,-1,1,1
KR_6768772354,420,-1,-30,16,1,-3,2,5,-1,6,7,2,4,2,3,4,1,0,0,0,0,6,5,3,2,5,1,0,1,1,-1,1,-1,1,1
KR_6769066368,420,-2,-42,-11,-1,-1,1,2,0,2,2,1,2,1,0,1,1,-1,1,2,0,-2,109,-2,5,3,-1,0,-1,-1,-1,-1,-1,3,1
KR_6770097018,420,-3,-70,-40,-5,-2,0,2,-2,2,4,-1,2,3,6,7,1,-6,1,7,0,6,6,5,2,7,-8,0,-1,1,-1,-1,-1,6,1
KR_6742368508,420,5,78,-9,10,4,4,0,3,6,3,0,6,6,3,5,2,0,1,1,1,6,3,0,5,5,-1,0,0,-1,1,1,1,1,1
KR_6765843169,440,5,56,6,8,-1,3,4,3,6,3,1,4,3,4,4,0,1,1,0,0,11,-2,-4,6,2,-4,0,0,1,-1,1,-1,4,1
KR_6762348588,420,1,39,15,8,5,5,0,2,4,2,2,3,1,-2,4,6,1,1,0,0,3,1,2,6,8,9,0,1,-1,1,1,1,4,1
KR_6729404569,420,7,-2,55,9,-1,1,2,0,1,1,2,5,3,7,7,0,1,1,0,0,10,8,3,3,6,-4,0,1,1,-1,1,-1,1,1
KR_6712287782,420,0,38,-8,3,-1,1,2,0,2,2,1,1,0,3,3,0,0,1,1,2,3,-2,3,2,5,4,0,1,1,-1,1,1,3,1
KR_6759004989,420,7,55,10,17,-3,2,5,6,7,1,5,5,0,6,6,0,3,4,1,0,21,3,1,5,6,-1,0,2,1,-1,-1,1,1,1
KR_6766031951,420,3,80,29,1,2,2,0,-6,2,8,-1,3,4,5,7,2,1,3,2,0,-3,2,-1,8,7,8,0,2,-1,1,1,1,1,1
KR_6668507239,420,2,46,-16,4,0,2,2,-1,3,4,-1,1,2,4,4,0,2,2,0,0,12,-15,3,3,6,5,0,1,1,1,1,-1,2,1
KR_6769003569,420,0,26,35,-1,0,2,2,2,4,2,0,1,1,-2,0,2,-1,0,1,0,-6,28,-4,8,4,-29,0,1,1,1,1,-1,1,1
KR_6747785208,420,4,0,17,7,0,1,1,8,9,1,2,3,1,-2,2,4,-1,0,1,0,9,6,1,6,7,0,0,-1,-1,0,-1,-1,2,1
KR_6708039704,420,2,65,11,9,3,4,1,0,4,4,2,4,2,2,3,1,2,2,0,0,12,36,-2,8,6,0,0,3,-1,1,1,1,5,1
KR_6757737543,420,-2,-22,-21,3,5,7,2,-2,3,5,-3,0,3,3,4,1,0,1,1,0,3,16,0,5,5,0,0,0,1,-1,-1,-1,1,1
KR_6685797387,420,3,29,2,0,0,3,3,-3,0,3,-1,0,1,3,4,1,1,1,0,0,-4,-28,4,3,7,0,0,0,1,0,1,-1,2,1
KR_6769657403,420,4,41,11,7,2,2,0,3,5,2,0,2,2,1,3,2,1,2,1,-1,4,1,-1,6,5,-1,0,1,0,1,1,-1,0,1
KR_6763582618,420,6,77,12,12,5,6,1,1,3,2,3,3,0,5,6,1,-2,0,2,0,11,-1,4,3,7,8,0,2,1,-1,1,1,3,1
KR_6770199714,420,0,31,-8,-3,1,2,1,-2,0,2,1,2,1,-1,2,3,-2,1,3,1,0,2,0,3,3,-3,0,0,-1,-1,-1,1,4,1
KR_6740126757,420,0,34,4,-6,0,0,0,-2,2,4,3,4,1,-5,1,6,-2,2,4,0,-13,-7,-2,7,5,4,0,-1,1,1,1,-1,4,1
KR_6705007104,420,1,-17,-24,-1,-2,2,4,5,7,2,-6,1,7,1,3,2,1,4,3,0,-6,-5,1,5,6,4,0,-1,-1,-1,-1,-1,6,1
KR_6757982077,420,-3,-67,10,-9,-3,1,4,1,4,3,-1,2,3,-5,2,7,-1,0,1,0,-7,-4,0,7,7,-4,0,-1,0,1,-1,-1,0,1
KR_6728582030,420,-1,11,26,2,3,3,0,3,4,1,-5,1,6,2,6,4,-1,1,2,0,-6,-16,3,9,12,-3,0,0,-1,1,-1,1,4,1
KR_6675488124,420,2,54,-18,4,-1,1,2,0,5,5,3,6,3,3,3,0,-1,0,1,0,5,-9,-3,5,2,0,0,1,1,0,1,1,5,1
