matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6766851498,420,4,15,-16,8,6,6,0,4,4,0,-1,3,4,0,3,3,-1,2,3,0,6,4,4,2,6,5,0,0,1,1,0,1,2,1
KR_6670657063,420,4,57,15,10,-1,3,4,5,8,3,2,4,2,4,6,2,0,1,1,1,23,38,1,5,6,2,0,0,-1,1,1,1,5,1
KR_6757888605,420,-1,-7,22,-3,5,5,0,2,4,2,-4,1,5,-6,1,7,0,3,3,0,-4,-16,2,3,5,-2,0,2,1,1,1,1,6,1
KR_6729375659,420,1,-27,23,6,1,2,1,-2,3,5,1,3,2,4,4,0,2,2,0,0,1,117,5,4,9,0,0,1,1,1,1,-1,1,1
KR_6740289803,420,0,46,0,1,-2,1,3,2,3,1,-3,1,4,1,3,2,3,3,0,0,-2,350,0,8,8,0,0,1,1,-1,1,1,3,1
KR_6716608510,440,2,40,7,6,4,4,0,1,2,1,1,3,2,0,0,0,0,1,1,0,8,11,2,4,6,-4,0,1,1,1,1,1,4,1
KR_6763080013,420,-1,-56,-4,-3,-1,3,4,-1,3,4,4,6,2,-1,2,3,-4,1,5,0,1,-119,0,5,5,-2,0,-2,-1,1,1,-1,1,1
KR_6763452424,420,0,-37,5,7,0,1,1,6,6,0,-3,0,3,3,5,2,1,2,1,1,3,-2,-2,6,4,6,0,0,-1,1,0,1,1,1
KR_6715358399,420,5,-10,-12,12,-1,0,1,3,7,4,4,5,1,6,7,1,0,1,1,0,16,122,2,4,6,-1,0,2,1,1,1,1,2,1
KR_6715937256,420,3,-4,30,0,0,3,3,0,2,2,-1,2,3,0,4,4,1,2,1,0,-4,-5,-2,5,3,1,0,0,-1,1,1,1,3,1
KR_6546903638,420,10,37,91,9,-4,0,4,5,5,0,3,4,1,3,7,4,2,2,0,3,9,8,3,3,6,1,0,2,1,1,1,1,2,1
KR_6730910041,420,3,25,16,1,-1,0,1,0,3,3,4,5,1,-2,0,2,0,0,0,0,0,-5,0,5,5,1,0,0,1,1,0,-1,1,1
KR_6768838466,420,5,82,4,13,6,6,0,2,2,0,1,2,1,2,2,0,2,2,0,0,9,11,2,3,5,-1,0,1,1,-1,1,1,1,1
KR_6765957194,420,-1,57,-4,-2,-2,2,4,-2,3,5,2,2,0,1,4,3,-1,0,1,0,2,6,-2,6,4,0,0,2,1,1,1,-1,5,1
KR_6605614025,420,3,-18,5,5,2,3,1,2,2,0,1,4,3,2,3,1,-2,1,3,1,10,25,-1,5,4,-2,0,0,-1,-1,1,1,5,1
KR_6680981762,420,6,75,-2,5,0,2,2,2,5,3,-3,1,4,0,2,2,6,6,0,0,9,-261,-5,9,4,8,0,2,1,1,1,-1,4,1
KR_6745313492,420,1,52,-20,-2,-1,2,3,-2,1,3,3,4,1,-3,1,4,1,3,2,-1,-4,-125,2,3,5,1,0,0,1,1,1,-1,2,1
