matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6762341802,420,0,31,16,3,-1,1,2,3,4,1,0,0,0,0,3,3,1,2,1,0,2,6,-2,4,2,1,0,-1,1,-1,-1,-1,6,1
KR_6757870120,420,1,-47,-6,3,-1,1,2,1,2,1,1,2,1,2,5,3,0,0,0,0,0,4,1,4,5,-8,0,-1,1,1,-1,-1,4,1
KR_6748203112,420,1,-3,4,-1,-1,3,4,-3,1,4,1,3,2,1,4,3,1,1,0,0,-7,9,1,10,11,-8,0,0,-1,1,1,1,5,1
KR_6718258185,420,5,40,-16,6,0,1,1,3,6,3,1,2,1,0,2,2,2,4,2,0,3,160,0,7,7,-10,0,0,1,-1,1,-1,1,1
KR_6764460843,420,-2,-7,9,-6,1,1,0,-6,0,6,-3,3,6,1,4,3,1,2,1,0,-6,-48,1,4,5,0,0,-1,-1,-1,-1,-1,5,1
KR_6719654601,420,0,12,-8,2,3,3,0,1,4,3,0,0,0,-1,5,6,-1,0,1,0,3,2,3,3,6,-5,0,-1,1,1,-1,-1,4,1
KR_6763318424,440,2,66,12,5,2,3,1,2,2,0,1,3,2,4,4,0,-4,0,4,0,3,7,1,5,6,-2,0,0,1,1,1,1,2,1
KR_6747061879,420,-1,71,-12,-2,0,2,2,-3,1,4,5,7,2,-4,1,5,0,2,2,0,-7,-8,-5,8,3,2,0,0,-1,-1,0,-1,6,1
KR_6687318233,420,-2,-39,8,-8,0,1,1,-1,2,3,2,4,2,-11,2,13,2,3,1,-1,-11,4,-4,6,2,1,0,-1,-1,-1,-1,1,4,1
KR_6763236833,420,-1,-53,-15,-2,1,1,0,1,6,5,-5,0,5,1,4,3,0,2,2,0,9,-3,1,5,6,0,0,-2,1,1,-1,-1,3,1
KR_6748588763,420,1,-8,-11,-3,-1,5,6,4,4,0,-4,0,4,-2,2,4,0,0,0,0,-4,17,2,3,5,-5,0,-1,-1,-1,-1,1,2,1
KR_6753099413,420,-3,33,-24,-4,2,2,0,-3,0,3,-3,1,4,0,3,3,0,0,0,0,-5,-1,3,3,6,3,0,0,0,1,1,1,0,1
KR_6762556189,420,-1,-3,20,2,0,2,2,-1,4,5,-2,2,4,3,4,1,2,2,0,3,11,-5,-4,7,3,1,0,1,1,0,1,-1,5,1
KR_6721027446,440,0,-4,-6,1,-2,0,2,4,4,0,-2,0,2,2,3,1,-1,0,1,0,4,-6,3,4,7,1,0,1,-1,1,1,1,4,1
KR_6657658509,420,-3,-20,-45,-4,0,3,3,1,3,2,-1,3,4,-3,4,7,-1,1,2,-1,1,-4,-2,7,5,3,0,1,-1,1,1,-1,1,1
KR_6683146309,420,1,-35,20,1,-1,1,2,5,6,1,-2,0,2,-2,2,4,1,1,0,0,1,-1,-3,6,3,0,0,0,0,1,0,-1,0,1
KR_6695212667,420,3,-22,-31,11,0,1,1,6,9,3,1,2,1,2,2,0,2,3,1,2,26,-1,0,7,7,3,0,0,1,0,0,1,1,1
KR_6699903970,420,8,103,3,16,3,4,1,3,4,1,3,3,0,4,5,1,3,3,0,0,15,-3,0,6,6,6,0,0,1,-1,1,1,5,1
KR_6757618867,420,4,-3,6,5,0,2,2,0,4,4,0,1,1,4,7,3,1,1,0,0,8,-23,-4,8,4,1,0,2,1,1,1,1,3,1
KR_6762537273,420,0,6,-17,4,3,4,1,1,2,1,1,4,3,-3,3,6,2,2,0,1,7,0,0,2,2,0,0,1,1,1,1,1,1,1
KR_6683544057,420,3,32,28,3,5,5,0,-4,2,6,0,1,1,2,3,1,0,0,0,1,-2,-3,0,8,8,7,0,0,1,1,1,1,3,1
KR_6753869881,420,-1,111,29,0,2,4,2,1,1,0,-3,2,5,0,2,2,0,1,1,0,7,131,3,5,8,-5,0,2,1,1,1,-1,6,1
KR_6761276692,420,4,-29,0,13,-2,0,2,5,5,0,-1,1,2,7,9,2,4,4,0,3,18,31,3,4,7,-4,0,0,1,-1,0,1,2,1
KR_6761933036,420,2,42,2,8,1,2,1,2,3,1,2,2,0,4,7,3,-1,2,3,0,8,8,2,3,5,-4,0,1,1,0,1,1,6,1
KR_6699910069,420,0,-38,-24,6,4,4,0,3,4,1,0,3,3,-1,1,2,0,0,0,0,9,21,-1,6,5,4,0,-1,-1,1,-1,1,1,1
KR_6750977295,420,4,76,-3,14,8,8,0,4,6,2,3,3,0,1,1,0,-2,1,3,0,16,6,4,5,9,2,0,2,1,-1,1,1,6,1
KR_6681963808,420,3,77,-17,7,-3,1,4,3,5,2,6,6,0,1,1,0,0,2,2,-1,4,-6,7,0,7,3,0,0,1,-1,1,-1,3,1
KR_6750083396,420,2,68,-4,6,2,3,1,-2,2,4,3,3,0,4,6,2,-1,0,1,0,4,-106,0,6,6,-5,0,0,1,-1,0,1,1,1
KR_6761341990,440,0,-17,0,-6,-2,0,2,-4,0,4,-4,1,5,1,3,2,3,3,0,0,-10,2,0,5,5,-4,0,1,-1,1,1,-1,5,1
KR_6744711896,420,-2,-21,-3,-4,-1,0,1,-1,1,2,-3,2,5,1,4,3,0,1,1,-1,-11,-3,-1,7,6,-3,0,-1,1,-1,-1,-1,3,1
KR_6763915639,420,-3,-46,8,-1,-3,0,3,0,3,3,2,5,3,1,3,2,-1,0,1,1,9,-6,1,6,7,4,0,-1,-1,-1,-1,1,5,1
KR_6660654737,420,-4,-37,-7,-3,-3,1,4,-2,3,5,-3,1,4,3,4,1,2,3,1,0,-2,1,-3,9,6,-2,0,0,1,1,0,1,6,1
KR_6761182006,420,3,32,4,4,-3,2,5,-1,3,4,4,4,0,4,5,1,0,0,0,1,9,2,4,4,8,-5,0,2,1,1,1,-1,6,1
KR_6755996081,420,1,-50,-23,3,-2,2,4,0,2,2,1,3,2,2,4,2,2,2,0,1,5,5,6,4,10,-8,0,-1,-1,-1,-1,1,4,1
KR_6738970668,420,3,-3,15,3,8,8,0,-1,3,4,-2,1,3,-2,0,2,0,1,1,0,-9,-162,1,4,5,-6,0,1,1,1,1,-1,4,1
KR_6762055614,420,0,-17,4,2,-1,1,2,2,4,2,4,6,2,-1,1,2,-2,1,3,0,-4,10,-4,8,4,4,0,0,-1,1,-1,1,4,1
KR_6700766304,420,0,51,-7,2,0,2,2,-5,1,6,1,2,1,4,4,0,2,3,1,1,1,103,-4,9,5,1,0,2,1,1,1,1,3,1
KR_6764828986,420,2,-3,12,6,-2,1,3,5,6,1,-2,1,3,4,4,0,1,1,0,0,7,-3,-1,6,5,1,0,1,1,1,1,-1,3,1
KR_6761242400,420,-5,1,-12,0,-1,2,3,-2,3,5,5,5,0,0,1,1,-2,0,2,0,2,-20,-2,4,2,-5,0,0,-1,1,1,1,1,1
KR_6616323536,420,4,48,-20,4,5,6,1,-5,0,5,4,5,1,-1,1,2,1,2,1,0,2,-7,-5,9,4,1,0,0,-1,1,1,-1,6,1
KR_6691019540,420,7,73,7,17,3,5,2,3,5,2,0,1,1,9,9,0,2,2,0,0,16,4,2,6,8,0,0,1,1,-1,1,-1,2,1
KR_6721756726,420,2,-1,12,2,1,1,0,0,3,3,-2,1,3,0,1,1,3,4,1,0,-1,25,0,3,3,3,0,1,1,1,1,-1,2,1
KR_6764114674,420,-1,-53,-12,3,7,7,0,1,1,0,-2,2,4,-1,1,2,-2,0,2,1,0,20,-1,4,3,-4,0,2,-1,1,1,1,1,1
KR_6518356514,420,-1,-16,12,-2,1,2,1,1,3,2,-7,1,8,1,2,1,2,2,0,0,-1,-12,-4,8,4,6,0,0,1,-1,-1,-1,6,1
KR_6761486310,420,1,-43,16,-1,-2,0,2,5,10,5,0,2,2,-3,3,6,-1,1,2,-2,-7,6,3,3,6,-2,0,1,-1,1,1,-1,1,1
KR_6745503561,420,0,22,32,5,4,4,0,4,4,0,2,3,1,-6,0,6,1,4,3,0,-2,28,1,4,5,1,0,0,-1,1,1,-1,6,1
KR_6720756585,420,-2,-6,-36,-2,4,5,1,3,4,1,-5,2,7,-4,0,4,0,1,1,0,-5,13,3,5,8,-3,0,0,-1,0,0,-1,1,1
