matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6742948140,420,-1,-34,7,-1,-3,2,5,1,5,4,4,8,4,-1,5,6,-2,1,3,1,2,-73,1,5,6,1,0,2,1,1,1,1,3,1
KR_6543602918,420,1,23,7,0,0,1,1,-4,0,4,-2,1,3,5,6,1,1,1,0,0,4,24,0,5,5,4,0,1,-1,1,1,-1,1,1
KR_6709892624,440,4,12,6,10,2,2,0,2,4,2,3,3,0,3,4,1,0,3,3,0,9,9,-1,8,7,1,0,0,1,1,0,1,6,1
KR_6673930851,420,2,15,9,9,4,4,0,-1,1,2,5,5,0,1,5,4,0,1,1,0,4,36,0,7,7,-4,0,1,-1,1,1,-1,6,1
KR_6763315848,420,1,-44,-16,4,2,2,0,0,2,2,0,4,4,0,2,2,2,2,0,0,7,-36,2,5,7,0,0,0,0,1,0,1,0,1
KR_6692388918,420,4,104,13,10,1,1,0,-3,0,3,2,4,2,9,9,0,1,2,1,1,16,-21,3,4,7,0,0,0,1,1,0,1,3,1
KR_6727796701,420,1,-14,-8,10,2,3,1,4,5,1,2,4,2,4,4,0,-2,1,3,0,12,-11,-2,7,5,6,0,0,1,1,0,1,1,1
KR_6615097005,420,2,-37,0,6,4,5,1,2,5,3,1,2,1,-1,1,2,0,1,1,0,4,-2,-1,5,4,7,0,1,-1,1,1,1,1,1
KR_6760380059,420,-4,-71,-16,-11,-1,0,1,5,6,1,-3,0,3,-2,2,4,-10,0,10,-1,-5,-127,-3,9,6,-3,0,0,-1,-1,-1,-1,5,1
KR_6724974628,420,2,-24,0,-2,-3,1,4,2,3,1,0,0,0,1,3,2,-2,0,2,0,2,-10,-1,3,2,-1,0,-1,1,1,-1,-1,2,1
KR_6746957630,420,-1,-15,1,-1,0,2,2,0,4,4,-1,1,2,-2,0,2,2,4,2,0,-2,-9,-3,7,4,-3,0,-1,0,-1,-1,1,0,1
KR_6620194314,420,0,11,-6,5,1,2,1,-1,2,3,5,5,0,-3,5,8,3,3,0,0,2,-14,2,5,7,1,0,1,1,1,1,1,1,1
KR_6742082884,440,1,-26,40,-2,2,3,1,-1,1,2,4,5,1,-5,2,7,-2,2,4,0,-4,3,3,7,10,0,0,-1,-1,1,-1,-1,4,1
KR_6751936396,420,0,-47,-16,7,0,2,2,5,6,1,5,5,0,2,2,0,-5,0,5,2,12,-6,-1,6,5,1,0,0,-1,0,0,1,2,1
KR_6757836279,420,1,-15,5,8,7,7,0,-2,1,3,3,4,1,-2,4,6,2,3,1,0,10,-18,1,2,3,4,0,0,1,1,-1,1,3,1
KR_6752845059,420,-1,-14,-4,5,-1,1,2,4,6,2,-1,3,4,2,2,0,1,3,2,0,6,-258,1,4,5,-2,0,3,1,1,1,1,6,1
KR_6703968098,420,4,55,-1,7,-1,2,3,0,1,1,-4,1,5,9,10,1,3,5,2,1,5,14,0,5,5,-1,0,3,1,1,1,1,4,1
KR_6661367828,420,2,-17,12,4,2,2,0,-2,3,5,-1,1,2,1,6,5,4,4,0,0,4,-10,-6,10,4,1,0,-1,1,-1,-1,1,5,1
KR_6719155198,420,2,32,8,-3,1,5,4,0,3,3,-2,1,3,-2,1,3,0,0,0,0,-2,-13,-4,5,1,2,0,0,-1,0,1,1,5,1
KR_6617252782,420,-2,-37,2,-3,2,3,1,-1,0,1,-5,2,7,0,1,1,1,2,1,0,-1,2,-2,5,3,1,0,-1,-1,1,-1,-1,1,1
KR_6669280454,420,1,19,3,0,-3,1,4,1,4,3,-2,3,5,4,6,2,0,2,2,0,4,-4,-3,7,4,3,0,2,-1,-1,1,-1,3,1
KR_6750035671,420,-1,10,25,-6,4,4,0,-5,0,5,-5,1,6,0,2,2,0,1,1,-1,-18,3,4,2,6,-1,0,0,1,0,0,-1,5,1
KR_6751437683,440,2,40,-6,5,-1,1,2,-2,2,4,8,9,1,2,2,0,-2,0,2,0,1,6,4,4,8,4,0,0,1,-1,0,1,3,1
KR_6679281276,420,4,-2,5,4,2,3,1,2,5,3,1,3,2,1,7,6,-2,0,2,0,2,4,2,4,6,1,0,1,-1,1,1,1,5,1
KR_6758045751,420,6,44,51,13,2,3,1,5,5,0,4,5,1,0,1,1,2,2,0,0,13,15,3,2,5,-2,0,0,1,1,1,1,6,1
KR_6692467444,420,-3,-44,12,-5,2,3,1,3,8,5,-6,0,6,-3,1,4,-1,0,1,2,-3,-77,4,4,8,-1,0,-1,-1,1,-1,1,6,1
KR_6702215024,420,2,95,-7,-1,2,5,3,6,6,0,0,3,3,-9,0,9,0,0,0,0,-5,-1,2,5,7,2,0,1,-1,1,1,-1,5,1
KR_6741674617,420,1,-27,39,1,-4,0,4,0,6,6,1,4,3,0,3,3,4,5,1,2,7,11,2,4,6,-9,0,-1,-1,1,-1,1,3,1
KR_6737904741,420,2,-6,-3,2,1,1,0,-5,5,10,7,8,1,-1,1,2,0,2,2,0,0,-1,3,3,6,2,0,0,-1,1,0,-1,3,1
KR_6750262322,420,4,54,16,10,1,2,1,2,2,0,3,4,1,4,6,2,0,0,0,0,11,8,4,2,6,-6,0,0,1,0,0,1,2,1
KR_6760350485,420,4,30,35,11,7,7,0,-1,3,4,4,6,2,1,3,2,0,1,1,0,9,9,0,5,5,4,0,1,1,1,1,1,5,1
KR_6729423270,440,0,1,-56,-4,-1,1,2,-4,0,4,-3,2,5,0,3,3,4,4,0,0,1,14,-7,7,0,0,0,0,1,-1,0,-1,1,1
KR_6619695454,420,5,98,38,7,3,4,1,1,2,1,1,4,3,2,6,4,0,0,0,0,3,-4,3,6,9,0,0,1,1,1,1,1,3,1
KR_6700163468,420,2,-30,-9,4,1,2,1,-1,1,2,4,5,1,1,2,1,-1,1,2,0,1,-2,6,1,7,2,0,0,1,1,1,1,3,1
KR_6757803271,420,1,41,-13,4,-1,1,2,3,3,0,0,1,1,0,3,3,2,3,1,0,10,7,6,5,11,-9,0,0,-1,-1,-1,1,1,1
KR_6603207589,420,1,23,-5,2,0,0,0,-4,1,5,4,7,3,2,5,3,0,1,1,0,2,10,-1,5,4,4,0,-1,-1,-1,-1,1,6,1
KR_6630122139,420,-2,47,-29,-2,-1,0,1,0,2,2,2,2,0,-1,4,5,-2,1,3,0,0,-1,-1,6,5,2,0,1,1,-1,1,1,5,1
KR_6728654606,420,7,69,40,18,0,1,1,5,5,0,9,9,0,3,4,1,1,1,0,0,11,-14,8,1,9,7,0,2,1,1,1,1,1,1
KR_6764019670,420,1,-15,7,-1,0,2,2,0,4,4,0,3,3,-1,3,4,0,4,4,-1,0,-10,-1,6,5,-1,0,1,0,1,1,-1,0,1
KR_6740171212,420,6,56,15,14,-1,1,2,3,5,2,4,6,2,7,8,1,1,1,0,0,14,-39,3,3,6,19,0,1,-1,-1,1,1,6,1
KR_6697834014,420,5,47,14,11,6,6,0,-4,1,5,5,7,2,5,7,2,-1,0,1,1,10,-110,-2,7,5,-4,0,0,1,-1,1,1,2,1
KR_6761057428,420,-1,26,14,-8,0,0,0,-1,0,1,2,2,0,-5,1,6,-4,0,4,0,-9,-124,-1,6,5,-4,0,-1,-1,1,-1,-1,5,1
KR_6735043321,420,1,67,-2,6,0,1,1,8,10,2,-3,1,4,2,4,2,-1,1,2,1,6,-3,4,3,7,-2,0,3,1,1,1,1,1,1
KR_6617177058,420,0,50,20,0,0,3,3,-2,3,5,2,5,3,0,1,1,0,1,1,0,-4,-5,-4,5,1,4,0,0,-1,1,1,1,2,1
KR_6763455515,420,4,62,-3,3,0,2,2,3,4,1,-3,0,3,4,7,3,-1,0,1,0,7,-20,-2,10,8,-1,0,1,1,-1,1,1,5,1
KR_6759746970,420,2,1,16,6,0,2,2,0,2,2,1,2,1,5,5,0,0,2,2,0,7,-2,-1,3,2,5,0,1,1,-1,1,1,5,1
KR_6740660203,420,3,23,26,0,-4,0,4,6,8,2,-2,0,2,1,2,1,-1,2,3,0,0,-7,2,1,3,-4,0,-1,1,1,-1,-1,6,1
KR_6693591450,420,1,-53,36,1,-1,0,1,1,4,3,-2,1,3,0,4,4,3,3,0,0,2,-39,0,6,6,27,0,-1,1,-1,-1,1,6,1
KR_6761727176,420,-1,-64,5,1,-3,1,4,-2,3,5,0,1,1,7,7,0,-1,1,2,0,1,28,3,2,5,-1,0,-1,1,1,-1,-1,5,1
KR_6733541156,420,2,17,4,2,0,2,2,0,2,2,2,3,1,1,3,2,-1,1,2,0,-2,-1,-1,6,5,1,0,0,1,1,0,1,1,1
KR_6741739187,440,1,-64,24,2,4,4,0,-1,1,2,-3,0,3,3,3,0,-1,1,2,0,1,25,3,4,7,3,0,-1,1,-1,-1,1,5,1
KR_6678226934,420,0,-5,-7,4,2,3,1,-1,1,2,0,1,1,3,5,2,0,1,1,0,1,2,3,5,8,-4,0,-1,1,1,-1,1,4,1
KR_6762447705,420,0,4,3,-5,5,7,2,-4,0,4,-1,1,2,-5,1,6,0,3,3,-1,-8,10,0,6,6,0,0,0,-1,1,1,-1,3,1
KR_6764163305,440,0,11,-16,1,1,1,0,1,1,0,2,4,2,0,1,1,-3,1,4,0,2,-23,-3,7,4,7,0,1,1,1,1,-1,6,1
KR_6765273474,420,-3,-15,13,-3,3,4,1,-1,2,3,-3,0,3,-1,1,2,-1,0,1,0,-5,60,-4,5,1,-13,0,0,-1,1,-1,1,5,1
KR_6720686151,420,4,-25,-24,6,1,2,1,4,5,1,1,2,1,-1,5,6,1,1,0,0,5,-102,3,4,7,-1,0,0,-1,1,1,1,3,1
KR_6747491905,420,5,44,8,8,2,3,1,4,7,3,1,4,3,1,2,1,0,5,5,0,21,12,5,3,8,2,0,1,0,1,1,-1,0,1
KR_6715554416,420,-1,47,20,0,-1,2,3,-2,2,4,0,3,3,4,4,0,-1,0,1,0,5,4,0,5,5,0,0,1,1,1,1,1,2,1
KR_6765863506,420,1,-19,34,6,-2,0,2,4,4,0,4,5,1,0,1,1,0,0,0,0,10,42,1,6,7,-5,0,0,-1,1,1,1,1,1
KR_6759298006,420,3,25,23,2,0,2,2,2,3,1,2,3,1,0,3,3,-2,1,3,-1,6,-7,-4,8,4,2,0,-1,-1,-1,-1,-1,5,1
KR_6733266121,420,1,44,24,3,0,0,0,-1,1,2,3,3,0,0,2,2,1,2,1,0,3,-5,2,3,5,6,0,1,1,1,1,1,1,1
KR_6506989574,420,2,95,18,5,0,2,2,3,4,1,-1,0,1,3,3,0,0,1,1,0,5,227,0,6,6,0,0,3,1,1,1,1,1,1
KR_6726952749,420,-4,-78,-9,-6,-1,0,1,-1,0,1,1,2,1,-4,0,4,-1,3,4,0,-9,6,2,3,5,-5,0,0,-1,1,-1,1,4,1
KR_6695879497,420,1,25,23,-1,3,6,3,-1,1,2,-1,1,2,-6,1,7,4,4,0,0,-6,-5,-8,10,2,2,0,1,-1,1,1,1,5,1
KR_6765969094,420,5,60,28,6,4,4,0,3,4,1,2,2,0,0,2,2,-3,0,3,1,5,-8,-4,9,5,1,0,0,-1,-1,1,1,1,1
KR_6746607310,420,-2,-30,-3,-2,-1,1,2,-2,1,3,0,2,2,0,3,3,1,2,1,0,3,-11,-1,5,4,2,0,0,-1,-1,0,1,1,1
KR_6764788198,420,-5,-32,-40,-12,5,7,2,-2,1,3,-5,2,7,-3,1,4,-7,2,9,0,-19,-5,2,2,4,-2,0,0,-1,1,1,-1,5,1
KR_6765369251,420,0,-30,-4,-3,-1,1,2,0,4,4,1,1,0,-1,4,5,-2,0,2,0,-6,14,10,2,12,-6,0,0,1,1,0,-1,4,1
KR_6753428325,420,-1,51,-14,-2,2,3,1,-7,0,7,3,3,0,1,2,1,-1,0,1,0,-4,1,2,1,3,-1,0,-1,-1,1,1,1,3,1
KR_6761537239,420,3,14,1,6,3,3,0,0,7,7,2,3,1,1,6,5,0,1,1,0,5,-5,1,4,5,-2,0,-1,-1,1,-1,1,4,1
KR_6762357556,420,1,-9,0,1,1,3,2,4,4,0,-1,5,6,-3,1,4,0,1,1,0,0,4,3,3,6,-4,0,1,0,1,1,1,0,1
KR_6722344657,420,6,39,-3,15,3,4,1,10,11,1,0,3,3,4,4,0,-2,2,4,0,18,10,1,6,7,0,0,0,1,-1,0,1,2,1
