matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6705675166,420,-2,-1,8,-8,0,4,4,-4,0,4,-4,1,5,0,1,1,0,0,0,0,-10,3,-1,3,2,-2,0,0,-1,-1,-1,1,3,1
KR_6762512502,420,1,8,42,8,3,4,1,7,7,0,-1,3,4,-1,2,3,0,1,1,0,10,-21,0,5,5,0,0,1,1,1,1,1,4,1
KR_6760233224,420,3,40,-15,5,4,5,1,-1,2,3,1,1,0,2,4,2,-1,0,1,0,-1,0,2,4,6,-1,0,2,1,0,1,1,5,1
KR_6745065998,420,-1,66,-24,0,-2,2,4,-5,5,10,5,5,0,-1,5,6,3,3,0,1,2,-26,1,3,4,6,0,0,-1,1,1,1,6,1
KR_6745080043,420,0,17,-8,2,1,5,4,0,2,2,-1,2,3,2,2,0,0,1,1,0,1,9,-1,5,4,-1,0,1,-1,-1,1,-1,3,1
KR_6595923382,440,1,-20,11,16,-2,1,3,3,4,1,9,10,1,6,6,0,0,1,1,1,14,10,0,4,4,1,0,0,1,1,1,1,1,1
KR_6623457832,420,6,65,27,10,4,5,1,-1,1,2,9,11,2,-1,4,5,-1,0,1,1,1,-45,3,6,9,30,0,2,1,1,1,1,5,1
KR_6763701645,420,5,45,-35,10,1,3,2,4,4,0,5,8,3,1,2,1,-1,0,1,0,10,-5,3,3,6,3,0,0,1,-1,0,-1,3,1
KR_6748608457,420,4,142,-4,3,-2,0,2,-3,3,6,2,3,1,2,5,3,4,4,0,0,3,-39,-1,4,3,1,0,1,1,-1,1,1,2,1
KR_6731374198,420,4,71,44,5,4,5,1,3,6,3,2,3,1,-1,0,1,-3,0,3,1,-3,70,4,2,6,-10,0,0,1,1,1,1,4,1
KR_6616250380,420,2,-50,29,3,1,3,2,0,0,0,-1,2,3,2,2,0,1,1,0,0,6,8,-5,8,3,0,0,1,1,1,1,-1,2,1
KR_6491823710,420,6,41,32,10,1,3,2,2,2,0,-1,1,2,3,5,2,5,5,0,0,7,4,1,4,5,5,0,2,1,1,1,1,4,1
KR_6753768751,420,4,36,-19,8,2,3,1,2,2,0,3,4,1,-3,0,3,4,4,0,0,6,-3,1,5,6,5,0,1,1,1,1,1,6,1
KR_6764173971,420,-3,-19,-24,-4,5,7,2,4,4,0,-3,0,3,-1,1,2,-9,0,9,0,-1,6,-1,3,2,-5,0,-1,1,-1,-1,1,5,1
KR_6760675346,420,1,30,-11,4,-1,3,4,4,4,0,0,2,2,1,1,0,0,1,1,0,6,-4,0,3,3,1,0,2,-1,1,1,-1,1,1
KR_6759604357,420,-1,-38,15,-1,1,2,1,1,1,0,-2,0,2,1,3,2,-2,0,2,0,-1,3,2,7,9,2,0,0,-1,1,-1,-1,6,1
KR_6760063054,420,4,99,7,10,1,2,1,1,2,1,2,2,0,4,4,0,2,2,0,0,16,2,-1,5,4,-2,0,2,1,1,1,1,6,1
KR_6766283186,420,1,17,24,0,-2,1,3,-2,2,4,-2,2,4,5,6,1,1,2,1,0,-2,-183,-1,4,3,8,0,0,1,1,1,1,3,1
