matchId,queueId,Diff_LV,Diff_CS,Diff_jglCS,Diff-K,Diff-K-top,K-WIN-top,K-LOSE-top,Diff-K-jug,K-WIN-jug,K-LOSE-jug,Diff-K-mid,K-WIN-mid,K-LOSE-mid,Diff-K-ad,K-WIN-ad,K-LOSE-ad,Diff-K-sup,K-WIN-sup,K-LOSE-sup,invadeKill,Diff-A,Diff_WARDplaced,Diff-ControlWARDplaced,LOSE_controlWARDPlaced,WIN_controlWARDPlaced,Diff_WARDkill,Diff_Inhibitor,Diff_TOWERkill,Diff_FirstDRAGON,Diff_FirstHERALD,Diff_Firsttower,Diff_FirstBLOOD,dragonType,result
KR_6708464378,420,2,13,20,-1,-1,2,3,3,3,0,0,0,0,-3,0,3,0,0,0,0,0,-3,0,4,4,3,0,0,1,1,0,-1,3,1
KR_6708491587,420,-3,-18,10,-1,-1,0,1,0,1,1,1,2,1,-2,0,2,1,1,0,1,-2,13,-1,6,5,3,0,0,-1,1,0,1,2,1
KR_6708549001,420,-2,-29,-5,-1,1,1,0,3,3,0,-2,0,2,-3,2,5,0,0,0,0,-4,1,-2,6,4,-2,0,0,-1,0,0,-1,3,1
KR_6708632743,420,-2,29,-6,1,2,2,0,1,1,0,-1,1,2,1,2,1,-2,0,2,0,1,-3,-2,6,4,-2,0,0,-1,0,0,-1,2,1
KR_6709077101,420,-1,26,16,-1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-18,1,4,5,-1,0,0,1,-1,0,-1,1,1
KR_6709123178,420,0,13,-1,-1,-1,1,2,2,2,0,0,0,0,-2,0,2,0,0,0,0,3,0,-1,6,5,2,0,0,1,-1,0,-1,2,1
KR_6709186902,420,1,-22,17,2,0,1,1,2,2,0,0,0,0,1,1,0,-1,0,1,0,6,36,-2,5,3,1,0,0,-1,-1,0,-1,5,1
KR_6709252189,420,0,8,-6,2,1,1,0,3,3,0,-3,0,3,1,2,1,0,0,0,0,1,-6,-7,10,3,3,0,0,0,0,0,1,0,1
KR_6709270298,420,1,36,24,0,3,5,2,-1,4,5,0,0,0,-2,1,3,0,0,0,0,-6,3,-1,5,4,1,0,0,1,1,0,-1,4,1
KR_6710050560,420,3,57,0,3,4,4,0,1,2,1,-1,0,1,-1,1,2,0,2,2,0,2,-5,-1,4,3,7,0,0,-1,1,0,1,1,1
KR_6710514220,420,-2,-13,-10,-1,-2,1,3,4,4,0,-1,0,1,-2,1,3,0,0,0,1,4,-2,-4,6,2,0,0,0,-1,1,0,1,1,1
KR_6710532999,420,3,41,7,4,0,1,1,1,3,2,-1,0,1,4,4,0,0,0,0,0,3,-2,1,1,2,2,0,0,1,1,0,1,5,1
KR_6710561518,420,0,17,8,4,-1,0,1,0,1,1,2,2,0,2,3,1,1,1,0,0,2,-5,-5,7,2,0,0,0,1,1,0,1,6,1
KR_6712742150,420,0,6,-4,4,0,1,1,-1,2,3,2,3,1,0,0,0,3,3,0,0,4,77,1,5,6,-7,0,0,0,1,0,1,0,1
KR_6713019441,420,2,13,15,2,3,3,0,-1,2,3,0,0,0,0,1,1,0,0,0,0,-1,-3,0,4,4,0,0,0,-1,1,0,-1,1,1
KR_6713060779,420,0,-21,-3,0,0,1,1,0,1,1,0,0,0,1,1,0,-1,0,1,0,2,29,-3,6,3,-3,0,0,1,-1,0,1,4,1
KR_6713098179,420,-1,22,-19,1,-1,1,2,0,1,1,0,1,1,1,2,1,1,1,0,-1,2,-3,-1,7,6,2,0,0,0,-1,0,-1,0,1
KR_6713139687,420,0,-9,8,-1,-1,0,1,1,1,0,0,2,2,-1,0,1,0,0,0,0,3,2,1,3,4,1,0,0,1,1,0,-1,2,1
KR_6713197332,420,6,95,4,7,0,1,1,4,4,0,0,0,0,2,2,0,1,1,0,0,7,-4,1,4,5,0,0,0,1,1,0,1,5,1
KR_6713213852,420,1,13,19,3,2,3,1,-2,1,3,1,1,0,1,1,0,1,1,0,0,7,-20,7,3,10,-1,0,0,-1,1,0,1,3,1
KR_6713244075,420,1,-3,19,-1,1,1,0,-3,1,4,1,4,3,1,2,1,-1,0,1,0,-2,3,1,4,5,0,0,0,0,-1,0,-1,0,1
KR_6713272442,420,2,-4,8,5,0,2,2,1,1,0,0,2,2,1,3,2,3,3,0,0,4,-39,2,3,5,0,0,0,0,0,0,1,0,1
KR_6713561330,420,2,-11,5,4,0,0,0,1,2,1,2,2,0,1,1,0,0,0,0,0,2,3,3,1,4,-5,0,0,0,1,0,1,0,1
KR_6713625571,420,1,13,10,1,-1,1,2,-1,1,2,0,0,0,2,4,2,1,2,1,0,-7,1,2,3,5,-4,0,0,1,1,0,-1,6,1
KR_6713662283,420,2,12,-3,5,5,6,1,-2,1,3,2,2,0,2,2,0,-2,0,2,0,1,-6,0,3,3,6,0,0,-1,0,0,1,4,1
KR_6714395932,420,0,53,-4,4,1,1,0,0,0,0,-1,1,2,4,5,1,0,0,0,0,6,-69,0,5,5,4,0,0,1,1,0,1,5,1
KR_6714475970,420,0,-4,-32,7,3,3,0,1,2,1,1,4,3,1,2,1,1,1,0,0,8,-6,-1,3,2,5,0,0,1,1,0,1,2,1
KR_6714548819,420,1,48,-5,1,2,2,0,-2,1,3,-1,0,1,1,1,0,1,1,0,0,-3,-3,0,4,4,5,0,0,0,0,0,1,0,1
KR_6714633629,420,1,1,-6,1,0,0,0,3,3,0,-2,0,2,-1,1,2,1,1,0,0,3,2,-1,5,4,1,0,0,0,-1,0,1,0,1
KR_6714699680,420,-1,-46,-7,8,0,0,0,2,4,2,2,2,0,4,4,0,0,1,1,4,11,8,4,2,6,-2,0,0,1,1,0,1,3,1
KR_6714766661,420,0,15,-1,3,0,0,0,3,4,1,1,1,0,-1,3,4,0,1,1,-1,1,-4,1,3,4,3,0,0,1,1,0,-1,5,1
KR_6715163207,420,4,35,32,6,4,4,0,0,2,2,1,1,0,2,2,0,-1,0,1,0,7,-3,2,3,5,1,0,0,1,0,0,1,3,1
KR_6715376273,420,6,15,34,18,0,0,0,1,2,1,13,13,0,3,4,1,1,1,0,4,19,1,1,4,5,4,0,0,1,0,0,1,5,1
KR_6715569458,420,2,-21,7,3,-2,0,2,-1,2,3,0,1,1,4,5,1,2,2,0,0,9,-14,-1,5,4,-2,0,0,1,-1,0,1,6,1
KR_6715835571,420,-4,4,-5,-7,0,0,0,-1,0,1,-1,1,2,-2,0,2,-3,0,3,0,-11,-4,0,5,5,-9,0,0,0,1,0,-1,0,1
KR_6715905009,420,1,57,23,0,0,0,0,-1,2,3,0,0,0,0,1,1,1,1,0,0,-4,-21,0,5,5,0,0,0,1,-1,0,1,4,1
KR_6716080719,420,3,5,-3,1,-1,1,2,0,1,1,1,1,0,2,3,1,-1,0,1,0,6,-7,0,4,4,3,0,0,-1,1,0,1,5,1
KR_6716162819,420,3,7,-6,7,-1,0,1,3,3,0,1,3,2,2,3,1,2,3,1,1,15,18,2,2,4,2,0,0,0,-1,0,1,0,1
KR_6716272089,420,1,-19,1,8,0,0,0,5,6,1,2,3,1,4,5,1,-3,1,4,2,11,-8,-5,10,5,3,0,0,0,0,0,-1,0,1
KR_6716393022,420,0,41,-19,9,0,0,0,-1,0,1,5,5,0,5,7,2,0,1,1,1,17,-24,5,2,7,1,0,0,1,0,0,1,6,1
KR_6716393720,420,0,13,4,1,2,2,0,-1,0,1,4,4,0,-5,0,5,1,1,0,0,-9,-2,-1,3,2,-1,0,0,0,1,0,1,0,1
KR_6716441747,420,1,42,-18,4,0,1,1,3,5,2,0,0,0,1,2,1,0,0,0,0,8,-1,-1,6,5,4,0,0,1,-1,0,1,4,1
KR_6716477668,420,-1,4,-23,-2,-1,0,1,0,3,3,0,0,0,-1,0,1,0,1,1,0,-1,14,-6,10,4,6,0,0,1,-1,0,-1,1,1
KR_6716555824,420,1,-21,2,4,3,3,0,0,3,3,1,2,1,0,1,1,0,0,0,0,6,-6,-2,7,5,4,0,0,1,-1,0,-1,1,1
KR_6716616810,420,2,6,-3,3,0,1,1,3,6,3,0,1,1,1,1,0,-1,0,1,0,4,5,2,4,6,-1,0,0,0,1,0,-1,0,1
KR_6716697614,420,2,17,-12,3,2,2,0,2,3,1,-1,0,1,1,1,0,-1,0,1,0,3,4,2,4,6,-1,0,0,-1,0,0,1,3,1
KR_6716738434,420,4,32,-3,7,-1,0,1,6,8,2,0,1,1,0,1,1,2,2,0,0,7,5,-1,3,2,-2,0,0,0,-1,0,1,0,1
KR_6716767412,420,1,8,-4,5,-1,1,2,-2,0,2,7,7,0,1,1,0,0,1,1,0,11,3,2,3,5,-2,0,0,1,1,0,1,6,1
KR_6716795348,420,3,1,0,5,1,1,0,-2,0,2,-1,0,1,6,6,0,1,1,0,0,13,2,-2,6,4,2,0,0,0,-1,0,-1,0,1
KR_6716843261,420,-1,-44,-12,0,3,4,1,2,2,0,-1,1,2,-4,0,4,0,0,0,0,2,16,2,3,5,0,0,0,1,1,0,-1,6,1
KR_6717394359,420,3,53,-8,3,2,3,1,1,1,0,1,1,0,-1,0,1,0,0,0,0,4,-22,-1,3,2,3,0,0,0,1,0,1,0,1
KR_6717439850,420,6,135,7,10,7,7,0,0,0,0,3,4,1,1,1,0,-1,0,1,0,3,6,4,3,7,2,0,0,1,1,0,1,3,1
KR_6717456435,420,0,-12,15,-2,0,0,0,-1,1,2,-1,0,1,-1,3,4,1,1,0,0,-2,129,1,2,3,0,0,0,0,-1,0,1,0,1
KR_6718456687,420,1,-47,12,0,0,2,2,-1,1,2,-2,0,2,0,1,1,3,3,0,0,0,5,-2,7,5,2,0,0,1,1,0,1,3,1
