iter	Passed	Remaining
0	31	3161
1	61	3010
2	90	2910
3	122	2941
4	155	2948
5	182	2864
6	211	2813
7	240	2768
8	268	2712
9	296	2669
10	326	2639
11	355	2608
12	384	2575
13	415	2553
14	445	2521
15	474	2491
16	503	2456
17	532	2425
18	563	2403
19	595	2380
20	625	2353
21	657	2329
22	687	2302
23	716	2268
24	746	2239
25	778	2214
26	808	2185
27	840	2161
28	872	2136
29	903	2108
30	933	2078
31	964	2049
32	994	2018
33	1024	1988
34	1054	1958
35	1085	1929
36	1115	1898
37	1147	1872
38	1177	1841
39	1207	1811
40	1236	1779
41	1261	1741
42	1286	1705
43	1316	1675
44	1345	1644
45	1375	1614
46	1406	1585
47	1437	1557
48	1466	1526
49	1497	1497
50	1526	1466
51	1555	1435
52	1585	1405
53	1613	1374
54	1644	1345
55	1674	1315
56	1705	1286
57	1734	1256
58	1763	1225
59	1793	1195
60	1821	1164
61	1851	1135
62	1885	1107
63	1914	1076
64	1945	1047
65	1973	1016
66	2003	986
67	2031	955
68	2059	925
69	2088	895
70	2118	865
71	2141	832
72	2164	800
73	2188	768
74	2212	737
75	2240	707
76	2270	678
77	2303	649
78	2329	619
79	2353	588
80	2377	557
81	2402	527
82	2426	496
83	2449	466
84	2475	436
85	2500	407
86	2526	377
87	2549	347
88	2572	318
89	2596	288
90	2621	259
91	2645	230
92	2669	200
93	2693	171
94	2715	142
95	2738	114
96	2761	85
97	2785	56
98	2808	28
99	2831	0
