iter	Logloss
0	0.6573112799
1	0.6353167533
2	0.6154893324
3	0.5982455269
4	0.5833638696
5	0.5730931289
6	0.5662934603
7	0.5560360127
8	0.5494448155
9	0.5419531609
10	0.537810851
11	0.5312226155
12	0.5262552761
13	0.5230349703
14	0.5193998995
15	0.5168373003
16	0.5146400673
17	0.5127680294
18	0.5108987222
19	0.5092170934
20	0.5074621104
21	0.5063035907
22	0.5039757909
23	0.501701973
24	0.5006930511
25	0.4998560732
26	0.4986626724
27	0.4970620215
28	0.4963126619
29	0.4951237138
30	0.4938730733
31	0.4927607553
32	0.4919844676
33	0.4912683878
34	0.4907128794
35	0.4894713745
36	0.4886610486
37	0.487830145
38	0.4875644868
39	0.4869298711
40	0.4861597457
41	0.4857635295
42	0.4848566271
43	0.484351244
44	0.4836895195
45	0.4832527319
46	0.4830286613
47	0.4824380524
48	0.4819936741
49	0.4813275524
50	0.4806202788
51	0.480113644
52	0.4792248796
53	0.4789240197
54	0.4786582711
55	0.4783671
56	0.478003359
57	0.4777628141
58	0.4776307688
59	0.4773293169
60	0.4769232256
61	0.4764416074
62	0.4761648531
63	0.475731403
64	0.4752720674
65	0.4749022385
66	0.4746399416
67	0.4744555375
68	0.4741264842
69	0.4735598132
70	0.4733540286
71	0.4732333274
72	0.4728351696
73	0.4724597228
74	0.4721532741
75	0.4717584809
76	0.4715992414
77	0.4712747015
78	0.4709563222
79	0.4702255764
80	0.4699756098
81	0.4695657609
82	0.469452136
83	0.4689281627
84	0.4684906284
85	0.4682993716
86	0.4677266452
87	0.4674606276
88	0.4672590089
89	0.4670297125
90	0.4668586886
91	0.4665003713
92	0.4662999629
93	0.4659904364
94	0.4658557026
95	0.4656881412
96	0.4652304141
97	0.4648702333
98	0.4645188596
99	0.4642800891
100	0.4641568468
101	0.4640621027
102	0.4637126246
103	0.4632454714
104	0.4629672379
105	0.4626014045
106	0.4625051188
107	0.4624687411
108	0.4624094278
109	0.4623668527
110	0.4622374825
111	0.4618965472
112	0.4615282175
113	0.4613009065
114	0.4610560287
115	0.4610120543
116	0.4606249816
117	0.4602556033
118	0.459983993
119	0.4597665217
120	0.4596509571
121	0.4592133023
122	0.4589019324
123	0.4586391426
124	0.4585120959
125	0.4578915538
126	0.4578242638
127	0.4572880993
128	0.456851676
129	0.4567095438
130	0.4566725048
131	0.4561756436
132	0.4560726551
133	0.4555451947
134	0.4553934431
135	0.4553622414
136	0.4552927146
137	0.4551403686
138	0.4551074854
139	0.4549503844
140	0.4543708074
141	0.4541389431
142	0.4535438942
143	0.4534553056
144	0.4531544453
145	0.4525468822
146	0.4522476071
147	0.4515306316
148	0.4510721515
149	0.4509866809
150	0.4507331215
151	0.4504622808
152	0.4504316043
153	0.4501010026
154	0.4499865763
155	0.4499080521
156	0.449545674
157	0.4495271932
158	0.4494290283
159	0.4492901005
160	0.4488854727
161	0.4485467465
162	0.4482403541
163	0.4479225304
164	0.4478346324
165	0.4477572522
166	0.4476921955
167	0.4475651077
168	0.4474527251
169	0.4469535454
170	0.4467416055
171	0.446573419
172	0.446470114
173	0.4458819483
174	0.4451659638
175	0.444918447
176	0.4445858093
177	0.4440171439
178	0.4438402762
179	0.4432567466
180	0.4432050213
181	0.4430114743
182	0.4427572236
183	0.4426253681
184	0.4426133589
185	0.442426928
186	0.4423276937
187	0.4418167632
188	0.4413761999
189	0.4406169195
190	0.4404798014
191	0.4403700645
192	0.4401742965
193	0.4396801887
194	0.4392493876
195	0.4391485535
196	0.4388532104
197	0.4388120103
198	0.4383131186
199	0.4379810008
